,company_industry,company_ipo_code,company_country,company_revenue,company_name,company_rank
907,"['MediaPress', 'Entertainment']",TV,Mexico,$2.95 B,Televisa,3100
908,"['Financialservices', 'Insurance']",MFSL.NS,India,$2.96 B,Max Financial Services,3097
909,[],IRTC,USA,$2.96 B,iRhythm,3094
910,['Insurance'],WSV2.F,Austria,$2.96 B,Vienna Insurance Group,3096
911,['Mining'],ILU.AX,Australia,$2.96 B,Iluka Resources,3095
912,"['Energy', 'OilGas']",WFRD,USA,$2.96 B,Weatherford International,3093
913,['Utilitycompanies'],PNN.L,UK,$2.96 B,Pennon Group,3092
914,"['Realestate', 'Investment']",AMOT.TA,Israel,$2.96 B,Amot Investment,3091
915,"['MediaPress', 'Entertainment']",MMB.PA,France,$2.96 B,Groupe LagardÃ¨re,3090
916,"['Financialservices', 'Tech']",EVOP,USA,$2.97 B,EVO Payments,3087
917,['Construction'],SKY,USA,$2.96 B,Skyline Champion,3089
918,"['Utilitycompanies', 'Energy', 'OilGas', 'Electricity']",ACE.MI,Italy,$2.97 B,ACEA,3086
919,"['Software', 'Tech']",AYX,USA,$2.96 B,Alteryx,3088
920,['Telecommunication'],SINCH.ST,Sweden,$2.97 B,Sinch,3085
921,"['AssetManagement', 'Financialservices', 'Investment']",VZN.SW,Switzerland,$2.97 B,VZ Holding,3084
922,"['Travel', 'MediaPress']",TNL,USA,$2.97 B,Travel + Leisure,3083
923,"['Electricity', 'Batteries']",QS,USA,$2.98 B,QuantumScape,3081
924,"['MedicalCareFacilities', 'Healthcare']",SEM,USA,$2.98 B,Select Medical Holdings,3082
925,['Engineering'],THERMAX.NS,India,$2.98 B,Thermax,3080
926,"['Realestate', 'Investment', 'REITs']",T82U.SI,Singapore,$2.98 B,Suntec REIT,3078
927,[],OLLI,USA,$2.98 B,Ollie's Bargain Outlet,3079
928,"['Airlines', 'Travel', 'Transportation']",WIZZ.L,Jersey,$2.98 B,Wizz Air,3077
929,"['Banks', 'Financialservices']",VMUK.L,UK,$2.98 B,Virgin Money UK,3074
930,"['Banks', 'Financialservices']",SGKN.SW,Switzerland,$2.98 B,St. Galler Kantonalbank,3075
931,"['Cement', 'Buildingmaterials']",JKCEMENT.NS,India,$2.98 B,JK Cement,3076
932,"['OilGas', 'Energy']",PAGP,USA,$2.98 B,Plains GP,3073
933,[],VNT,USA,$2.98 B,Vontier,3072
934,"['AssetManagement', 'Investment']",AMP.AX,Australia,$2.99 B,AMP Limited,3070
935,"['Software', 'Tech']",KXS.TO,Canada,$2.98 B,Kinaxis,3071
936,[],SPXC,USA,$2.99 B,SPX Corporation,3069
937,[],AEO,USA,$2.99 B,American Eagle Outfitters,3067
938,['Telecommunication'],ISAT.JK,Indonesia,$2.99 B,Indosat,3068
939,[],PGNY,USA,$2.99 B,Progyny,3065
940,"['Energy', 'Renewableenergy']",LFG,USA,$2.99 B,Archaea Energy,3064
941,"['Software', 'Tech']",BLKB,USA,$2.99 B,Blackbaud,3066
942,[],JBT,USA,$2.84 B,John Bean Technologies,3179
943,"['Pizza', 'Food', 'Restaurantchains']",PZZA,USA,$2.84 B,Papa John's Pizza,3178
944,[],BPMC,USA,$2.80 B,Blueprint Medicines,3199
945,['Chemicals'],011780.KS,South Korea,$2.80 B,Kumho Petrochemical,3200
946,['Investment'],0053.HK,Hong Kong,$2.81 B,Guoco,3197
947,"['Videogames', 'Professionalservices']",KWS.L,Ireland,$2.81 B,Keywords Studios,3196
948,['Healthcare'],AMED,USA,$2.80 B,Amedisys,3198
949,"['Software', 'Tech']",IS,Israel,$2.81 B,IronSource,3195
950,[],ESAB,USA,$2.81 B,ESAB,3194
951,"['ITservices', 'Tech']",NXT.AX,Australia,$2.81 B,NEXTDC,3193
952,"['Internet', 'Tech', 'Telecommunication', 'Software']",OVH.PA,France,$2.81 B,OVH Groupe,3192
953,[],ACA,USA,$2.81 B,Arcosa,3191
954,"['Energy', 'Renewableenergy', 'Electricity']",BLX.TO,Canada,$2.82 B,Boralex,3190
955,[],FSS,USA,$2.82 B,Federal Signal,3189
956,['Footwear'],RELAXO.NS,India,$2.83 B,Relaxo Footwear,3186
957,[],UGP,Brazil,$2.83 B,Ultrapar Participacoes,3187
958,[],MAIN,USA,$2.83 B,Main Street Capital,3188
959,"['Realestate', 'Investment', 'REITs']",SITC,USA,$2.83 B,SITE Centers,3185
960,"['REITs', 'Realestate', 'Investment']",MAC,USA,$2.83 B,Macerich,3183
961,[],PACW,USA,$2.83 B,PacWest Bancorp,3184
962,['Buildingmaterials'],BCC,USA,$2.83 B,Boise Cascade,3182
963,"['Mining', 'Goldmining', 'SilverMining']",PM6.F,Cyprus,$2.83 B,Polymetal,3181
964,[],NDX1.F,Germany,$2.84 B,Nordex,3177
965,"['Financialservices', 'Banks']",WSFS,USA,$2.84 B,WSFS Financial,3176
966,"['Luxurygoods', 'Retail']",JWN,USA,$2.83 B,Nordstrom,3180
967,"['Airports', 'Infrastructure']",FLW1.F,Austria,$2.85 B,Vienna Airport,3174
968,['Investment'],PSEC,USA,$2.84 B,Prospect Capital,3175
969,"['OilGas', 'Energy']",VET,Canada,$2.85 B,Vermilion Energy,3173
970,"['Software', 'Tech']",ASAN,USA,$2.85 B,Asana,3172
971,[],MRTX,USA,$2.85 B,Mirati Therapeutics,3171
972,"['Financialservices', 'Banks']",TCBI,USA,$2.85 B,Texas Capital Bancshares,3169
973,"['Transportation', 'Maritimetransportation', 'OilGas']",STNG,Monaco,$2.85 B,Scorpio Tankers,3170
974,"['Airlines', 'Travel', 'Transportation']",AAWW,USA,$2.85 B,Atlas Air Worldwide Holdings,3168
975,"['Realestate', 'REITs', 'Investment']",EQC,USA,$2.86 B,Equity Commonwealth,3166
976,[],SYNGENE.NS,India,$2.85 B,Syngene International,3167
977,['Insurance'],HGTY,USA,$2.87 B,Hagerty,3165
978,['Food'],LSG.OL,Norway,$2.87 B,Leroy Seafood,3164
979,[],PDCO,USA,$2.77 B,Patterson Companies,3212
980,[],SHOO,USA,$2.62 B,Steve Madden,3300
981,[],RUI.PA,France,$2.62 B,Rubis,3299
982,"['Financialservices', 'Tech', 'Insurance']",POLICYBZR.NS,India,$2.63 B,PB Fintech,3297
983,[],BCO,USA,$2.63 B,Brink's,3296
984,"['Renewableenergy', 'Energy']",SHLS,USA,$2.63 B,Shoals Technologies,3295
985,"['Financialservices', 'Tech']",QFIN,China,$2.63 B,360 DigiTech,3298
986,"['Cement', 'Buildingmaterials']",SMS2.F,Indonesia,$2.64 B,SIG (Semen Indonesia),3294
987,"['Electricity', 'OilGas', 'Utilitycompanies', 'Energy']",VCT.NZ,New Zealand,$2.64 B,Vector Limited,3293
988,[],6324.T,Japan,$2.64 B,Harmonic Drive Systems,3292
989,['OilGas'],RIG,Switzerland,$2.64 B,Transocean,3290
990,['Mining'],LTR.AX,Australia,$2.64 B,Liontown Resources,3291
991,"['Realestate', 'Investment', 'REITs']",CRT-UN.TO,Canada,$2.65 B,CT REIT,3289
992,"['Food', 'Dairycompanies']",FCG.NZ,New Zealand,$2.65 B,Fonterra,3287
993,['Medicaldevices'],CNMD,USA,$2.65 B,CONMED,3288
994,[],CWK,USA,$2.66 B,Cushman & Wakefield,3285
995,"['Realestate', 'Investment', 'REITs']",FCR-UN.TO,Canada,$2.65 B,First Capital REIT,3286
996,"['Engineering', 'Professionalservices']",DY,USA,$2.66 B,Dycom Industries,3284
997,"['Retail', 'SupermarketChains']",282330.KS,South Korea,$2.66 B,BGF Retail,3283
998,"['Airlines', 'Travel', 'Transportation']",ULCC,USA,$2.66 B,Frontier Airlines,3282
999,"['Clothing', 'Luxurygoods']",ZGN,Italy,$2.66 B,Ermenegildo Zegna,3280
1000,[],PK,USA,$2.66 B,Park Hotels & Resorts,3279
1001,"['OilGas', 'Energy']",VEA.AX,Australia,$2.67 B,Viva Energy,3277
1002,[],BKU,USA,$2.66 B,BankUnited,3278
1003,[],THS,USA,$2.66 B,TreeHouse Foods,3281
1004,"['Tech', 'Software', 'Internet']",DOCN,USA,$2.67 B,DigitalOcean,3276
1005,"['OilGas', 'Energy']",KOS,USA,$2.67 B,Kosmos Energy,3275
1006,"['Clothing', 'Retail']",URBN,USA,$2.67 B,Urban Outfitters,3274
1007,"['Ports', 'Infrastructure']",POT.NZ,New Zealand,$2.67 B,Port of Tauranga,3272
1008,"['Electronics', 'Tech', 'TechHardware']",600060.SS,China,$2.67 B,Hisense Visual Technology,3273
1009,['Construction'],KBH,USA,$2.68 B,KB Home,3271
1010,['Financialservices'],LICHSGFIN.NS,India,$2.68 B,LIC Housing Finance,3270
1011,"['AssetManagement', 'Investment']",ALB.MC,Spain,$2.68 B,CorporaciÃ³n Financiera Alba,3269
1012,"['OilGas', 'OilGasEquipmentServices', 'Energy']",LBRT,USA,$2.68 B,Liberty Energy,3268
1013,[],MEOH,Canada,$2.62 B,Methanex,3301
1014,"['Mining', 'CoalMining']",ARCH,USA,$2.68 B,Arch Resources,3267
1015,[],S92.F,Germany,$2.45 B,SMA Solar Technology,3400
1016,"['OilGas', 'Energy']",BPT.AX,Australia,$2.52 B,Beach Energy,3356
1017,"['Banks', 'Financialservices']",MAHABANK.NS,India,$2.45 B,Bank of Maharashtra,3399
1018,[],LCII,USA,$2.46 B,LCI Industries,3395
1019,"['Banks', 'Financialservices']",COLB,USA,$2.46 B,Columbia Bank,3397
1020,['Food'],EBRO.MC,Spain,$2.46 B,Ebro Foods,3396
1021,"['Tech', 'TechHardware', 'Electronics']",XRX,USA,$2.45 B,Xerox,3398
1022,['Construction'],FLQ.F,New Zealand,$2.46 B,Fletcher Building,3394
1023,['DiagnosticsandTesting'],LALPATHLAB.NS,India,$2.46 B,Dr Lal PathLabs,3393
1024,['Financialservices'],FNMAL,USA,$2.46 B,Fannie Mae,3391
1025,"['REITs', 'Realestate', 'Investment']",K71U.SI,Singapore,$2.46 B,Keppel REIT,3392
1026,"['Banks', 'Financialservices', 'Investment']",PIPR,USA,$2.46 B,Piper Sandler,3390
1027,[],SCL,USA,$2.47 B,Stepan Company,3387
1028,"['Mining', 'SilverMining']",AG,Canada,$2.47 B,First Majestic Silver,3389
1029,"['Financialservices', 'Professionalservices']",CBZ,USA,$2.47 B,CBIZ,3388
1030,['Professionalservices'],PRFT,USA,$2.47 B,Perficient,3386
1031,"['OilGas', 'Energy', 'Infrastructure']",GEI.TO,Canada,$2.47 B,Gibson Energy,3384
1032,[],IBP,USA,$2.47 B,Installed Building Products,3385
1033,['Defensecontractors'],QQ.L,UK,$2.48 B,QinetiQ,3383
1034,[],MDC,USA,$2.30 B,MDC Holdings,3500
1035,[],OR,Canada,$2.30 B,Osisko Gold Royalties,3499
1036,"['Airlines', 'Travel', 'Transportation']",PGSUS.IS,Turkey,$2.30 B,Pegasus Airlines,3497
1037,['Manufacturing'],BRC,USA,$2.30 B,Brady,3498
1038,"['Manufacturing', 'SpecialtyVehicles']",IVG.MI,Italy,$2.30 B,Iveco Group,3496
1039,"['OilGas', 'Transportation', 'Maritimetransportation']",TRMD,UK,$2.30 B,TORM,3495
1040,['Healthcare'],AGTI,USA,$2.30 B,Agiliti,3494
1041,"['Energy', 'Infrastructure', 'Conglomerate']",DLEKG.TA,Israel,$2.31 B,Delek Group,3492
1042,['Electronics'],VICR,USA,$2.30 B,Vicor,3493
1043,[],ACIW,USA,$2.31 B,ACI Worldwide,3491
1044,['Tech'],2353.TW,Taiwan,$2.31 B,Acer,3490
1045,"['Banks', 'Financialservices']",WSBC,USA,$2.31 B,WesBanco,3489
1046,['Insurance'],UN9.F,Austria,$2.31 B,Uniqa Insurance Group,3488
1047,"['Pharmaceuticals', 'Biotech']",HCM,Hong Kong,$2.31 B,HUTCHMED,3487
1048,"['Telecommunication', 'Internet']",1U1.DE,Germany,$2.32 B,1&1,3486
1049,"['Banks', 'Financialservices']",TOWN,USA,$2.32 B,TowneBank,3485
1050,"['Software', 'Tech']",VERX,USA,$2.32 B,Vertex,3484
1051,[],RVMD,USA,$2.14 B,Revolution Medicines,3600
1052,"['Internet', 'Tech']",RUM,USA,$2.14 B,Rumble,3598
1053,[],KLNMA.IS,Turkey,$2.14 B,TÃ¼rkiye KalkÄ±nma,3599
1054,"['Software', 'Tech', 'Healthcare']",OMCL,USA,$2.14 B,Omnicell,3597
1055,"['Software', 'Tech']",SWON.SW,Switzerland,$2.15 B,SoftwareONE,3595
1056,"['ECommerce', 'Internet', 'Tech', 'Retail', 'Sportsgoods']",SSU,Germany,$2.15 B,SIGNA Sports United,3596
1057,"['Realestate', 'Investment', 'REITs', 'Hotels', 'Travel']",SHO,USA,$2.15 B,Sunstone Hotel Investors,3594
1058,['Realestate'],0813.HK,Hong Kong,$2.15 B,Shimao Property,3593
1059,"['Banks', 'Financialservices']",ITCB,Chile,$2.15 B,ItaÃº CorpBanca,3592
1060,"['Software', 'Tech']",CXM,USA,$2.15 B,Sprinklr,3590
1061,[],FUN,USA,$2.15 B,Cedar Fair,3591
1062,[],TTEC,USA,$2.16 B,TTEC,3588
1063,"['Pharmaceuticals', 'Biotech']",GKOS,USA,$2.15 B,Glaukos,3589
1064,['Mining'],HMY,South Africa,$2.16 B,Harmony Gold,3587
1065,['Realestate'],GRI.L,UK,$2.16 B,Grainger plc,3586
1066,['Food'],TBS.JO,South Africa,$2.02 B,Tiger Brands,3663
1067,"['Courier', 'Transportation']",BLUEDART.NS,India,$2.16 B,Blue Dart Express,3585
1068,[],CRCT,USA,$1.97 B,Cricut,3700
1069,['Realestate'],JDAN.CO,Denmark,$1.97 B,Jeudan,3699
1070,['Transportation'],C52.SI,Singapore,$1.98 B,ComfortDelGro,3698
1071,"['Realestate', 'Investment', 'REITs']",SKT,USA,$1.98 B,Tanger Factory Outlet Centers,3697
1072,['Conglomerate'],GFF,USA,$1.98 B,Griffon Corporation,3696
1073,['Insurance'],HARL.TA,Israel,$1.98 B,Harel Group,3695
1074,['Tobacco'],TBK.F,Czech Republic,$1.98 B,Philip Morris ÄR,3694
1075,"['Goldmining', 'Mining']",NG,Canada,$1.99 B,NovaGold Resources,3692
1076,['Conglomerate'],BYW.F,Germany,$1.98 B,BayWa,3693
1077,[],EXIDEIND.NS,India,$1.99 B,Exide Industries,3690
1078,"['Software', 'Tech']",NABL,USA,$1.99 B,N-Able,3691
1079,"['Videogames', 'Tech', 'Entertainment']",PDX.ST,Sweden,$1.99 B,Paradox Interactive,3689
1080,[],YELP,USA,$1.99 B,Yelp,3688
1081,['Professionalservices'],ICFI,USA,$1.99 B,ICF International,3686
1082,"['Mining', 'SilverMining', 'Goldmining']",BVN,Peru,$1.99 B,Buenaventura Mining Company,3687
1083,"['Banks', 'Financialservices']",HTLF,USA,$1.99 B,Heartland Financial USA,3684
1084,"['Financialservices', 'Investment']",PAX,Cayman Islands,$1.99 B,Patria Investments,3685
1085,"['Beverages', 'Alcoholicbeverages']",AEFES.IS,Turkey,$1.99 B,Efes Beverage Group,3683
1086,"['Banks', 'Financialservices']",SBCF,USA,$1.99 B,Seacoast Banking,3682
1087,[],SMTC,USA,$1.83 B,Semtech,3800
1088,['Telecommunication'],TPA1.F,Poland,$1.83 B,Orange Polska,3798
1089,['Financialservices'],CIXX,Canada,$1.83 B,CI Financial,3799
1090,"['Education', 'Internet', 'Tech']",UDMY,USA,$1.83 B,Udemy,3797
1091,['Realestate'],SVI.TO,Canada,$1.83 B,StorageVault Canada,3796
1092,[],HTH,USA,$1.84 B,Hilltop Holdings,3793
1093,"['Banks', 'Financialservices']",NBTB,USA,$1.84 B,NBT Bancorp,3794
1094,"['Education', 'Internet', 'Tech']",COUR,USA,$1.83 B,Coursera,3795
1095,"['Steelproducers', 'Steelindustry']",USIM5.SA,Brazil,$1.84 B,Usiminas,3792
1096,[],XPEL,USA,$1.84 B,XPEL,3791
1097,"['OilGas', 'Energy']",DK,USA,$1.84 B,Delek US,3790
1098,"['Mining', 'Goldmining', 'SilverMining']",FIL.TO,Canada,$1.85 B,Filo Mining,3789
1099,"['OilGas', 'Energy']",ESTE,USA,$1.85 B,Earthstone Energy,3788
1100,"['Transportation', 'Maritimetransportation']",INSW,USA,$1.85 B,International Seaways,3787
1101,[],CBE.PA,France,$1.70 B,Robertet,3892
1102,"['Realestate', 'Investment', 'REITs']",BEI-UN.TO,Canada,$1.85 B,Boardwalk Real Estate Investment Trust,3786
1103,"['Biotech', 'Pharmaceuticals']",FATE,USA,$1.85 B,Fate Therapeutics,3785
1104,[],WGO,USA,$1.69 B,Winnebago Industries,3899
1105,"['Chemicals', 'Agriculture']",DCMSHRIRAM.NS,India,$1.69 B,DCM Shriram,3900
1106,"['OilGas', 'Energy', 'OilGasEquipmentServices']",XPRO,USA,$1.69 B,Expro Group,3897
1107,['Realestate'],WE,USA,$1.69 B,WeWork,3898
1108,['Tobacco'],VGR,USA,$1.70 B,Vector Group,3896
1109,['WasteRecycling'],BFSA.DE,Luxembourg,$1.70 B,Befesa,3895
1110,"['ITservices', 'Professionalservices']",HAPPSTMNDS.NS,India,$1.70 B,Happiest Minds Technologies,3893
1111,[],MTRN,USA,$1.70 B,Materion,3894
1112,[],RATNAMANI.NS,India,$1.70 B,Ratnamani Metals & Tubes,3891
1113,"['Software', 'Tech']",AVDX,USA,$1.70 B,AvidXchange,3890
1114,"['Investment', 'AssetManagement', 'Biotech']",HBMN.SW,Switzerland,$1.70 B,HBM Healthcare Investments,3889
1115,[],ADUS,USA,$1.70 B,Addus HomeCare,3887
1116,"['Ports', 'Infrastructure']",NS8U.SI,Singapore,$1.70 B,HPH Trust (Hutchison Port),3888
1117,"['Construction', 'Engineering']",PEAB-B.ST,Sweden,$1.71 B,Peab,3886
1118,['Realestate'],AIF.TO,Canada,$1.71 B,Altus Group,3885
1119,[],5301.T,Japan,$1.71 B,Tokai Carbon,3884
1120,"['Electronics', 'Education']",0303.HK,Hong Kong,$1.71 B,Vtech,3883
1121,"['Banks', 'Financialservices']",TCBK,USA,$1.71 B,TriCo Bancshares,3882
1122,"['Steelproducers', 'Steelindustry']",LIF.TO,Canada,$1.58 B,Labrador Iron Ore Royalty Corp.,4000
1123,"['Banks', 'Financialservices']",HOPE,USA,$1.58 B,Hope Bancorp,3999
1124,['Retail'],PETS.L,UK,$1.58 B,Pets at Home,3998
1125,"['Banks', 'Financialservices']",STEL,USA,$1.58 B,Stellar Bancorp,3997
1126,['Conglomerate'],001040.KS,South Korea,$1.58 B,CJ Group,3996
1127,"['Realestate', 'Investment', 'REITs']",LTC,USA,$1.58 B,LTC Properties,3995
1128,['Buildingmaterials'],FORN.SW,Switzerland,$1.58 B,Forbo Holding,3994
1129,"['Hotels', 'Travel']",0045.HK,Hong Kong,$1.58 B,Hongkong and Shanghai Hotels,3993
1130,"['Tech', 'Software', 'Financialservices']",BTRS,USA,$1.58 B,billtrust (BTRS),3992
1131,"['Banks', 'Financialservices']",NBHC,USA,$1.58 B,National Bank Holdings,3991
1132,"['Internet', 'Gambling', 'Entertainment']",SGHC,Guernsey,$1.58 B,Super Group,3990
1133,"['Biotech', 'Genomics', 'DiagnosticsandTesting']",MYGN,USA,$1.58 B,Myriad Genetics,3989
1134,"['Mining', 'Goldmining']",SAND,Canada,$1.58 B,Sandstorm Gold,3988
1135,['Food'],HAIN,USA,$1.58 B,Hain Celestial,3987
1136,['Entertainment'],035900.KQ,South Korea,$1.59 B,JYP Entertainment,3986
1137,['Utilitycompanies'],MSEX,USA,$1.59 B,Middlesex Water Company,3985
1138,[],BIO.F,Germany,$1.59 B,Biotest,3984
1139,"['Energy', 'OilGas']",TALO,USA,$1.59 B,Talos Energy,3983
1140,['Tires'],TYRES.HE,Finland,$1.46 B,Nokian Tyres,4099
1141,['Education'],LAUR,USA,$1.57 B,Laureate Education,4001
1142,[],BLUESTARCO.NS,India,$1.46 B,Blue Star,4100
1143,"['OilGas', 'Energy']",AAV.TO,Canada,$1.46 B,Advantage Energy,4098
1144,"['Pharmaceuticals', 'Biotech']",RCKT,USA,$1.46 B,Rocket Pharmaceuticals,4097
1145,['Advertising'],MGNI,USA,$1.46 B,Magnite,4096
1146,"['Financialservices', 'Insurance']",MTM.JO,South Africa,$1.47 B,Momentum Metropolitan,4095
1147,"['Pharmaceuticals', 'Biotech']",DVAX,USA,$1.47 B,Dynavax Technologies,4094
1148,"['Realestate', 'Investment', 'REITs']",0778.HK,Hong Kong,$1.47 B,Fortune REIT,4092
1149,"['OilGas', 'Energy']",IPCO.TO,Canada,$1.47 B,International Petroleum,4093
1150,"['Manufacturing', 'Machinerymanufacturing']",BYS.SW,Switzerland,$1.47 B,Bystronic AG,4091
1151,"['Hotels', 'Travel']",NHH.MC,Spain,$1.47 B,NH Hotel Group,4090
1152,[],042660.KS,South Korea,$1.48 B,DSME (Daewoo Shipbuilding),4086
1153,['Telecommunicationsequipment'],ADTN,USA,$1.47 B,ADTRAN,4087
1154,['Pharmaceuticals'],GLENMARK.NS,India,$1.47 B,Glenmark Pharmaceuticals,4088
1155,"['Realestate', 'Investment', 'REITs']",AKR,USA,$1.47 B,Acadia Realty Trust,4089
1156,"['Videogames', 'Entertainment', 'Tech']",2432.T,Japan,$1.48 B,DeNA,4084
1157,['Pharmaceuticals'],4587.T,Japan,$1.48 B,PeptiDream,4083
1158,[],MSGE,USA,$1.48 B,Madison Square Garden,4082
1159,[],NVRO,USA,$1.48 B,Nevro,4085
1160,[],CNXN,USA,$1.36 B,PC Connection,4199
1161,['Healthcare'],DASA3.SA,Brazil,$1.48 B,Diagnosticos da America,4081
1162,"['Software', 'Tech']",PHR,USA,$1.36 B,Phreesia,4200
1163,"['Biotech', 'Software', 'Tech']",ME,USA,$1.37 B,23andMe,4198
1164,"['OilGas', 'Energy']",OPAL,USA,$1.37 B,OPAL Fuels,4197
1165,[],CXW,USA,$1.37 B,CoreCivic,4195
1166,"['Batteries', 'Electricity']",SES,USA,$1.37 B,SES AI,4196
1167,"['Batteries', 'Electricity']",AMARAJABAT.NS,India,$1.37 B,Amara Raja Batteries,4194
1168,['Healthcare'],NUTX,USA,$1.37 B,Nutex Health,4193
1169,['Realestate'],MMI,USA,$1.37 B,Marcus & Millichap,4192
1170,['Tech'],TRUE-B.ST,Sweden,$1.37 B,Truecaller,4191
1171,"['Financialservices', 'Tech']",UPST,USA,$1.38 B,Upstart,4190
1172,['Robotics'],IRBT,USA,$1.38 B,iRobot,4187
1173,['Entertainment'],041510.KQ,South Korea,$1.38 B,SM Entertainment,4189
1174,['DiagnosticsandTesting'],VIVO,USA,$1.38 B,Meridian Bioscience,4188
1175,"['Pharmaceuticals', 'Biotech']",RETA,USA,$1.38 B,Reata Pharmaceuticals,4185
1176,['Pharmaceuticals'],BBIO,USA,$1.38 B,BridgeBio Pharma,4186
1177,['Advertising'],IAS,USA,$1.38 B,Integral Ad Science,4184
1178,['Mining'],HINDCOPPER.NS,India,$1.38 B,Hindustan Copper,4183
1179,[],PLMR,USA,$1.33 B,Palomar Holdings,4235
1180,[],CODI,USA,$1.27 B,Compass Diversified Holdings,4300
1181,['Retail'],HBH.DE,Germany,$1.27 B,Hornbach Holding,4299
1182,['Construction'],VEI.OL,Norway,$1.27 B,Veidekke,4298
1183,"['Cement', 'Buildingmaterials']",SCCC.BK,Thailand,$1.27 B,Siam City Cement (INSEE),4296
1184,['Food'],007310.KS,South Korea,$1.27 B,Ottogi,4297
1185,[],WAC.F,Germany,$1.27 B,Wacker Neuson,4295
1186,"['SupermarketChains', 'Retail']",NWC.TO,Canada,$1.27 B,The North West Company,4294
1187,"['Entertainment', 'Gambling', 'Hotels']",SKC.NZ,New Zealand,$1.27 B,Skycity Entertainment Group,4293
1188,"['Software', 'Tech', 'ITservices', 'Professionalservices']",ENGH.TO,Canada,$1.27 B,Enghouse Systems,4291
1189,"['Electronics', 'Manufacturing']",CTS,USA,$1.27 B,CTS Corporation,4292
1190,[],PATK,USA,$1.27 B,Patrick Industries,4289
1191,['Transportation'],JSL.NS,India,$1.27 B,Jindal Stainless,4290
1192,['Insurance'],SAFT,USA,$1.27 B,Safety Insurance,4287
1193,[],ALLCARGO.NS,India,$1.27 B,Allcargo Logistics,4288
1194,['Healthcare'],NXGN,USA,$1.27 B,NextGen Healthcare,4286
1195,['Telecommunication'],GAMA.L,UK,$1.28 B,Gamma Communications,4284
1196,"['Banks', 'Financialservices']",OFG,USA,$1.27 B,OFG Bancorp,4285
1197,['Aluminum'],KALU,USA,$1.28 B,Kaiser Aluminum,4283
1198,[],HTLD,USA,$1.28 B,Heartland Express,4282
1199,"['Financialservices', 'Banks']",TMP,USA,$1.15 B,Tompkins Financial,4400
1200,['Defensecontractors'],KTOS,USA,$1.16 B,Kratos Defense & Security Solutions,4399
1201,['MediaPress'],SSP,USA,$1.16 B,E. W. Scripps Company,4398
1202,['Furniture'],HNI,USA,$1.16 B,HNI Corporation,4397
1203,"['Clothing', 'Retail']",ANF,USA,$1.16 B,Abercrombie & Fitch,4396
1204,"['Clothing', 'Retail']",GES,USA,$1.16 B,Guess,4395
1205,[],UPONOR.HE,Finland,$1.16 B,Uponor,4394
1206,"['Realestate', 'Professionalservices']",STC,USA,$1.16 B,Stewart Information Services,4393
1207,['Financialservices'],ECPG,USA,$1.16 B,Encore Capital Group,4392
1208,['Chemicals'],ECVT,USA,$1.16 B,Ecovyst,4391
1209,[],TDS,USA,$1.16 B,Telephone and Data Systems,4390
1210,['Mining'],ERO,Canada,$1.16 B,Ero Copper,4388
1211,['Conglomerate'],BAW.JO,South Africa,$1.16 B,Barloworld,4389
1212,[],TNC,USA,$1.17 B,Tennant Company,4387
1213,['Insurance'],EIG,USA,$1.17 B,Employers Holdings,4385
1214,[],KRNT,Israel,$1.17 B,Kornit Digital,4386
1215,['Chemicals'],GALAXYSURF.NS,India,$1.17 B,Galaxy Surfactants,4384
1216,"['Banks', 'Financialservices']",NIC,USA,$1.17 B,Nicolet Bankshares,4383
1217,"['Banks', 'Financialservices']",LBAI,USA,$1.17 B,Lakeland Bancorp,4382
1218,"['Consumergoods', 'Manufacturing']",TRS,USA,$1.17 B,TriMas,4381
1219,"['Biotech', 'Pharmaceuticals']",C43.F,Ireland,$1.07 B,Cosmo Pharmaceuticals,4500
1220,[],BDN,USA,$1.07 B,Brandywine Realty Trust,4498
1221,"['OnlineDating', 'Internet', 'Tech']",GRND,USA,$1.07 B,Grindr,4497
1222,['Professionalservices'],SANT.F,Austria,$1.07 B,S&T AG,4499
1223,"['Videogames', 'Entertainment']",300113.SZ,China,$1.07 B,Hangzhou Shunwang Technology,4496
1224,"['Banks', 'Financialservices']",KARURVYSYA.NS,India,$1.07 B,Karur Vysya Bank,4495
1225,[],RHK.DE,Germany,$1.08 B,RhÃ¶n-Klinikum,4494
1226,"['Energy', 'Electricity', 'Renewableenergy']",AMPS,USA,$1.08 B,Altus Power,4492
1227,"['Banks', 'Financialservices', 'Investment']",COWN,USA,$1.08 B,Cowen,4493
1228,[],COK.F,Germany,$1.08 B,Cancom,4491
1229,[],XPOF,USA,$1.08 B,Xponential Fitness,4489
1230,"['Education', 'Tech', 'Software']",DCBO,Canada,$1.08 B,Docebo,4490
1231,"['Pharmaceuticals', 'Biotech']",VCEL,USA,$1.08 B,Vericel,4488
1232,"['Software', 'Tech']",CCSI,USA,$1.08 B,Consensus Cloud Solutions,4487
1233,"['Entertainment', 'Gambling']",BALY,USA,$1.08 B,Bally's Corporation,4486
1234,['Food'],AVO,USA,$1.09 B,Mission Produce,4484
1235,['Clothing'],FOI-B.ST,Switzerland,$1.09 B,Fenix Outdoor,4485
1236,['Manufacturing'],PGTI,USA,$1.09 B,PGT Innovations,4483
1237,['Cannabis'],CRON,Canada,$1.09 B,Cronos Group,4482
1238,"['Mining', 'Goldmining', 'SilverMining']",SA,Canada,$0.98 B,Seabridge Gold,4600
