,company_country,company_employees,company_founded,company_industry,company_name
411,South Korea,40,2012,Fintech,C&Tech
412,India,135,2008,Technology,Serosoft
413,Singapore,28,2015,Fintech,Fundnel
414,India,558,2010,Technology,HashedIn Technologies
415,The Netherlands,6,2016,Interiors,Matt Sleeps
416,UK,138,2013,Technology,Tessian
417,Italy,3,2013,Health,Theras Biocare
418,UK,30,2016,Technology,Locum's Nest
419,Spain,54,2014,Advertising,Adsmurai
420,United Kingdom,185,1992,Financial Services,Blue Motor Finance
421,United Kingdom,37,2014,Advertising,Vidsy Media
422,Australia,20,2014,Logistics,Sherpa
423,Japan,18,2013,Retail,Nihon 3D Printer
424,Japan,84,2014,Financial Services,bitbank
425,India,384,1985,Energy,Welspun Enterprises
426,Singapore,343,2003,Fintech,2C2P
427,Japan,20,2013,Ecommerce,Cores
428,Germany,369,2016,Financial Services,Solarisbank
429,France,21,2016,Support Services,M2DG (MyFlexoffice)
430,France,35,2015,Technology,Golden Bees
431,Italy,5,2013,Energy,Sarcos Wind
432,Germany,10,2013,Ecommerce,Schuh Benner
433,United Kingdom,650,2013,Cyber Security,Darktrace
434,Thailand,590,2014,Fashion,Pomelo
435,Australia,92,2015,Health,VALD
436,Australia,24,2011,Beauty,Roccoco Cosmetics Pty Ltd
437,Japan,21,1896,Travel & Leisure,MISONOZA
438,Japan,6428,2002,Games industry,Nexon
439,Italy,11,2004,Health,Eukon
440,Italy,13,2016,Advertising,Evolution Adv
441,Sweden,28,2010,Energy,Ferroamp Elektronik
442,France,47,2014,Property,Habiteo
443,United Kingdom,88,2014,Technology,Sorted Group
444,Germany,7,2015,Management Consulting,FOSTEC & Company
445,India,4,2016,Waste management & recycling,Roserve Enviro
446,Japan,1,2016,Property,Live gate
447,Japan,49,2014,Education,Progate
448,Japan,32,2013,Beauty,Cekai
449,Japan,458,2001,Pharmaceuticals,GNI Group
450,Philippines,418,2009,Energy,Power Fill
451,Spain,274,2001,Technology,Making Science
452,Estonia,229,2007,Technology,Cleveron
453,France,20,2013,Health,Domalys
454,Sweden,491,2010,Games industry,Stillfront Group
455,Australia,25,2014,Technology,Publift
456,Japan,14,2016,Architecture,B-Light Neo
457,Singapore,37,2014,Transport,Declarators
458,Japan,48,2013,Support Services,TransACT
459,South Korea,64,2016,Restaurants,Dailybeer
460,Italy,207,2014,Ecommerce,Everli
461,Germany,80,2016,Support Services,DPM - Deutsches Personal Management
462,United Kingdom,34,2002,Property,Pocket Living
463,Spain,31,2013,Advertising,Tappx
464,Singapore,7,2016,Retail,Millennium Enterprise
465,Australia,54,2001,Technology,Spacetalk
466,India,321,2015,Property,IndiQube
467,Japan,198,2013,Technology,Unifa
468,Japan,58,2012,Ecommerce,COREKARA
469,Philippines,637,2009,Property,DoubleDragon Properties Corp.
470,Finland,73,2014,Technology,AppFollow
471,Switzerland,10,2015,Travel & Leisure,MyCamper
472,United Kingdom,26,2011,Technology,Laser Wire Solutions
473,United Kingdom,17,2013,Financial Services,Payment Assist
474,Taiwan,79,2004,Health,GeneReach Biotechnology
475,Japan,49,2017,Technology,HERP
476,Japan,10,2016,Management Consulting,North Star Management
477,Taiwan,458,2007,Health,Bora Pharmaceuticals
478,Japan,6,2013,Technology,Nealle
479,Poland,190,2013,Technology,Synerise
480,Poland,8,2010,Food & Beverage,ChaiKola
481,Germany,28,2015,Advertising,Stoyo Media
482,United Kingdom,15,2012,Telecoms,Unify Communications
483,Spain,9,2015,Financial Services,Workcapital
484,Australia,14,2001,Technology,Connexion Telematics
485,Philippines,"3,006",2007,Telecoms,Converge
486,Taiwan,31,2000,Pharmaceuticals,NatureWise Biotech & Medicals
487,Japan,48,2013,Sales & Marketing,EXIDEA
488,Germany,12,2015,Technology,Scolution
489,France,15,2017,Energy,JL&P
490,Spain,40,2014,Food & Beverage,Wetaca
491,Germany,7,2009,Ecommerce,Shokes
492,United Kingdom,68,2013,Fintech,Yoyo Wallet
493,Italy,10,2014,Industrial Goods,TMT International
494,Japan,7,2007,Telecoms,enjin
495,Japan,74,2014,Retail,PINCH HITTER JAPAN
496,South Korea,130,2015,Technology,Miso
497,Australia,20,2015,Advertising,Zeal Digital
498,India,426,2010,Technology,Blazeclan
499,Japan,103,2008,Management Consulting,Prored Partners
500,Italy,50,2017,Pharmaceuticals,eFarma.com
501,UK,138,2013,Technology,Elvie
502,Germany,21,2015,Technology,YOU MAWO
503,Italy,26,2012,Technology,Vmway
504,United Kingdom,32,2014,Technology,SourceBreaker
505,United Kingdom,61,2010,Technology,Glassbox Digital UK
506,India,750,2011,Technology,LeadSquared
507,Singapore,69,2015,Technology,Roadbull Logistics
508,Japan,60,2015,Ecommerce,Herbal i
509,India,280,2011,Technology,LeadSquared
510,India,78,2012,Technology,Successive Technologies
511,Japan,37,2012,Technology,AsianStream
512,Italy,5,2010,Personal & Household Goods,Farmarelax
513,UK,99,2008,Technology,Omnisend
514,Italy,23,2014,Construction,Mercurio
515,Spain,44,2014,Construction,Nexia Infraestructuras*
516,France,51,2013,Technology,LittleBIG Connection
517,Australia,25,2017,Fintech,iPartners
518,Japan,20,2009,Beauty,A&C BEAUTE
519,Australia,100,2016,Management Consulting,MTP Services
520,Italy,5,2017,Fashion,World Trade Group
521,UK,2,2016,Advertising,Born Licensing
522,Spain,9,2014,Construction,Innova Profesional Desarrollos*
523,United Kingdom,360,2013,Property,Hostmaker
524,India,44,2017,Industrial Goods,RI Texsolutions
525,Australia,9,2012,Media,Man of Many
526,Japan,50,2005,Financial Services,Realize Group
527,Japan,47,2004,Ecommerce,Nicorio
528,Philippines,2100,2007,Telecoms,Converge ICT
529,Japan,17,2009,Media,One of a kind Inc.
530,France,32,2016,Technology,BESTEAM Conseil
531,UK,96,2016,Automobiles,Motorway
532,France,5,2015,Energy,Enens
533,Italy,4,2014,Chemicals,Plastrading
534,France,36,2015,Technology,Golden Bees
535,Japan,72,2016,Technology,Gig Inc.
536,South Korea,400,2006,Technology,IGAWorks
537,Philippines,189,2011,Technology,Sprout Solutions
538,New Zealand,40,2015,Technology,Dovetail
539,South Korea,277,2014,Technology,Hyperconnect
540,Japan,16,1991,Construction,Everstruction
541,Germany,26,2014,Technology,ISO Public Services
542,Italy,9,2015,Energy,D-Energy
543,Germany,52,2004,Industrial Goods,Bauer Holzbausysteme
544,France,20,2012,Property,Chez Nestor
545,India,"1,277",2009,Financial Services,Light Microfinance
546,Taiwan,390,1990,Industrial Goods,Speed Tech
547,Japan,5,2014,Technology,Lead Edge
548,Indonesia,1174,2005,Retail,Watsons Indonesia
549,Singapore,527,2000,Industrial Goods,Aem Holdings
550,South Korea,37,2010,Pharmaceuticals,AbClon
551,UK,918,2015,Energy,Octopus Energy
552,Germany,12,2016,Property,Sigal & Sapiro Real Estate
553,Italy,12,2013,Food & Beverage,Gaia
554,Finland,11,2014,Energy,Solnet Green Energy
555,Australia,23,2013,Technology,Classe365
556,South Korea,50,2015,Technology,OLIMPLANET
557,Japan,11,2016,Architecture,Neo Home
558,Australia,50,2008,Technology,Renew IT
559,Taiwan,68,2013,Education,VoiceTube
560,Australia,57,2016,Technology,Lexicon Digital
561,UK,82,2017,Cyber Security,CyberIAM*
562,Germany,22,2016,Technology,MAKONIS
563,Netherlands,50,2012,Ecommerce,SendCloud
564,France,4,2014,Technology,Osiway
565,Italy,33,2015,Management Consulting,Nexumstp
566,Japan,59,2010,Technology,Cyber Security Cloud
567,South Korea,47,2017,Technology,MedPark
568,South Korea,54,2016,Technology,ONDA
569,Japan,30,2013,Education,manebi
570,India,Not found,2010,Financial Services,One 97 / Paytm
571,Indonesia,32,2010,Transport,Jati Group
572,Italy,17,2017,Personal & Household Goods,Cbweed*
573,Germany,72,2007,Construction,Infratech Bau
574,Germany,65,2013,Ecommerce,Campanda
575,Estonia,140,1990,Transport,MeP Trans
576,Portugal,14,2011,Transport,Bluwalk
577,India,110,2014,Energy,Smart Joules
578,Singapore,30,2017,Technology,Shootsta
579,Australia,102,2016,Technology,Lexicon Digital
580,Taiwan,Not found,2007,Technology,FineMat
581,Taiwan,418,2007,Technology,Egis Technology
