,company_location,company_industry,company_name
390,"VIALE CERTOSA 239, MILANO, 20151, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Adi Energia Srl
391,"VIALE MONTE GRAPPA 3/5, MILANO, 20124, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Amazon Italia Logistica Srl
392,"VIA EMILIA SAN PIETRO 4, REGGIO EMILIA, 42121, REGGIO EMILIA, ITALY","Finance, Insurance, and Real Estate",Credito Emiliano Spa
393,"PIAZZA DEL CALENDARIO 3, MILANO, 20126, MILANO, ITALY","Finance, Insurance, and Real Estate",Deutsche Bank Spa
394,"VIA BAIONA 203, RAVENNA, 48123, RAVENNA, ITALY",Manufacturing,Bunge Italia Spa
395,"VIALE REGINA MARGHERITA 125, ROMA, 00198, ROMA, ITALY",Services,Enel Global Services Srl
396,"VIA NAPOLI 220, CASANDRINO, 80025, NAPOLI, ITALY","Finance, Insurance, and Real Estate",Farvima Holding Srl
397,"LUNGOTORRENTE SECCA 3/A, GENOVA, 16163, GENOVA, ITALY",Wholesale Trade,Sogegross Spa
398,"VIA GIUSEPPE MAZZINI 36, VALGUARNERA CAROPEPE, 94019, ENNA, ITALY","Finance, Insurance, and Real Estate",Gruppo Arena Spa
399,"VIA EMILIA 1, SAN DONATO MILANESE, 20097, MILANO, ITALY",Mining,Eni Angola Spa
400,"FORO BUONAPARTE 67, MILANO, 20121, MILANO, ITALY",Construction,Ferrovial ConstrucciÃ³n S.a.
401,"VIA SAN POLO 152, BRESCIA, 25134, BRESCIA, ITALY",Manufacturing,Alfa Acciai Spa
402,"VIA ASSANO 1791, CESENA, 47521, FORLI'-CESENA, ITALY",Wholesale Trade,Cambielli Edilfriuli Spa
403,"VIA SEBASTIANO CABOTO 1, CORSICO, 20094, MILANO, ITALY",Services,Comdata Spa
404,"VIALE THOMAS ALVA EDISON 110, SESTO SAN GIOVANNI, 20099, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Shell Energy Italia Srl
405,"VIA SAN MICHELE 36, SCANDICCI, 50018, FIRENZE, ITALY","Finance, Insurance, and Real Estate",Fattoria San Michele A Torri Srl
406,"LOCALITA' CONTI MALTRAVERSO 1, MONTEBELLO VICENTINO, 36054, VICENZA, ITALY",Manufacturing,Bottega Veneta Srl
407,"VIA EINAUDI 18/22, CERMENATE, 22072, COMO, ITALY",Manufacturing,Bolton Food Spa
408,"LOCALITA' MERLARO 2, VESTONE, 25078, BRESCIA, ITALY","Finance, Insurance, and Real Estate",Silmar Group Spa
409,"VIA GIOVANNI ANSALDO 7, FORLI', 47122, FORLI'-CESENA, ITALY",Manufacturing,Ferretti Spa
410,"VIA ALESSANDRO MANZONI 41, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Ferretti International Holding Spa
411,"PIAZZA CADUTI 6 LUGLIO 1944 1, DALMINE, 24044, BERGAMO, ITALY",Manufacturing,Dalmine Spa
412,"PIAZZA GIUSEPPE GARIBALDI 16, SONDRIO, 23100, SONDRIO, ITALY","Finance, Insurance, and Real Estate",Banca Popolare Di Sondrio Spa
413,"VIA DELL'INDUSTRIA 22, CONSELICE, 48017, RAVENNA, ITALY",Manufacturing,General Cavi Spa
414,"VIALE LOMBARDIA 20, BOLLATE, 20021, MILANO, ITALY",Manufacturing,Solvay Specialty Polymers Italy Spa
415,"VIA ALDO MORO 95, ARCO, 38062, TRENTO, ITALY","Finance, Insurance, and Real Estate",Arcese Holding Sapa Di Eleuterio Arcese E C.
416,"STRADA DI SCORRIMENTO 2, VADO LIGURE, 17047, SAVONA, ITALY",Manufacturing,Infineum Italia Srl
417,"VIA LEONARDO DA VINCI 4, GUASTALLA, 42016, REGGIO EMILIA, ITALY",Manufacturing,Smeg Spa
418,"VIALE ENRICO FORLANINI 23, MILANO, 20134, MILANO, ITALY",Manufacturing,Sasol Italy Spa
419,"VIA TORTONA 9, MILANO, 20144, MILANO, ITALY","Finance, Insurance, and Real Estate",Nordea Investment Funds S.a.
420,"VIA DEL MULINO 6, ASSAGO, 20057, MILANO, ITALY",Services,Sanpellegrino Spa
421,"VIA GASPARE GOZZI 1/A, MILANO, 20129, MILANO, ITALY",Wholesale Trade,Retitalia Spa
422,"CORSO FELICE CAVALLOTTI 30, SANREMO, 18038, IMPERIA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Unoenergy Spa
423,"VIA GAUDENZIO FANTOLI 15/2 15/8, MILANO, 20138, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",United Parcel Service Italia Srl
424,"VIA OTTAVIO MORENO 23, SAVIGLIANO, 12038, CUNEO, ITALY",Manufacturing,Alstom Ferroviaria Spa
425,"CORSO FELICE CAVALLOTTI 30, SANREMO, 18038, IMPERIA, ITALY","Finance, Insurance, and Real Estate",Elfin Srl
426,"VIA CALDERA 21, MILANO, 20153, MILANO, ITALY","Finance, Insurance, and Real Estate",Uno Holding Srl
427,"VIALE LUIGI BORRI 231, VARESE, 21100, VARESE, ITALY",Manufacturing,Bticino Spa
428,"VIA CHIESE 6, MILANO, 20126, MILANO, ITALY",Manufacturing,Prysmian Powerlink Srl
429,"FORO BUONAPARTE 10, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Compass Banca Spa
430,"VIA REGONA 3, PIZZIGHETTONE, 26026, CREMONA, ITALY",Manufacturing,Carlo Colombo Spa
431,"VIA COLOMBARA 113, VENEZIA, 30176, VENEZIA, ITALY","Finance, Insurance, and Real Estate",Lb Holding Spa
432,"PIAZZA GIOVINE ITALIA 3, MILANO, 20123, MILANO, ITALY","Finance, Insurance, and Real Estate",Verofin Srl
433,"VIA COLOMBARA 113, VENEZIA, 30176, VENEZIA, ITALY",Services,Umana Spa
434,"VIA ORNA 35, BRENDOLA, 36040, VICENZA, ITALY","Finance, Insurance, and Real Estate",Gruppo Ltc Spa
435,"VIA MOGGIA 75/A, LAVAGNA, 16033, GENOVA, ITALY",Wholesale Trade,Alliance Healthcare Italia Distribuzione Spa
436,"VIA BOLZANO 63, APPIANO SULLA STRADA DEL VINO, 39057, BOLZANO, ITALY",Wholesale Trade,Montanwerke Brixlegg Aktiengesellschaft
437,"VIA SALARIA 1039, ROMA, 00138, ROMA, ITALY",Construction,Societa' Italiana Per Condotte D'acqua Spa
