,company_location,company_industry,company_name
362,"VIA UGO PANZIERA 16, PRATO, 59100, PRATO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Estra Energie Srl
363,"VIA GAETANO NEGRI 1, MILANO, 20123, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Fibercop Spa
364,"VIA CARLO GOLDONI 10, MILANO, 20129, MILANO, ITALY",Services,D & G Srl
365,"VIA CARLO GOLDONI 10, MILANO, 20129, MILANO, ITALY","Finance, Insurance, and Real Estate",Dolce & Gabbana Holding Srl
366,"VIA MILANO 10, SAN DONATO MILANESE, 20097, MILANO, ITALY",Services,Ccs Jv Scarl
367,"VIA FIORENZO SEMINI 12, GENOVA, 16163, GENOVA, ITALY",Wholesale Trade,Vandemoortele Europe N.v.
368,"VIA ANTONIO PACINOTTI 25, SAN GIOVANNI LUPATOTO, 37057, VERONA, ITALY",Manufacturing,Pastificio Rana Spa
369,"VIA DELLE AZALEE 19, BUCCINASCO, 20090, MILANO, ITALY",Manufacturing,C.o.i.m. Spa - Chimica Organica Industriale Milanese
370,"VIA GIULIO VINCENZO BONA 65, ROMA, 00156, ROMA, ITALY",Construction,Astaris Spa
371,"STRADONE VIGLIENA 39, NAPOLI, 80146, NAPOLI, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Tirreno Power Spa
372,"VIA DELLA CHIOCANA 3, MAGIONE, 06063, PERUGIA, ITALY",Retail Trade,Eurospin Tirrenica Spa
373,"VIALE AMELIA 70, ROMA, 00181, ROMA, ITALY",Manufacturing,Angelini Pharma Italia Aziende Chimiche Riunite Angelini Francesco A.c.r.a.f. Spa
374,"VIA ARISTIDE NONIS 68/A, MAROSTICA, 36063, VICENZA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Electrade Spa
375,"VIA DELL'INNOVAZIONE 1, CAMISANO VICENTINO, 36043, VICENZA, ITALY",Manufacturing,Cereal Docks Spa
376,"VIA DI MACCHIA PALOCCO 223, ROMA, 00125, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Telecom Italia Sparkle Spa
377,"VIALE FULVIO TESTI 280, MILANO, 20126, MILANO, ITALY","Finance, Insurance, and Real Estate",Agos-ducato Spa
378,"VIA MARIE CURIE 2, BOLZANO, 39100, BOLZANO, ITALY","Finance, Insurance, and Real Estate",Fercam Holding Srl
379,"PALAZZO MEUCCI VIA FRANCESCO SFORZA, BASIGLIO, 20079, MILANO, ITALY","Finance, Insurance, and Real Estate",Prexta Spa In Forma Abbreviata Prexta Spa
380,"VIALE ALDO BORLETTI 61/63, CORBETTA, 20011, MILANO, ITALY",Manufacturing,Marelli Europe Spa
381,"PIAZZA INDRO MONTANELLI 30, SESTO SAN GIOVANNI, 20099, MILANO, ITALY",Manufacturing,Coca-cola Hbc Italia Srl
382,"RIVIERA MAESTRI DEL LAVORO 24, PADOVA, 35127, PADOVA, ITALY",Wholesale Trade,Sonepar Italia Spa
383,"VIA CASILINA 125, ROMA, 00176, ROMA, ITALY",Manufacturing,Merck Serono Spa
384,"VIA DEGLI ALDOBRANDESCHI 300, ROMA, 00163, ROMA, ITALY","Finance, Insurance, and Real Estate",Lottomatica Spa
385,"CONTRADA MILOCCA SNC, ASSORO, 94010, ENNA, ITALY",Retail Trade,Fratelli Arena Srl
386,"VIA NERIO NANNETTI 1, ZOLA PREDOSA, 40069, BOLOGNA, ITALY",Retail Trade,Yoox Net-a-porter Group Spa
387,"VIA DI CASAL BOCCONE 188/190, ROMA, 00137, ROMA, ITALY",Services,Almaviva - The Italian Innovation Company Spa
388,"PIAZZA DEI SANTI APOSTOLI 66, ROMA, 00187, ROMA, ITALY","Finance, Insurance, and Real Estate",Almaviva Technologies Srl
389,"VIA SANTENA 1, VILLASTELLONE, 10029, TORINO, ITALY",Manufacturing,Petronas Lubricants Italy Spa
