,company_ipo_code,company_name
744,IR,Ingersoll-Rand PLC
745,INTC,Intel Corp.
746,ICE,Intercontinental Exchange
747,IBM,International Bus. Machines
748,IP,International Paper
749,IPG,Interpublic Group
750,IFF,Intl Flavors & Fragrances
751,INTU,Intuit Inc.
752,ISRG,Intuitive Surgical Inc.
753,IVZ,Invesco Ltd.
754,IRM,Iron Mountain Incorporated
755,JEC,Jacobs Engineering Group
756,JBHT,J. B. Hunt Transport Services
757,JNJ,Johnson & Johnson
758,JCI,Johnson Controls International Plc
759,JPM,JPMorgan Chase & Co.
760,JNPR,Juniper Networks
761,KSU,Kansas City Southern
762,K,Kellogg Co.
763,KEY,KeyCorp
764,KMB,Kimberly-Clark
765,KIM,Kimco Realty
766,KMI,Kinder Morgan
767,KLAC,KLA-Tencor Corp.
768,KSS,Kohl's Corp.
769,KHC,Kraft Heinz Co
770,KR,Kroger Co.
771,LB,L Brands Inc.
772,LLL,L-3 Communications Holdings
773,LH,Laboratory Corp. of America Holding
774,LRCX,Lam Research
775,LM,Legg Mason
776,LEG,Leggett & Platt
777,LEN,Lennar Corp.
778,LVLT,Level 3 Communications
779,LUK,Leucadia National Corp.
780,LLY,Lilly (Eli) & Co.
781,LNC,Lincoln National
782,LLTC,Linear Technology Corp.
783,LKQ,LKQ Corporation
784,LMT,Lockheed Martin Corp.
785,L,Loews Corp.
786,LOW,Lowe's Cos.
787,LYB,LyondellBasell
788,MTB,M&T Bank Corp.
789,MAC,Macerich
790,M,Macy's Inc.
791,MNK,Mallinckrodt Plc
792,MRO,Marathon Oil Corp.
793,MPC,Marathon Petroleum
794,MAR,Marriott Int'l.
795,MMC,Marsh & McLennan
796,MLM,Martin Marietta Materials
797,MAS,Masco Corp.
798,MA,Mastercard Inc.
799,MAT,Mattel Inc.
800,MKC,McCormick & Co.
801,MCD,McDonald's Corp.
802,MCK,McKesson Corp.
803,MJN,Mead Johnson
804,MDT,Medtronic plc
805,MRK,Merck & Co.
806,MET,MetLife Inc.
807,MTD,Mettler Toledo
808,KORS,Michael Kors Holdings
809,MCHP,Microchip Technology
810,MU,Micron Technology
811,MSFT,Microsoft Corp.
812,MHK,Mohawk Industries
813,TAP,Molson Coors Brewing Company
814,MDLZ,Mondelez International
815,MON,Monsanto Co.
816,MNST,Monster Beverage
817,MCO,Moody's Corp
818,MS,Morgan Stanley
819,MOS,The Mosaic Company
820,MSI,Motorola Solutions Inc.
821,MUR,Murphy Oil
822,MYL,Mylan N.V.
823,NDAQ,NASDAQ OMX Group
824,NOV,National Oilwell Varco Inc.
825,NAVI,Navient
826,NTAP,NetApp
827,NFLX,Netflix Inc.
828,NWL,Newell Rubbermaid Co.
829,NFX,Newfield Exploration Co
830,NEM,Newmont Mining Corp. (Hldg. Co.)
831,NWSA,News Corp. Class A
832,NWS,News Corp. Class B
833,NEE,NextEra Energy
834,NLSN,Nielsen Holdings
835,NKE,Nike
836,NI,NiSource Inc.
837,NBL,Noble Energy Inc
838,JWN,Nordstrom
839,NSC,Norfolk Southern Corp.
840,NTRS,Northern Trust Corp.
841,NOC,Northrop Grumman Corp.
842,NRG,NRG Energy
843,NUE,Nucor Corp.
844,NVDA,Nvidia Corporation
845,ORLY,O'Reilly Automotive
846,OXY,Occidental Petroleum
847,OMC,Omnicom Group
848,OKE,ONEOK
849,ORCL,Oracle Corp.
850,OI,Owens-Illinois Inc
851,PCAR,PACCAR Inc.
852,PH,Parker-Hannifin
853,PDCO,Patterson Companies
854,PAYX,Paychex Inc.
855,PYPL,PayPal
856,PNR,Pentair Ltd.
857,PBCT,People's United Financial
858,PEP,PepsiCo Inc.
859,PKI,PerkinElmer
860,PRGO,Perrigo
861,PFE,Pfizer Inc.
862,PCG,PG&E Corp.
863,PM,Philip Morris International
864,PSX,Phillips 66
865,PNW,Pinnacle West Capital
866,PXD,Pioneer Natural Resources
867,PBI,Pitney-Bowes
868,PNC,PNC Financial Services
869,RL,Polo Ralph Lauren Corp.
870,PPG,PPG Industries
871,PPL,PPL Corp.
872,PX,Praxair Inc.
873,CFG,Citizens Financial Group
874,PCLN,Priceline.com Inc
875,PFG,Principal Financial Group
876,PG,Procter & Gamble
877,PGR,Progressive Corp.
878,PLD,Prologis
879,PRU,Prudential Financial
880,PEG,Public Serv. Enterprise Inc.
881,PSA,Public Storage
882,PHM,Pulte Homes Inc.
883,PVH,PVH Corp.
884,QRVO,Qorvo
885,PWR,Quanta Services Inc.
886,QCOM,QUALCOMM Inc.
887,DGX,Quest Diagnostics
888,RRC,Range Resources Corp.
889,RTN,Raytheon Co.
890,O,Realty Income Corporation
891,RHT,Red Hat Inc.
892,REGN,Regeneron
893,RF,Regions Financial Corp.
894,RSG,Republic Services Inc
895,RAI,Reynolds American Inc.
