,company_founded,company_location,company_industry,company_name,company_employees,company_website
250,['October\xa01978'],['Seoul'],['Entertainment'],Kakao M Corp.,"['361 (as of October\xa02016', '\xa0(', '2016-10', ')', ')', '[4]']",['kakao-m.com']
251,['October\xa01991'],['Mapo-gu'],['Entertainment'],DSP Media,[],"['dspmedia', '.co', '.kr']"
252,['Copenhagen'],['Stockholm'],"['Mass media', 'E-commerce', 'Real estate', 'Investment services']",Bonnier AB,"['9,226 (2013)']","['bonnier', '.com']"
253,['2015'],"['Seoul', 'South Korea']",['Entertainment'],Coridel Entertainment,[],"['coridelent', '.com']"
254,['1976'],['Maracaibo'],['Oil and gas'],PetrÃ³leos de Venezuela S.A.,"['70,000']",['pdvsa.com']
255,['1993'],"['Seoul, Korea']",['Film'],Cinema Service,[],"['www', '.cinemaservice', '.com']"
256,[],[],[],ANCAP,[],[]
257,['January 2000'],"['Seoul', 'South Korea']",['Film'],CJ Entertainment Inc.,"['2,233']",['http://www.cj-entertainment.com/']
258,['1996'],"['Cape Town, South Africa']","['CGI animation', 'Motion pictures']",Triggerfish Animation Studios,[],"['triggerfish', '.com']"
259,"['July\xa024, 1969']",['Lima'],['Oil and gas'],PetrÃ³leos del PerÃº S.A.,[],"['www', '.petroperu', '.com', '.pe']"
260,['1995'],"['Jongno District', 'Seoul', 'South Korea']",['film'],"Myung Film Co., Ltd.",[],"['myungfilm', '.com']"
261,['September\xa02003'],"['Songpa District', 'Seoul', 'South Korea']",['film'],Lotte Cultureworks,[],['lottecinema.co.kr/LCCS']
262,['1981'],"['Asuncion', 'Paraguay']",['oil'],PetrÃ³leos Paraguayos,"['2,700 (2008)']",[]
263,"['Quito', 'Ecuador']","['Quito', 'Ecuador']",['Oil and gas'],Petroecuador,[],"['www', '.eppetroecuador', '.ec']"
264,['1921 (Tropical Oil Company - Mares Concession)'],"['BogotÃ¡', 'Colombia']",['Oil and Gas'],Ecopetrol S.A.,"['9,315']","['www', '.ecopetrol', '.com', '.co']"
265,['2008'],"['Krasnogorsk', 'Moscow Oblast', 'Russia']",['Motion pictures'],GlavKino,"['1,500']",['glavkino.ru']
266,['2010'],"['Moscow, (Russian HQ)']",['Cinema'],Enjoy Movies,[],['Enjoy-Movies.Ru']
267,['1934'],"['Santiago', 'Chile']",['Energy'],Empresas Copec S.A.,"['8,644']",['www.ec.cl']
268,['1933'],['St. Petersburg'],['Motion pictures'],Lennauchfilm,[],['http://www.lennauchfilm.ru']
269,['1991'],"['Moscow, Russia (Russian HQ)', 'New York, US (International HQ)']",['Cinema'],Bazelevs,[],"['bazelevs', '.ru']"
270,['1995'],"['Moscow, Russia']",['Motion pictures'],Central Partnership,[],"['centpart.ru', 'centpart.ru/en']"
271,"['December\xa021, 1936']","['La Paz', 'Bolivia']",['Oil and gas'],Yacimientos PetrolÃ­feros Fiscales Bolivianos,[],"['ypfb', '.gob', '.bo']"
272,"['June\xa03, 1922', ' ']","['Buenos Aires', 'Argentina']",['Petroleum and natural gas'],YPF S.A.,"['14,000', '[6]']",['ypf.com']
273,['1948'],"['Buenos Aires', 'Argentina']","['Petroleum', 'energy']",Bridas,[],[]
274,[],[],[],Russian World Studios,[],[]
275,['3 October 1953'],['Rio de Janeiro'],"['Energy', 'Oil and gas']",PetrÃ³leo Brasileiro S.A. â Petrobras,"['45,532 ', '(2021)', '[7]']",['www.petrobras.com.br']
