,company_ceo,company_name,company_employees
8088,,Anhui Heli,
8089,,"Lightwave Logic, Inc. Common Stock",
8090,,Desktop Metal,"1,370"
8091,,Xior Student Housing Nv,
8092,,Centamin,
8093,,Fit Hon Teng,
8094,,"Shaanxi Zhongtian Rocket Technology Co., Ltd",
8095,,"Anyang Iron And Steel Co., Ltd.",
8096,,Surgical Science Sweden Ab (publ),
8097,,Ecovyst Inc.,883
8098,,Vobile Group Limited,
8099,,Pros Holdings,"1,545"
8100,,Coats Group,"17,000"
8101,,Acronis,
8102,,About You,
8103,,4paradigm,
8104,Harshil Mathur,Razorpay,
8105,,Mobikwik,
8106,,Volution Group,
8107,,Inkon Life Technology,
8108,,Vilmorin & Cie Sa,
8109,,Dcm Holdings,"4,248"
8110,,Actifio,
8111,,Ankon,
8112,,Anduril,
8113,,Amplitude Analytics,612
8114,,Alto Pharmacy,939
8115,,Allbirds,351
8116,,Akulaku,
8117,,Airwallex,
8118,,Airtable,417
8119,,Age Of Learning,
8120,,Aprogen,
8121,,Bordrin,
8122,,Boqii,
8123,,Benevolentai,
8124,,Ben Lai,
8125,,Beibei,
8126,,Banma,
8127,,Away,800
8128,,Auth0,
8129,,Atom Bank,
8130,,Boss Zhipin,
8131,,Classpass,468
8132,,Cjia,
8133,,Chunyuyisheng,
8134,,Chemao,
8135,,Carzone,
8136,,Calm.com,318
8137,,Cabify,
8138,,C2fo,
8139,,Branch,"271,025"
8140,,Clover Health,680
8141,,Docker,
8142,,Dmall,
8143,,Digitalocean,581
8144,,Deezer,
8145,,Dave,
8146,,Datarobot,"1,661"
8147,,Cosmoplat,
8148,,Contentsquare,
8149,,Collibra,"1,234"
8150,,Doctolib,
8151,,Fanli,
8152,,Faire,467
8153,,Ezcater,568
8154,,Envision,
8155,,Ebanx,
8156,,Easy Life,
8157,,Dxy,
8158,,Druva,"1,148"
8159,,Dotc United,
8160,,Farmers Business Network,"1,403"
8161,,Geo,
8162,,Geneseeq,
8163,,Galaxycore,
8164,,G7,
8165,,Fxiaoke,
8166,,Flywire,473
8167,,Flash Ex,
8168,,Fengshang,
8169,,Fcbox,
8170,,Glovo,
8171,,Hmd,
8172,,Hippo,
8173,,Hike,
8174,,Highradius,
8175,,Haodf,
8176,,Gympass,
8177,,Guild Education,
8178,,Grove Collaborative,499
8179,,Grammarly,"1,008"
8180,,Hosjoy,
8181,,Instabase,53
8182,,Illumio,545
8183,,Ihomefnt,
8184,,Ifood,
8185,,Icertis,"2,136"
8186,,Icarbonx,
8187,,Ibotta,850
8188,,Huasheng,
8189,,Hozon,
8190,,Intercom,
8191,,Knotel,
8192,,Kk Group,
8193,,Kendra Scott,"1,642"
8194,,Keeptruckin,"1,756"
8195,,Juma,
8196,,Juanpi,
8197,,Jollychic,
8198,,Jiuxian,
8199,,Ivalua,
8200,,Knowbox,
8201,,Loji,
8202,,Liquid Global,
8203,,Linmon,
8204,,Linkdoc,
8205,,Lightricks,
8206,,Leapmotor,
8207,,Lalamove,
8208,,Kujiale,
8209,,Kr Space,
8210,,Lookout,859
8211,,Momenta,
8212,,Mobvoi,
8213,,Mindmaze,
8214,,Meero,
8215,,Mediamath,404
8216,,Medbanks,
8217,,Marklogic,288
8218,,Maimai,
8219,,Luojilab,
8220,,Moneylion,556
8221,,Outreach,"1,450"
8222,,Orcam Technologies,
8223,,Orbbec,
8224,,Omio,
8225,,Ola Electric,
8226,,Offerup,
8227,,O9 Solutions,912
8228,,Novogene,
8229,,Newlink,
8230,,Ovo Energy,
8231,,Revolution Precrafted,
8232,,Renrenche,
8233,,Red Ventures,"3,139"
8234,,Quizlet,
8235,,Quintoandar,
8236,,Perfect Diary,
8237,,Pendo,"1,040"
8238,,Pat Mcgrath Labs,
8239,,Parkjockey,
8240,,Ringpai,
8241,,Skio,
8242,,Sisense,852
8243,,Sinocelltech,
8244,,Sila Nanotechnologies,310
8245,,Seismic,
8246,,"Shanghai Shizhuang Information Technology Co.,ltd",
8247,,Scale Ai,
8248,,Rubicon Global,13
8249,,Rocket Lab,758
8250,,Smartmi,
8251,,The Honest Company,191
8252,,Talkingdata,
8253,,Talkdesk,"1,500"
8254,,Taimei Technology,
8255,,Symphony Communication Services,692
8256,,Sumup,
8257,,Sumo Logic,759
8258,,Stockx,"1,422"
8259,,Sonder,700
8260,,Tmon,
8261,,Veepee,
8262,,Vast Data,368
8263,,Vacasa,"6,500"
8264,,V Linker,
8265,,Unisound,
8266,,Udacity,"2,138"
8267,,Tricentis,
8268,,Tresata,
8269,,Tradeshift,742
8270,,Vox Media,
8271,,Yh Global,
8272,,Yaochufa,
8273,,Yanolja,
8274,,Xingsheng,
8275,,Wtoip,
8276,,Womai,
8277,,Wifi Master Key,
8278,,Wecash,
8279,,Vroom,"1,442"
8280,,Interswitch,
8281,,Ocsial,450
8282,,Zeta Global,"1,434"
8283,,Yunniao,
8284,,Yooli,
8285,,Ymatou,
8286,,Yijiupi,
8287,,Dezhan Healthcare Company,
8288,,Resilient Reit,
8289,,Jiangxi Fushine Pharmaceutical,
8290,,Stef,"18,000"
8291,,Kuangda Technology Group,
8292,,Grupo Gigante S. A. B. De C. V,
8293,,Warom Technology Company,
8294,,Atara Biotherapeutics,578
8295,,World Acceptance Corporation,"3,175"
8296,,Oceanfirst Financial,917
8297,,"Guangdong Guanhao High-tech Co., Ltd.",
8298,,Ltc Properties,22
8299,,Golden Entertainment,"6,300"
8300,,Leonteq Ag,
8301,,Lifeworks Inc.,
8302,,Bed Bath & Beyond,"32,000"
8303,,"Accolade, Inc.","2,350"
8304,,Shenzhen Wongtee International Enterprise,
8305,,Cspc Innovation Pharmaceutical,
8306,,Westshore Terminals Investment Corporation,
8307,,Connectone Bancorp,
8308,,Shanghai Moons' Electric,
8309,,Taiwan Surface Mounting Technology,
8310,,Sri Trang Agro-industry Public Company,
8311,,Hongkong And Shanghai Hotels,"7,451"
8312,,Jins Holdings,"4,958"
8313,,Jafco,159
8314,,Askul Corporation,"3,550"
8315,,Guangzhou Shangpin Home Collection,
8316,,Nichiigakkan,
8317,,Yaguang Technology Group Company,
8318,,Transcontinental,"6,500"
8319,,Yamama Saudi Cement Company,
8320,,Biosev,
8321,,Team17 Group,200
8322,,Eplus,"1,577"
8323,,Blackrock Smaller Co Trust,
8324,,Vaudoise Assurances Holding Sa,
8325,,Despegar.com,
8326,,Malibu Boats,"2,645"
8327,,Traqer,
8328,,Dic Asset Ag,
8329,,Aeon Thana Sinsap (thailand) Public Company,
8330,,Fuso Chemical,781
8331,,C.q. Pharmaceutical Holding,
8332,,"Hangzhou Haoyue Personal Care Co., Ltd",
8333,,"Zhejiang Lante Optics Co., Ltd.",
8334,,Elders,
8335,,Metlifecare,
8336,,Cheng Loong Corporation,
8337,,Holley Inc.,"1,721"
8338,,Huafon Microfibre (shanghai),
8339,,Caisse Regionale De Credit Agricole Mutuel Du Languedoc Societe Cooperative,
8340,,Vib Vermogen Ag,
8341,,Cowell E Holdings,
8342,,Via Technologies,
8343,,Veeco Instruments,"1,091"
8344,,Enanta Pharmaceuticals,155
8345,,Arch Coal,"3,300"
8346,,Beijing Sanyuan Foods,
8347,,Guangdong Advertising Group,
8348,,"Montauk Renewables, Inc.",115
8349,,Rizhao Port,
8350,,Olink Holding Ab (publ),
8351,,Aeon Delight,"22,062"
8352,,Maschinenfabrik Berthold Hermle Ag,
8353,,Skistar Ab (publ),
8354,,Munters Group Ab (publ),
8355,,Hyundai Elevator Co. Ltd,
8356,,"Cano Health, Inc.",
8357,,Sorrento Therapeutics,799
8358,,Doma Holdings Inc.,"2,049"
8359,,Hippo Holdings Inc.,621
8360,,New Work Se,
8361,,Sumec Corporation,
8362,,Far Eastern International Bank,
8363,,Aldrees Petroleum And Transport Services Company,
8364,,Abb Power Products And Systems India Limited,
8365,,Shochiku,"1,363"
8366,,Pharmacy Chain 36.6,
8367,,Netcare,
8368,,Morgan Advanced Materials,
8369,,Euromoney Institutional Investor,
8370,,Marten Transport,"4,007"
8371,,Chenguang Biotech Group,
8372,,"Cwb Automotive Electronics Co., Ltd.",
8373,,Celestica,"24,600"
8374,,Zanyu Technology Group,
8375,,Truly International Holdings,
8376,,Columbus Mckinnon Corporation,"2,651"
8377,,Shanxi Blue Flame Holding Company,
8378,,Gungho Online Entertainment,"1,252"
8379,,Ningbo Solartron Technology,
8380,,Zhejiang Wanma,
8381,,Cj Corporation,
8382,,Golden Biotechnology Corporation,
8383,,Bewi Asa,
8384,,Zhejiang Shouxiangu Pharmaceutical,
8385,,Elgi Equipments,
8386,,Beijing Urban-rural Commercial (group),
8387,,Innuovo Technology,
8388,,Badger Daylighting,
8389,,Sino Geophysical Co. Ltd,
8390,,"Intapp, Inc.",749
8391,,Csg Smart Science&technology,
8392,,Toread Holdings Group,
8393,,Hoshino Resorts Reit,
8394,,Fresh Del Monte Produce,"49,577"
8395,,Home Capital Group,
8396,,Adbri Limited,
8397,,City Union Bank,"5,478"
8398,,Clean Energy Fuels,482
8399,,Silk Road Medical,224
8400,,Fujian Nebula Electronics,
8401,,Universal Corporation,"20,000"
8402,,Greattown Holdings,
8403,,Guangdong Hybribio Biotech,
8404,,Guangdong Huatie Tongda High-speed Railway Equipment Corporation,
8405,,Adesso Ag,
8406,,Alexander's,
8407,,Gaslog,
8408,,Qinchuan Machine Tool & Tool Group Share,
8409,,China Bluechemical Ltd.,
8410,,Aevis Victoria Sa,
8411,,Koza Altin Isletmeleri,
8412,,"Vesync Co., Ltd",
8413,,"Prometheus Biosciences, Inc.",72
8414,,Top Resource Conservation & Environment,
8415,,Wuhan Easy Diagnosis Biomedicine,
8416,,Queclink Wireless Solutions,
8417,,Ut Group,
8418,,Huada Automotive Technologyltd,
8419,,Wedge Industrial,
8420,,Truworths International,
8421,,Avid Bioservices,257
8422,,Indiabulls Housing Finance,
8423,,Siam City Cement Public Company,
8424,,Leon's Furniture,
8425,,Siriuspoint Ltd.,
8426,,Fujikura,"57,228"
8427,,"Zhangjiagang Guangda Special Material Co., Ltd.",
8428,,Heiwa Real Estate Reit,
8429,,Hyundai Development Company,
8430,,Golden Eagle Retail Group,
8431,,China Tobacco International (hk) Company,
8432,,X-fab Silicon Foundries Se,
8433,,Telia Lietuva Ab,
8434,,Perseus Mining Limited,
8435,,Shenzhen Ysstech Info-tech,
8436,,Addus Homecare Corporation,"31,915"
8437,,Netlist,120
8438,,Ponsse Oyj,
8439,,"Pubmatic, Inc.",713
8440,,Proassurance Corporation,"1,021"
8441,,Shenzhen New Nanshan Holding (group),
8442,,Spire Healthcare Group,
8443,,New Hope Corporation,
8444,,"Indie Semiconductor, Inc.",215
8445,,Oaktree Specialty Lending Corporation,
8446,,Azz,"3,885"
8447,,Dongguan Yutong Optical Technology,
8448,,Primoris Services Corporation,"10,810"
8449,,Eris Lifesciences,"4,044"
8450,,Rianlon Corporation,
8451,,Banco Santander Rio,
8452,,Shanghai Feilo Acoustics Co. Ltd,
8453,,Car Inc,
8454,,Shenzhen Jufei Optoelectronics,
8455,,Tianjin Capital Environmental Protection Group Company,
8456,,Hektas Ticaret T.a.s,
8457,,Harbin Pharmaceutical Group,
8458,,Greencoat Renewables,
8459,,Triumph Science & Technology,
8460,,Jsti Group,
8461,,"Sumo Logic, Inc.",759
8462,,Simpar S.a.,
8463,,Colbun,
8464,,Standard Lithium Ltd.,
8465,,Anhui Sun Create Electronics,
8466,,"Zhejiang Entive Smart Kitchen Appliance Co., Ltd.",
8467,,Reit 1 Ltd,
8468,,Graincorp,
8469,,Anupam Rasayan India Limited,
8470,,Longhua Technology Group,
8471,,Guangzhou Zhiguang Electric,
8472,,Nsd,
8473,,Lenta,
8474,,Xintec,
8475,,Paul Hartmann Ag,
8476,,Picanol Nv,
8477,,Pt Digital Mediatama Maxima Tbk,
8478,,Deluxe Corporation,"6,313"
8479,,Kaken Pharmaceutical,"1,268"
8480,,Pilot Corporation,"26,696"
8481,,Schnitzer Steel Industries,"3,167"
8482,,Cohen & Steers Reit And Preferred Income Fund,
8483,,Shanghai Shibei Hi-tech,
8484,,Hilton Food Group,
8485,,Anhui Great Wall Military Industry,
8486,,Law Debenture Corporation,
8487,,New York Mortgage Trust,65
8488,,Vinythai Public Company,
8489,,Lxi Reit,
8490,,Jilin Sino-microelectronics,
8491,,Birchcliff Energy,
8492,,Shanghai Kelai Mechatronics Engineering,
8493,,Brookline Bancorp,826
8494,,"Grupo Nacional Provincial, S.a.b.",
8495,,Lakshmi Machine Works,
8496,,Mpc Container Ships Asa,
8497,,Jointo Energy Investment Hebei,
8498,,R&b Food Supply Public Company,
8499,,Alm Equity Ab (publ),
8500,,Gansu Jingyuan Coal Industry & Electricity Power Co. Ltd,
8501,,"Eit Environmental Development Group Co.,ltd",
8502,,Pt Surya Citra Media Tbk,"3,529"
8503,,Beijing Hezong Science&technology,
8504,,Bsp Financial Group Limited,
8505,,Mani Inc,320
8506,,Systena Corporation,"3,915"
8507,,Beijing Jingcheng Machinery Electric Company,
8508,,Inner Mongolia M-grass Ecology And Environment (group),
8509,,Shanxi Zhendong Pharmaceutical,
8510,,Citycon Oyj,
8511,,Hazama Ando Corporation,
8512,,Jb Financial Group,
8513,,Applus Services,
8514,,K12,
8515,,Taiba Investments,
8516,,Intrexon Corporation,191
8517,,Ttw Public Company,
8518,,Kepco Plant Service & Engineering,
8519,,Hyundai Department Store,
8520,,Berliner Effektengesellschaft Ag,
8521,,Cibus Nordic Real Estate Ab (publ),
8522,,Steinhoff International Holdings,
8523,,Ramkhamhaeng Hospital Public Company,
8524,,One Software Technologies Ltd,
8525,,"Hunan Sokan New Materials Co., Ltd.",
8526,,Standex International Corporation,"3,900"
8527,,"Guizhou Aviation Technical Development Co., Ltd",
8528,,Sumitomo Warehouse,
8529,,"Zhuhai Bojay Electronics Co.,ltd.",
8530,,"Ningxia Xinri Hengli Steel Wire Rope Co.,ltd",
8531,,Lsis,
8532,,Secureworks,"2,696"
8533,,Aihuishou International Co. Ltd.,
8534,,"Sharecare, Inc.",
8535,,Qiming Information Technology,
8536,,Sichuan Zhenjing Corporation,
8537,,"Shenzhen Honor Electronic Co., Ltd.",
8538,,Zhejiang Jingu Company,
8539,,Beijing Egova Co. Ltd,
8540,,Fukuyama Transporting,"21,121"
8541,,Bestway Marine & Energy Technology,
8542,,Uk Commercial Property Reit Limited,
8543,,Blackrock Credit Allocation Income Trust,
8544,,Burelle Sa,
8545,,Hainan Meilan International Airport Company,
8546,,Green Energy Solution Industries,
8547,,Steelcase,"11,100"
8548,,Western Metal Materials,
8549,,Godrej Agrovet,
8550,,Shanghai Zhezhong Group,
8551,,Svg Group,
8552,,Dohia Group,
8553,,Chongqing Chuanyi Automation,
8554,,Princess Private Equity Holding Limited,
8555,,Yapp Automotive Systems,
8556,,Intl Fcstone,"3,242"
8557,,Dgb Financial Group,
8558,,Chongqing Zaisheng Technology,
8559,,Ogawa Smart Healthcare Technology Group,
8560,,El.en,
8561,,Iamgold Corporation,
8562,,Capital Gearing Trust,
8563,,Cartrack Holdings,
8564,,Pt Astra Agro Lestari Tbk,"38,625"
8565,,Trico Bancshares,"1,094"
8566,,Monarch Casino & Resort,"2,200"
8567,,Sinovel Wind Group,
8568,,Star Petroleum Refining Public Company,
8569,,Triumph Group,"6,041"
8570,,Shenzhen Seg,
8571,,Haitong International Securities Group,369
8572,,Theme International Holdings Limited,
8573,,"Vroom, Inc.","1,807"
8574,,Trust Tech,
8575,,Ses-imagotag Societe Anonyme,
8576,,Kei Industries,
8577,,Zhejiang Jingxin Pharmaceutical,
8578,,Hyunion Holding,
8579,,Shenzhen Laibao Hi-tech,
8580,,Graphite India,
8581,,Genertec Universal Medical Group Company,
8582,,Mizuho Leasing Company,"1,745"
8583,,"Iat Automobile Technology Co., Ltd.",
8584,,"Selectquote, Inc.","1,356"
8585,,Omega Flex,164
8586,,"Xinxiang Chemical Fiber Co., Ltd.",
8587,,Unisys Corporation,"16,300"
8588,,Finvolution Group,
8589,,Guotai Junan International Holdings,
8590,,G-iii Apparel Group,"3,300"
8591,,Yantai China Pet Foods,
8592,,Fidelity Special Values,
8593,,Guocoland,
8594,,Inaba Denki Sangyo,"2,172"
8595,,"Baotailong New Materials Co., Ltd.",
8596,,Citizen Watch,
8597,,Orange Belgium,
8598,,Cohen & Steers Tax-advantaged Preferred Securities And Income Fund,
8599,,Jpmorgan Japanese Investment Trust,
8600,,Gansu Qilianshan Cement Group,
8601,,Motus Holdings,
8602,,Wuxi Huaguang Boiler,
8603,,Xperi Corporation,"1,900"
8604,,Neway Valve (suzhou),
8605,,Pt. Garuda Indonesia (persero) Tbk,
8606,,Jiangsu Jiangyin Rural Commercial Bank,
8607,,Nufarm,
8608,,Office Properties Income Trust,
8609,,Al Hammadi Company For Development And Investment,
8610,,S&t Bancorp,"1,160"
8611,,Jiangsu Gian Technology,
8612,,Nextier Oilfield Solutions,"3,340"
8613,,"Aurisco Pharmaceutical Co.,ltd.",
8614,,East China Engineering Science And Technology,
8615,,Banc Of California,
8616,,Gepic Energy Development,
8617,,Ferrotec Holdings Corporation,
8618,,Maxvision Technology Corp.,
8619,,Warrior Met Coal,
8620,,Shenzhen Zqgame Co. Ltd,
8621,,M&a Capital Partners,180
8622,,Daewoong Pharmaceutical,
8623,,Ngm Biopharmaceuticals,225
8624,,Indigo Paints Limited,
8625,,"C4 Therapeutics, Inc.",121
8626,,Healthcare Services Group,"40,000"
8627,,S-enjoy Service Group,
8628,,Kotobuki Spirits,"1,520"
8629,,Rocket Pharmaceuticals,151
8630,,Xp Power,
8631,,Madrigal Pharmaceuticals,71
8632,,Altri S.g.p.s,
8633,,Manitou Bf Sa,
8634,,Nisshinbo Holdings,"21,725"
8635,,Dine Brands Global,"3,008"
8636,,China Modern Dairy Holdings,
8637,,Magyar Telekom Tavkozlesi,
8638,,Iph,
8639,,Viohalco S.a.,
8640,,North West Company,"2,084"
8641,,New Mountain Finance Corporation,
8642,,Materialise Nv,"2,000"
8643,,Kahoot! As,
8644,,Cairn Energy,252
8645,,Huijing Holdings Company Limited,
8646,,Shenzhen Yitoa Intelligent Control,
8647,,Foshan Electrical And Lighting,
8648,,Vstecs Holdings,
8649,,Gunma Bank,"3,159"
8650,,Discoverie Group,
8651,,Raydium Semiconductor Corporation,
8652,,"Northking Information Technology Co., Ltd.",
8653,,Tomtom,"4,477"
8654,,Andersons,
8655,,Federal Agricultural Mortgage Corporation,
8656,,Tadiran Holdings Ltd,
8657,,Wangneng Environment,
8658,,Kkr Real Estate Finance Trust,
8659,,Capital Securities Corporation,
8660,,Peyto Exploration & Development,
8661,,"Brightspire Capital, Inc.",55
8662,,Gcp Infrastructure Investments Limited,
8663,,"Anhui Sierte Fertilizer Industry Ltd. ,company",
8664,,Schroder Asiapacific Fund,
8665,,Blackrock Throgmorton Trust,
8666,,Premier Foods,
8667,,Snap One Holdings Corp.,"1,302"
8668,,Banco Bbva Argentina,
8669,,Saudi Real Estate Company,
8670,,"Xinyaqiang Silicon Chemistry Co.,ltd",
8671,,Donnelley Financial Solutions,"2,185"
8672,,Sano Bruno's Enterprises Ltd,
8673,,Beijing Tong Ren Tang Chinese Medicine Company,
8674,,Avid Technology,"1,405"
8675,,Gl Tech,
8676,,"Shengyuan Environmental Protection Co.,ltd.",
8677,,Green Brick Partners,460
8678,,Chongqing Zongshen Power Machinery,
8679,,Grupa Zywiec S.a.,
8680,,Joy Kie Corporation Limited.,
8681,,Bml,
8682,,Shenzhen Worldunion Group,
8683,,Energy Fuels,482
8684,,Hailir Pesticides And Chemicals Group,
8685,,Dream Unlimited,
8686,,Kpc Pharmaceuticals,
8687,,Jin Tong Ling Technology Group,
8688,,Guangdong Aofei Data Technology,
8689,,Jiangsu Hongdou Industrial Co. Ltd,
8690,,Kura Sushi,"1,203"
8691,,"Shanghai Sk Automation Technology Co., Ltd.",
8692,,Italtile,
8693,,Ckd Corporation,"4,470"
8694,,Similarweb Ltd.,
8695,,Shengda Miningltd,
8696,,Harsco Corporation,"10,500"
8697,,Regional Container Lines Public Company,
8698,,Shenandoah Telecommunications Company,"1,029"
8699,,Flexium Interconnect,
8700,,Colony Credit Real Estate,
8701,,Hengdian Entertainment,
8702,,Pgt Innovations,
8703,,Sitronix Technology Corporation,
8704,,Exchange Income Corporation,
8705,,Vnv Global Ab (publ),
8706,,Bmo Global Smaller Companies,
8707,,Shenyang Machine Tool,
8708,,Lonking Holdings,
8709,,Broadmark Realty Capital,41
8710,,Shenzhen Techand Ecology & Environment,
8711,,"Guangzhou Metro Design & Research Institute Co., Ltd.",
8712,,Wuling Motor Holdings,
8713,,Dustin Group Ab (publ),
8714,,City Holding Company,918
8715,,Playa Hotels & Resorts,
8716,,Nts Asa,
8717,,Rongan Property,
8718,,Safety Insurance Group,552
8719,,Wuhan Department Store Group,
8720,,1st Source Corporation,"1,130"
8721,,Amarin Corporation,965
8722,,Myovant Sciences,
8723,,P.t. Fajar Surya Wisesa Tbk,
8724,,Miracle Automation Engineering,
8725,,Sildarvinnslan Hf.,
8726,,Secure Energy Services,
8727,,Dook Media Group Limited,
8728,,Hanwei Electronics Group Corporation,
8729,,Shenzhen Center Power Tech. Co. Ltd,
8730,,Kangji Medical Holdings Limited,
8731,,Glenveagh Properties Plc,
8732,,Kyoritsu Maintenance,"5,408"
8733,,Black Peony (group),
8734,,Heartland Express,"4,050"
8735,,Nanosonics,
8736,,"Aoyuan Beauty Valley Technology Co.,ltd.",
8737,,Maoyan Entertainment,
8738,,Ero Copper,
8739,,Tokmanni Group Oyj,
8740,,Felda Global Ventures Holdings Berhad,
8741,,Suzhou Sushi Testing Group,
8742,,Sparebank 1 Nord-norge,
8743,,Shanghai Hugong Electric Group,
8744,,Blue Star,
8745,,"Inhibrx, Inc.",
8746,,Medicalsystem Biotechnology,
8747,,Yakutsk Fuel And Energy Company,
8748,,Asia Pacific Telecom,
8749,,Luoniushan,
8750,,Japan Petroleum Exploration,
8751,,Biolife Solutions,437
8752,,Shin Poong Pharm.co,
8753,,Zhejiang Huatong Meat Products,
8754,,Newcapec Electronics,
8755,,Great Bear Resources,
8756,,Yantai Zhenghai Biotechnology,
8757,,Norwegian Air Shuttle Asa,
8758,,Amerant Bancorp,763
8759,,Pt Garudafood Putra Putri Jaya Tbk,
8760,,"Porch Group, Inc.",
8761,,Toagosei,
8762,,"Pi Advanced Materials Co., Ltd.",
8763,,Norma Group Se,
8764,,Front Yard Residential Corporation,140
8765,,Oxford Biomedica,
8766,,Associated International Hotels,
8767,,Nishimatsu Construction,"2,684"
8768,,Hanssem,
8769,,Mixi,"1,106"
8770,,Big Technologies Plc,
8771,,Citic Telecom International Holdings,
8772,,Beijing Orient Landscape & Environment,
8773,,Kiwi Property Group,
8774,,Shaanxi Provincial Natural Gas Co.ltd,
8775,,Nanhua Futures,
8776,,Umw Holdings,
8777,,Pilkington Deutschland Ag,
8778,,United Integrated Services,
8779,,China Motor Corporation,
8780,,Hotel Properties,
8781,,Pt Bank Bukopin Tbk,
8782,,Electra Consumer Products (1970) Ltd,
8783,,Jiangxi Hongcheng Waterworks,
8784,,Huafu Fashion,
8785,,Shanghai Datun Energy Resources,
8786,,Xinjiang Communications Construction Group,
8787,,Dalian Huarui Heavy Industry Group,
8788,,Oceaneering International,"8,500"
8789,,Supalai Public Company,
8790,,Danel (adir Yeoshua) Ltd,
8791,,Jiangyin Haida Rubber And Plastic,
8792,,Episil-precision,
8793,,Tong Ren Tang Technologies,
8794,,Jindal Stainless,
8795,,Advansix,"1,375"
8796,,Alpha Fx Group,
8797,,Pt Bank Tabungan Negara (persero) Tbk,"11,647"
8798,,Bomin Electronics,
8799,,Jiangxi Huangshanghuang Group Food,
8800,,Aker Solutions Asa,
8801,,Ottogi Corporation,
8802,,Saudi Pharmaceutical Industries & Medical Appliances Corporation,
8803,,Par Technology Corporation,"1,477"
8804,,21vianet Group,"3,162"
8805,,China East Education Holdings,
8806,,Yunnan Wenshan Electric Power,
8807,,"Traeger, Inc.",700
8808,,Qu Mei Home Furnishings Group,
8809,,Advanced Fiber Resources (zhuhai),
8810,,Noble Midstream Partners Lp,97
8811,,P.t. Bank Pan Indonesia Tbk,"8,191"
8812,,Vetropack Holding Ag,
8813,,Atom Corporation,"1,014"
8814,,Neoglory Prosperity,
8815,,Continental Gold,
8816,,Ichibanya,"3,600"
8817,,Gdi Property Group,
8818,,Sakata Seed Corporation,"2,477"
8819,,Hub24,
8820,,Tokai Rika,"6,259"
8821,,Aecc Aero Science And Technology,
8822,,Zhejiang Communications Technology,
8823,,Tompkins Financial Corporation,"1,074"
8824,,Jiangxi Ganyue Expressway,
8825,,Shenzhen Properties & Resources Development (group),
8826,,Corporacion Inmobiliaria Vesta B. De C.v,
8827,,Hangzhou Zhongtai Cryogenic Technology Corporation,
8828,,Scottish American Investment Co.,
8829,,Dada S.p.a.,
8830,,"Thryv Holdings, Inc.","2,630"
8831,,American Well Corp,527
8832,,Nuvista Energy,
8833,,Hangzhou Anysoft Information Technology,
8834,,New East New Materials Co. Ltd,
8835,,Sociedad De Inversiones Pampa Calichera S.a.,
8836,,Pulike Biological Engineering,
8837,,Jiangsu Shemar Electric,
8838,,Wanbangde New Building Materials,
8839,,"Bgt Group Co., Ltd.",
8840,,Afya,
8841,,"Jiangsu Chuanzhi Podcast Education Technology Co., Ltd.",
8842,,V-guard Industries,"2,217"
8843,,Immunocore Holdings Plc,
8844,,Conduent,"60,000"
8845,,Aster Dm Healthcare,
8846,,Tv Asahi Holdings Corporation,"5,229"
8847,,Ls Corp,
8848,,Grendene,
8849,,Chemplast Sanmar Limited,
8850,,"Lingyuan Iron & Steel Co., Ltd.",
8851,,Nuveen Nasdaq 100 Dynamic Overwrite Fund,
8852,,Banque Cantonale De Geneve Sa,
8853,,Z Energy,"2,451"
8854,,Metrovacesa,
8855,,General Interface Solution (gis) Holding,
8856,,"Vaxcyte, Inc.",89
8857,,Boozt Ab (publ),
8858,,Altareit Sca,
8859,,Yindu Kitchen Equipment Co. Ltd,
8860,,Delek Us Holdings,"3,312"
8861,,Europris Asa,
8862,,"Tansun Technology Co., Ltd.",
8863,,Myoung Shin Industrial,
8864,,Zhejiang Rifa Precision Machinery,
8865,,Archrock,"1,100"
8866,,Intellect Design Arena,
8867,,Yoshinoya Holdings,"4,581"
8868,,Graubundner Kantonalbank,
8869,,Jaws Mustang Acquisition Corporation,
8870,,Dare Power Dekor Home,
8871,,Hamborner Reit Ag,
8872,,Southern Publishing And Media,
8873,,Solaris Resources Inc.,
8874,,Shaanxi Aerospace Power Hi-tech,
8875,,Wacom,
8876,,Northeast Pharmaceutical Group,
8877,,Cropenergies Ag,
8878,,Zhejiang Sunoren Solar Technology,
8879,,Twin River Worldwide Holdings,"9,460"
8880,,Greentown Management Holdings Company Limited,
8881,,Coeur Mining,"2,105"
8882,,Quanterix Corporation,460
8883,,"Zhejiang Yonghe Refrigerant Co., Ltd.",
8884,,Bygghemma Group First Ab (publ),
8885,,Singer Thailand Public Company,
8886,,Network18 Media & Investments,
8887,,Beijing Wanji Technology,
8888,,Brack Capital Properties Nv,
8889,,Dno Asa,
8890,,Beken Corporation,
8891,,Guangdong Guanghua Sci-tech,
8892,,Tadano,
8893,,Heiwa Real Estate,106
8894,,Lux Industries,
8895,,Crest Nicholson Holdings,
8896,,Dole Plc,
8897,,Focaltech Systems,
8898,,Fagron Nv,
8899,,Anadolu Efes Biracilik Ve Malt Sanayii Anonim Sirketi,
8900,,Regenxbio,372
8901,,Veridis Environment Ltd,
8902,,Intershop Holding Ag,
8903,,Diversified Energy Company Plc,
8904,,Hengdian Group Tospo Lighting,
8905,,Netdragon Websoft Holdings,
8906,,Cartrade Tech Limited,
8907,,Tcl Electronics Holdings,
8908,,Mega Lifesciences Public Company,
