,company_ceo,company_name,company_employees
294,Robert M. Blue,Dominion Energy,"17,100"
295,Yang Jiping,China Shenhua Energy Company,"76,182"
296,,Whatsapp,55
297,Piyush Gupta,Dbs Group Holdings,"29,000"
298,Jack Dorsey,Block Inc,"8,521"
299,Masanori Togawa,Daikin Industries,"80,369"
300,Gregory C. Case,Aon,"50,000"
301,Sashidhar Jagdishan,Hdfc,"3,226"
302,Joseph D. Russell Jr,Public Storage,"5,800"
303,,Shenzhen Mindray Bio-medical Electronics,"9,819"
304,Chano Fernandez,Workday,"12,500"
305,Guilherme Loureiro,Wal-mart De Mexico,"239,000"
306,BENEDETTO VIGNA,Ferrari,"4,556"
307,Kathy Warden,Northrop Grumman Corporation,"88,000"
308,Richard P. Wallace,Kla Corporation,"11,550"
309,Rick Tsai,Mediatek,"17,377"
310,Olayan M. Alwetaid,Saudi Telecom Company (stc),"17,000"
311,Michael F. Mahoney,Boston Scientific Corporation,"41,000"
312,Alexandre Ricard,Pernod Ricard,"18,500"
313,Xavier Huillard,Vinci,"217,731"
314,Martin Lundstedt,Ab Volvo,"95,850"
315,Brian Armstrong,"Coinbase Global, Inc","3,730"
316,Jose Antonio Alvarez,Banco Santander,"191,189"
317,Richard Adkerson,Freeport-mcmoran,"24,700"
318,Sanjiv Bajaj,Bajaj Finance,"26,969"
319,Laxman Narasimhan,Reckitt Benckiser Group,"43,000"
320,DUNCAN WANBLAD,Anglo American,"90,000"
321,Lei Jun,Xiaomi Corporation,"33,427"
322,Erik Engstrom,Relx,"33,500"
323,Vinay M Tonse,State Bank Of India,"245,642"
324,"['Kurt Sievers', 'Richard L. Clemmer']",Nxp Semiconductors,"31,000"
325,Peter Kenneth Allen,Scentre Group,"2,700"
326,Phebe Novakovic,General Dynamics Corporation,"103,100"
327,Masayoshi Son,Softbank Corp.,"47,313"
328,Vagit Alekperov,Pjsc Lukoil,"101,000"
329,Reinhard Ploss,Infineon Technologies Ag,"50,288"
330,Shemara Wikramanayake,Macquarie Group,"17,209"
331,Michel A. Khalaf,Metlife,"43,000"
332,Lal Karsanbhai,Emerson Electric Company,"86,700"
333,Peter King,Westpac Banking Corporation,"40,143"
334,Jie Yang,China Telecom Corporation,"281,192"
335,Ezra Yacob,Eog Resources,"2,800"
336,Shayne Elliott,Anz Banking Group,"37,506"
337,Pierre-Alain Ruffieux,Lonza Group,"16,218"
338,Andrew Anagnost,Autodesk,"11,500"
