,company_ceo,company_name
8484,,LAW DEBENTURE CORPORATION
8485,,ANHUI GREAT WALL MILITARY INDUSTRY
8486,,HILTON FOOD GROUP
8487,,SHANGHAI SHIBEI HI-TECH
8488,,COHEN & STEERS REIT AND PREFERRED INCOME FUND
8489,,SCHNITZER STEEL INDUSTRIES
8490,,JILIN SINO-MICROELECTRONICS
8491,,ALM EQUITY AB (PUBL)
8492,,R&B FOOD SUPPLY PUBLIC COMPANY
8493,,JOINTO ENERGY INVESTMENT HEBEI
8494,,MPC CONTAINER SHIPS ASA
8495,,LAKSHMI MACHINE WORKS
8496,,"GRUPO NACIONAL PROVINCIAL, S.A.B."
8497,,BROOKLINE BANCORP
8498,,SHANGHAI KELAI MECHATRONICS ENGINEERING
8499,,BIRCHCLIFF ENERGY
8500,,GANSU JINGYUAN COAL INDUSTRY & ELECTRICITY POWER CO. LTD
8501,,SHANXI ZHENDONG PHARMACEUTICAL
8502,,INNER MONGOLIA M-GRASS ECOLOGY AND ENVIRONMENT (GROUP)
8503,,BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY
8504,,SYSTENA CORPORATION
8505,,MANI Inc
8506,,BSP FINANCIAL GROUP LIMITED
8507,,BEIJING HEZONG SCIENCE&TECHNOLOGY
8508,,PT SURYA CITRA MEDIA TBK
8509,,"EIT ENVIRONMENTAL DEVELOPMENT GROUP CO.,LTD"
8510,,CITYCON OYJ
8511,,HYUNDAI DEPARTMENT STORE
8512,,KEPCO PLANT SERVICE & ENGINEERING
8513,,TTW PUBLIC COMPANY
8514,,INTREXON CORPORATION
8515,,TAIBA INVESTMENTS
8516,,K12
8517,,APPLUS SERVICES
8518,,JB FINANCIAL GROUP
8519,,HAZAMA ANDO CORPORATION
8520,,BERLINER EFFEKTENGESELLSCHAFT AG
8521,,"ZHUHAI BOJAY ELECTRONICS CO.,LTD."
8522,,SUMITOMO WAREHOUSE
8523,,"GUIZHOU AVIATION TECHNICAL DEVELOPMENT CO., LTD"
8524,,STANDEX INTERNATIONAL CORPORATION
8525,,"HUNAN SOKAN NEW MATERIALS CO., LTD."
8526,,ONE SOFTWARE TECHNOLOGIES LTD
8527,,RAMKHAMHAENG HOSPITAL PUBLIC COMPANY
8528,,CIBUS NORDIC REAL ESTATE AB (PUBL)
8529,,STEINHOFF INTERNATIONAL HOLDINGS
8530,,"NINGXIA XINRI HENGLI STEEL WIRE ROPE CO.,LTD"
8531,,BEIJING EGOVA CO. LTD
8532,,ZHEJIANG JINGU COMPANY
8533,,"SHENZHEN HONOR ELECTRONIC CO., LTD."
8534,,SICHUAN ZHENJING CORPORATION
8535,,QIMING INFORMATION TECHNOLOGY
8536,,"SHARECARE, INC."
8537,,AIHUISHOU INTERNATIONAL CO. LTD.
8538,,SECUREWORKS
8539,,LSIS
8540,,FUKUYAMA TRANSPORTING
8541,,GODREJ AGROVET
8542,,WESTERN METAL MATERIALS
8543,,STEELCASE
8544,,GREEN ENERGY SOLUTION INDUSTRIES
8545,,HAINAN MEILAN INTERNATIONAL AIRPORT COMPANY
8546,,BURELLE SA
8547,,BLACKROCK CREDIT ALLOCATION INCOME TRUST
8548,,UK COMMERCIAL PROPERTY REIT LIMITED
8549,,BESTWAY MARINE & ENERGY TECHNOLOGY
8550,,SHANGHAI ZHEZHONG GROUP
8551,,OGAWA SMART HEALTHCARE TECHNOLOGY GROUP
8552,,CHONGQING ZAISHENG TECHNOLOGY
8553,,DGB FINANCIAL GROUP
8554,,INTL FCSTONE
8555,,YAPP AUTOMOTIVE SYSTEMS
8556,,PRINCESS PRIVATE EQUITY HOLDING LIMITED
8557,,CHONGQING CHUANYI AUTOMATION
8558,,DOHIA GROUP
8559,,SVG GROUP
8560,,EL.EN
8561,,TRIUMPH GROUP
8562,,STAR PETROLEUM REFINING PUBLIC COMPANY
8563,,SINOVEL WIND GROUP
8564,,MONARCH CASINO & RESORT
8565,,TRICO BANCSHARES
8566,,PT ASTRA AGRO LESTARI TBK
8567,,CARTRACK HOLDINGS
8568,,CAPITAL GEARING TRUST
8569,,IAMGOLD CORPORATION
8570,,SHENZHEN SEG
8571,,SHENZHEN LAIBAO HI-TECH
8572,,HYUNION HOLDING
8573,,ZHEJIANG JINGXIN PHARMACEUTICAL
8574,,KEI INDUSTRIES
8575,,SES-IMAGOTAG SOCIETE ANONYME
8576,,TRUST TECH
8577,,"VROOM, INC."
8578,,THEME INTERNATIONAL HOLDINGS LIMITED
8579,,HAITONG INTERNATIONAL SECURITIES GROUP
8580,,GRAPHITE INDIA
8581,,GUOTAI JUNAN INTERNATIONAL HOLDINGS
8582,,FINVOLUTION GROUP
8583,,UNISYS CORPORATION
8584,,"XINXIANG CHEMICAL FIBER CO., LTD."
8585,,OMEGA FLEX
8586,,"SELECTQUOTE, INC."
8587,,"IAT AUTOMOBILE TECHNOLOGY CO., LTD."
8588,,MIZUHO LEASING COMPANY
8589,,GENERTEC UNIVERSAL MEDICAL GROUP COMPANY
8590,,G-III APPAREL GROUP
8591,,JPMORGAN JAPANESE INVESTMENT TRUST
8592,,COHEN & STEERS TAX-ADVANTAGED PREFERRED SECURITIES AND INCOME FUND
8593,,ORANGE BELGIUM
8594,,CITIZEN WATCH
8595,,"BAOTAILONG NEW MATERIALS CO., LTD."
8596,,INABA DENKI SANGYO
8597,,GUOCOLAND
8598,,FIDELITY SPECIAL VALUES
8599,,YANTAI CHINA PET FOODS
8600,,GANSU QILIANSHAN CEMENT GROUP
8601,,AL HAMMADI COMPANY FOR DEVELOPMENT AND INVESTMENT
8602,,OFFICE PROPERTIES INCOME TRUST
8603,,NUFARM
8604,,JIANGSU JIANGYIN RURAL COMMERCIAL BANK
8605,,PT. GARUDA INDONESIA (PERSERO) TBK
8606,,NEWAY VALVE (SUZHOU)
8607,,XPERI CORPORATION
8608,,WUXI HUAGUANG BOILER
8609,,MOTUS HOLDINGS
8610,,S&T BANCORP
8611,,WARRIOR MET COAL
8612,,FERROTEC HOLDINGS CORPORATION
8613,,MAXVISION TECHNOLOGY CORP.
8614,,GEPIC ENERGY DEVELOPMENT
8615,,BANC OF CALIFORNIA
8616,,EAST CHINA ENGINEERING SCIENCE AND TECHNOLOGY
8617,,"AURISCO PHARMACEUTICAL CO.,LTD."
8618,,NEXTIER OILFIELD SOLUTIONS
8619,,JIANGSU GIAN TECHNOLOGY
8620,,SHENZHEN ZQGAME CO. LTD
8621,,ROCKET PHARMACEUTICALS
8622,,KOTOBUKI SPIRITS
8623,,S-ENJOY SERVICE GROUP
8624,,HEALTHCARE SERVICES GROUP
8625,,"C4 THERAPEUTICS, INC."
8626,,INDIGO PAINTS LIMITED
8627,,NGM BIOPHARMACEUTICALS
8628,,DAEWOONG PHARMACEUTICAL
8629,,M&A CAPITAL PARTNERS
8630,,XP POWER
8631,,VIOHALCO S.A.
8632,,IPH
8633,,MAGYAR TELEKOM TAVKOZLESI
8634,,CHINA MODERN DAIRY HOLDINGS
8635,,DINE BRANDS GLOBAL
8636,,NISSHINBO HOLDINGS
8637,,MANITOU BF SA
8638,,ALTRI S.G.P.S
8639,,MADRIGAL PHARMACEUTICALS
8640,,NORTH WEST COMPANY
8641,,GUNMA BANK
8642,,VSTECS HOLDINGS
8643,,FOSHAN ELECTRICAL AND LIGHTING
8644,,SHENZHEN YITOA INTELLIGENT CONTROL
8645,,HUIJING HOLDINGS COMPANY LIMITED
8646,,CAIRN ENERGY
8647,,KAHOOT! AS
8648,,MATERIALISE NV
8649,,NEW MOUNTAIN FINANCE CORPORATION
8650,,DISCOVERIE GROUP
8651,,CAPITAL SECURITIES CORPORATION
8652,,KKR REAL ESTATE FINANCE TRUST
8653,,WANGNENG ENVIRONMENT
8654,,TADIRAN HOLDINGS LTD
8655,,FEDERAL AGRICULTURAL MORTGAGE CORPORATION
8656,,ANDERSONS
8657,,TOMTOM
8658,,"NORTHKING INFORMATION TECHNOLOGY CO., LTD."
8659,,RAYDIUM SEMICONDUCTOR CORPORATION
8660,,PEYTO EXPLORATION & DEVELOPMENT
8661,,SAUDI REAL ESTATE COMPANY
8662,,BANCO BBVA ARGENTINA
8663,,SNAP ONE HOLDINGS CORP.
8664,,PREMIER FOODS
8665,,BLACKROCK THROGMORTON TRUST
8666,,SCHRODER ASIAPACIFIC FUND
8667,,"ANHUI SIERTE FERTILIZER INDUSTRY LTD. ,COMPANY"
8668,,GCP INFRASTRUCTURE INVESTMENTS LIMITED
8669,,"BRIGHTSPIRE CAPITAL, INC."
8670,,"XINYAQIANG SILICON CHEMISTRY CO.,LTD"
8671,,GRUPA ZYWIEC S.A.
8672,,CHONGQING ZONGSHEN POWER MACHINERY
8673,,GREEN BRICK PARTNERS
8674,,"SHENGYUAN ENVIRONMENTAL PROTECTION CO.,LTD."
8675,,GL TECH
8676,,AVID TECHNOLOGY
8677,,BEIJING TONG REN TANG CHINESE MEDICINE COMPANY
8678,,SANO BRUNO'S ENTERPRISES LTD
8679,,DONNELLEY FINANCIAL SOLUTIONS
8680,,JOY KIE CORPORATION LIMITED.
8681,,JIANGSU HONGDOU INDUSTRIAL CO. LTD
8682,,GUANGDONG AOFEI DATA TECHNOLOGY
8683,,JIN TONG LING TECHNOLOGY GROUP
8684,,KPC PHARMACEUTICALS
8685,,DREAM UNLIMITED
8686,,HAILIR PESTICIDES AND CHEMICALS GROUP
8687,,ENERGY FUELS
8688,,SHENZHEN WORLDUNION GROUP
8689,,BML
8690,,KURA SUSHI
8691,,FLEXIUM INTERCONNECT
8692,,SHENANDOAH TELECOMMUNICATIONS COMPANY
8693,,REGIONAL CONTAINER LINES PUBLIC COMPANY
8694,,HARSCO CORPORATION
8695,,SHENGDA MININGLTD
8696,,SIMILARWEB LTD.
8697,,CKD CORPORATION
8698,,ITALTILE
8699,,"SHANGHAI SK AUTOMATION TECHNOLOGY CO., LTD."
8700,,COLONY CREDIT REAL ESTATE
8701,,BROADMARK REALTY CAPITAL
8702,,LONKING HOLDINGS
8703,,SHENYANG MACHINE TOOL
8704,,BMO GLOBAL SMALLER COMPANIES
8705,,VNV GLOBAL AB (PUBL)
8706,,EXCHANGE INCOME CORPORATION
8707,,SITRONIX TECHNOLOGY CORPORATION
8708,,PGT INNOVATIONS
8709,,HENGDIAN ENTERTAINMENT
8710,,SHENZHEN TECHAND ECOLOGY & ENVIRONMENT
8711,,WUHAN DEPARTMENT STORE GROUP
8712,,SAFETY INSURANCE GROUP
8713,,RONGAN PROPERTY
8714,,NTS ASA
8715,,PLAYA HOTELS & RESORTS
8716,,CITY HOLDING COMPANY
8717,,DUSTIN GROUP AB (PUBL)
8718,,WULING MOTOR HOLDINGS
8719,,"GUANGZHOU METRO DESIGN & RESEARCH INSTITUTE CO., LTD."
8720,,1ST SOURCE CORPORATION
8721,,SHENZHEN CENTER POWER TECH. CO. LTD
8722,,HANWEI ELECTRONICS GROUP CORPORATION
8723,,DOOK MEDIA GROUP LIMITED
8724,,SECURE ENERGY SERVICES
8725,,SILDARVINNSLAN HF.
8726,,MIRACLE AUTOMATION ENGINEERING
8727,,P.T. FAJAR SURYA WISESA TBK
8728,,MYOVANT SCIENCES
8729,,AMARIN CORPORATION
8730,,KANGJI MEDICAL HOLDINGS LIMITED
8731,,TOKMANNI GROUP OYJ
8732,,ERO COPPER
8733,,MAOYAN ENTERTAINMENT
8734,,"AOYUAN BEAUTY VALLEY TECHNOLOGY CO.,LTD."
8735,,NANOSONICS
8736,,HEARTLAND EXPRESS
8737,,BLACK PEONY (GROUP)
8738,,KYORITSU MAINTENANCE
8739,,GLENVEAGH PROPERTIES PLC
8740,,FELDA GLOBAL VENTURES HOLDINGS BERHAD
8741,,LUONIUSHAN
8742,,ASIA PACIFIC TELECOM
8743,,YAKUTSK FUEL AND ENERGY COMPANY
8744,,MEDICALSYSTEM BIOTECHNOLOGY
8745,,"INHIBRX, INC."
8746,,BLUE STAR
8747,,SHANGHAI HUGONG ELECTRIC GROUP
8748,,SPAREBANK 1 NORD-NORGE
8749,,SUZHOU SUSHI TESTING GROUP
8750,,JAPAN PETROLEUM EXPLORATION
8751,,PT GARUDAFOOD PUTRA PUTRI JAYA TBK
8752,,AMERANT BANCORP
8753,,NORWEGIAN AIR SHUTTLE ASA
8754,,YANTAI ZHENGHAI BIOTECHNOLOGY
8755,,GREAT BEAR RESOURCES
8756,,NEWCAPEC ELECTRONICS
8757,,ZHEJIANG HUATONG MEAT PRODUCTS
8758,,SHIN POONG PHARM.CO
8759,,BIOLIFE SOLUTIONS
8760,,"PORCH GROUP, INC."
8761,,MIXI
8762,,HANSSEM
8763,,NISHIMATSU CONSTRUCTION
8764,,ASSOCIATED INTERNATIONAL HOTELS
8765,,OXFORD BIOMEDICA
8766,,FRONT YARD RESIDENTIAL CORPORATION
8767,,NORMA GROUP SE
8768,,"PI ADVANCED MATERIALS CO., LTD."
8769,,TOAGOSEI
8770,,BIG TECHNOLOGIES PLC
8771,,CHINA MOTOR CORPORATION
8772,,UNITED INTEGRATED SERVICES
8773,,PILKINGTON DEUTSCHLAND AG
8774,,UMW HOLDINGS
8775,,NANHUA FUTURES
8776,,SHAANXI PROVINCIAL NATURAL GAS CO.LTD
8777,,KIWI PROPERTY GROUP
8778,,BEIJING ORIENT LANDSCAPE & ENVIRONMENT
8779,,CITIC TELECOM INTERNATIONAL HOLDINGS
8780,,HOTEL PROPERTIES
8781,,SUPALAI PUBLIC COMPANY
8782,,OCEANEERING INTERNATIONAL
8783,,DALIAN HUARUI HEAVY INDUSTRY GROUP
8784,,XINJIANG COMMUNICATIONS CONSTRUCTION GROUP
8785,,SHANGHAI DATUN ENERGY RESOURCES
8786,,HUAFU FASHION
8787,,JIANGXI HONGCHENG WATERWORKS
8788,,ELECTRA CONSUMER PRODUCTS (1970) LTD
8789,,PT BANK BUKOPIN TBK
8790,,DANEL (ADIR YEOSHUA) LTD
8791,,JIANGXI HUANGSHANGHUANG GROUP FOOD
8792,,BOMIN ELECTRONICS
8793,,PT BANK TABUNGAN NEGARA (PERSERO) TBK
8794,,ALPHA FX GROUP
8795,,AdvanSix
8796,,JINDAL STAINLESS
8797,,TONG REN TANG TECHNOLOGIES
8798,,EPISIL-PRECISION
8799,,JIANGYIN HAIDA RUBBER AND PLASTIC
8800,,AKER SOLUTIONS ASA
8801,,ADVANCED FIBER RESOURCES (ZHUHAI)
8802,,QU MEI HOME FURNISHINGS GROUP
8803,,YUNNAN WENSHAN ELECTRIC POWER
8804,,"TRAEGER, INC."
8805,,21VIANET GROUP
8806,,CHINA EAST EDUCATION HOLDINGS
8807,,PAR TECHNOLOGY CORPORATION
8808,,SAUDI PHARMACEUTICAL INDUSTRIES & MEDICAL APPLIANCES CORPORATION
8809,,OTTOGI CORPORATION
8810,,NOBLE MIDSTREAM PARTNERS LP
8811,,HUB24
8812,,SAKATA SEED CORPORATION
8813,,GDI PROPERTY GROUP
8814,,ICHIBANYA
8815,,CONTINENTAL GOLD
8816,,NEOGLORY PROSPERITY
8817,,ATOM CORPORATION
8818,,VETROPACK HOLDING AG
8819,,P.T. BANK PAN INDONESIA TBK
8820,,TOKAI RIKA
8821,,DADA S.P.A.
8822,,SCOTTISH AMERICAN INVESTMENT CO.
8823,,HANGZHOU ZHONGTAI CRYOGENIC TECHNOLOGY CORPORATION
8824,,CORPORACION INMOBILIARIA VESTA B. DE C.V
8825,,SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP)
8826,,JIANGXI GANYUE EXPRESSWAY
8827,,TOMPKINS FINANCIAL CORPORATION
8828,,ZHEJIANG COMMUNICATIONS TECHNOLOGY
8829,,AECC AERO SCIENCE AND TECHNOLOGY
8830,,"THRYV HOLDINGS, INC."
8831,,"BGT GROUP CO., LTD."
8832,,WANBANGDE NEW BUILDING MATERIALS
8833,,JIANGSU SHEMAR ELECTRIC
8834,,PULIKE BIOLOGICAL ENGINEERING
8835,,SOCIEDAD DE INVERSIONES PAMPA CALICHERA S.A.
8836,,NEW EAST NEW MATERIALS CO. LTD
8837,,HANGZHOU ANYSOFT INFORMATION TECHNOLOGY
8838,,NUVISTA ENERGY
8839,,AMERICAN WELL CORP
8840,,AFYA
8841,,CHEMPLAST SANMAR LIMITED
8842,,GRENDENE
8843,,LS CORP
8844,,TV ASAHI HOLDINGS CORPORATION
8845,,ASTER DM HEALTHCARE
8846,,CONDUENT
8847,,IMMUNOCORE HOLDINGS PLC
8848,,V-GUARD INDUSTRIES
8849,,"JIANGSU CHUANZHI PODCAST EDUCATION TECHNOLOGY CO., LTD."
8850,,"LINGYUAN IRON & STEEL CO., LTD."
8851,,YINDU KITCHEN EQUIPMENT CO. LTD
8852,,ALTAREIT SCA
8853,,BOOZT AB (PUBL)
8854,,"VAXCYTE, INC."
8855,,GENERAL INTERFACE SOLUTION (GIS) HOLDING
8856,,METROVACESA
8857,,Z ENERGY
8858,,BANQUE CANTONALE DE GENEVE SA
8859,,NUVEEN NASDAQ 100 DYNAMIC OVERWRITE FUND
8860,,DELEK US HOLDINGS
8861,,JAWS MUSTANG ACQUISITION CORPORATION
8862,,GRAUBUNDNER KANTONALBANK
8863,,YOSHINOYA HOLDINGS
8864,,INTELLECT DESIGN ARENA
8865,,ARCHROCK
8866,,ZHEJIANG RIFA PRECISION MACHINERY
8867,,MYOUNG SHIN INDUSTRIAL
8868,,"TANSUN TECHNOLOGY CO., LTD."
8869,,EUROPRIS ASA
8870,,DARE POWER DEKOR HOME
8871,,TWIN RIVER WORLDWIDE HOLDINGS
8872,,ZHEJIANG SUNOREN SOLAR TECHNOLOGY
8873,,CROPENERGIES AG
8874,,NORTHEAST PHARMACEUTICAL GROUP
8875,,WACOM
8876,,SHAANXI AEROSPACE POWER HI-TECH
8877,,SOLARIS RESOURCES INC.
8878,,SOUTHERN PUBLISHING AND MEDIA
8879,,HAMBORNER REIT AG
8880,,GREENTOWN MANAGEMENT HOLDINGS COMPANY LIMITED
8881,,DNO ASA
8882,,BRACK CAPITAL PROPERTIES NV
8883,,BEIJING WANJI TECHNOLOGY
8884,,NETWORK18 MEDIA & INVESTMENTS
8885,,SINGER THAILAND PUBLIC COMPANY
8886,,BYGGHEMMA GROUP FIRST AB (PUBL)
8887,,"ZHEJIANG YONGHE REFRIGERANT CO., LTD."
8888,,QUANTERIX CORPORATION
8889,,COEUR MINING
8890,,BEKEN CORPORATION
8891,,ANADOLU EFES BIRACILIK VE MALT SANAYII ANONIM SIRKETI
8892,,FAGRON NV
8893,,FOCALTECH SYSTEMS
8894,,DOLE PLC
8895,,CREST NICHOLSON HOLDINGS
8896,,LUX INDUSTRIES
8897,,HEIWA REAL ESTATE
8898,,TADANO
8899,,GUANGDONG GUANGHUA SCI-TECH
8900,,REGENXBIO
8901,,AGRANA BETEILIGUNGS
8902,,MEGA LIFESCIENCES PUBLIC COMPANY
8903,,TCL ELECTRONICS HOLDINGS
8904,,CARTRADE TECH LIMITED
8905,,NETDRAGON WEBSOFT HOLDINGS
8906,,HENGDIAN GROUP TOSPO LIGHTING
8907,,DIVERSIFIED ENERGY COMPANY PLC
8908,,INTERSHOP HOLDING AG
8909,,VERIDIS ENVIRONMENT LTD
8910,,ICHOR HOLDINGS
8911,,GREE
8912,,"GUANGZHOU JET BIO-FILTRATION CO., LTD."
8913,,RVRC HOLDING AB (PUBL)
8914,,CORECIVIC
8915,,PT BFI FINANCE INDONESIA TBK
8916,,BEIJING SANLIAN HOPE SHIN-GOSEN TECHNICAL SERVICE
8917,,DIGITAL VALUE
8918,,JAMIESON WELLNESS
8919,,BEIJING NORTH STAR COMPANY
8920,,FUJIAN EXPRESSWAY DEVELOPMENT
8921,,PRESSANCE CORPORATION
8922,,FIBROGEN
8923,,SPAREBANKEN VEST
8924,,LIAONING FU-AN HEAVY INDUSTRY
8925,,CHINA HIGH-SPEED RAILWAY TECHNOLOGY
8926,,CHONGQING CONSTRUCTION ENGINEERING GROUP CORPORATION
8927,,ZHEJIANG ASIA-PACIFIC MECHANICAL & ELECTRONIC
8928,,LONGYAN ZHUOYUE NEW ENERGY
8929,,AQUAVENTURE HOLDINGS
8930,,CENTRAL HOLDING GROUP
8931,,AZORIM-INVESTMENT DEVELOPMENT & CONSTRUCTION CO. LTD
8932,,NICOLET BANKSHARES
8933,,RENOVA
8934,,CE INFO SYSTEMS
8935,,NIU TECHNOLOGIES
8936,,TAIHAN ELECTRIC WIRE
8937,,ROSGOSSTRAKH INSURANCE COMPANY (PUBLIC JOINT STOCK COMPANY)
8938,,LIBERBANK
8939,,SUNDIAL GROWERS
8940,,LES NOUVEAUX CONSTRUCTEURS SA
8941,,CHIPMOS TECHNOLOGIES
8942,,SAUDI CERAMIC COMPANY
8943,,DAH SING BANKING GROUP
8944,,GRANGES AB (PUBL)
8945,,TOWA PHARMACEUTICAL
8946,,HNA TECHNOLOGY
8947,,QINGDAO EASTSOFT COMMUNICATION TECHNOLOGY
8948,,ANHUI HENGYUAN COAL-ELECTRICITY GROUP
8949,,PROVIDENT FINANCIAL
8950,,XIAMEN SOLEX HIGH-TECH INDUSTRIES
8951,,REDCO PROPERTIES GROUP
8952,,PSG GROUP
8953,,KAMAN CORPORATION
8954,,MARINEMAX
8955,,ECLERX SERVICES
8956,,BEIJING BOHUI INNOVATION BIOTECHNOLOGY
8957,,ZHEJIANG TONY ELECTRONIC CO. LTD
8958,,NEXTGEN HEALTHCARE
8959,,AXSOME THERAPEUTICS
8960,,YONGGAO
8961,,JIANGSU KANION PHARMACEUTICAL
8962,,NANJING PANDA ELECTRONICS COMPANY
8963,,CONCENTRIC AB (PUBL)
8964,,SHENZHEN CLICK TECHNOLOGY
8965,,JIANGSU RAINBOW HEAVY INDUSTRIES
8966,,"KEROS THERAPEUTICS, INC."
8967,,BANBAO
8968,,PT SOLUSI TUNAS PRATAMA TBK
8969,,LIFE CORPORATION
8970,,ENERJISA ENERJI
8971,,MITIE GROUP
8972,,ACTUANT CORPORATION
8973,,CHANG WAH TECHNOLOGY
8974,,"NURIX THERAPEUTICS, INC."
8975,,HENDERSON SMALLER COMPANIES INVESTMENT TRUST
8976,,"CHINA LEADSHINE TECHNOLOGY CO., LTD."
8977,,NIKKON HOLDINGS
8978,,ALLIED GROUP
8979,,ASTRO MALAYSIA HOLDINGS BERHAD
8980,,"HENAN JINDAN LACTIC ACID TECHNOLOGY CO., LTD"
8981,,C&C GROUP
8982,,SIRIO PHARMA
8983,,JANGHO GROUP
8984,,PRESIDENT SECURITIES CORPORATION
8985,,INVESTORS REAL ESTATE TRUST
8986,,GLOBAL BLUE GROUP HOLDING AG
8987,,ELIOR GROUP
8988,,CORONATION FUND MANAGERS
8989,,SANKEN ELECTRIC
8990,,YOTRIO GROUP
8991,,UNITED RENEWABLE ENERGY
8992,,TIVITY HEALTH
8993,,BIZLINK HOLDING
8994,,WESTERN REGION GOLD
8995,,UMH PROPERTIES
8996,,AEROSPACE HI-TECH HOLDING GROUP
8997,,MECHEL PAO
8998,,SHANDONG SHANDA WIT SCIENCE AND TECHNOLOGY
8999,,BONDUELLE SCA
9000,,SHANGHAI KEHUA BIO-ENGINEERING
9001,,EDAN INSTRUMENTS
9002,,MERUS
9003,,RECTICEL SA/NV
9004,,CHANGCHUN FAWAY AUTOMOBILE COMPONENTS
9005,,GUANGDONG HOSHION ALUMINIUM
9006,,LUOYANG BEARING SCIENCE & TECHNOLOGY
9007,,SHANGHAI RUNDA MEDICAL TECHNOLOGY
9008,,SHANDONG XIANTAN
9009,,RPC
9010,,"KUNSHAN HUGUANG AUTO HARNESS CO.,LTD."
9011,,ALLCARGO LOGISTICS
9012,,CHENGDU B-RAY MEDIA
9013,,CASIN REAL ESTATE DEVELOPMENT GROUP
9014,,"ENFUSION, INC."
9015,,"POSHMARK, INC."
9016,,QINGDAO ZHONGZI ZHONGCHENG GROUP
9017,,DRAGERWERK AG & CO. KGAA
9018,,JUBILANT INGREVIA LIMITED
9019,,JIANGSU BAICHUAN HIGH-TECH NEW MATERIALS CO. LTD
9020,,J.S. CORRUGATING MACHINERY CO. LTD
9021,,REPLIMUNE GROUP
9022,,"CHONGQING BAIYA SANITARY PRODUCTS CO., LTD."
9023,,AKZO NOBEL INDIA
9024,,INTERTAPE POLYMER GROUP
9025,,DETSKY MIR
9026,,ALBIOMA
9027,,ASIA CUANON TECHNOLOGY (SHANGHAI)
9028,,CENTRAL PLAZA HOTEL PUBLIC COMPANY
9029,,KLOCKNER & CO SE
9030,,MOSENERGO
9031,,SOSEI GROUP CORPORATION
9032,,THIRD POINT REINSURANCE
9033,,HANIL CEMENT
9034,,TGS-NOPEC GEOPHYSICAL COMPANY ASA
9035,,HUBEI HUITIAN NEW MATERIALS
9036,,"SICHUAN INJET ELECTRIC STOCK CO.,LTD."
9037,,SONATA SOFTWARE
9038,,ARES ACQUISITION CORPORATION
9039,,ZHEJIANG GARDEN BIO-CHEMICAL HIGH-TECH
9040,,PT CIPUTRA DEVELOPMENT TBK
9041,,SL CORPORATION
9042,,"HUANLEJIA FOOD GROUP CO., LTD."
9043,,ICG ENTERPRISE TRUST
9044,,INNOVIVA
9045,,"JIANG XI CHENGUANG NEW MATERIALS CO.,LTD."
9046,,BRIGADE ENTERPRISES
9047,,WUHAN P&S INFORMATION TECHNOLOGY
9048,,GLOBAL NEW MATERIAL INTERNATIONAL HOLDINGS LIMITED
9049,,WILH. WILHELMSEN HOLDING ASA
9050,,CHENGDU HONGQI CHAIN
9051,,RUNJIAN
9052,,GFT TECHNOLOGIES SE
9053,,LAREDO PETROLEUM
9054,,ZHENJIANG DONGFANG ELECTRIC HEATING TECHNOLOGY
9055,,FUJIAN HAIYUAN COMPOSITES TECHNOLOGY
9056,,NANJING CHERVON AUTO PRECISION TECHNOLOGY CO. LTD
9057,,SHINRY TECHNOLOGIES
9058,,HUBEI RADIO & TELEVISION INFORMATION NETWORK
9059,,PENTA TEKNOLOJI URUNLERI DAGITIM TICARET A.S.
9060,,"TATTOOED CHEF, INC."
9061,,SHANGHAI GANGLIAN E-COMMERCE HOLDINGS
9062,,JUBILANT PHARMOVA LIMITED
9063,,TITAN CEMENT INTERNATIONAL
9064,,AEDAS HOMES
9065,,SBS HOLDINGS
9066,,HANKOOK TECHNOLOGY GROUP
9067,,K. WAH INTERNATIONAL HOLDINGS
9068,,CK POWER PUBLIC COMPANY
9069,,ARYZTA AG
9070,,SUZHOU TZTEK TECHNOLOGY
9071,,BAILLIE GIFFORD JAPAN TRUST
9072,,BLACKMORES
9073,,"PLANTRONICS, INC."
9074,,CAPRI GLOBAL CAPITAL
9075,,ATRION CORPORATION
9076,,CHULARAT HOSPITAL PUBLIC COMPANY
9077,,BIOGAIA AB (PUBL)
9078,,CHINA CYTS TOURS HOLDING
9079,,COLOWIDE
9080,,"DONGGUAN TARRY ELECTRONICS CO.,LTD"
9081,,HAINAN YEDAO (GROUP)
9082,,THANACHART CAPITAL PUBLIC COMPANY
9083,,HANGZHOU YOUNGSUN INTELLIGENT EQUIPMENT
9084,,NBCC (INDIA)
9085,,CHEFS' WAREHOUSE
9086,,NHN CORPORATION
9087,,ILLIMITY BANK
9088,,TBC BANK GROUP
9089,,GAZIT GLOBE LTD
9090,,SHANGHAI MALING AQUARIUS
9091,,OASIS MIDSTREAM PARTNERS LP
9092,,STANDARD LIFE PRIVATE EQUITY TRUST
9093,,HICONICS ECO-ENERGY TECHNOLOGY
9094,,ZHONGNAN RED CULTURE GROUP
9095,,MCCARTHY & STONE
9096,,YABAO PHARMACEUTICAL GROUP CO. LTD
9097,,SAREGAMA INDIA
9098,,METROPOLITAN BANK HOLDING
9099,,PORTILLO'S INC.
9100,,PRIMECITY INVESTMENT
9101,,YATSEN HOLDING LTD
9102,,"BUTTERFLY NETWORK, INC."
9103,,"JACOBIO PHARMACEUTICALS GROUP CO., LTD."
