,company_ceo,company_name
227,Mats Rahmstrom,ATLAS COPCO AB
228,,CHINA PETROLEUM & CHEMICAL CORPORATION (SINOPEC)
229,Johan Forssell,INVESTOR AB (PUBL)
230,David Cordani,CIGNA CORPORATION
231,Ernest Scott Santi,ILLINOIS TOOL WORKS
232,Mike Cannon-Brookes,ATLASSIAN CORPORATION
233,Michael A Mussallem,EDWARDS LIFESCIENCES CORPORATION
234,Sanjiv Mehta,HINDUSTAN UNILEVER
235,RJ Scaringe,RIVIAN AUTOMOTIVE INC
236,Bjorn Rosengren,ABB
237,Igor Sechin,ROSNEFT OIL COMPANY
238,Pieter van der,ADYEN
239,Jeffrey C. Sprecher,INTERCONTINENTAL EXCHANGE
240,Thomas Buberl,AXA
241,Darryl White,BANK OF MONTREAL
242,Sandeep Bakhshi,ICICI BANK
243,Nicolas Aguzin,HONG KONG EXCHANGES AND CLEARING (HKEX)
244,Hongjia Gong,HANGZHOU HIKVISION DIGITAL TECHNOLOGY
245,Lee Seok-Hee,SK HYNIX
246,Thomas A. Fanning,THE SOUTHERN COMPANY
247,Thomas Polen,BECTON DICKINSON AND COMPANY
248,James A. Squires,NORFOLK SOUTHERN CORPORATION
249,Pang Kang,FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY
250,Jose Ignacio Sanchez Galan,IBERDROLA
251,Frank Bisignano,FISERV
252,Eduardo Bartolomeo,VALE SA
253,Gary A. Norcross,FIDELITY NATIONAL INFORMATION SERVICES
254,Yasuhiko Saito,SHIN-ETSU CHEMICAL
255,Bernard Charles,DASSAULT SYSTEMES
256,Noel R. Wallace,COLGATE-PALMOLIVE COMPANY
257,Gary Nagle,GLENCORE
258,,BAYERISCHE MOTOREN WERKE (BMW)
259,Keith Creel,CANADIAN PACIFIC RAILWAY
260,,ERNST & YOUNG
261,Matthew Murphy,MARVELL TECHNOLOGY GROUP
262,Colin Huang Zheng,PINDUODUO
263,Raj Subramaniam,FEDEX CORPORATION
264,Charles J. Meyers,EQUINIX
265,Leonid Viktorovich Mikhelson,NOVATEK
266,Rob Fauber,MOODY'S CORPORATION
267,,"LUCID GROUP, INC."
