,company_location,company_industry,company_revenue,company_name,company_employees,company_website
3265,"C/O Ryanair Ltd Corporate Head Office, Dublin Airport, K67NY94",Transport and Logistics,$18.2B,Ryanair Holdings Plc,"19,116",www.ryanair.com
3266,"414 Ais Tower 1, Phaholyothin Road, Samsen Nai, Phayathai, Bangkok, 10400",Technology and Communications,$18.2B,Advanced Info Service Public Co Ltd,"12,909",www.ais.th
3267,"Po Box 6676, Asheville, North Carolina, 28816",Retailing,$1.8B,Ingles Markets Inc,"26,000",www.ingles-markets.com
3268,"One East Wacker Drive, One East Wacker Drive, Chicago, Illinois, 60601",Financial Services,$3.4B,Kemper Corp,"10,300",www.kemper.com
3269,"4 Landmark Sq, Stamford, Connecticut, 06901-2502",Paper and Packaging,$5.6B,Silgan Holdings Inc,"15,600",www.silganholdings.com
3270,"1200 W Century Ave, Bismarck, North Dakota, 58503",Construction,$6.1B,MDU Resources Group Inc,"12,826",www.mdu.com
3271,"4188, P.O.Box, Abu Dhabi",Energy and Utilities,$15.3B,ADNOC Distribution,,adnocdistribution.ae
3272,"22 Soi Somkid Ploenchit Road Lumpini, Pathumwan, Bangkok, 10330",Retailing,$8.0B,Central Retail Corp PCL,"53,585",www.centralretail.com
3273,"Via Nubi Di Magellano, 30, Reggio Nell'Emilia, 42123",Power,$2.4B,IREN SpA,"9,345",www.gruppoiren.it
3274,"Leninskiy Prospekt, D.55/1, Str.1, Moscow, 119333",Chemicals,$12.1B,Phosagro,"25,000",www.phosagro.ru
3275,"5 Dakota Drive, Lake Success, New York, 11042",Technology and Communications,$16.9B,Broadridge Financial Solutions Inc,"14,300",www.broadridge.com
3276,"4001 N Rodney Parham Rd, Little Rock, Arkansas, 72212-2459",Technology and Communications,,Windstream Holdings Inc,"11,945",www.windstream.com
3277,"1020 Kifer Road, Sunnyvale, California, 94086",Medical Equipment,$90.6B,Intuitive Surgical Inc,"9,793",www.intuitivesurgical.com
3278,"2-5, Marunouchi, Takamatsu-Shi, Kagawa, 760-8573",Power,$1.2B,Shikoku Electric Power Co Inc,"8,074",www.yonden.co.jp
3279,"1-3-17, Kyomachibori, Nishi-Ku, Osaka-Shi, 550-0003",Industrial Goods and Machinery,$1.1B,NTN Corp,"23,383",www.ntn.co.jp
3280,"20 N Broadway, Oklahoma City, 73102-9213",Energy and Utilities,,Continental Resources Inc,"1,254",www.clr.com
3281,"135 Rivonia Road, Sandton, 2196",Financial Services,,Nedbank Ltd,,www.nedbank.co.za
3282,"1-17-1 Toranomon, Toranomon Hills Business Tower, Minato-ku, Tokyo, 1056409",Technology and Communications,,Hitachi High-Technologies Corp,"12,717",www.hitachi-hightech.com
3283,"Bekaertstraat 2, Zwevegem, 8550",Industrial Goods and Machinery,$2.5B,NV Bekaert SA,"27,000",www.bekaert.com
3284,"10990 Wilshire Blvd, Floor No. 7, Los Angeles, California, 90024",Construction,$3.0B,KB Home,"2,244",www.kbhome.com
3285,"1 Ang Mo Kio Electronics Park Road, #07-01, Singapore, 567710",Technology and Communications,$8.2B,Singapore Technologies Engineering Ltd,"22,405",www.stengg.com
