,company_country,company_name
1893,USA,Roku
1894,Poland,KGHM Polska MiedÅº
1895,Japan,JFE Holdings
1896,UK,Sainsbury's
1897,Japan,ZOZO
1898,South Africa,Sanlam
1899,Hong Kong,Cathay Pacific
1900,Taiwan,Yang Ming
1901,France,KlÃ©pierre
1902,Turkey,Aselsan
1903,USA,Western Alliance Bancorporation
1904,Luxembourg,Globant
1905,USA,KBR
1906,Luxembourg,Ternium
1907,USA,EastGroup Properties
1908,S. Arabia,Saudi International Petrochemical Company (Sipchem)
1909,USA,Arrow Electronics
1910,Australia,Atlas Arteria
1911,Japan,Hankyu Hanshin Holdings
1912,India,Cholamandalam Investment and Finance
1913,India,Mindtree
1914,Switzerland,Swiss Prime Site
1915,India,Union Bank of India
1916,Sweden,Autoliv
1917,Canada,Northland Power
1918,USA,WESCO International
1919,Norway,Kongsberg Gruppen
1920,USA,Nexstar Media Group
1921,USA,CACI
1922,Taiwan,Novatek Microelectronics
1923,Singapore,Mapletree Commercial Trust
1924,USA,Sensata Technologies
1925,UK,Centrica
1926,Denmark,Copenhagen Airport
1927,Denmark,Demant
1928,USA,First Industrial Realty Trust
1929,Canada,Empire Company
1930,Germany,Nemetschek
1931,USA,Karuna Therapeutics
1932,USA,Graphic Packaging
1933,USA,BOK Financial
1934,Switzerland,Bachem
1935,UK,Clarivate
1936,Japan,Makita
1937,Italy,Banca Mediolanum
1938,USA,Frontier Communications
1939,USA,Prosperity Bancshares
1940,Netherlands,ASR Nederland
1941,Italy,Amplifon
1942,Greece,OTE Group
1943,Taiwan,Wan Hai Lines
1944,France,Rexel
1945,USA,Halozyme Therapeutics
1946,USA,Assurant
1947,S. Korea,Industrial Bank of Korea (IBK)
1948,USA,Clearway Energy
1949,India,Hero MotoCorp
1950,USA,Tempur Sealy
1951,USA,Omega Healthcare
1952,USA,Texas Roadhouse
1953,USA,Gentex
1954,Japan,Daiwa Securities Group
1955,Poland,PGNiG
1956,UAE,National Marine Dredging
1957,USA,GitLab
1958,USA,Houlihan Lokey
1959,USA,Kinsale Capital Group
1960,Canada,CAE
1961,USA,MKS Instruments
1962,India,Berger Paints
1963,Indonesia,Charoen Pokphand Indonesia
1964,Sweden,Tele2
1965,Brazil,Rumo
1966,USA,Brixmor Property Group
1967,USA,Voya Financial
1968,USA,Stifel
1969,S. Korea,Krafton
1970,USA,Agree Realty
1971,Netherlands,Hunter Douglas
1972,USA,Harley-Davidson
1973,USA,World Wrestling Entertainment
1974,Japan,Japan Post Insurance
1975,USA,U.S. Steel
1976,Germany,CTS Eventim
1977,USA,DXC Technology
1978,Japan,Capcom
1979,Turkey,ÅiÅecam
1980,UK,nVent Electric
1981,Japan,GMO Payment Gateway
1982,Taiwan,ASUS
1983,Sweden,Swedish Orphan Biovitrum
1984,India,UPL
1985,Canada,Ritchie Bros. Auctioneers
1986,USA,Southwestern Energy
1987,USA,New York Community Bank
1988,USA,Norwegian Cruise Line
1989,Japan,Nippon Sanso
1990,USA,NextEra Energy Partners
1991,Sweden,Holmen
1992,USA,Murphy Oil
1993,Israel,Israel Discount Bank
1994,USA,Levi Strauss
1995,USA,Commercial Metals Company
1996,USA,Ingredion
1997,Canada,Toromont
1998,China,37 Interactive Entertainment
1999,USA,Clean Harbors
2000,Denmark,Ascendis Pharma
2001,Singapore,Great Eastern
2002,Switzerland,On Holding
2003,India,Torrent Pharmaceuticals
2004,Japan,TIS
2005,Japan,Trend Micro
2006,China,Silergy
2007,Australia,OZ Minerals
2008,Switzerland,Helvetia Holding
2009,USA,Wyndham Hotels & Resorts
2010,Brazil,Petro Rio
2011,Japan,Osaka Gas
2012,USA,RBC Bearings
2013,Sweden,Fastighets AB Balder
2014,Taiwan,AirTAC International
2015,Japan,TOTO
2016,Macau,Wynn Macau
2017,Spain,Bankinter
2018,USA,Magnolia Oil & Gas
2019,USA,AGNC Investment
2020,USA,Allegro MicroSystems
2021,USA,Starwood Property Trust
2022,USA,Woodward
2023,USA,STAG Industrial
2024,USA,Saia
2025,USA,Dillard's
2026,Japan,Kobe Bussan
2027,USA,Choice Hotels International
2028,Japan,Daifuku
2029,Indonesia,Adaro Energy
2030,Canada,Turquoise Hill Resources
2031,USA,Reynolds Consumer
2032,USA,Alaska Airlines
2033,USA,ChampionX
2034,USA,Newell Brands
2035,Australia,Stockland
2036,S. Arabia,Yanbu National Petrochemical
2037,France,Covivio
2038,Switzerland,BELIMO Holding
2039,USA,Curtiss-Wright
2040,Japan,MinebeaMitsumi
2041,Australia,TPG Telecom
2042,USA,Lithia Motors
2043,USA,Affiliated Managers Group
2044,UK,Land Securities Group
2045,USA,EnLink Midstream
2046,USA,RLI Corp.
2047,USA,DraftKings
2048,India,Shriram Transport Finance
2049,USA,GXO Logistics
2050,China,Hualan Biological Engineering
2051,India,Indian Railway Catering & Tourism
2052,India,Samvardhana Motherson
2053,New Zealand,Spark New Zealand
2054,USA,Doximity
2055,USA,Corporate Office Properties Trust
2056,UK,Kingfisher
2057,Brazil,Cosan
2058,Canada,iA Financial
2059,USA,MDU Resources
2060,South Africa,Nedbank
2061,USA,UWM Holdings
2062,Indonesia,Sampoerna
2063,Canada,Bombardier Recreational Products
2064,China,Lufax
2065,USA,Qualtrics
2066,Japan,Nissan Chemical
2067,Taiwan,Unimicron
2068,UK,Convatec Group
2069,Taiwan,Taishin Financial Holdings
2070,USA,GameStop
2071,USA,Macy's
2072,USA,Samsara
2073,India,Tube Investments of India
2074,USA,Toll Brothers
2075,Japan,Hikari Tsushin
2076,Poland,Bank Pekao (Bank Polska Kasa Opieki)
2077,India,BOSCH India
2078,USA,South State Corp
2079,USA,Elanco
2080,USA,Oshkosh Corporation
2081,USA,Endeavor Group
2082,Spain,Mapfre
2083,Australia,Mirvac Group
2084,Italy,Banco BPM
2085,Canada,FirstService
2086,USA,Polaris
2087,Taiwan,Chang Hwa Commercial Bank
2088,Japan,Yamaha
2089,Sweden,SSAB
2090,USA,Nutanix
2091,Canada,Canadian Apartment Properties REIT
2092,USA,PDC Energy
2093,Japan,Sekisui Chemical
2094,USA,Valvoline
2095,USA,National Instruments
2096,Japan,Nippon Prologis REIT
2097,USA,Littelfuse
2098,Turkey,TÃ¼rkiye Is Bankasi
2099,Japan,Toho Co.
2100,USA,Murphy USA
2101,USA,Pilgrim's Pride
2102,USA,First American
2103,USA,Lumen
2104,India,Lodha Group
2105,USA,Landstar System
2106,Canada,West Fraser Timber
2107,USA,Boyd Gaming
2108,Czech Republic,KomerÄnÃ­ banka
2109,Canada,Kinross Gold
2110,Brazil,AtacadÃ£o
2111,USA,Ashland
2112,USA,HealthSouth
2113,Germany,LEG Immobilien
2114,USA,Range Resources
2115,USA,Universal Display Corporation
2116,Netherlands,CTP N.V.
2117,Japan,Kintetsu GHD
2118,Hong Kong,Melco Resorts & Entertainment
2119,Brazil,ENGIE Brasil
2120,Switzerland,Adecco Group
2121,USA,Coupa
2122,USA,Crane Co.
2123,Canada,Descartes Systems
2124,India,Indus Towers
2125,India,PI Industries
2126,Sweden,Beijer Ref
2127,USA,Axalta
2128,Austria,Raiffeisen Bank International
2129,Thailand,Asset World Corp
2130,Indonesia,United Tractors
2131,Singapore,BOC Aviation
2132,Japan,Otsuka
2133,India,Info Edge
2134,USA,Huntsman Corporation
2135,Australia,BlueScope Steel
2136,Japan,Hulic
2137,USA,Sonoco
2138,S. Korea,HYBE
2139,Spain,Banco Sabadell
2140,USA,TopBuild
2141,USA,SiteOne Landscape Supply
2142,Australia,Seek Limited
2143,Sweden,Getinge
2144,Brazil,Hapvida
2145,USA,Sunrun
2146,UK,Endeavour Mining
2147,UK,DS Smith
2148,USA,Flowers Foods
2149,Australia,Dexus
2150,Japan,Sumitomo Chemical
2151,Japan,Japan Real Estate Investment
2152,Austria,Andritz
2153,Australia,IDP Education
2154,Hungary,MOL Group
2155,Sweden,Axfood
2156,USA,Spirit Realty Capital
2157,Philippines,Emperador Brandy
2158,USA,H&R Block
2159,Taiwan,Nanya Technology
2160,Canada,Yamana Gold
2161,Australia,GPT Group
2162,UK,Investec
2163,Hong Kong,HK Electric Investments
2164,Singapore,Mapletree Logistics Trust
2165,Thailand,Charoen Pokphand Foods
2166,Brazil,Equatorial Energia
2167,UK,M&G plc
2168,USA,Confluent
2169,Canada,Air Canada
2170,Denmark,Rockwool
2171,Canada,Telus International
2172,USA,Dutch Bros
2173,USA,Light & Wonder
2174,USA,Apellis Pharmaceuticals
2175,Japan,Konami Holdings
2176,USA,Envista
2177,Mexico,Grupo Simec
2178,Canada,Bausch + Lomb
2179,USA,Marriott Vacations Worldwide
2180,USA,Silgan Holdings
2181,USA,SAIC
2182,France,Soitec
2183,India,TVS Motor
2184,USA,Columbia Sportswear
2185,Australia,Yancoal
2186,India,Abbott India
2187,China,iQIYI
2188,USA,Synovus
2189,USA,EXL Service
2190,USA,Selective Insurance
2191,UK,TechnipFMC
2192,USA,Brunswick Corporation
2193,Italy,Telecom Italia
2194,USA,Pinnacle Financial Partners
2195,Taiwan,Far Eastern New Century
2196,Switzerland,PSP Swiss Property
2197,Canada,Stantec
2198,USA,Coherent
2199,USA,Valley Bank
2200,UK,The Weir Group
2201,USA,Dun & Bradstreet
2202,Netherlands,BE Semiconductor
2203,Australia,Seven Group Holdings (SGH)
2204,USA,Timken Company
2205,Taiwan,Pegatron
2206,Taiwan,Yageo
2207,India,CG Power and Industrial Solutions
2208,Canada,Element Fleet Management
2209,Australia,Worley
2210,USA,Ionis Pharmaceuticals
2211,USA,Chart Industries
2212,Brazil,Cemig
2213,USA,National Fuel Gas
2214,Japan,Nomura Real Estate Master Fund
2215,USA,Vertiv Holdings
2216,Canada,TMX Group
2217,Finland,WÃ¤rtsilÃ¤
2218,USA,New York Times
2219,USA,Hertz
2220,USA,Prometheus Biosciences
2221,Japan,Koei Tecmo
2222,Switzerland,Tecan
2223,USA,Guidewire Software
2224,Sweden,Embracer Group
2225,Philippines,PLDT
2226,Austria,Voestalpine
2227,UK,Rightmove
2228,China,TAL Education Group
2229,UK,Barratt Developments
2230,France,Groupe SEB
2231,Japan,KosÃ©
2232,New Zealand,Ebos Group
2233,Finland,Valmet
2234,Norway,Tomra
2235,USA,Tenet Healthcare
2236,UK,Persimmon
2237,USA,FTI Consulting
2238,USA,Permian Resources
2239,USA,Chord Energy
2240,USA,QuidelOrtho
2241,Canada,Gildan
2242,S. Arabia,Jabal Omar Development
2243,Turkey,GarantiBank
2244,USA,Acuity Brands
2245,USA,Trex
2246,USA,Primerica
2247,China,Chongqing Rural Commercial Bank
2248,USA,Smartsheet
2249,Brazil,TIM S.A.
2250,Australia,Carsales
2251,Japan,Yamato Holdings
2252,India,Procter & Gamble India
2253,USA,PBF Energy
2254,India,Zomato
2255,Japan,Square Enix
2256,Australia,Medibank
2257,USA,KnowBe4
2258,Netherlands,Just Eat Takeaway
2259,Chile,Falabella
2260,USA,Post Holdings
2261,USA,Western Union
2262,China,FAW Car
2263,Japan,Kajima
2264,USA,Glacier Bancorp
2265,Switzerland,Clariant
2266,India,Page Industries
2267,USA,United Bankshares
2268,USA,HashiCorp
2269,USA,Viper Energy Partners
2270,Canada,Quebecor
2271,France,ALD Automotive
2272,India,Zydus Lifesciences
2273,USA,Lancaster Colony Corporation
2274,USA,The Ensign Group
2275,USA,Clearwater Analytics
2276,USA,Phillips-Van Heusen
2277,India,ACC
2278,Japan,Itochu Techno-Solutions
2279,USA,Hagerty
2280,S. Arabia,Saudi Kayan Petrochemical Company
2281,USA,Antero Midstream
2282,USA,Old National Bank
2283,USA,Univar Solutions
2284,Taiwan,Realtek
2285,USA,Idacorp
2286,USA,Apartment Income REIT
2287,Chile,QuiÃ±enco
2288,Malaysia,Lynas
2289,India,JSW Energy
2290,Switzerland,Georg Fischer
2291,Singapore,City Developments
2292,UK,Hargreaves Lansdown
2293,UK,Airtel Africa
2294,UK,Valaris
2295,USA,CCC Intelligent Solutions
2296,Taiwan,Taiwan High Speed Rail
2297,USA,Novanta
2298,Canada,Keyera
2299,USA,Madrigal Pharmaceuticals
2300,Japan,âKâ Line
2301,USA,Universal Forest Products
2302,France,Somfy
2303,USA,National Storage
2304,Switzerland,Zurich Airport
2305,India,Indian Railway Finance
2306,India,Indian Hotels Company
2307,USA,Helmerich & Payne
2308,USA,Lincoln National Corporation
2309,USA,FS KKR Capital
2310,USA,IAA-Insurance Auto Auctions
2311,USA,Wintrust Financial
2312,Canada,Lundin Mining
2313,Japan,Ibiden
2314,UK,Beazley
2315,India,Container Corporation of India
2316,France,Eurazeo
2317,USA,Eagle Materials
2318,USA,Credit Acceptance
2319,India,Ashok Leyland
2320,USA,Hexcel
2321,USA,Exelixis
2322,Japan,Mitsubishi Motors
2323,India,Balkrishna Industries
2324,New Zealand,Mercury NZ
2325,USA,MSA Safety
2326,USA,DT Midstream
2327,Mexico,Gruma (Maseca)
2328,USA,Brookfield Renewable
2329,South Africa,Discovery Limited
2330,UK,Noble Corporation
2331,India,United Breweries
2332,USA,Watts Water Technologies
2333,USA,Option Care Health
2334,Brazil,AssaÃ­ Atacadista
2335,S. Korea,Hyundai Glovis
2336,USA,Core & Main
2337,India,Muthoot Finance
2338,USA,BWX Technologies
2339,USA,MP Materials
2340,India,Trent Limited
2341,USA,Rayonier
2342,USA,Lyft
2343,France,Valeo
2344,Japan,McDonald's Japan
2345,S. Korea,LOTTE Chemical
2346,India,Schaeffler India
2347,Japan,Obayashi
2348,USA,Evoqua Water Technologies
2349,USA,Euronet Worldwide
2350,India,Patanjali Foods
2351,China,Dongfeng Motor
2352,Germany,Bechtle
2353,USA,IPG Photonics
2354,Japan,Dai Nippon Printing
2355,USA,R1 RCM
2356,USA,Fluor Corporation
2357,Italy,Leonardo
2358,USA,Shift4 Payments
2359,Italy,Stevanato
2360,Japan,GLP J-REIT
2361,USA,Civitas Resources
2362,USA,Sotera Health
2363,Switzerland,DKSH Holding
2364,USA,Exponent
2365,Brazil,GOL Airlines
2366,USA,Cerevel Therapeutics
2367,USA,Hilton Grand Vacations
2368,India,AU Small Finance Bank
2369,Turkey,Ä°sdemir
2370,USA,Five9
2371,Canada,RioCan REIT
2372,USA,Penn National Gaming
2373,China,ZhongAn Insurance
2374,Netherlands,Aalberts
2375,USA,Owl Rock Capital
2376,Israel,monday.com
2377,USA,Chemours
2378,USA,HealthEquity
2379,Indonesia,Barito Pacific
2380,USA,Ormat Technologies
2381,USA,LHC Group
2382,Germany,KION Group
2383,Cayman Islands,Fabrinet
2384,Taiwan,EVA Air
2385,Turkey,HektaÅ
2386,Japan,Koito Manufacturing
2387,USA,Atkore
2388,Italy,Pirelli
2389,Chile,Banco de CrÃ©dito e Inversiones
2390,Japan,KOBAYASHI Pharmaceutical
2391,USA,Alight
2392,India,Colgate-Palmolive India
2393,USA,First Financial Bankshares
2394,USA,Silicon Labs
2395,Canada,AltaGas
2396,Taiwan,Asia Cement
2397,USA,PowerSchool
2398,USA,Banco Popular
2399,Philippines,Jollibee
2400,Taiwan,Nan Ya PCB
2401,Ireland,Perrigo
2402,India,Cummins India
2403,UK,HomeServe
2404,USA,10x Genomics
2405,India,Bank of India
2406,UK,Johnson Matthey
2407,India,Bharat Forge
2408,Japan,Sharp Corporation
2409,Brazil,CSN MineraÃ§Ã£o
2410,Germany,Fuchs Petrolub
2411,USA,New Jersey Resources
2412,India,Polycab India
2413,UK,International Game Technology
2414,USA,Evercore
2415,China,Kingsoft
2416,UK,British Land
2417,India,Nykaa
2418,Italy,Reply
2419,USA,Wendyâs Company
2420,USA,Thor Industries
2421,India,Astral Poly Technik
2422,S. Arabia,Petro Rabigh
2423,USA,Bank OZK
2424,USA,Elastic NV
2425,China,Weibo
2426,UK,Unite Group (Unite Students)
2427,India,Power Finance Corp
2428,Indonesia,Vale Indonesia
2429,Japan,Japan Airport Terminal
2430,Israel,Wix.com
2431,Israel,CyberArk
2432,Japan,Nippon Express
2433,Netherlands,X5 Retail Group
2434,Turkey,GÃBRETAÅ
2435,USA,Under Armour
2436,USA,Stericycle
2437,China,Offcn Education
2438,USA,Portland General Electric
2439,USA,Applied Industrial Technologies
2440,India,NHPC Limited
2441,Canada,Whitecap Resources
2442,France,ALTEN
2443,USA,Hanover Insurance Group
2444,USA,APi Group
2445,France,JCDecaux
2446,Japan,SCSK Corporation
2447,Taiwan,Vanguard International Semiconductor
2448,USA,F.N.B. Corporation
2449,USA,Air Lease Corporation
2450,S. Arabia,Jarir
2451,Uruguay,dLocal
2452,Bermuda,AXIS Capital
2453,Israel,Tower Semiconductor
2454,USA,Vornado Realty Trust
2455,USA,Integra LifeSciences
2456,India,Tata Elxsi
2457,USA,SPS Commerce
2458,USA,Kilroy Realty
2459,Germany,Fraport
2460,Australia,Argo Investments
2461,USA,Home BancShares
2462,Germany,HelloFresh
2463,India,Bandhan Bank
2464,USA,Terreno Realty
2465,Australia,Orica
2466,Japan,Tobu Railway
2467,Italy,Italgas
2468,Germany,Hochtief
2469,Israel,Bezeq
2470,S. Arabia,Saudi Investment Bank
2471,China,Zai Lab
2472,Austria,BAWAG Group
2473,Turkey,Koza Gold
2474,Japan,Hitachi Construction Machinery
2475,Spain,Merlin Properties
2476,USA,Black Hills
2477,Poland,Powszechny ZakÅad UbezpieczeÅ
2478,USA,Driven Brands
2479,UAE,Ghitha
2480,India,Mphasis
2481,USA,Element Solutions
2482,France,Tikehau Capital
2483,China,GDS Holdings
2484,Germany,Thyssenkrupp
2485,USA,Ryman Hospitality Properties
2486,Switzerland,Emmi AG
2487,USA,Gap Inc.
2488,USA,Cadence Bancorp
2489,Japan,Toppan
2490,USA,Workiva
2491,USA,OneMain Financial
2492,Turkey,Akbank
2493,Switzerland,Temenos
2494,USA,Power Integrations
2495,Spain,EnagÃ¡s
2496,USA,Leggett & Platt
2497,Philippines,Metropolitan Bank (Metrobank)
2498,UK,IMI plc
2499,USA,Cirrus Logic
2500,Germany,Schaeffler
2501,Bermuda,Hiscox
2502,UK,Inchcape
2503,South Africa,Remgro Limited
2504,India,Madras Rubber Factory
2505,USA,Informatica
2506,Sweden,Castellum
2507,India,IDFC FIRST Bank
2508,USA,Hawaiian Electric Industries
2509,Singapore,Mapletree Industrial Trust
2510,Japan,Welcia Holdings
2511,USA,Parsons
2512,Canada,Nuvei
2513,USA,Coca-Cola Consolidated
2514,Brazil,Companhia SiderÃºrgica Nacional
2515,Japan,CyberAgent
2516,USA,Wayfair
2517,USA,IAC/InterActiveCorp
2518,USA,Fox Factory Holding
2519,USA,Kite Realty
2520,UK,Intermediate Capital Group (ICG)
2521,Sweden,AAK
2522,UK,Howden Joinery
2523,India,National Mineral Development Corporation
2524,Italy,ERG
2525,Singapore,Sembcorp
2526,Japan,Mazda
2527,UK,Hikma Pharmaceuticals
2528,USA,Ryder
2529,Luxembourg,Aroundtown
2530,USA,Allegheny Technologies
2531,South Africa,Mediclinic International
2532,Denmark,Jyske Bank
2533,Japan,Odakyu Electric Railway
2534,USA,Seaboard
2535,Japan,Asahi Intecc
2536,Italy,Technoprobe
2537,Chile,LATAM Airlines
2538,South Africa,The Bidvest Group
2539,USA,Louisiana-Pacific
2540,Canada,Algonquin Power & Utilities
2541,China,MINISO Group
2542,Netherlands,Royal Boskalis Westminster
2543,USA,Natera
2544,Denmark,Topdanmarks
2545,Taiwan,Shin Kong Financial Holding
2546,Singapore,Olam
2547,France,Wendel
2548,Egypt,Commercial International Bank
2549,Sweden,Husqvarna
2550,USA,Intra-Cellular Therapies
2551,Norway,Schibsted
2552,USA,TriNet
2553,Germany,Lechwerke
2554,USA,CLEAR Secure
2555,Sweden,Kinnevik
2556,Taiwan,Wiwynn
2557,Germany,HUGO BOSS
2558,USA,MACOM
2559,USA,Tegna
2560,USA,Bloom Energy
2561,USA,Synaptics
2562,China,Autohome
2563,USA,Aerojet Rocketdyne
2564,Japan,Iida Group
2565,France,Nexans
2566,USA,AMN Healthcare Services
2567,USA,MSC Industrial Direct
2568,Brazil,Magazine LuÃ­za
2569,Canada,B2Gold
2570,Switzerland,Bucher Industries
2571,Ireland,Alkermes
2572,Netherlands,Signify
2573,India,Alkem Laboratories
2574,France,Neoen
2575,UK,Frasers Group
2576,India,Steel Authority of India
2577,South Africa,Pepkor
2578,UK,Endava
2579,USA,Maximus
2580,Chile,Cencosud
2581,USA,Denbury
2582,Germany,Sixt
2583,USA,Comfort Systems
2584,USA,Southwest Gas
2585,USA,Flowserve
2586,USA,ManpowerGroup
2587,USA,Phillips Edison & Company
2588,UK,Diploma plc
2589,India,Indian Bank
2590,USA,Cable One
2591,Germany,United Internet
2592,Austria,Strabag
2593,France,Scor
2594,Thailand,Bangkok Expressway and Metro (BEM)
2595,USA,Boston Beer Company
2596,Chile,Empresas CMPC
2597,India,Aditya Birla Capital
2598,India,Paytm
2599,France,SPIE
2600,Austria,A1 Telekom Austria
2601,USA,South Jersey Industries
2602,USA,Schneider
2603,UK,Janus Henderson
2604,USA,MSG Sports
2605,USA,Wingstop Restaurants
2606,USA,Hancock Whitney
2607,USA,ONE Gas
2608,USA,Teladoc Health
2609,USA,Box
2610,Hong Kong,SJM Holdings
2611,USA,Insperity
2612,Germany,Aurubis
2613,USA,Academy Sports
2614,USA,SoFi
2615,New Zealand,Mainfreight
2616,Australia,Charter Hall Group
2617,Italy,Hera Group
2618,France,Air France-KLM
2619,USA,Haemonetics
2620,Turkey,SabancÄ± Holding
2621,USA,ASGN
2622,Canada,MEG Energy
2623,Canada,Alamos Gold
2624,USA,Herc Holdings
2625,USA,Sallie Mae
2626,India,Hindustan Petroleum
2627,Germany,K+S
2628,Bermuda,Essent Group
2629,USA,XPO Logistics
2630,Canada,Topicus
2631,Singapore,UOL Group
2632,Australia,ALS Global
2633,USA,Simpson Manufacturing Company
2634,Canada,Atlas Corp
2635,Argentina,Galicia Financial Group
2636,China,Zhejiang Century Huatong
2637,India,Honeywell Automation India
2638,Turkey,YapÄ± Kredi
2639,USA,Livent
2640,USA,Paycor
2641,USA,Supermicro
2642,Canada,Colliers International
2643,USA,Bumble
2644,Australia,Evolution Mining
2645,China,RLX Technology
2646,Israel,First International Bank of Israel
2647,USA,Bright Horizons
2648,USA,ICU Medical
2649,Taiwan,Powerchip Semiconductor Manufacturing
2650,India,Lupin Limited
2651,Germany,Scout24
2652,Bermuda,Enstar Group
2653,India,Godrej Properties
2654,Germany,Lanxess
2655,USA,Rambus
2656,USA,BlackLine
2657,USA,PNM Resources
2658,Spain,Fomento de Construcciones y Contratas
2659,Mexico,Banco del BajÃ­o
2660,USA,TFS Financial
2661,Hungary,Richter Gedeon
2662,USA,Calix
2663,USA,AppFolio
2664,Bermuda,Triton International
2665,Sweden,Sinch
2666,USA,UMB Financial
2667,USA,Sitio Royalties
2668,USA,Rithm Capital
2669,USA,National Beverage
2670,Thailand,TMBThanachart Bank (ttb)
2671,Canada,Finning
2672,USA,Balchem
2673,USA,Arrowhead Pharmaceuticals
2674,Australia,Cleanaway Waste Management
2675,USA,Asbury Automotive Group
2676,Hong Kong,Dairy Farm
2677,UK,Spectris
2678,USA,Tenable
2679,USA,Topgolf Callaway Brands
2680,Indonesia,Bank Mega
2681,France,Colas
2682,USA,FirstCash
2683,China,COSCO SHIPPING Development
2684,USA,Aaon
2685,S. Arabia,Bank AlJazira
2686,Canada,Parkland Corp
2687,USA,Azenta
2688,Finland,Kojamo
2689,Switzerland,Dufry
2690,UK,ITV plc
2691,USA,First Interstate BancSystem
2692,South Africa,Clicks Group
2693,China,Leapmotor
2694,USA,Howard Hughes Corporation
2695,UK,Dechra Pharmaceuticals
2696,USA,Olaplex
2697,USA,Peabody Energy
2698,USA,Independence Realty Trust
2699,Switzerland,Transocean
2700,USA,Cabot Corporation
2701,Canada,Onex
2702,India,WNS
2703,UK,IG Group
2704,USA,SM Energy
2705,Canada,PrairieSky Royalty
2706,Canada,Bombardier
2707,USA,ChargePoint
2708,USA,Freshworks
2709,Japan,Tokyo Century
2710,UK,easyJet
2711,USA,SentinelOne
2712,India,Petronet LNG
2713,Norway,Storebrand
2714,India,Jubilant FoodWorks
2715,S. Korea,F&F Co
2716,USA,Avnet
2717,Japan,Chiba Bank
2718,USA,United Community Bank
2719,Turkey,BÄ°M BirleÅik MaÄazalar
2720,Indonesia,Elang Mahkota Teknologi
2721,Turkey,TofaÅ TÃ¼rk Otomobil FabrikasÄ±
2722,USA,Casella Waste Systems
2723,USA,Visteon
2724,USA,Cytokinetics
2725,USA,AppLovin
2726,Switzerland,Galenica
2727,USA,Qualys
2728,USA,Allison Transmission
2729,S. Arabia,Savola Group
2730,USA,Franklin Electric
2731,USA,Merit Medical
2732,Canada,Capital Power
2733,India,Rural Electrification Corp
2734,New Zealand,Infratil
2735,USA,American Equity Investment Life Holding
2736,Japan,COSMOS Pharmaceutical
2737,Germany,Verbio
2738,USA,Premier
2739,Australia,Lendlease
2740,USA,Blackstone Mortgage Trust
2741,USA,Altair Engineering
2742,USA,Zurn Water Solutions
2743,Turkey,TÃ¼rk Telekom
2744,Australia,Bendigo and Adelaide Bank
2745,USA,GATX
2746,Ireland,Adient
2747,China,Perfect World Entertainment
2748,USA,Diodes Incorporated
2749,USA,Ziff Davis
2750,Canada,Pan American Silver
2751,USA,Enact Holdings
2752,USA,H.B. Fuller
2753,Canada,Crescent Point Energy
2754,USA,Peloton
2755,Denmark,Ambu
2756,New Zealand,Contact Energy
2757,USA,New Relic
2758,Sweden,Electrolux
2759,USA,Denali Therapeutics
2760,USA,Hamilton Lane
2761,USA,Surgery Partners
2762,Switzerland,SFS Group
2763,Switzerland,Stadler Rail
2764,Turkey,Turkcell
2765,USA,MGIC Investment
2766,USA,Cousins Properties
2767,Italy,Buzzi Unicem
2768,India,General Insurance Corporation of India
2769,Finland,HuhtamÃ¤ki
2770,Austria,Oberbank
2771,USA,Lumentum
2772,S. Korea,Netmarble
2773,Japan,Lawson
2774,USA,AllianceBernstein
2775,USA,ServisFirst Bancshares
2776,USA,Altra Industrial Motion
2777,Singapore,Venture Corporation
2778,Switzerland,CRISPR Therapeutics
2779,USA,Insight Enterprises
2780,Canada,Enerplus
2781,USA,DoubleVerify
2782,Indonesia,Indofood
2783,Kazakhstan,Freedom Holding
2784,Netherlands,Vopak
2785,USA,YETI Holdings
2786,Netherlands,Arcadis
2787,Australia,Steadfast Group
2788,Switzerland,DÃ¤twyler
2789,Spain,Inmobiliaria Colonial
2790,China,G-bits Network Technology
2791,France,Elis
2792,USA,Neogen
2793,Switzerland,Vontobel
2794,USA,Fluence Energy
2795,Malaysia,PBBank (Public Bank Bhd)
2796,Chile,AntarChile
2797,S. Korea,Kangwon Land
2798,USA,Weatherford International
2799,USA,Spire Energy
2800,USA,Onto Innovation
2801,Japan,Toyo Suisan
2802,Thailand,Thai Oil
2803,India,APL Apollo
2804,India,Gujarat Fluorochemicals
2805,South Africa,Aspen Pharmacare
2806,Sweden,Sweco
2807,Denmark,Lundbeck
2808,S. Korea,LG Display
2809,USA,Mueller Industries
2810,USA,Maxar Technologies
2811,Turkey,VakÄ±fBank
2812,France,Faurecia
2813,Australia,Harvey Norman
2814,UK,Games Workshop Group
2815,Switzerland,Luzerner Kantonalbank
2816,USA,Sunoco
2817,Germany,TUI
2818,Israel,Global-e
2819,USA,Kirby Corporation
2820,India,Gujarat Gas
2821,Germany,Metro AG
2822,India,Supreme Industries
2823,USA,Summit Materials
2824,Indonesia,Sarana Menara Nusantara
2825,Taiwan,China Airlines
2826,Canada,SNC-Lavalin Group
2827,USA,Hecla Mining
2828,France,SociÃ©tÃ© FonciÃ¨re Lyonnaise
2829,Canada,Aritzia
2830,USA,Apple Hospitality REIT
2831,USA,Patterson-UTI Energy
2832,UK,Tate & Lyle
2833,India,Oberoi Realty
2834,USA,Umpqua Holdings
2835,S. Korea,Korea Aerospace Industries
