,company_ceo,company_country,company_founded,company_industry,company_name,company_rank
5428,Not found,China,Not found,"['Technology', 'Electronics', 'Capital Goods']",SHENZHEN HUAQIANG INDUSTRY,5154
5429,Not found,Canada,2003,"['Basic Materials', 'Mining', 'Gold Mining', 'Metals', 'Precious Metals']",ALAMOS GOLD,5147
5430,Not found,Singapore,1950,['Real Estate'],UNITED INDUSTRIAL CORPORATION,5163
5431,Not found,Belgium,1880,"['Industries', 'Metal Fabrication Products']",NV BEKAERT SA,5166
5432,Not found,China,Not found,"['Technology', 'Semiconductors']",SHANGHAI BELLING,5159
5433,Not found,USA,2003,['Business Services'],FIRST ADVANTAGE CORP,5160
5434,Not found,China,Not found,"['Industries', 'Industry Machinery']",ZHEJIANG JIECANG LINEAR MOTION TECHNOLOGY,5164
5435,Not found,New Zealand,1999,"['Utilities', 'Electric Utilities', 'Gas Utilities']",VECTOR LIMITED,5162
5436,Not found,Japan,2011,"['Real Estate', 'Property Investments', 'Investments']",ACTIVIA PROPERTIES,5161
5437,Not found,Russia,1967,"['Basic Materials', 'Chemicals']",NIZHNEKAMSKNEFTEKHIM,5158
5438,Not found,South Korea,1999,"['Industries', 'Aerospace and Defense', 'Aerospace Products', 'Aeroplane', 'Satellites', 'Space Products']",KOREA AEROSPACE INDUSTRIES,5165
5439,Not found,China,Not found,"['Industries', 'Metal Fabrication Products']",JIANGYIN HENGRUN HEAVY INDUSTRIES CO. LTD,5157
5440,Not found,China,Not found,"['Industries', 'Engineering Products', 'Engineering Services', 'Construction']",SHANGHAI TUNNEL ENGINEERING,5167
5441,Not found,China,Not found,"['Technology', 'Software and IT Infrastructure']",DBAPPSECURITY,5174
5442,Not found,Japan,1922,"['Utilities', 'Gas Utilities', 'Electric Utilities']",TOHO GAS,5173
5443,Not found,USA,1902,"['Industries', 'Electrical Products', 'Cables and Wires']",BELDEN,5169
5444,Not found,Netherlands,Not found,"['Industries', 'Construction']",ROYAL VOLKERWESSELS NV,5169
5445,Not found,Australia,2004,"['Energy', 'Mining', 'Coal Mining']",YANCOAL AUSTRALIA LTD,5170
5446,Not found,Netherlands,2014,"['Consumer Cyclical', 'Retail', 'Internet or Mobile App Based Business', 'eCommerce']",CNOVA,5175
5447,Not found,Canada,1988,"['Financial Services', 'Banking Services']",CANADIAN WESTERN BANK,5168
5448,Not found,China,Not found,"['Industries', 'Glass Products', 'Building Products and Equipment']",LUOYANG GLASS COMPANY,5171
5449,Not found,China,Not found,"['Healthcare', 'Insurance']",CHINA REFORM HEALTH MANAGEMENT AND SERVICES GROUP,5172
5450,Not found,UK,Not found,"['Industries', 'Rent / Lease Services']",AGGREKO,5185
5451,Not found,China,Not found,['Real Estate'],FINANCIAL STREET HOLDINGS,5180
5452,Not found,USA,2009,"['Technology', 'Software and IT']",PAGERDUTY,5176
5453,Not found,India,2000,"['Consumer Cyclical', 'Internet or Mobile App Based Business', 'Transportation', 'Travel and Transport', 'Consumer Services']",MAKEMYTRIP,5182
5454,Not found,Japan,2005,"['Real Estate', 'Logistics', 'Investments', 'Property Investments']",JAPAN LOGISTICS FUND,5179
5455,Not found,Taiwan,1988,"['Technology', 'Semiconductors']",MACRONIX INTERNATIONAL,5181
5456,Not found,South Korea,1939,"['Industries', 'Infrastructure', 'Construction']",DAELIM INDUSTRIAL,5177
5457,Not found,China,Not found,"['Industries', 'Logistics']",ANTONG HOLDINGS,5184
5458,Not found,Sweden,Not found,['Real Estate'],ATRIUM LJUNGBERG AB (PUBL),5178
5459,Not found,South Korea,1975,"['Industries', 'Shipping']",HYUNDAI MIPO DOCKYARD,5183
5460,Not found,China,Not found,"['Technology', 'Semiconductors', 'Electronics']",SHANGHAI BRIGHT POWER SEMICONDUCTOR,5189
5461,Not found,Japan,1909,"['Consumer Cyclical', 'Rubber Products', 'Tyres', 'Automobile Parts', 'Capital Goods', 'Automobile']",SUMITOMO RUBBER INDUSTRIES,5191
5462,Not found,Canada,1976,"['Energy', 'Oil and Gas']",PARAMOUNT RESOURCES,5187
5463,Not found,USA,1987,"['Financial Services', 'Banking Services']",FLAGSTAR BANCORP,5194
5464,Not found,China,Not found,"['Healthcare', 'Biotechnology']",BRII BIOSCIENCES LIMITED,5190
5465,Not found,UK,1974,"['Consumer Defensive', 'Food Products', 'FMCG', 'Package Foods']",CRANSWICK,5193
5466,Not found,Thailand,1995,"['Consumer Cyclical', 'Home Improvement', 'Construction Materials', 'Retail']",SIAM GLOBAL HOUSE PUBLIC COMPANY,5192
5467,Not found,Malta,1997,"['Consumer Cyclical', 'Gambling']",KINDRED GROUP,5188
5468,Not found,Indonesia,1991,"['Financial Services', 'Asset Management']",PT SARATOGA INVESTAMA SEDAYA TBK,5186
5469,Not found,China,Not found,"['Industries', 'Electrical Products']",SHANGHAI LIANGXIN ELECTRICAL,5185
5470,Not found,USA,1951,"['Industries', 'Aerospace and Defense', 'Electronics']",MOOG,5195
5471,Not found,China,Not found,"['Technology', 'Software and IT']",SINOSOFT,5198
5472,Not found,USA,1902,"['Financial Services', 'Banking Services']",CENTRAL BANCOMPANY,5204
5473,Not found,UK,1995,"['Real Estate', 'Healthcare', 'Property Investments']",PRIMARY HEALTH PROPERTIES,5203
5474,Not found,China,Not found,"['Basic Materials', 'Chemicals']","JENKEM TECHNOLOGY CO., LTD.",5199
5475,Not found,Japan,1898,"['Industries', 'Railway', 'Transportation']",KEIKYU CORPORATION,5202
5476,Not found,USA,2004,"['Consumer Cyclical', 'Restaurants', 'Consumer Services', 'Entertainment']",SHAKE SHACK,5201
5477,Not found,Norway,1896,"['Utilities', 'Electric Utilities', 'Renewable Energy']",ARENDALS FOSSEKOMPANI ASA,5200
5478,Not found,Sweden,1988,"['Technology', 'Communications Equipment']",HMS NETWORKS AB (PUBL),5196
5479,Not found,USA,1983,"['Consumer Cyclical', 'Consumer Services', 'Entertainment', 'Leisure']",CEDAR FAIR,5197
5480,Not found,Taiwan,1997,"['Technology', 'Semiconductors']",POWERTECH TECHNOLOGY,5213
5481,Not found,Japan,1978,['Real Estate'],KATITAS,5205
5482,Not found,China,Not found,"['Technology', 'Software and IT']",SHANGHAI WEAVER NETWORK,5214
5483,Not found,USA,2008,"['Technology', 'Software and IT']",JFROG LTD,5210
5484,Not found,Brazil,1983,"['Technology', 'Software and IT']",TOTVS,5209
5485,Not found,Brazil,1974,"['Consumer Defensive', 'Retail']",SENDAS DISTRIBUIDORA S.A.,5208
5486,Not found,India,1996,"['Internet or Mobile App Based Business', 'Software and IT', 'Marketing Services', 'eCommerce', 'Trading']",INDIAMART INTERMESH LIMITED,5211
5487,Not found,China,Not found,"['Consumer Cyclical', 'Home Furnishing']","GUANGDONG DONGPENG HOLDINGS CO., LTD.",5206
5488,Not found,Japan,1980,"['Technology', 'Software and IT', 'Outsourcing and Staffing']",NS SOLUTIONS CORPORATION,5212
5489,Not found,USA,1957,"['Basic Materials', 'Construction Materials', 'Wood Products']",BOISE CASCADE COMPANY,5207
5490,Not found,Sweden,1906,"['Technology', 'Software and IT']",LAGERCRANTZ GROUP AB (PUBL),5215
5491,Not found,South Korea,1973,"['Healthcare', 'HealthCare Products', 'Pharmaceutical']",HANMI PHARM,5222
5492,Not found,USA,1997,"['Healthcare', 'Medical Equipment', 'HealthCare Products']",NUVASIVE,5223
5493,Not found,UK,1989,['Asset Management'],HG CAPITAL TRUST,5217
5494,Not found,USA,1969,"['Industries', 'Utilities', 'Construction', 'Engineering Services']",DYCOM INDUSTRIES,5218
5495,Not found,China,Not found,"['Basic Materials', 'Chemicals', 'Agriculture Related']",LIER CHEMICAL,5219
5496,Not found,Japan,2002,"['Healthcare', 'Biotechnology']",TAKARA BIO,5220
5497,Not found,Turkey,1995,"['Communication Services', 'Telecom', 'Internet Providers', 'Mobile Services', 'Fixed Line Service', 'Television Services']",TURK TELEKOMUNIKASYON ANONIM SIRKETI,5224
5498,Not found,USA,1896,"['Industries', 'FMCG', 'Consumer Non Durables', 'Electrical Products']",ENERGIZER HOLDINGS,5216
5499,Not found,Germany,1997,"['Technology', 'Software and IT', 'Security Systems and Solutions']",SECUNET SECURITY NETWORKS,5221
5500,Not found,Malta,1997,"['Consumer Cyclical', 'Gambling', 'Leisure', 'Entertainment']",UNIBET GROUP PLC,5231
5501,Not found,China,Not found,"['Technology', 'Software and IT Infrastructure']",HANGZHOU DPTECH TECHNOLOGIES,5228
5502,Not found,Thailand,1992,"['Utilities', 'Power Generation', 'Electricity Generation', 'Hydro-Electric Power', 'Wind Power', 'Solar Power', 'Renewable Energy']",ELECTRICITY GENERATING PUBLIC COMPANY,5226
5503,Not found,China,Not found,"['Healthcare', 'Health Care Diagnostics']",MACCURA BIOTECHNOLOGY CO.LTD,5229
