,company_ceo,company_country,company_founded,company_industry,company_name,company_rank
7307,Not found,China,Not found,"['Communication Services', 'Gaming']",HANGZHOU SHUNWANG TECHNOLOGY,6936
7308,Not found,South Korea,Not found,"['Basic Materials', 'Chemicals']",FOOSUNG,6937
7309,Not found,India,Not found,['Consumer Cyclical'],METRO BRANDS LIMITED,6940
7310,Not found,Indonesia,Not found,"['Basic Materials', 'Paper and Pulp']",PT PABRIK KERTAS TJIWI KIMIA TBK,6950
7311,Not found,UK,2005,"['Renewable Energy', 'Power Generation', 'Electricity Generation']",CONTOURGLOBAL,6946
7312,Not found,India,Not found,"['Financial Services', 'Banking Services']",CENTRAL BANK OF INDIA,6948
7313,Not found,UK,Not found,['Asset Management'],RATHBONE BROTHERS,6947
7314,Not found,Japan,Not found,"['Basic Materials', 'Chemicals']",NIPPON KAYAKU,6945
7315,Not found,Switzerland,Not found,"['Utilities', 'Electric Utilities', 'Renewable Energy']",ENERGIEDIENST HOLDING AG,6952
7316,Not found,USA,Not found,"['Healthcare', 'Biotechnology']","TRAVERE THERAPEUTICS, INC.",6953
7317,Not found,China,Not found,"['Industries', 'Industry Machinery']",JACK SEWING MACHINE,6951
7318,Not found,China,Not found,"['Basic Materials', 'Mining']","CHINA NONFERROUS METAL INDUSTRY'S FOREIGN ENGINEERING AND CONSTRUCTION CO.,LTD.",6944
7319,Not found,Germany,Not found,"['Technology', 'Software and IT', 'Software Products']",ATOSS SOFTWARE AG,6949
7320,Not found,China,Not found,"['Consumer Defensive', 'Alcoholic Beverages', 'Beverages']",ANHUI GOLDEN SEED WINERY,6954
7321,Not found,USA,Not found,"['Financial Services', 'Investments', 'Stock Markets, Trading, Capital Markets', 'Technology']",BGC PARTNERS,6962
7322,Not found,France,Not found,"['Technology', 'Computers Hardware']",LA SOCIETE INDUSTRIELLE ET FINANCIERE DE L'ARTOIS,6961
7323,Not found,China,Not found,"['Communication Services', 'Entertainment']","BEIJING FUNSHINE CULTURE MEDIA CO., LTD.",6956
7324,Not found,USA,Not found,"['Healthcare', 'Biotechnology']","REVOLUTION MEDICINES, INC.",6958
7325,Not found,UK,Not found,"['Basic Materials', 'Iron and Steel']",VESUVIUS,6959
7326,Not found,UK,Not found,"['Financial Services', 'Stock Markets, Trading, Capital Markets']",TP ICAP,6957
7327,Not found,Germany,Not found,"['Financial Services', 'Rent / Lease Services']",GRENKE AG,6960
7328,Not found,Brazil,Not found,"['Utilities', 'Electric Utilities']",AES TIETE ENERGIA,6958
7329,Not found,China,Not found,"['Industries', 'Industry Machinery']",KUNSHAN KINGLAI HYGIENIC MATERIALS,6955
7330,Not found,Belgium,1984,"['Technology', 'Software and IT']",AKKA TECHNOLOGIES SE,6971
7331,Not found,USA,Not found,"['Real Estate', 'Consumer Services', 'Property Investments', 'Commercial Properties']",GLOBAL NET LEASE,6968
7332,Not found,Germany,Not found,"['Technology', 'Electronics', 'Consumer Electronics']",BASLER,6969
7333,Not found,Mexico,Not found,"['Real Estate', 'Property Investments']",FIBRA DANHOS,6964
7334,Not found,Hong Kong,2003,['Real Estate'],JIAYUAN INTERNATIONAL GROUP,6963
7335,Not found,India,Not found,"['Technology', 'BPO/SPO', 'Software and IT']",FIRSTSOURCE SOLUTIONS,6967
7336,Not found,China,Not found,"['Industries', 'Railway']",ZHEJIANG TIANTIE INDUSTRY,6966
7337,Not found,USA,Not found,"['Financial Services', 'Asset Management']",TRI-CONTINENTAL CORPORATION,6965
7338,Not found,China,Not found,['Real Estate'],SHANGHAI SMI HOLDING CO. LTD,6970
7339,Not found,USA,Not found,"['Financial Services', 'Insurance']",FBL FINANCIAL GROUP,6962
7340,Not found,USA,Not found,"['Financial Services', 'Shell Company']",KKR ACQUISITION HOLDINGS I CORP.,6972
7341,Not found,China,Not found,"['Industries', 'Construction Materials', 'Real Estate', 'Pharmaceutical', 'Trading', 'Conglomerate']",JILIN YATAI (GROUP),6979
7342,Not found,China,Not found,"['Financial Services', 'Banking Services']",JIANGSU ZHANGJIAGANG RURAL COMMERCIAL BANK,6975
7343,Not found,Canada,Not found,"['Real Estate', 'Commercial Properties', 'Investments', 'Property Investments']",COMINAR REAL ESTATE INVESTMENT TRUST,6977
7344,Not found,Egypt,Not found,"['Communication Services', 'Telecom']",TELECOM EGYPT COMPANY,6976
7345,Not found,China,Not found,"['Technology', 'Software and IT']",DIGITAL CHINA GROUP,6976
7346,Not found,Taiwan,Not found,"['Technology', 'Electronics', 'Capital Goods']",EPISTAR CORPORATION,6975
7347,Not found,Denmark,Not found,"['Energy', 'Oil and Gas']",DRILLING COMPANY OF 1972 A/S,6978
7348,Not found,China,Not found,"['Financial Services', 'Banking Services']",WUXI RURAL COMMERCIAL BANK,6974
7349,Not found,USA,Not found,['Shell Company'],CHURCHILL CAPITAL CORP VII,6973
7350,Not found,China,Not found,"['Industries', 'Batteries']",BLIVEX ENERGY TECHNOLOGY,6988
7351,Not found,UK,Not found,"['Consumer Cyclical', 'Restaurants']",J D WETHERSPOON,6986
7352,Not found,Israel,Not found,"['Consumer Cyclical', 'Hotels']",ISROTEL,6981
7353,Not found,Australia,Not found,"['Financial Services', 'Asset Management']",IOOF HOLDINGS LTD,6985
7354,Not found,China,Not found,"['Basic Materials', 'Chemicals']",SHANGHAI CHLOR-ALKALI CHEMICAL,6980
7355,Not found,China,Not found,"['Technology', 'Electronics', 'Consumer Electronics']",SKYWORTH GROUP,6984
7356,Not found,Australia,Not found,"['Consumer Cyclical', 'Consumer Durables', 'Retail']",BAPCOR,6989
7357,Not found,USA,Not found,"['Financial Services', 'Asset Management']",CORNERSTONE STRATEGIC VALUE FUND,6982
7358,Not found,China,Not found,['Technology'],BEIJING ORIENTAL JICHENG,6983
7359,Not found,Japan,Not found,"['Consumer Defensive', 'FMCG', 'Package Foods', 'Food Products']",ITOHAM YONEKYU HOLDINGS,6987
7360,Not found,Thailand,Not found,"['Communication Services', 'Advertising']",VGI PUBLIC COMPANY,6990
7361,Not found,USA,Not found,"['Energy', 'Oil and Gas', 'Utilities', 'Gas Utilities']",USA COMPRESSION PARTNERS LP,6999
7362,Not found,Bermuda,Not found,['Insurance'],BROOKFIELD ASSET MANAGEMENT REINSURANCE PARTNERS LTD.,6992
7363,Not found,Germany,Not found,"['Financial Services', 'Banking Services']",DEUTSCHE PFANDBRIEFBANK AG,6997
7364,Not found,Austria,Not found,"['Basic Materials', 'Aluminum', 'Metal Fabrication Products']",AMAG AUSTRIA METALL AG,6996
7365,Not found,China,Not found,"['Basic Materials', 'Construction Materials']",CHINA WEST CONSTRUCTION GROUP CO. LTD,6995
7366,Not found,China,Not found,"['Basic Materials', 'Mining']",ADVANCED TECHNOLOGY & MATERIALS,6994
7367,Not found,Japan,Not found,"['Basic Materials', 'Chemicals']",TAIYO HOLDINGS,6998
7368,Not found,Taiwan,Not found,"['Technology', 'Electronics', 'Semiconductors']",ELAN MICROELECTRONICS CORPORATION,6993
7369,Not found,Luxembourg,2011,['Asset Management'],BBGI GLOBAL INFRASTRUCTURE S.A. ,6991
7370,Not found,USA,2008,"['Construction', 'Real Estate']","DREAM FINDERS HOMES, INC.",7009
7371,Not found,Sweden,Not found,"['Consumer Cyclical', 'Automobile Dealers', 'Retail', 'Automobile Service']",BILIA AB (PUBL),7007
7372,Not found,Brazil,Not found,"['Utilities', 'Electric Utilities']",COMPANHIADE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,7004
7373,Not found,Germany,Not found,"['Healthcare', 'Medical Equipment']",STRATEC SE,7008
7374,Not found,China,Not found,"['Industries', 'Electronics', 'Electrical Products']",DONGFANG ELECTRONICS,7001
7375,Not found,Australia,Not found,"['Technology', 'Software and IT', 'Software Products']",IRESS,7005
7376,Not found,UK,Not found,"['Healthcare', 'Pharmaceutical']",CLINIGEN GROUP,7000
7377,Not found,China,Not found,"['Basic Materials', 'Chemicals']","PENGXIN INTERNATIONAL MINING CO.,LTD",7003
7378,Not found,Russia,Not found,"['Industries', 'Shipping']",NOVOROSSIYSK COMMERCIAL SEA PORT,7006
7379,Not found,China,Not found,['Software and IT'],"AGORA, INC.",7002
7380,Not found,South Korea,Not found,"['Financial Services', 'Insurance']",HYUNDAI MARINE & FIRE INSURANCE,7010
7381,Not found,Norway,Not found,"['Technology', 'Software and IT']",CRAYON GROUP HOLDING ASA,7017
7382,Not found,USA,2002,"['Technology', 'Electronics', 'Cameras & Accessories', 'Consumer Electronics']",GOPRO,7018
7383,Not found,China,Not found,"['Technology', 'Software and IT Infrastructure']",SHENZHEN INFOGEM TECHNOLOGIES,7013
7384,Not found,China,Not found,"['Industries', 'Infrastructure']",DONGGUAN DEVELOPMENT (HOLDINGS),7012
7385,Not found,China,Not found,"['Communication Services', 'Software and IT', 'Technology', 'Software Products', 'Advertising']",BITAUTO HOLDINGS,7014
7386,Not found,China,Not found,"['Real Estate', 'Conglomerate']",OCEANWIDE HOLDINGS,7015
7387,Not found,China,Not found,"['Technology', 'Electronics']","NANYA NEW MATERIAL TECHNOLOGY CO.,LTD",7014
7388,Not found,Japan,Not found,"['Consumer Cyclical', 'Retail']",SANRIO COMPANY,7016
7389,Not found,USA,Not found,"['Consumer Cyclical', 'Automobile', 'Electric Vehicles']",CANOO INC.,7011
7390,Not found,China,Not found,"['Industries', 'Logistics', 'Freight Transport']",DEPPON LOGISTICS,7019
7391,Not found,China,Not found,"['Communication Services', 'Technology', 'Entertainment']",HUYA,7028
7392,Not found,UK,Not found,"['Software and IT', 'Technology']",VTEX,7026
7393,Not found,UK,Not found,"['Technology', 'Processors / Chips', 'Semiconductors', 'Technology Hardware and Instruments']",ALPHAWAVE IP GROUP PLC,7027
7394,Not found,Australia,Not found,['Real Estate'],HOME CONSORTIUM LIMITED,7021
7395,Not found,UK,Not found,"['Technology', 'Software and IT Infrastructure', 'Robotics']",BLUE PRISM GROUP,7020
7396,Not found,India,Not found,"['Industries', 'Electrical Products']",CG POWER AND INDUSTRIAL SOLUTIONS,7025
7397,Not found,China,Not found,"['Industries', 'Industry Machinery']",QINGDAO TIANNENG HEAVY INDUSTRIES,7024
7398,Not found,Sweden,Not found,"['Technology', 'Electronics', 'Capital Goods']",NCAB GROUP AB (PUBL),7023
7399,Not found,Israel,1998,"['Consumer Cyclical', 'Hotels']",FATTAL HOLDINGS (1998) LTD,7022
7400,Not found,USA,Not found,"['Financial Services', 'Asset Management']",DOUBLELINE INCOME SOLUTIONS FUND,7035
7401,Not found,Japan,Not found,"['Technology', 'Technology Hardware and Instruments']",AMANO CORPORATION,7033
7402,Not found,USA,Not found,"['Healthcare', 'HealthCare Products', 'Biotechnology', 'Biopharmaceutical']",PROTAGONIST THERAPEUTICS,7030
7403,Not found,Japan,Not found,"['Industries', 'Engineering Services', 'Infrastructure', 'Conglomerate']",MIRAIT HOLDINGS CORPORATION,7032
7404,Not found,USA,2006,"['Technology', 'Software and IT Infrastructure']",REPAY HOLDINGS CORPORATION,7031
7405,Not found,USA,Not found,"['Healthcare', 'Biotechnology', 'Chemicals']",CODEXIS,7037
7406,Not found,Denmark,Not found,"['Technology', 'Internet or Mobile App Based Business', 'Software and IT', 'Social Media']",TRUSTPILOT GROUP PLC,7029
7407,Not found,China,Not found,"['Basic Materials', 'Iron and Steel']",TIANGONG INTERNATIONAL COMPANY LIMITED,7036
7408,Not found,France,Not found,"['Industries', 'Aerospace and Defense']",LISI,7038
7409,Not found,Portugal,Not found,"['Basic Materials', 'Wood Products']",CORTICEIRA AMORIM S.G.P.S,7034
7410,Not found,Japan,Not found,"['Financial Services', 'Banking Services']",KYUSHU FINANCIAL GROUP,7039
7411,Not found,USA,Not found,"['Financial Services', 'Investments']",PIPER JAFFRAY COMPANIES,7045
7412,Not found,Japan,Not found,"['Energy', 'Oil and Gas']",COSMO ENERGY HOLDINGS,7041
7413,Not found,Israel,Not found,"['Technology', 'Software and IT Infrastructure']",RADWARE LTD.,7046
7414,Not found,Canada,Not found,"['Basic Materials', 'Mining', 'Gold Mining', 'Metals']",ELDORADO GOLD CORPORATION,7045
7415,Not found,South Africa,Not found,"['Financial Services', 'Insurance']",LIBERTY HOLDINGS,7043
7416,Not found,Japan,1934,"['Basic Materials', 'Paper and Pulp']",LINTEC CORPORATION,7044
7417,Not found,Japan,Not found,"['Real Estate', 'Property Investments']",TOKYU REIT,7040
7418,Not found,Singapore,Not found,"['Hospitals', 'Healthcare Service']",THOMSON MEDICAL GROUP,7042
7419,Not found,Bermuda,Not found,"['Communication Services', 'Broadcasting', 'Consumer Services']",CENTRAL EUROPEAN MEDIA ENTERPRISES,7040
7420,Not found,China,Not found,['Real Estate'],BEIJING URBAN CONSTRUCTION INVESTMENT & DEVELOPMENT,7047
7421,Not found,China,Not found,"['Technology', 'Software and IT']",CLIENT SERVICE INTERNATIONAL,7054
7422,Not found,UK,Not found,"['Utilities', 'Telecom', 'Internet Providers', 'Gas Utilities', 'Electric Utilities']",TELECOM PLUS,7056
7423,Not found,China,Not found,"['Technology', 'Electronics', 'Consumer Electronics']",DBG TECHNOLOGY,7051
7424,Not found,Japan,Not found,"['Technology', 'Semiconductors']",RORZE CORPORATION,7050
7425,Not found,China,Not found,"['Utilities', 'Gas Utilities']",XINJIANG XINTAI NATURAL GAS,7049
7426,Not found,China,Not found,"['Basic Materials', 'Chemicals']",ZHUZHOU TIMES NEW MATERIAL TECHNOLOGY,7053
7427,Not found,Italy,Not found,"['Industries', 'Infrastructure', 'Railway Vehicles and Railway Components']",SALCEF GROUP S.P.A.,7055
7428,Not found,USA,Not found,"['Communication Services', 'Media', 'Advertising', 'Broadcasting', 'Consumer Services', 'Radio Broadcasting']",E.W. SCRIPPS COMPANY,7048
7429,Not found,Italy,Not found,"['Industries', 'Construction']",MAIRE TECNIMONT,7052
7430,Not found,China,Not found,"['Consumer Defensive', 'FMCG', 'Package Foods', 'Food Products']",YANKER SHOP FOOD,7057
7431,Not found,USA,Not found,"['Real Estate', 'Consumer Services', 'Property Investments']",INDUSTRIAL LOGISTICS PROPERTIES TRUST,7064
7432,Not found,UK,Not found,"['Communication Services', 'Internet or Mobile App Based Business']",BALTIC CLASSIFIEDS GROUP PLC,7065
7433,Not found,USA,Not found,"['Consumer Cyclical', 'Automobile']",HYZON MOTORS INC.,7059
7434,Not found,Finland,Not found,"['Healthcare', 'Hospitals']",TERVEYSTALO OYJ,7062
7435,Not found,Germany,Not found,"['Basic Materials', 'Wood Products']",STEICO SE,7060
7436,Not found,Japan,Not found,"['Consumer Cyclical', 'Gambling', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Leisure']",HEIWA CORPORATION,7063
7437,Not found,China,Not found,"['Technology', 'Electronics']","SINENG ELECTRIC CO.,LTD.",7058
7438,Not found,Japan,Not found,"['Healthcare', 'Medical Equipment']",NAKANISHI,7061
7439,Not found,Netherlands,Not found,"['Financial Services', 'Banking Services']",NIBC HOLDING,7062
7440,Not found,Germany,Not found,"['Consumer Cyclical', 'Retail']",CECONOMY AG,7066
7441,Not found,China,Not found,"['Energy', 'Coal Mining', 'Mining']",HENAN DAYOU ENERGY CO. LTD,7075
7442,Not found,UK,Not found,"['Industries', 'Shipping']",CLARKSON,7072
7443,Not found,Indonesia,Not found,"['Consumer Cyclical', 'Retail']",PT ACE HARDWARE INDONESIA TBK,7068
7444,Not found,Poland,Not found,"['Consumer Cyclical', 'Automobile Parts']",INTER CARS S.A.,7074
7445,Not found,China,Not found,"['Technology', 'Electronics', 'Consumer Electronics']",EDIFIER TECHNOLOGY,7071
7446,Not found,Australia,Not found,"['Basic Materials', 'Mining']",DETERRA ROYALTIES LIMITED,7070
7447,Not found,Russia,Not found,"['Communication Services', 'Gaming']",NEXTERS INC.,7069
7448,Not found,Canada,Not found,"['Industries', 'Iron and Steel']",RUSSEL METALS,7067
7449,Not found,USA,Not found,"['Consumer Cyclical', 'Apparels and Accessories', 'Textile', 'Consumer Non Durables']",OXFORD INDUSTRIES,7073
7450,Not found,UK,Not found,"['Retail', 'Property Investments', 'Commercial Properties']",SUPERMARKET INCOME REIT,7076
7451,Not found,Japan,Not found,"['Technology', 'Semiconductors']",JAPAN MATERIAL,7080
7452,Not found,China,Not found,"['Financial Services', 'Banking Services']",BANK OF TIANJIN,7082
7453,Not found,Ireland,Not found,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Capital Goods']",DELPHI TECHNOLOGIES,7077
7454,Not found,China,Not found,"['Basic Materials', 'Chemicals']",ZHEJIANG HUANGMA TECHNOLOGY,7078
7455,Not found,Austria,1904,"['Financial Services', 'Banking Services']",BANK FUR TIROL UND VORARLBERG AG,7080
7456,Not found,USA,Not found,['Shell Company'],JAWS MUSTANG ACQUISITION CORP,7081
7457,Not found,Australia,1983,"['Basic Materials', 'Chemicals', 'Mining']",PIEDMONT LITHIUM,7081
7458,Not found,Norway,Not found,['Industries'],SPECTRUM ASA,7079
7459,Not found,South Africa,Not found,"['Communication Services', 'Telecom']",TELKOM SA SOC,7077
7460,Not found,China,Not found,"['Consumer Cyclical', 'Tourism', 'Leisure', 'Travel and Transport']",FOSUN TOURISM GROUP,7083
7461,Not found,China,Not found,"['Technology', 'Communications Equipment']",JUSHRI TECHNOLOGIES,7089
7462,Not found,Taiwan,Not found,"['Financial Services', 'Banking Services']",KING'S TOWN BANK,7090
7463,Not found,India,Not found,"['Healthcare', 'Pharmaceutical']",SUVEN PHARMACEUTICALS LIMITED,7087
7464,Not found,UK,2001,['Asset Management'],IP GROUP,7086
7465,Not found,India,Not found,"['Financial Services', 'Banking Services']",UNITED BANK OF INDIA,7088
7466,Not found,South Africa,Not found,"['Consumer Defensive', 'Food and Beverage', 'Food Products', 'Beverages', 'FMCG', 'Package Foods']",AVI,7088
7467,Not found,Cayman Islands,2008,"['Technology', 'Semiconductors']",CREDO TECHNOLOGY GROUP HOLDING LTD,7084
7468,Not found,South Korea,Not found,"['Basic Materials', 'Chemicals']",KOLON INDUSTRIES,7085
7469,Not found,UK,1994,['Asset Management'],LIONTRUST ASSET MANAGEMENT,7084
7470,Not found,China,Not found,"['Technology', 'Software and IT']",BEIJING THUNISOFT,7099
7471,Not found,Thailand,Not found,"['Communication Services', 'Electrical Products']",STARK CORPORATION PUBLIC COMPANY,7097
7472,Not found,USA,Not found,"['Technology', 'Electronics', 'Semiconductors', 'Capital Goods']",OSI SYSTEMS,7092
7473,Not found,Japan,Not found,"['Financial Services', 'Banking Services']",IYO BANK,7096
7474,Not found,Australia,Not found,"['Communication Services', 'Entertainment']",EVENT HOSPITALITY & ENTERTAINMENT,7091
7475,Not found,Japan,1946,"['Industries', 'Software and IT', 'Construction Materials', 'Energy', 'Conglomerate']",MITANI CORPORATION,7094
7476,Not found,USA,Not found,"['Financial Services', 'Insurance']",HORACE MANN EDUCATORS CORPORATION,7095
7477,Not found,Indonesia,Not found,"['Financial Services', 'Banking Services']",PT BANK DANAMON INDONESIA TBK,7093
7478,Not found,UK,1997,['Real Estate'],ATRIUM EUROPEAN REAL ESTATE,7100
7479,Not found,Belgium,Not found,"['Communication Services', 'Entertainment']",KINEPOLIS GROUP NV,7098
7480,Not found,China,Not found,"['Consumer Cyclical', 'Retail']",ANHUI XINHUA MEDIA,7101
7481,Not found,USA,Not found,"['Financial Services', 'Banking Services']",FIRST BUSEY CORPORATION,7102
7482,Not found,China,Not found,"['Healthcare', 'Biotechnology']","BIO-THERA SOLUTIONS, LTD.",7109
7483,Not found,India,Not found,"['Healthcare', 'Pharmacy']",MEDPLUS HEALTH SERVICES LIMITED,7105
7484,Not found,Japan,1997,"['Industries', 'Outsourcing and Staffing']",OUTSOURCING,7105
7485,Not found,China,Not found,"['Basic Materials', 'Mining']",CHINA KINGS RESOURCES GROUP,7106
7486,Not found,South Africa,Not found,"['Consumer Cyclical', 'Retail', 'Department Stores', 'Super Markets', 'Hypermarkets']",PICK N PAY STORES,7107
7487,Not found,Thailand,Not found,"['Consumer Cyclical', 'Retail']",DOHOME PUBLIC COMPANY LIMITED,7108
7488,Not found,USA,Not found,"['Financial Services', 'Banking Services']",FIRST COMMONWEALTH FINANCIAL CORPORATION,7103
7489,Not found,USA,Not found,"['Consumer Defensive', 'Food Products', 'Consumer Services', 'Retail']",INGLES MARKETS,7104
7490,Not found,USA,Not found,"['Financial Services', 'Asset Management']",BLACKROCK SCIENCE AND TECHNOLOGY TRUST,7119
7491,Not found,India,Not found,"['Basic Materials', 'Copper Mining', 'Mining', 'Metals']",HINDUSTAN COPPER,7116
7492,Not found,Japan,1978,"['Industries', 'Logistics', 'Consulting Services']",MARUWA UNYU KIKAN,7112
7493,Not found,Russia,Not found,"['Consumer Defensive', 'FMCG', 'Package Foods', 'Food Products']",CHERKIZOVO GROUP,7115
7494,Not found,Japan,Not found,"['Consumer Defensive', 'Chocolate & Confectionery', 'FMCG']",MORINAGA & COMPANY,7111
7495,Not found,Poland,Not found,"['Consumer Cyclical', 'Restaurants']",AMREST HOLDINGS SE,7110
7496,Not found,South Africa,Not found,"['Basic Materials', 'Paper and Pulp']",SAPPI,7114
7497,Not found,China,Not found,"['Healthcare', 'Pharmaceutical', 'HealthCare Products']",SHANGHAI SHYNDEC PHARMACEUTICAL,7117
7498,Not found,USA,Not found,"['Industries', 'Construction Materials', 'Capital Goods', 'Heavy Machinery']",ASTEC INDUSTRIES,7118
7499,Not found,Belgium,1980,"['Financial Services', 'Asset Management']",GIMV NV,7113
7500,Not found,Taiwan,Not found,"['Financial Services', 'Banking Services']",UNION BANK OF TAIWAN,7120
7501,Not found,India,Not found,"['Basic Materials', 'Oil and Gas', 'Chemicals']",CASTROL INDIA,7129
7502,Not found,Taiwan,Not found,"['Industries', 'Home Furnishing', 'Metal Products Manufacturing', 'Metal Fabrication Products']",KING SLIDE WORKS,7123
7503,Not found,USA,1996,"['Healthcare', 'HealthCare Products', 'Biotechnology', 'Biopharmaceutical', 'Pharmaceutical']",DYNAVAX TECHNOLOGIES CORPORATION,7127
7504,Not found,China,Not found,"['Communication Services', 'Internet or Mobile App Based Business']",COL DIGITAL PUBLISHING GROUP,7126
7505,Not found,Israel,Not found,"['Energy', 'Oil and Gas']",DELEK GROUP,7125
7506,Not found,China,Not found,"['Communication Services', 'Publishing']",CENTRAL CHINA LAND MEDIA,7124
7507,Not found,China,Not found,"['Industries', 'Engineering Products', 'Engineering Services', 'Electrical Products']",JIANGSU ANKURA SMART TRANSMISSION ENGINEERING TECHNOLOGY CO.LTD,7121
7508,Not found,Sweden,Not found,"['Healthcare', 'Medical Equipment']",BIOTAGE AB,7128
7509,Not found,China,Not found,"['Industries', 'Construction']",CHANGJIANG & JINGGONG STEEL BUILDING (GROUP) CO. LTD,7122
7510,Not found,USA,1982,['Airlines'],"SUN COUNTRY AIRLINES HOLDINGS, INC.",7130
7511,Not found,Indonesia,Not found,['Real Estate'],PT PAKUWON JATI TBK,7139
7512,Not found,France,Not found,"['Financial Services', 'Asset Management']",FINANCIERE MONCEY SA,7135
7513,Not found,India,Not found,"['Industries', 'Outsourcing and Staffing']",QUESS CORP,7133
7514,Not found,Hong Kong,Not found,"['Industries', 'Conglomerate', 'Infrastructure', 'Real Estate', 'Consumer Goods', 'Pharmaceutical']",SHANGHAI INDUSTRIAL HOLDINGS,7134
7515,Not found,USA,Not found,"['Financial Services', 'Banking Services']",CAPITOL FEDERAL FINANCIAL,7137
7516,Not found,China,Not found,"['Basic Materials', 'Chemicals']","ZHEJIANG HAILIDE NEW MATERIAL CO.,LTD",7132
7517,Not found,Taiwan,1977,"['Technology', 'Security Systems and Solutions']",TAIWAN SECOM,7138
7518,Not found,USA,Not found,"['Consumer Defensive', 'FMCG', 'Consumer Non Durables']",E.L.F. BEAUTY,7136
7519,Not found,Japan,Not found,"['Real Estate', 'Property Investments', 'Commercial Properties']",MORI TRUST SOGO REIT,7131
7520,Not found,China,Not found,"['Software and IT', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Education']",TALKWEB INFORMATION SYSTEM,7149
7521,Not found,China,Not found,"['Industries', 'Electrical Products']","SHANGHAI QIFAN CABLE CO., LTD",7147
7522,Not found,Chile,Not found,"['Utilities', 'Renewable Energy']",AES ANDES S.A.,7144
7523,Not found,USA,Not found,"['Technology', 'Electronics', 'Electrical Products', 'Capital Goods', 'PCB']",TTM TECHNOLOGIES,7141
7524,Not found,China,Not found,"['Healthcare', 'Pharmaceutical', 'HealthCare Products', 'Medical Equipment']",SHENYANG XINGQI PHARMACEUTICAL,7146
7525,Not found,China,Not found,"['Consumer Cyclical', 'Retail', 'Beauty and Personal Care', 'Personal Care Products', 'Cosmetics']",JIAJIAYUE GROUP,7145
7526,Not found,China,Not found,"['Industries', 'Electrical Products', 'Industrial Electrical Electronics', 'Office Equipment']",QINGDAO HIRON COMMERCIAL COLD CHAIN,7143
7527,Not found,Indonesia,Not found,"['Energy', 'Coal Mining', 'Mining']",PT INDO TAMBANGRAYA MEGAH TBK,7148
7528,Not found,China,Not found,"['Industries', 'Electronics', 'Electrical Products']",SHENZHEN SUNNYPOL OPTOELECTRONICS,7142
7529,Not found,China,Not found,"['Basic Materials', 'Cement', 'Construction Materials']",JIANGXI WANNIANQING CEMENT,7140
7530,Not found,China,Not found,"['Technology', 'Communications Equipment']",FIH MOBILE,7150
7531,Not found,Japan,Not found,"['Consumer Defensive', 'Beauty and Personal Care', 'Chemicals', 'Personal Care Products', 'FMCG']",MILBON,7158
7532,Not found,Japan,Not found,"['Basic Materials', 'Iron and Steel', 'Metals']",DAIDO STEEL,7159
7533,Not found,USA,Not found,"['Software and IT', 'Cloud Services', 'Technology', 'Financial Services']","BLEND LABS, INC.",7153
7534,Not found,Poland,Not found,"['Infrastructure', 'Construction']",BUDIMEX SA,7156
7535,Not found,Taiwan,Not found,"['Basic Materials', 'Mining', 'Iron and Steel', 'Metals']",YIEH PHUI ENTERPRISE,7155
7536,Not found,China,Not found,"['Industries', 'Heavy Machinery']",SUNWARD INTELLIGENT EQUIPMENT,7157
7537,Not found,China,Not found,"['Consumer Cyclical', 'Packaging']",SHANDONG LIPENG,7152
7538,Not found,USA,1988,"['Healthcare', 'Biotechnology', 'Technology', 'HealthCare Products', 'Health Care Diagnostics']",HESKA CORPORATION,7154
7539,Not found,China,Not found,"['Consumer Defensive', 'Animal Feed', 'Farming / Seeds / Milling']",FUJIAN AONONG BIOLOGICAL TECHNOLOGY GROUP INCORPORATION,7151
7540,Not found,Singapore,Not found,"['Consumer Defensive', 'Retail']",SHENG SIONG GROUP LTD,7169
7541,Not found,Singapore,Not found,"['Real Estate', 'Construction']",YANLORD LAND GROUP,7167
7542,Not found,Spain,1978,"['Consumer Cyclical', 'Hotels']",NH HOTEL GROUP,7166
7543,Not found,China,Not found,"['Utilities', 'Electric Utilities']",DATANG HUAYIN ELECTRIC POWER CO. LTD,7165
7544,Not found,China,Not found,"['Technology', 'Electronics', 'Semiconductors']",SUZHOU GOOD-ARK ELECTRONICS,7162
7545,Not found,China,Not found,"['Healthcare', 'Pharmaceutical']",LUYE PHARMA GROUP,7161
7546,Not found,India,Not found,['Financial Services'],CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,7164
7547,Not found,Netherlands,Not found,"['Financial Services', 'Stock Markets, Trading, Capital Markets']",FLOW TRADERS,7163
7548,Not found,China,Not found,"['Consumer Cyclical', 'Textile']",HMT (XIAMEN) NEW TECHNICAL MATERIALS CO. LTD,7168
7549,Not found,USA,Not found,"['Consumer Cyclical', 'Construction Materials', 'Capital Goods', 'Construction']",M/I HOMES,7160
7550,Not found,USA,Not found,"['Technology', 'Software and IT', 'Internet or Mobile App Based Business']",EVENTBRITE,7170
7551,Not found,USA,Not found,"['Healthcare', 'Medical Equipment']",BICO GROUP AB (PUBL),7177
7552,Not found,Finland,Not found,"['Industries', 'Rent / Lease Services']",RAMIRENT OYJ,7177
