,company_ipo_year,company_country,company_ceo,company_founded,company_revenue,company_name
786,,USA,Jack A Fusco,1996.0,27.52 Billion USD,CHENIERE ENERGY
787,,Colombia,Felipe Bayon,1951.0,27.47 Billion USD,ECOPETROL
788,,USA,Patricia K. Poppe,1905.0,27.47 Billion USD,PACIFIC GAS & ELECTRIC CORPORATION
789,,China,,2003.0,27.41 Billion USD,SHENZHEN INOVANCE TECHNOLOGY
790,,China,,2000.0,27.34 Billion USD,GANFENG LITHIUM
791,,USA,Adam H Schechter,1978.0,27.30 Billion USD,LABORATORY CORPORATION OF AMERICA HOLDINGS
792,,Ireland,Edmond Scanlon,1972.0,27.28 Billion USD,KERRY GROUP
793,,France,,1896.0,24.16 Billion USD,PEUGEOT
794,,Taiwan,Stan Hung,1980.0,27.28 Billion USD,UNITED MICROELECTRONICS CORPORATION
795,,USA,Peter M Kern,1996.0,27.26 Billion USD,EXPEDIA GROUP
796,,China,,2005.0,27.21 Billion USD,SHENZHOU INTERNATIONAL GROUP HOLDINGS
797,,China,,1997.0,27.20 Billion USD,QINGHAI SALT LAKE INDUSTRY
798,,USA,Patrick J Ottensmeyer,1887.0,27.20 Billion USD,KANSAS CITY SOUTHERN
799,,Japan,Masatoshi Kimata,1890.0,27.15 Billion USD,KUBOTA CORPORATION
800,,Canada,Galen G. Weston,1919.0,27.07 Billion USD,LOBLAW COMPANIES
801,,China,Zhang Jinliang,1992.0,27.05 Billion USD,CHINA EVERBRIGHT BANK COMPANY
802,,USA,Jim Snee,1891.0,27.05 Billion USD,HORMEL FOODS CORPORATION
803,,China,,2014.0,,WEBANK
804,,Germany,Stephan Sturm,1912.0,27.03 Billion USD,FRESENIUS SE
805,1986.0,USA,David T. Feinberg,1979.0,26.98 Billion USD,CERNER CORPORATION
806,,Ireland,Peter Jackson,2016.0,26.93 Billion USD,FLUTTER ENTERTAINMENT
807,,Saudi Arabia,Fahad bin Hussein Al-Sudairi,2000.0,26.93 Billion USD,SAUDI ELECTRICITY COMPANY
808,2013.0,USA,Christine A Leahy,1984.0,26.93 Billion USD,CDW CORPORATION
809,,USA,Michael G. O'Grady,1889.0,26.93 Billion USD,NORTHERN TRUST CORPORATION
810,,Taiwan,,1968.0,26.91 Billion USD,EVERGREEN MARINE CORPORATION (TAIWAN)
811,2018.0,USA,Dan Springer,2003.0,26.90 Billion USD,DOCUSIGN
812,,Netherlands,Dolf van den Brink,1864.0,26.89 Billion USD,HEINEKEN HOLDING
813,,China,,1995.0,26.88 Billion USD,CHINA INTERNATIONAL CAPITAL CORPORATION
814,,USA,Robert E Jordan,1967.0,26.84 Billion USD,SOUTHWEST AIRLINES
815,,USA,John B. Hess,1933.0,26.83 Billion USD,HESS CORPORATION
816,,USA,Greg Maffei,2014.0,26.77 Billion USD,LIBERTY BROADBAND CORPORATION
817,,USA,Bryan C. Hanson,1927.0,26.77 Billion USD,ZIMMER BIOMET HOLDINGS
818,1994.0,USA,C. Howard Nye,1949.0,26.77 Billion USD,MARTIN MARIETTA MATERIALS
819,,Canada,Brad Corson,1880.0,26.73 Billion USD,IMPERIAL OIL
