,company_ipo_year,company_country,company_ceo,company_founded,company_revenue,company_name
318,,USA,Michael F. Mahoney,1979.0,60.01 Billion USD,BOSTON SCIENTIFIC CORPORATION
319,,Saudi Arabia,Olayan M. Alwetaid,1998.0,59.86 Billion USD,SAUDI TELECOM COMPANY (STC)
320,,UK,DUNCAN WANBLAD,1917.0,59.39 Billion USD,ANGLO AMERICAN
321,,Germany,Reinhard Ploss,1999.0,59.35 Billion USD,INFINEON TECHNOLOGIES AG
322,,Russia,Vagit Alekperov,1991.0,59.25 Billion USD,PJSC LUKOIL
323,,Japan,Masayoshi Son,1981.0,59.24 Billion USD,SOFTBANK CORP.
324,,USA,Phebe Novakovic,1952.0,59.22 Billion USD,GENERAL DYNAMICS CORPORATION
325,,Australia,Peter Kenneth Allen,2014.0,59.07 Billion USD,SCENTRE GROUP
326,2010.0,Netherlands,"Kurt Sievers
Richard L. Clemmer",2006.0,58.86 Billion USD,NXP SEMICONDUCTORS
327,,India,Vinay M Tonse,1955.0,58.77 Billion USD,STATE BANK OF INDIA
328,2015.0,UK,Erik Engstrom,1993.0,58.74 Billion USD,RELX
329,,China,Lei Jun,2010.0,58.45 Billion USD,XIAOMI CORPORATION
330,,Australia,Shemara Wikramanayake,1969.0,116.67 Billion USD,MACQUARIE GROUP
331,2000.0,USA,Francis deSouza,1998.0,57.89 Billion USD,ILLUMINA
332,,USA,Andrew Anagnost,1982.0,57.70 Billion USD,AUTODESK
333,,Switzerland,Pierre-Alain Ruffieux,1897.0,57.62 Billion USD,LONZA GROUP
334,,Australia,Shayne Elliott,1835.0,57.48 Billion USD,ANZ BANKING GROUP
335,,USA,Ezra Yacob,1999.0,57.43 Billion USD,EOG RESOURCES
336,2002.0,China,Jie Yang,1995.0,57.14 Billion USD,CHINA TELECOM CORPORATION
337,,Australia,Peter King,1982.0,57.03 Billion USD,WESTPAC BANKING CORPORATION
338,,USA,Lal Karsanbhai,1890.0,57.00 Billion USD,EMERSON ELECTRIC COMPANY
339,2000.0,USA,Michel A. Khalaf,1868.0,56.58 Billion USD,METLIFE
340,1991.0,USA,Reshma Kewalramani,1989.0,56.41 Billion USD,VERTEX PHARMACEUTICALS
341,,China,,1949.0,56.40 Billion USD,SHANXI XINGHUACUN FEN WINE FACTORY
342,1997.0,Netherlands,Steven van Rijswijk,1991.0,56.18 Billion USD,ING GROUP
343,,Japan,Toshiaki Higashihara,1910.0,56.15 Billion USD,HITACHI
344,,Germany,Rolf Habben Jansen,1970.0,56.00 Billion USD,HAPAG-LLOYD
345,,Canada,Victor G. Dodig,1961.0,55.94 Billion USD,CANADIAN IMPERIAL BANK OF COMMERCE
346,,USA,George Oliver,1885.0,55.83 Billion USD,JOHNSON CONTROLS INTERNATIONAL
347,,China,,2005.0,55.66 Billion USD,"YIHAI KERRY ARAWANA HOLDINGS CO., LTD"
348,,Canada,Tim S McKay,1973.0,55.65 Billion USD,CANADIAN NATURAL RESOURCES
349,,Austria,Michael Strugl,1947.0,55.64 Billion USD,VERBUND AG
350,,Switzerland,Paul Schuler,1910.0,55.61 Billion USD,SIKA AG
351,,USA,Christopher M. Crane,2000.0,55.41 Billion USD,EXELON CORPORATION
352,,Russia,,1996.0,55.25 Billion USD,OPEN JOINT STOCK COMPANY OMZ
353,2009.0,USA,Todd J Vasos,1939.0,55.21 Billion USD,DOLLAR GENERAL CORPORATION
354,,UAE,Hana Al Rostamani,2017.0,55.05 Billion USD,FIRST ABU DHABI BANK
355,,USA,Stefan Bird,1910.0,55.00 Billion USD,PACIFICORP
356,,Canada,Steve Hasker,2008.0,54.85 Billion USD,THOMSON REUTERS CORPORATION
357,,Germany,Kasper Rorsted,1924.0,54.84 Billion USD,ADIDAS
358,,China,,2004.0,54.82 Billion USD,EAST MONEY INFORMATION
359,2007.0,Argentina,Stelleo Passos Tolda,1999.0,54.77 Billion USD,MERCADOLIBRE
360,,Japan,Shuntaro Furukawa,1889.0,54.63 Billion USD,NINTENDO
361,,Germany,Werner Baumann,1863.0,54.46 Billion USD,BAYER
362,,France,Olivier Andries,2005.0,54.38 Billion USD,SAFRAN
363,,China,,1573.0,54.32 Billion USD,LUZHOU LAOJIAO
364,,USA,Anthony Capuano,1927.0,54.28 Billion USD,MARRIOTT INTERNATIONAL
365,,India,Thierry Delaporte,1945.0,54.26 Billion USD,WIPRO
366,,Italy,Carlo Messina,2007.0,53.95 Billion USD,INTESA SANPAOLO
367,,China,,1984.0,53.66 Billion USD,GREAT WALL MOTOR COMPANY
368,,Japan,Tadashi Yanai,1963.0,53.64 Billion USD,FAST RETAILING
369,,UK,David Schwimmer,2007.0,53.54 Billion USD,LONDON STOCK EXCHANGE GROUP
370,,Taiwan,Yang-wei Liu,1974.0,53.43 Billion USD,HON HAI PRECISION INDUSTRY
371,2005.0,China,Robin Li,2000.0,53.37 Billion USD,BAIDU
372,,Japan,Tatsuro Kosaka,1943.0,53.00 Billion USD,CHUGAI PHARMACEUTICAL
373,,USA,David Simon,1993.0,53.00 Billion USD,SIMON PROPERTY GROUP
374,,USA,Robert Gamgort,1981.0,52.89 Billion USD,KEURIG DR PEPPER
375,,China,,1993.0,52.74 Billion USD,S.F. HOLDING
376,,USA,,,,IKEA
377,,Denmark,Jens Bjorn Andersen,1976.0,52.51 Billion USD,DSV PANALPINA
378,,China,XIE Yonglin,1995.0,52.30 Billion USD,PING AN BANK
379,,UK,John Pettigrew,1990.0,52.12 Billion USD,NATIONAL GRID TRANSCO
380,2012.0,USA,Nikesh Arora,2005.0,51.85 Billion USD,PALO ALTO NETWORKS
381,,Switzerland,Terrence Curtin,2007.0,51.74 Billion USD,TE CONNECTIVITY
382,,Italy,Claudio Descalzi,1953.0,51.73 Billion USD,ENI S.P.A.
383,,China,,2004.0,51.65 Billion USD,LUXSHARE PRECISION INDUSTRY
384,,India,Gopal Vittal,1995.0,51.52 Billion USD,BHARTI AIRTEL
385,,USA,Thomas P Gibbons,2007.0,51.47 Billion USD,THE BANK OF NEW YORK MELLON CORPORATION
386,2009.0,USA,Ken Xie,2000.0,51.45 Billion USD,FORTINET
387,,Germany,,2008.0,51.38 Billion USD,BIONTECH SE
388,,Japan,Hiroshi Suzuki,1941.0,51.22 Billion USD,HOYA CORPORATION
389,,Qatar,Abdulla Mubarak Al-Khalifa,1964.0,51.15 Billion USD,QATAR NATIONAL BANK
390,,USA,Eric Yuan,2011.0,51.14 Billion USD,ZOOM VIDEO COMMUNICATIONS
391,,USA,A. James Teague,1968.0,51.06 Billion USD,ENTERPRISE PRODUCTS PARTNERS
392,,China,Deqi Ren,1908.0,51.06 Billion USD,BANK OF COMMUNICATIONS
393,,China,,1997.0,51.00 Billion USD,JIANGSU HENGRUI MEDICINE
394,,UK,Charlie Nunn,2009.0,51.00 Billion USD,LLOYDS BANKING GROUP
395,,Japan,Toshihiro Mibe,1946.0,50.89 Billion USD,HONDA MOTOR
396,,Japan,Tsuneo Murata,1944.0,50.87 Billion USD,MURATA MANUFACTURING
397,1992.0,USA,Chi-Foon Chan,1986.0,50.69 Billion USD,SYNOPSYS
398,,China,,1998.0,50.60 Billion USD,WANHUA CHEMICAL GROUP
399,2007.0,USA,Rangarajan Raghuram,1998.0,50.55 Billion USD,VMWARE
400,,Japan,Toshio Kagami,1960.0,50.54 Billion USD,ORIENTAL LAND
401,,India,Uday Kotak,2003.0,50.49 Billion USD,KOTAK MAHINDRA BANK
402,,USA,Peter Zaffino,1919.0,50.43 Billion USD,AMERICAN INTERNATIONAL GROUP (AIG)
403,1996.0,UK,Lance Uggla,1959.0,50.25 Billion USD,IHS MARKIT
404,,China,,2000.0,50.14 Billion USD,WUXI APPTEC
405,,USA,Bobby Kotick,2008.0,49.88 Billion USD,ACTIVISION BLIZZARD
406,,USA,Hilton Schlosberg,1935.0,49.77 Billion USD,MONSTER BEVERAGE CORPORATION
407,,UAE,,,,FIRST GULF BANK
408,,Mexico,Oscar Gonzalez Rocha,1952.0,49.75 Billion USD,SOUTHERN COPPER CORPORATION
409,,Finland,"Frank Vang-Jensen
Casper von Koskull",2000.0,49.61 Billion USD,NORDEA BANK ABP
410,,UK,Charles F. Lowrey,1848.0,49.34 Billion USD,PRUDENTIAL
411,,Japan,Makoto Takashima,2002.0,49.24 Billion USD,SUMITOMO MITSUI FINANCIAL GROUP
412,2001.0,China,Yang Hua,1999.0,49.17 Billion USD,CNOOC LIMITED
413,,USA,Olivier Le Peuch,1926.0,49.13 Billion USD,SCHLUMBERGER
414,,USA,Richard Adam Norwitt,1932.0,49.11 Billion USD,AMPHENOL CORPORATION
415,2013.0,USA,Ari Bousbib,1982.0,49.08 Billion USD,IQVIA HOLDINGS
416,2021.0,USA,David Baszucki,2004.0,48.84 Billion USD,ROBLOX CORP
417,,China,,1995.0,48.79 Billion USD,CITIC SECURITIES COMPANY
418,1992.0,USA,Neil Hunn,1981.0,48.67 Billion USD,ROPER TECHNOLOGIES
419,,USA,Scott D. Sheffield,1997.0,48.60 Billion USD,PIONEER NATURAL RESOURCES COMPANY
420,,USA,Michael D. Hsu,1872.0,48.40 Billion USD,KIMBERLY-CLARK CORPORATION
421,,Sweden,Christian Sinding,1994.0,48.28 Billion USD,EQT AB (PUBL)
422,1990.0,USA,Victor Peng,1984.0,48.22 Billion USD,XILINX
423,,Japan,Takehiko Kakiuchi,1950.0,48.17 Billion USD,MITSUBISHI CORPORATION
424,,Canada,Francois Poirier,1951.0,47.88 Billion USD,TC ENERGY CORPORATION
425,,Germany,,,,EDEKA GROUP
426,,Australia,Rob Scott,1914.0,47.59 Billion USD,WESFARMERS
427,,UK,C. S. Venkatakrishnan,1896.0,47.54 Billion USD,BARCLAYS PLC
428,,Canada,Mirko Bibic,1983.0,47.39 Billion USD,BCE (Bell Canada Enterprises)
429,,USA,Tom Palmer,1921.0,47.39 Billion USD,NEWMONT CORPORATION
430,,UK,Simon A Borrows,1945.0,47.30 Billion USD,3I GROUP
431,,Russia,Vladimir Potanin,1993.0,47.23 Billion USD,MMC NORILSK NICKEL
432,,India,C Vijayakumar,1976.0,46.93 Billion USD,HCL TECHNOLOGIES
433,,Denmark,Mads Nipper,2006.0,46.81 Billion USD,ORSTED A/S
434,,USA,Bruce D. Broussard,1961.0,46.68 Billion USD,HUMANA
435,1991.0,USA,Jay Mazelsky,1983.0,46.66 Billion USD,IDEXX LABORATORIES
436,,China,,2014.0,46.60 Billion USD,NIO INC
437,,South Korea,John Rim,2011.0,46.57 Billion USD,SAMSUNG BIOLOGICS
438,,USA,Rosalind Brewer,2014.0,46.52 Billion USD,WALGREENS BOOTS ALLIANCE
439,1983.0,USA,Martin Mucci,1971.0,46.48 Billion USD,PAYCHEX
440,,China,,1992.0,46.40 Billion USD,MUYUAN FOODS
441,,France,Philippe Brassac,1894.0,46.25 Billion USD,CREDIT AGRICOLE
442,,USA,Bill Newlands,1995.0,46.22 Billion USD,CONSTELLATION BRANDS
443,,Switzerland,Gilles Andrier,1895.0,46.07 Billion USD,GIVAUDAN SA
444,,USA,Anirudh Devgan,1988.0,46.01 Billion USD,CADENCE DESIGN SYSTEMS
445,1993.0,USA,Gregory D. Johnson,1957.0,45.97 Billion USD,O'REILLY AUTOMOTIVE
446,,India,Amit Syngle,1942.0,45.95 Billion USD,ASIAN PAINTS
447,2007.0,Canada,,1998.0,45.93 Billion USD,LULULEMON ATHLETICA
448,,USA,,2002.0,,SPACEX
449,,USA,,2010.0,,STRIPE
450,1998.0,USA,Brian Humphries,1994.0,45.92 Billion USD,COGNIZANT TECHNOLOGY SOLUTIONS
451,,Japan,Masahiro Okafuji,1949.0,45.88 Billion USD,ITOCHU CORPORATION
452,2011.0,Ireland,Kevin P. Clark,1994.0,45.84 Billion USD,APTIV
453,,USA,Miguel Patricio,2015.0,45.72 Billion USD,KRAFT HEINZ COMPANY
454,2004.0,USA,A. William Stein,2001.0,45.71 Billion USD,DIGITAL REALTY TRUST
455,2005.0,USA,Kevin R. Sayer,1999.0,45.70 Billion USD,DEXCOM
456,,USA,Henry A. Fernandez,1969.0,45.51 Billion USD,MSCI
457,2021.0,South Korea,Bom Suk Kim,2010.0,45.49 Billion USD,"COUPANG, INC."
458,1993.0,USA,Ganesh Moorthy,1989.0,45.46 Billion USD,MICROCHIP TECHNOLOGY
459,,Switzerland,Jean-Marc Chery,1987.0,45.43 Billion USD,STMICROELECTRONICS
460,2020.0,USA,Tony Xu,2013.0,45.38 Billion USD,DOORDASH
461,,USA,Nick Akins,1906.0,45.07 Billion USD,AMERICAN ELECTRIC POWER COMPANY
462,,Australia,Elizabeth Gaines,2003.0,45.03 Billion USD,FORTESCUE METALS GROUP
463,2006.0,USA,Brian Niccol,1993.0,44.96 Billion USD,CHIPOTLE MEXICAN GRILL
464,,USA,,,,TRAFIGURA
465,,Ireland,,1871.0,44.96 Billion USD,TRANE TECHNOLOGIES PLC
466,,USA,,2002.0,,LINKEDIN
467,,USA,David Gitlin,1915.0,44.92 Billion USD,CARRIER GLOBAL
468,,USA,Olivier Pomel,2010.0,44.87 Billion USD,DATADOG
469,,USA,Michael F. Neidorff,1984.0,44.55 Billion USD,CENTENE CORPORATION
470,,Bermuda,Benjamin William Keswick,1832.0,44.51 Billion USD,JARDINE MATHESON HOLDINGS
471,,USA,Michael S. Dell,1984.0,44.30 Billion USD,DELL TECHNOLOGIES
472,,South Korea,Hak Cheol Shin,1947.0,44.15 Billion USD,LG CHEM
473,,USA,Jeffrey W. Martin,1998.0,44.14 Billion USD,SEMPRA ENERGY
474,,Indonesia,,1895.0,44.01 Billion USD,PT BANK RAKYAT INDONESIA (PERSERO) TBK
475,1986.0,USA,William J Stromberg,1937.0,43.91 Billion USD,T. ROWE PRICE GROUP
476,1999.0,USA,Michael R. McMullen,1999.0,43.84 Billion USD,AGILENT TECHNOLOGIES
477,,USA,Jose E. Almeida,1931.0,43.79 Billion USD,BAXTER INTERNATIONAL
478,,USA,Fitterling,2019.0,43.71 Billion USD,DOW Inc
479,,USA,Michael J. Hennigan,2009.0,43.66 Billion USD,MARATHON PETROLEUM CORPORATION
480,,China,,2014.0,43.63 Billion USD,WUXI BIOLOGICS (CAYMAN)
481,,USA,Jeffrey S. Sloan,1967.0,43.58 Billion USD,GLOBAL PAYMENTS
482,,China,,2005.0,43.54 Billion USD,COSCO SHIPPING HOLDINGS
483,,USA,Charles F. Lowrey,1875.0,43.39 Billion USD,PRUDENTIAL FINANCIAL
484,,Hong Kong,David Hsu,1832.0,37.91 Billion USD,JARDINE STRATEGIC HOLDINGS
485,,USA,George Kurtz,2011.0,43.34 Billion USD,CROWDSTRIKE HOLDINGS
486,,China,,1984.0,43.25 Billion USD,HAIER SMART HOME
487,,Japan,Katsunori Maruyama,1959.0,43.22 Billion USD,SMC CORPORATION
488,,Germany,Joachim Wenning,1880.0,43.18 Billion USD,MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT
489,2021.0,Brazil,David Velez Osorno,2013.0,43.14 Billion USD,NU HOLDINGS LTD.
490,2001.0,USA,Joseph M. Hogan,1997.0,43.13 Billion USD,ALIGN TECHNOLOGY
491,,USA,Chris Kubasik,2019.0,43.12 Billion USD,L3HARRIS TECHNOLOGIES
492,2017.0,USA,Edward D. Breen,1897.0,43.10 Billion USD,DUPONT DE NEMOURS
493,,Japan,Christophe Weber,1781.0,43.09 Billion USD,TAKEDA PHARMACEUTICAL COMPANY
494,,USA,Gregory W. Becker,1983.0,43.03 Billion USD,SVB FINANCIAL GROUP
495,,UK,Nick Read,1982.0,43.01 Billion USD,VODAFONE GROUP
496,2018.0,Sweden,Daniel Ek,2006.0,42.83 Billion USD,SPOTIFY TECHNOLOGY
497,,Ireland,Brian Cassin,1996.0,42.82 Billion USD,EXPERIAN
498,,USA,Greg Brown,2011.0,42.66 Billion USD,MOTOROLA SOLUTIONS
499,1998.0,USA,Jon Vander Ark,1998.0,42.42 Billion USD,REPUBLIC SERVICES
500,2016.0,USA,Christopher J. Nassetta,1919.0,42.37 Billion USD,HILTON WORLDWIDE HOLDINGS
501,,Canada,Brian P. Hannasch,1980.0,42.17 Billion USD,ALIMENTATION COUCHE-TARD
502,,South Korea,Choi Soo-yeon,1999.0,42.08 Billion USD,NAVER CORPORATION
503,,Japan,Kentaro Kawabe,1996.0,41.97 Billion USD,Z HOLDINGS CORPORATION
504,,Germany,Rolf Eberhard Buch,2001.0,41.88 Billion USD,VONOVIA SE
505,,USA,Enrique Lores,1939.0,41.85 Billion USD,HP INC
506,2014.0,UK,,2014.0,36.50 Billion USD,FIAT CHRYSLER AUTOMOBILES
507,,USA,Thomas L. Williams,1918.0,41.61 Billion USD,PARKER-HANNIFIN CORPORATION
508,,Spain,Onur Genc,1999.0,41.59 Billion USD,BANCO BILBAO VIZCAYA ARGENTARIA
509,,USA,William C. Rhodes III,1979.0,41.57 Billion USD,AUTOZONE
510,1998.0,USA,Jamie Iannone,1995.0,41.52 Billion USD,EBAY
511,2011.0,USA,Marc Rowan,1990.0,41.38 Billion USD,APOLLO GLOBAL MANAGEMENT
512,,USA,Jeff Harmening,1928.0,41.36 Billion USD,GENERAL MILLS
513,,USA,Kevin Hourican,1969.0,41.25 Billion USD,SYSCO CORPORATION
514,1983.0,USA,Todd M. Schneider,1968.0,41.23 Billion USD,CINTAS CORPORATION
515,,Japan,Yoshiharu Inaba,1958.0,41.13 Billion USD,FANUC CORPORATION
516,,USA,Dan Amos,1955.0,41.12 Billion USD,AFLAC
517,,UK,Dominic Blakemore,1941.0,41.11 Billion USD,COMPASS GROUP
518,,India,Ignatius Navil Noronha,2000.0,41.07 Billion USD,AVENUE SUPERMARTS
519,2016.0,USA,Jeff Lawson,2008.0,41.05 Billion USD,TWILIO
520,,Ireland,Albert Manifold,1970.0,41.04 Billion USD,CRH PLC
521,,South Korea,Chang Jae-hoon,1967.0,41.03 Billion USD,HYUNDAI MOTOR COMPANY
522,,Japan,Satoru Komiya,1879.0,40.96 Billion USD,TOKIO MARINE HOLDINGS
523,,USA,Alan D. Schnitzer,1853.0,40.90 Billion USD,THE TRAVELERS COMPANIES
524,,Switzerland,Veronique Penchienati Bosetta,1919.0,40.80 Billion USD,DANONE
525,,Japan,Sunao Manabe,2005.0,40.77 Billion USD,DAIICHI SANKYO COMPANY
526,2013.0,Brazil,Jean Jereissati,1999.0,40.76 Billion USD,AMBEV
527,,China,,1997.0,40.67 Billion USD,BANK OF NINGBO
528,,USA,Henry R. Kravis,1976.0,40.66 Billion USD,KKR & CO
529,,Sweden,Ola Rollen,1992.0,40.65 Billion USD,HEXAGON AB (PUBL)
530,,Switzerland,David Layton,1996.0,40.54 Billion USD,PARTNERS GROUP HOLDING AG
531,,USA,Sumit Roy,1969.0,40.40 Billion USD,REALTY INCOME CORPORATION
532,,USA,Michele Buck,1894.0,40.35 Billion USD,THE HERSHEY COMPANY
533,,China,,1993.0,40.25 Billion USD,INNER MONGOLIA YILI INDUSTRIAL GROUP
534,2020.0,China,,2014.0,40.18 Billion USD,XPENG MOTORS
535,,China,Ji Xiaohui,1993.0,40.06 Billion USD,SHANGHAI PUDONG DEVELOPMENT BANK
536,,USA,Michael H. McGarry,1882.0,39.82 Billion USD,PPG INDUSTRIES
537,2014.0,USA,Jayshree Ullal,2004.0,39.79 Billion USD,ARISTA NETWORKS
538,,Switzerland,David J. Endicott,1945.0,39.77 Billion USD,ALCON
539,,USA,David Gibbs,1997.0,39.68 Billion USD,YUM! BRANDS
540,2018.0,Canada,,2018.0,39.46 Billion USD,NUTRIEN
541,,China,Yu Liang,1984.0,39.43 Billion USD,CHINA VANKE
542,,Singapore,Helen Wong,1932.0,39.37 Billion USD,OVERSEA-CHINESE BANKING CORPORATION
543,,Canada,Roy Gori,1887.0,39.26 Billion USD,MANULIFE FINANCIAL CORPORATION
544,2011.0,USA,Steven J. Kean,1997.0,39.16 Billion USD,KINDER MORGAN
545,,Finland,Peter Vanacker,2005.0,39.11 Billion USD,NESTE OYJ
546,,Japan,Ryuichi Isaka,2005.0,39.10 Billion USD,SEVEN & I HOLDINGS
547,,Japan,Tatsuo Yasunaga,1947.0,39.07 Billion USD,MITSUI & CO.
548,,USA,Juan Ricardo Luciano,1902.0,39.06 Billion USD,ARCHER-DANIELS-MIDLAND COMPANY
549,1996.0,USA,Ludwig N. Hantson,1992.0,39.00 Billion USD,ALEXION PHARMACEUTICALS
550,,Brazil,Milton Maluhy Filho,2008.0,38.92 Billion USD,ITAU UNIBANCO HOLDING
551,,China,,2002.0,38.89 Billion USD,JIANGSU YANGHE BREWERY JOINT-STOCK
552,,France,Aiman Ezzat,1967.0,38.88 Billion USD,CAPGEMINI SE
553,,Canada,Mark S. Little,1917.0,38.70 Billion USD,SUNCOR ENERGY
554,,Germany,Joachim Kreuzburg,1870.0,38.53 Billion USD,SARTORIUS STEDIM BIOTECH
555,,China,Kong Qingwei,1991.0,38.51 Billion USD,CHINA PACIFIC INSURANCE GROUP (CPIC)
556,,France,Benoit Bazin,1665.0,38.48 Billion USD,COMPAGNIE DE SAINT-GOBAIN
557,,Switzerland,Dr. Detlef Trefzger,1890.0,38.47 Billion USD,KUEHNE + NAGEL INTERNATIONAL AG
558,,UK,Kevin Murphy,1953.0,38.47 Billion USD,FERGUSON
559,1991.0,USA,Greg C. Gantt,1934.0,38.25 Billion USD,OLD DOMINION FREIGHT LINE
560,,USA,Shankh Mitra,1970.0,38.23 Billion USD,WELLTOWER
561,,USA,Brian S. Tyler,1833.0,38.13 Billion USD,MCKESSON CORPORATION
562,,China,,2007.0,38.11 Billion USD,WILL SEMICONDUCTOR
563,,USA,Blake D. Moret,1903.0,38.04 Billion USD,ROCKWELL AUTOMATION
564,,Belgium,Johan Thijs,1935.0,38.02 Billion USD,KBC GROUP NV
565,2016.0,USA,Jeff Green,2009.0,37.94 Billion USD,THE TRADE DESK
566,,China,,,37.94 Billion USD,"BEIJING-SHANGHAI HIGH-SPEED RAILWAY CO.,LTD."
567,,India,Sanjiv Bajaj,2007.0,37.86 Billion USD,BAJAJ FINSERV
568,1999.0,USA,Jeffrey Stoops,1989.0,37.85 Billion USD,SBA COMMUNICATIONS CORPORATION
569,,China,Chen Hong,1995.0,37.82 Billion USD,SAIC MOTOR CORPORATION
570,,Hong Kong,Gao Yingxin,2001.0,37.82 Billion USD,BOC HONG KONG
571,,UK,Alison Rose,1968.0,37.79 Billion USD,NATWEST GROUP
572,,China,,2011.0,37.73 Billion USD,KUAISHOU TECHNOLOCY
573,,Sweden,Borje Ekholm,1876.0,37.53 Billion USD,ERICSSON
574,,China,,1994.0,37.36 Billion USD,ANTA SPORTS PRODUCTS
575,,China,,1999.0,37.28 Billion USD,ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL. LTD
576,,USA,Andrew Wilson,1982.0,37.27 Billion USD,ELECTRONIC ARTS
577,,USA,Bob Frenzel,1999.0,37.22 Billion USD,XCEL ENERGY
578,,China,Dong Mingzhu,1989.0,37.20 Billion USD,GREE ELECTRIC APPLIANCES
579,,Netherlands,Dimitri de Vreeze,1902.0,37.19 Billion USD,DSM
580,,USA,Ronald P. O'Hanley,1792.0,37.17 Billion USD,STATE STREET CORPORATION
581,,USA,,,,BLOOMBERG LP
582,,Hong Kong,Louisa Cheang Wai Wan,1933.0,37.16 Billion USD,HANG SENG BANK
583,1985.0,USA,Barbara Rentler,1982.0,37.10 Billion USD,ROSS STORES
584,,Germany,,2016.0,27.56 Billion USD,INNOGY SE
585,,France,Jean-Bernard Levy,1946.0,37.06 Billion USD,EDF (ELECTRICITE DE FRANCE)
586,,USA,Roger C Hochschild,1985.0,36.84 Billion USD,DISCOVER FINANCIAL SERVICES
587,,China,,2015.0,36.83 Billion USD,FOXCONN INDUSTRIAL INTERNET
588,,Finland,Henrik Ehrnrooth,1910.0,36.77 Billion USD,KONE OYJ
589,,UK,Brendan Horgan,1947.0,36.70 Billion USD,ASHTEAD GROUP
590,,China,,2000.0,36.68 Billion USD,ZIJIN MINING GROUP COMPANY
591,,Norway,Kjerstin Braathen,1822.0,36.68 Billion USD,DNB ASA
592,2018.0,USA,Jay Chaudhry,2007.0,36.64 Billion USD,ZSCALER
593,,USA,Hafize Gaye Erkan,1985.0,36.59 Billion USD,FIRST REPUBLIC BANK
594,,Japan,Masatsugu Nagato,2006.0,36.47 Billion USD,JAPAN POST BANK
595,,France,Catherine MacGregor,2008.0,36.44 Billion USD,ENGIE
596,,Hong Kong,Jan Craps,1888.0,36.33 Billion USD,BUDWEISER BREWING COMPANY APAC
597,,South Korea,Yeo Min-soo,1995.0,36.17 Billion USD,KAKAO
598,,USA,Andreas Fibig,1958.0,36.14 Billion USD,INTERNATIONAL FLAVORS & FRAGRANCES
599,2006.0,USA,W. Nicholas Howley,1993.0,36.14 Billion USD,TRANSDIGM GROUP
600,,USA,,1853.0,36.13 Billion USD,OTIS WORLDWIDE CORPORATION
601,,USA,Thomas J. Wilson,1931.0,36.11 Billion USD,ALLSTATE CORPORATION
602,,India,Sanjiv Puri,1910.0,36.02 Billion USD,ITC
603,,Canada,,1995.0,35.94 Billion USD,CONSTELLATION SOFTWARE
604,,USA,Greg C. Garland,2012.0,35.92 Billion USD,PHILLIPS 66
605,,Germany,Carsten Knobel,1876.0,35.83 Billion USD,HENKEL AG
606,,India,S N Subrahmanyan,1938.0,35.83 Billion USD,LARSEN & TOUBRO
607,,Japan,Eddy Pirard,1999.0,35.81 Billion USD,JAPAN TOBACCO
608,,Italy,Andrea Orcel,1998.0,35.78 Billion USD,UNICREDIT
609,,USA,James Cracchiolo,1894.0,35.73 Billion USD,AMERIPRISE FINANCIAL
610,1994.0,Finland,Pekka Lundmark,1865.0,35.65 Billion USD,NOKIA CORPORATION
611,2013.0,USA,Peter Gassner,2007.0,35.59 Billion USD,VEEVA SYSTEMS
612,2015.0,USA,Shar Dubey,2009.0,35.46 Billion USD,MATCH GROUP
613,1997.0,USA,Patrick Kaltenbach,1989.0,35.45 Billion USD,METTLER-TOLEDO INTERNATIONAL
614,,USA,Rodney McMullen,1883.0,35.38 Billion USD,KROGER
615,,USA,"James C. Collins, Jr.",2018.0,35.29 Billion USD,CORTEVA
616,,Sweden,Stefan Widing,1862.0,35.19 Billion USD,SANDVIK AB
617,2020.0,USA,John Riccitiello,2004.0,35.18 Billion USD,UNITY SOFTWARE INC.
618,,Australia,Andy Penn,1975.0,35.12 Billion USD,TELSTRA CORPORATION
619,,South Korea,Jun Young-hyun,1970.0,35.11 Billion USD,SAMSUNG SDI
620,,USA,Robert E. Sulentic,1906.0,35.07 Billion USD,CBRE GROUP
621,,Netherlands,Frans Muller,1887.0,35.06 Billion USD,AHOLD DELHAIZE
622,,Singapore,Wee Ee Cheong,1935.0,35.00 Billion USD,UNITED OVERSEAS BANK
623,,Hong Kong,Raymond Kwok,1963.0,34.96 Billion USD,SUN HUNG KAI PROPERTIES
624,,Germany,Leonhard Birnbaum,2000.0,34.94 Billion USD,E.ON SE
625,1987.0,USA,Daniel L. Florness,1967.0,34.87 Billion USD,FASTENAL COMPANY
626,,USA,Timothy J Naughton,1978.0,34.78 Billion USD,AVALONBAY COMMUNITIES
627,,Brazil,Octavio de Lazari Junior,1943.0,34.59 Billion USD,BANCO BRADESCO
628,,USA,Michael J. Farrell,1989.0,34.57 Billion USD,RESMED
629,,Denmark,Kristian Villumsen,1954.0,34.56 Billion USD,COLOPLAST A/S
630,,Mexico,,1978.0,34.47 Billion USD,GRUPO MEXICO
631,,Hong Kong,,1985.0,34.45 Billion USD,TECHTRONIC INDUSTRIES COMPANY
632,,USA,Matthew Prince,2009.0,34.43 Billion USD,CLOUDFLARE
633,2014.0,USA,,2014.0,34.41 Billion USD,KEYSIGHT TECHNOLOGIES
634,,China,Bin Wu,1997.0,34.36 Billion USD,ANHUI CONCH CEMENT COMPANY
