ceo,country,employees,founded,headquarters,industry,market_cap,name,sector,stock
 Mr. Daniel Hajj Aboumrad,Mexico," 181,205", 1986,"MexicoCity,DF,Mexico",Telecom Services,$69.45 B,"América Móvil, S.A.B. de C.V.",Communication Services,AMXA
 Mr. Jean-Laurent  Bonnafe,France," 190,000",,"Paris,France",Banks,$69.90 B,BNP Paribas SA,Financials,BNP
 Mr. Francesco  Starace,Italy," 66,279",,"Rome,RM,Italy",Utilities—Diversified,$70.15 B,Enel SpA,Utilities,ENEL
 Mr. Robert M. Blue,United States," 17,100"," Virginia, U.S. 1983","Richmond,VA,UnitedStates",Utilities—Diversified,$70.20 B,"Dominion Energy, Inc.",Utilities,D
 Dr. Thomas  Buberl,France," 106,128",,"Paris,France",Insurance—Diversified,$70.20 B,AXA SA,Financials,CS
 Ms. Phebe N. Novakovic,United States," 103,100"," February 7, 1899",,Aerospace & Defense,$70.55 B,General Dynamics Corporation,Industrials,GD
 Mr. Stephane  Bancel,United States," 2,700", September 2010,"Cambridge,MA,UnitedStates",Biotechnology,$70.81 B,"Moderna, Inc.",Healthcare,MRNA
" Mr. Mark  Cutifani B.E., BEng (Mining), Fellow AusIMM, CEngFIMMM, DBA",United Kingdom," 106,000", 1917,"London,UnitedKingdom",Other Industrial Metals & Mining,$71.48 B,Anglo American plc,Basic Materials,AAL
 Dr. Bernhard  Montag,Germany," 66,800",,"Erlangen,Germany",Diagnostics & Research,$71.50 B,Siemens Healthineers AG,Healthcare,SHL
 Mr. Ezra Y. Yacob,United States," 2,800", 1999,"Houston,TX,UnitedStates",Oil & Gas E&P,$71.90 B,"EOG Resources, Inc.",Energy,EOG
,Indonesia," 25,370",,"Jakarta,Indonesia",Banks,$71.91 B,PT Bank Central Asia Tbk,Financials,BBCA
 Mr. Guilherme  De Souza Macedo Loureiro,Mexico," 231,259",,"MexicoCity,DF,Mexico",Discount Stores,$71.96 B,Wal-Mart de Mexico SAB de CV,Consumer Staples,WALMEX
 Mr. Richard C. Adkerson,United States," 24,700", 1912,"Phoenix,AZ,UnitedStates",Copper,$72.16 B,Freeport-McMoRan Inc.,Basic Materials,FCX
 Mr. James A. Squires,United States," 18,100"," July 23, 1980 in Norfolk, Virginia, United States","Norfolk,VA,UnitedStates",Railroads,$72.31 B,Norfolk Southern Corporation,Industrials,NSC
,Japan," 47,320",,"Tokyo,Japan",Telecom Services,$73.12 B,KDDI Corp,Communication Services,9433
 Ms. Kathy J. Warden,United States," 88,000", 1994,"FallsChurch,VA,UnitedStates",Aerospace & Defense,$73.25 B,Northrop Grumman Corporation,Industrials,NOC
 Mr. Gregory Clarence Case,United Kingdom," 50,000", 1982,"London,UnitedKingdom",Insurance Brokers,$73.33 B,Aon Plc,Financials,AON
 Mr. Oliver  Zipse,Germany," 118,909",,"Munich,Germany",Auto Manufacturers,$56.17 B,Bayerische Motoren Werke AG,Consumer Discretionary,BMWB
,China," 90,238",,"Shanghai,China",Banks,$56.38 B,Bank of Communications Co. Ltd,Financials,601328
 Mr. Richard P. Wallace,United States," 11,300", 1997,"Milpitas,CA,UnitedStates",Semiconductor Equipment & Materials,$56.48 B,KLA Corporation,Technology,KLAC
 Mr. Bruce Dale Broussard,United States," 95,500"," August 18, 1961","Louisville,KY,UnitedStates",Healthcare Plans,$56.55 B,Humana Inc.,Healthcare,HUM
