ceo,country,employees,founded,headquarters,industry,market_cap,name,sector,stock
 Mr. Francisco Miguel  ReynÃ©s Massanet,Spain," 7,231",,"HumanesdeMadrid,Spain",Utilities—Regulated Gas,$28.71 B,"Naturgy Energy Group, SA",Utilities,NTGY
" Mr. Joseph  Galli Jr., BSBA, M.B.A., MBA.",Hong Kong," 51,426",,"KwaiChung,HongKong",Tools & Accessories,$28.75 B,Techtronic Industries Company Ltd,Industrials,0669
 Mr. James M. Foote,United States," 20,900"," November 1, 1980","Jacksonville,FL,UnitedStates",Railroads,$28.90 B,CSX Corporation,Industrials,CSX
 Mr. Gregory W. Becker,United States," 6,567", 1983,"SantaClara,CA,UnitedStates",Banks,$28.91 B,SVB Financial Group,Financials,SIVB
,China," 29,379",,"Shanghai,China",Marine Shipping,$28.93 B,COSCO SHIPPING Holdings Co Ltd,Industrials,601919
 Dr. Markus  Krebber,Germany," 18,902",,"Essen,Germany",Utilities—Diversified,$29.06 B,RWE AG,Utilities,RWE
 Mr. Robert Glen Goldstein,United States," 44,500"," November 17, 1988","LasVegas,NV,UnitedStates",Resorts & Casinos,$29.07 B,Las Vegas Sands Corp.,Consumer Discretionary,LVS
,China," 25,549",,"Chengdu,China",Farm Products,$29.10 B,Tongwei Co. Ltd,Consumer Staples,600438
" Mr. Anthony  Staffieri F.C.A., FCA, FCPA",Canada," 23,000",,"Toronto,ON,Canada",Telecom Services,$29.13 B,Rogers Communications Inc.,Communication Services,RCI.B
 Mr. Jean-Bernard  Levy,France," 163,423",,"Paris,France",Utilities—Diversified,$29.17 B,Electricité de France SA,Utilities,EDF
 Mr. Luis  Maroto Camino,Spain," 15,936",,"Madrid,Spain",Information Technology Services,$29.19 B,"Amadeus IT Group, SA",Technology,AMS
 Mr. Kenji  Yasukawa Ph.D.,Japan," 15,455",,"Tokyo,Japan",Drug Manufacturers—General,$29.22 B,"Astellas Pharma, Inc.",Healthcare,4503
 Mr. Ronald S. Nersesian,United States," 14,300", 2014,"SantaRosa,CA,UnitedStates",Scientific & Technical Instruments,$29.40 B,"Keysight Technologies, Inc.",Technology,KEYS
 Mr. John A. Hayes,United States," 24,300", 1880,"Westminster,CA,UnitedStates",Packaging & Containers,$29.40 B,Ball Corporation,Consumer Discretionary,BLL
,Saudi Arabia,,,"Riyadh,SaudiArabia",Utilities—Regulated Electric,$29.42 B,Saudi Electricity Company,Utilities,5110
" Mr. Devin W. Stockfish Esq., J.D.",United States," 9,214", 1900,"Seattle,WA,UnitedStates",REIT—Specialty,$29.42 B,Weyerhaeuser Company,Real Estate,WY
 Ms. Adena T. Friedman,United States," 5,814"," February 8, 1971","NewYork,NY,UnitedStates",Financial Data & Stock Exchanges,$29.52 B,"Nasdaq, Inc.",Financials,NDAQ
 Mr. Daniel G. Ek,Luxembourg," 6,617", 23 April 2006,"Luxembourg,Luxembourg",                                        Internet Content & Information                                    ,$29.56 B,Spotify Technology SA,                                        Communication Services                                    ,SPOT
 Mr. A. Jayson Adair,United States," 8,600"," Vallejo, California 1982","Dallas,TX,UnitedStates",Specialty Business Services,$29.58 B,"Copart, Inc.",Industrials,CPRT
,Taiwan," 57,347",,"Taipei,Taiwan",Insurance—Life,$29.58 B,Cathay Financial Holding Co. Ltd,Financials,2882
 Mr. Andrea  Orcel,Italy," 80,879",,"Milan,MI,Italy",Banks,$29.65 B,UniCredit S.p.A.,Financials,UCG
 Mr. Johan  Thijs,Belgium," 33,916",,"Brussels,Belgium",Banks,$29.81 B,KBC Group NV,Financials,KDB
 Ms. Sharmistha  Dubey,United States," 2,500", 1986,"Dallas,TX,UnitedStates",Internet Content & Information,$29.82 B,"Match Group, Inc.",Communication Services,MTCH
 Mr. Carl A. Hess,United Kingdom," 46,000", 5 January 2016,"London,UnitedKingdom",Insurance Brokers,$29.85 B,Willis Towers Watson plc,Financials,WLTW
 Mr. Mohammed Abdullah Al-Yahya,Saudi Arabia," 5,660",,"Riyadh,SaudiArabia",Banks,$29.86 B,Riyad Bank,Financials,1010
 Mr. Henrik  Andersen,Denmark," 29,427",,"Aarhus,Denmark",Specialty Industrial Machinery,$29.93 B,Vestas Wind Systems A-S,Industrials,VWS
 Mr. N. Thomas Linebarger,United States," 59,900", 1919,"Columbus,IN,UnitedStates",Specialty Industrial Machinery,$29.94 B,Cummins Inc.,Industrials,CMI
 Mr. Nico  Delvaux,Sweden," 51,000",,"Stockholm,Sweden",Security & Protection Services,$30.05 B,ASSA ABLOY AB,Industrials,ALZ
 Mr. Peter M. Moglia,United States, 559, October 1994,"Pasadena,CA,UnitedStates",REIT—Office,$30.10 B,"Alexandria Real Estate Equities, Inc.",Real Estate,ARE
 Mr. Benoit  Bazin,France," 167,816",,"Courbevoie,France",Building Products & Equipment,$30.16 B,Compagnie de Saint-Gobain SA,Industrials,SGO
 Mr. Eric M. Green,United States," 10,065", 1923,"Exton,PA,UnitedStates",Medical Instruments & Supplies,$30.23 B,"West Pharmaceutical Services, Inc.",Healthcare,WST
 Mr. Takahito  Tokita,Japan," 126,371",,"Tokyo,Japan",Information Technology Services,$30.28 B,Fujitsu Ltd,Technology,6702
 Ms. M. Susan Hardwick,United States," 6,400", 1886,"Camden,NJ,UnitedStates",Utilities—Regulated Water,$30.43 B,"American Water Works Company, Inc.",Utilities,AWK
 Mr. Robert E. Sulentic,United States," 105,000"," August 27, 1906","LosAngeles,CA,UnitedStates",Real Estate Services,$30.45 B,"CBRE Group, Inc.",Real Estate,CBRE
 Mr. Gregory D. Carmichael,United States," 19,112"," June 17, 1858","Cincinnati,OH,UnitedStates",Banks,$30.46 B,Fifth Third Bancorp,Financials,FITB
,United Kingdom," 89,600", 30 November 1999,"London,UnitedKingdom",Aerospace & Defense,$30.51 B,BAE Systems plc,Industrials,BA.
 Mr. Kevin  Murphy,United Kingdom," 31,000",,"Wokingham,UnitedKingdom",Industrial Distribution,$30.52 B,Ferguson plc,Industrials,FERG
 Mr. Yozo  Shimano,Japan," 12,244",,"Sakai,Japan",Leisure,$21.51 B,"Shimano, Inc.",Consumer Discretionary,7309
 Mr. Thomas E. Jorden,United States, 936," July 26, 2016","Bristol,TN,UnitedStates",Thermal Coal,$21.57 B,"Contura Energy, Inc.",Energy,CTRA
 Mr. Gilson  Finkelsztain,Brazil,,,"SaoPaulo,SP,Brazil",Financial Data & Stock Exchanges,$21.58 B,"B3 S.A. - Brasil, Bolsa, Balcao",Financials,B3SA3
 Dr. Robert  Mehrabian,United States," 14,500", 1960,"ThousandOaks,CA,UnitedStates",Scientific & Technical Instruments,$21.65 B,Teledyne Technologies Incorporated,Technology,TDY
 Mr. Christopher Marrott Gorman,United States," 17,654", 1825,"Cleveland,OH,UnitedStates",Banks,$21.71 B,KeyCorp,Financials,KEY
 Mr. Rene F. Jones CPA,United States," 17,115"," August 29, 1856","Buffalo,NY,UnitedStates",Banks,$21.74 B,M&T Bank Corporation,Financials,MTB
,Japan," 64,823",,"Tokyo,Japan",Insurance—Life,$21.76 B,"Dai-ichi Life Holdings, Inc.",Financials,8750
 Mr. David C. Kimbell,United States," 16,000", 1990,"Bolingbrook,IL,UnitedStates",Specialty Retail,$21.82 B,"Ulta Beauty, Inc.",Consumer Discretionary,ULTA
 Mr. Anders  Gustafsson,United States," 9,800", 1969,"Lincolnshire,IL,UnitedStates",Communication Equipment,$21.87 B,Zebra Technologies Corporation,Technology,ZBRA
 Mr. Michael R. Hsing,United States," 2,773", 1997,"Kirkland,WA,UnitedStates",Semiconductors,$21.87 B,"Monolithic Power Systems, Inc.",Technology,MPWR
,Canada," 5,700",,"Toronto,ON,Canada",Restaurants,$21.89 B,Restaurant Brands International Limited Partnership,Consumer Discretionary,QSP.UN
 Mr. James B. Connor,United States, 340, 1972,"Indianapolis,IN,UnitedStates",REIT—Industrial,$21.93 B,Duke Realty Corporation,Real Estate,DRE
 Mr. Stephen D. Steinour,United States," 18,442", 1866,"Columbus,OH,UnitedStates",Banks,$21.93 B,Huntington Bancshares Incorporated,Financials,HBAN
 Mr. Scott Wellington Wine,United Kingdom," 71,895", 2012,"London,UnitedKingdom",Farm & Heavy Construction Machinery,$21.93 B,CNH Industrial N.V.,Industrials,CNHI
 Mr. Gerteric  Lindquist,Sweden," 20,400",,"Markaryd,Sweden",Building Products & Equipment,$21.93 B,NIBE Industrier AB,Industrials,NJB
 Mr. W. Anthony Will,United States," 2,970", 1946 ,"Deerfield,IL,UnitedStates",Agricultural Inputs,$21.95 B,"CF Industries Holdings, Inc.",Basic Materials,CF
" Mr. Steven Justus Johnston C.F.A., CERA, CFA, FCAS, MAAA",United States," 5,166"," Cincinnati, Ohio, U.S 1950","Fairfield,OH,UnitedStates",Insurance—Property & Casualty,$21.99 B,Cincinnati Financial Corporation,Financials,CINF
,Japan," 66,947",,"Kariya,Japan",Auto Manufacturers,$21.99 B,Toyota Industries Corp,Consumer Discretionary,6201
 Dr. Christian  Buhl,Switzerland," 11,149",,"Rapperswil-Jona,Switzerland",Building Products & Equipment,$22.03 B,Geberit AG,Industrials,GEBN
 Mr. Meisong  Lai,China," 22,536",,"Shanghai,China",Integrated Freight & Logistics,$22.05 B,ZTO Express (Cayman) Inc.,Industrials,ZTO
 Mr. Takahisa  Takahara,Japan," 16,665",,"Tokyo,Japan",Household & Personal Products,$22.08 B,Unicharm Corp,Consumer Staples,8113
 Mr. Thiago  Maffra,Brazil," 3,000", May 2001,"SÃ£oPaulo,SP,Brazil",Capital Markets,$22.16 B,XP Inc.,Financials,XPBR31
 Mr. Liam K. Griffin,United States," 11,000", 2002,"Irvine,CA,UnitedStates",Semiconductors,$22.17 B,"Skyworks Solutions, Inc.",Technology,SWKS
,China," 164,177",,"Beijing,China",Railroads,$22.21 B,CRRC Corp Ltd,Industrials,601766
" Mr. William B. Berry B.Sc., M.Sc.",United States," 1,254",,"OklahomaCity,OK,UnitedStates",Oil & Gas E&P,$22.25 B,"Continental Resources, Inc.",Energy,CLR
 Mr. Stephen D. Steinour,United States," 18,442",,"Columbus,OH,UnitedStates",Banks,$22.26 B,"Huntington Bancshares, Inc.",Financials,HU3
 Mr. Alfonso  Garza Garza,Mexico," 320,808", 1890,"Monterrey,NL,Mexico",Beverages—Brewers,$22.28 B,"Fomento Económico Mexicano, S.A.B. de C.V.",Consumer Staples,FEMSAUB
 Mr. Daniel  Julien,France," 420,000",,"Paris,France",Consulting Services,$22.30 B,Teleperformance SE,Industrials,TEP
 Mr. Norman D. Schwartz,United States," 7,900", 1952,"Hercules,CA,UnitedStates",Medical Devices,$22.32 B,"Bio-Rad Laboratories, Inc.",Healthcare,BIO
,Sweden," 155,000",,"Stockholm,Sweden",Apparel Manufacturing,$22.33 B,Hennes & Mauritz AB,Consumer Discretionary,HM.B
 Mr. Fausto  de Andrade Ribeiro,Brazil," 84,597",,"Brasilia,DF,Brazil",Banks,$22.36 B,Banco do Brasil SA,Financials,BBAS3
 Mr. Thierry Yves Henri  Bollore,India," 75,278", 1945,"Mumbai,India",Auto Manufacturers,$22.38 B,Tata Motors Limited,Consumer Discretionary,TTM
 Mr. Masayuki  Hyodo,Japan," 74,920",,"Tokyo,Japan",Conglomerates,$22.42 B,Sumitomo Corp,Industrials,8053
,China," 14,506",,"Beijing,China",Utilities—Independent Power Producers,$22.42 B,China National Nuclear Power Co. Ltd,Utilities,601985
 Mr. Todd  McKinnon,United States," 5,030", January 2009,"SanFrancisco,CA,UnitedStates",Software—Infrastructure,$22.45 B,"Okta, Inc.",Technology,OKTA
 Ms. Magdalena  Martullo-Blocher,Switzerland," 2,646",,"Domat/Ems,Switzerland",Specialty Chemicals,$22.48 B,EMS-CHEMIE HOLDING AG,Basic Materials,EMSN
 Mr. Michael J. Schall CPA,United States," 1,739", 1971,"SanMateo,CA,UnitedStates",REIT—Residential,$22.51 B,"Essex Property Trust, Inc.",Real Estate,ESS
 Mr. Damian Paul Gammell,United Kingdom," 22,000",,"Uxbridge,UnitedKingdom",Beverages—Non-Alcoholic,$22.53 B,Coca-Cola Europacific Partners plc,Consumer Staples,CCEP
,Hong Kong," 55,302",,"NorthPoint,HongKong",Utilities—Regulated Gas,$22.54 B,The Hong Kong and China Gas Company Ltd,Utilities,0003
 Mr. Hiroyuki  Ogawa,Japan," 61,564",,"Tokyo,Japan",Farm & Heavy Construction Machinery,$22.56 B,Komatsu Ltd,Industrials,6301
 Mr. Jose Marcos  Ramirez Miguel,Mexico,,,"SantaFe,DF,Mexico",Banks,$22.60 B,Grupo Financiero Banorte SAB de CV,Financials,GFNORTEO
,China," 171,508",,"Beijing,China",Insurance—Property & Casualty,$22.62 B,PICC Property and Casualty Company Ltd,Financials,2328
 Mr. Steven A. Cahillane,United States," 31,000"," February 19, 1906","BattleCreek,MI,UnitedStates",Packaged Foods,$22.63 B,Kellogg Company,Consumer Staples,K
 Mr. Antonio Fabio Neri,United States," 60,400"," November 1, 2015","Houston,TX,UnitedStates",Communication Equipment,$22.65 B,Hewlett Packard Enterprise Company,Technology,HPE
 Mr. Jun  Yan,China," 14,068",,"Shanghai,China",Marine Shipping,$22.65 B,Shanghai International Port,Industrials,600018
 Mr. Jean-Christophe  Tellier,Belgium," 8,600",,"Brussels,Belgium",Biotechnology,$22.71 B,UCB SA,Healthcare,UCB
 Mr. Yuki  Kusumi,Japan," 240,786",,"Kadoma,Japan",Consumer Electronics,$22.73 B,Panasonic Corp,Technology,6752
 Dr. Gilles G. Martin Ph.D.,Luxembourg," 57,992",,"LuxembourgCity,Luxembourg",                                        Diagnostics & Research                                    ,$22.75 B,Eurofins Scientific SE,                                        Healthcare                                    ,ERF
,Chile," 6,081"," June 11th, 1968","Santiago,Chile",Chemicals,$22.77 B,Sociedad Química y Minera de Chile SA,Basic Materials,SQM
 Ms. Helena  Hedblom M.Sc.,Sweden," 15,529",,"Nacka,Sweden",Farm & Heavy Construction Machinery,$24.08 B,Epiroc AB,Industrials,3AD2
 Mr. James Thomas Hill,United States," 11,912", 1909 as Birmingham Slag Company,"Birmingham,AL,UnitedStates",Building Materials,$24.08 B,Vulcan Materials Company,Basic Materials,VMC
 Mr. Philip Eric Rene Jansen,United Kingdom," 99,700", 18 June 1846,"London,UnitedKingdom",Telecom Services,$24.09 B,BT Group plc,Communication Services,BT.A
 Mr. Teiichi  Goto,Japan," 73,275",,"Tokyo,Japan",Business Equipment & Supplies,$24.12 B,FUJIFILM Holdings Corp,Industrials,4901
 Mr. Stephan  Sturm,Germany," 316,078",,"BadHomburgvorderHohe,Germany",Medical Care Facilities,$24.12 B,Fresenius SE & Co KGaA,Healthcare,FRE
 Mr. H. Eric Bolton Jr.,United States," 2,429", 1977,"Germantown,TN,UnitedStates",REIT—Residential,$24.18 B,"Mid-America Apartment Communities, Inc.",Real Estate,MAA
 Mr. Phanich  Sodsee,United States," 1,664"," Vancouver, British Columbia, Canada 2009","SanFrancisco,CA,UnitedStates",Software—Application,$24.30 B,"Slack Technologies, Inc.",Technology,WORK
 Mr. Michael G. O'Grady,United States," 21,100", 1889,"Chicago,IL,UnitedStates",Asset Management,$24.42 B,Northern Trust Corporation,Financials,NTRS
 Mr. Xiaopeng  He,China," 5,084", 2014,"Guangzhou,China",Auto Manufacturers,$24.44 B,XPeng Inc.,Consumer Discretionary,XPEV
 Mr. Maurici  Lucena Betriu,Spain," 8,162",,"Madrid,Spain",Airports & Air Services,$24.45 B,"Aena S.M.E., SA",Industrials,AENA
,Taiwan,,,"Taipei,Taiwan",Marine Shipping,$24.49 B,Evergreen Marine Corp,Industrials,2603
" Ms. Marguerite Eileen O'Neill B.Sc., M.Sc.",Australia," 3,684", 26 July 1954,"Perth,WA,Australia",Oil & Gas E&P,$24.60 B,Woodside Petroleum Ltd,Energy,WPL
 Mr. Michael  Rapino,United States," 10,200"," January 25, 2010","BeverlyHills,CA,UnitedStates",Entertainment,$24.61 B,"Live Nation Entertainment, Inc.",Communication Services,LYV
,China," 59,262",,"Beijing,China",Banks,$24.65 B,China Minsheng Banking Corp Ltd,Financials,600016
 Mr. Martin J. Lyons Jr.,United States," 9,116", 1997,"St.Louis,MO,UnitedStates",Utilities—Regulated Electric,$24.79 B,Ameren Corporation,Utilities,AEE
 Mr. Matthew Thomas Farrell,United States," 5,100"," 1847: as John Dwight and Company 1896: as Church & Dwight, Co.","Ewing,NJ,UnitedStates",Household & Personal Products,$24.81 B,"Church & Dwight Co., Inc.",Consumer Staples,CHD
 Mr. D. James Bidzos,United States, 902," April 12, 1995","Reston,VA,UnitedStates",Software—Infrastructure,$24.81 B,"VeriSign, Inc.",Technology,VRSN
 Mr. Travis D. Stice,United States, 870,,"Midland,TX,UnitedStates",Oil & Gas E&P,$24.84 B,"Diamondback Energy, Inc.",Energy,FANG
 Dr. Clay B. Siegall,United States," 2,675", 1997,"Bothell,WA,UnitedStates",Biotechnology,$24.87 B,Seagen Inc.,Healthcare,SGEN
 Dr. Alexander C. Karp,United States," 2,920", 2003,"Denver,CO,UnitedStates",Software—Infrastructure,$24.91 B,Palantir Technologies Inc.,Technology,PLTR
 Mr. Edward H. Bastian,United States," 83,000"," March 2, 1925","Atlanta,GA,UnitedStates",Airlines,$24.92 B,"Delta Air Lines, Inc.",Industrials,DAL
 Mr. Miguel Stilwell de Andrade,Spain," 2,114",,"Madrid,Spain",Utilities—Renewable,$25.01 B,"EDP Renováveis, SA",Utilities,EDPR
 Mr. Eugene A. Hall,United States," 16,600", 1979,"Stamford,CT,UnitedStates",Information Technology Services,$25.03 B,"Gartner, Inc.",Technology,IT
 Ms. Christine A. Leahy,United States," 13,900", 1984,"Lincolnshire,IL,UnitedStates",Information Technology Services,$25.04 B,CDW Corporation,Technology,CDW
 Mr. James C. O'Rourke P.Eng.,United States," 12,525"," October 22, 2004","Tampa,FL,UnitedStates",Agricultural Inputs,$25.09 B,The Mosaic Company,Basic Materials,MOS
 Mr. Johan  Torgeby,Sweden," 15,500",,"Stockholm,Sweden",Banks,$25.15 B,Skandinaviska Enskilda Banken AB,Financials,SEB.A
,Hong Kong," 17,088",,"Central,HongKong",Resorts & Casinos,$25.17 B,Galaxy Entertainment Group Ltd,Consumer Discretionary,0027
 Mr. BenoÃ®t  Coquart,France," 38,207",,"Limoges,France",Specialty Industrial Machinery,$25.19 B,Legrand SA,Industrials,LR
 Mr. Badrinarayanan  Kothandaraman,United States," 2,260", 2006,"Fremont,CA,UnitedStates",Solar,$25.20 B,"Enphase Energy, Inc.",Technology,ENPH
,Hong Kong," 54,000",,"Central,HongKong",Real Estate—Development,$25.21 B,CK Asset Holdings Limited,Real Estate,1113
 Mr. Jerry Kent Masters Jr.,United States," 6,000", 1994,"Charlotte,NC,UnitedStates",Specialty Chemicals,$25.25 B,Albemarle Corporation,Basic Materials,ALB
 Mr. Steven E. Strah,United States," 12,395"," November 7, 1997","Akron,OH,UnitedStates",Utilities—Diversified,$25.26 B,FirstEnergy Corp.,Utilities,FE
,China," 63,869",,"Zoucheng,China",Thermal Coal,$25.26 B,Yanzhou Coal Mining Company Ltd,Energy,600188
 Mr. Richard Kendall  Lancaster BE,Hong Kong," 7,061",,"HungHom,HongKong",Utilities—Regulated Electric,$25.29 B,CLP Holdings Ltd,Utilities,0002
 Mr. Guillaume  Daniellot,Switzerland," 8,692",,"Basel,Switzerland",Medical Instruments & Supplies,$25.31 B,Straumann Holding AG,Healthcare,STMN
 Mr. Jonathan M. Jaffe,United States," 10,753", 1954,"Miami,FL,UnitedStates",Residential Construction,$25.34 B,Lennar Corporation,Consumer Discretionary,LEN
,Taiwan,,,"Kaohsiung,Taiwan",Specialty Chemicals,$25.41 B,Nan Ya Plastics Corp,Basic Materials,1303
 Mr. Matthew J. Flannery,United States," 20,400"," August 14, 1997","Stamford,CT,UnitedStates",Rental & Leasing Services,$25.46 B,"United Rentals, Inc.",Industrials,URI
 Mr. Amitabh  Chaudhry,India," 86,266",,"Mumbai,India",Banks,$25.54 B,Axis Bank Ltd,Financials,AXISBANK
 Mr. Mario Roberto Opice Leao,Brazil," 48,834", 1982,"SaoPaulo,SP,Brazil",Banks,$25.59 B,Banco Santander (Brasil) SA,Financials,SANB11
 Mr. Dev C. Ittycheria,United States," 2,539", 2007,"NewYork,NY,UnitedStates",Software—Infrastructure,$25.73 B,"MongoDB, Inc.",Technology,MDB
 Mr. Kei  Uruma,Japan," 145,653"," January 15, 1921","Tokyo,Japan",Electrical Equipment & Parts,$25.61 B,Mitsubishi Electric Corporation,Industrials,6503
 Mr. Adam H. Schechter,United States," 67,950"," September 5, 1978","Burlington,NC,UnitedStates",Diagnostics & Research,$25.75 B,Laboratory Corporation of America Holdings,Healthcare,LH
 Mr. Christopher Jerome Swift CPA,United States," 18,100", 1810,"Hartford,CT,UnitedStates",Insurance—Diversified,$25.76 B,"The Hartford Financial Services Group, Inc.",Financials,HIG
 Dr. Frank  Mastiaux,Germany," 24,519",,"Karlsruhe,Germany",Utilities—Diversified,$25.82 B,EnBW Energie Baden-Wuerttemberg AG,Utilities,EBK
 Mr. Xiang  Li,China," 11,901", 2015,"Beijing,China",Auto Manufacturers,$25.83 B,Li Auto Inc.,Consumer Discretionary,LI
,Japan," 30,153",,"Nagoya,Japan",Railroads,$26.00 B,Central Japan Railway Co,Industrials,9022
 Mr. Jose MarÃ­a  Alvarez-Pallete Lopez,Spain," 104,150", 19 April 1924,"Madrid,Spain",Telecom Services,$26.04 B,"Telefónica, SA",Communication Services,TEF
 Mr. David  Baszucki,United States," 1,600",,"SanMateo,CA,UnitedStates",Electronic Gaming & Multimedia,$26.05 B,Roblox Corp,Communication Services,RBLX
,China," 46,989",,"Beijing,China",Banks,$26.13 B,China Everbright Bank Company Ltd,Financials,601818
 Mr. Sumit  Roy,United States, 367, 1969,"SanDiego,CA,UnitedStates",REIT—Retail,$26.18 B,Realty Income Corporation,Real Estate,O
 Mr. Arnd  Kaldowski,Switzerland," 14,922",,"Stafa,Switzerland",Medical Instruments & Supplies,$26.22 B,Sonova Holding AG,Healthcare,SOON
 Mr. Laurent  Ferreira,Canada," 27,804", November 1979,"Montreal,QC,Canada",Banks,$26.29 B,National Bank of Canada,Financials,NA
 Mr. Bhavesh V. Patel,United States," 5,300",,"Fairlawn,OH,UnitedStates",Chemicals,$26.38 B,"LYONDELLBASELL ADVANCED POLYMERS, Inc.",Basic Materials,SLMNP
 Mr. Fujio  Mitarai,Japan," 184,034", 10 August 1937,"Tokyo,Japan",Computer Hardware,$26.38 B,Canon Inc.,Technology,7751
 Mr. Christian  Sewing,Germany," 82,969", 10 March 1869,"FrankfurtamMain,Germany",Banks,$26.38 B,Deutsche Bank AG,Financials,DBK
 Mr. Charles J. G. Brindamour B.Sc.,Canada," 26,000", 1809,"Toronto,ON,Canada",Insurance—Property & Casualty,$26.40 B,Intact Financial Corporation,Financials,IFC
 Mr. Gerard M. Anderson,United States," 10,300",,"Detroit,MI,UnitedStates",Utilities—Regulated Electric,$26.41 B,DTE Energy Company,Utilities,DTE
 Mr. Robert E. Jordan,United States," 55,100"," March 15, 1967","Dallas,TX,UnitedStates",Airlines,$26.52 B,Southwest Airlines Co.,Industrials,LUV
 Mr. Patrice  Caine,France," 81,098",,"Courbevoie,France",Aerospace & Defense,$26.55 B,Thales SA,Industrials,HO
 Mr. John S. Riccitiello,United States," 5,245", 2004,"SanFrancisco,CA,UnitedStates",Software—Application,$26.56 B,Unity Software Inc.,Technology,U
 Mr. Patrick J. Ottensmeyer,United States," 6,522", 1887,"KansasCity,MO,UnitedStates",Railroads,$26.59 B,Kansas City Southern,Industrials,KSU
 Ms. Patricia Kessler Poppe,United States," 26,000", 1905,"SanFrancisco,CA,UnitedStates",Utilities—Regulated Electric,$26.66 B,PG&E Corporation,Utilities,PCG
 Mr. Jack A. Fusco,United States,,,"Houston,TX,UnitedStates",Oil & Gas Midstream,$26.68 B,"Cheniere Energy Partners, L.P.",Energy,CQP
 Mr. Stefan  Widing,Sweden," 44,133",,"Stockholm,Sweden",Specialty Industrial Machinery,$26.71 B,Sandvik AB,Industrials,SAND
 Mr. Rolf Eberhard Buch,Germany," 16,051",,"Bochum,Germany",Real Estate Services,$26.78 B,Vonovia SE,Real Estate,VNA
,China," 3,103",,"Beijing,China",Biotechnology,$26.80 B,Beijing Wantai Biological Pharmacy Enterprise Co. Ltd,Healthcare,603392
,Sweden," 8,987",,"Stockholm,Sweden",Gambling,$26.82 B,Evolution Gaming Group AB,Consumer Discretionary,EVO
 Mr. Shuichi  Ishibashi,Japan," 138,036",,"Tokyo,Japan",Auto Parts,$26.88 B,Bridgestone Corp,Consumer Discretionary,5108
 Mr. Bryan C. Hanson,United States," 19,500", 1927,"Warsaw,IN,UnitedStates",Medical Devices,$26.94 B,"Zimmer Biomet Holdings, Inc.",Healthcare,ZBH
,China," 22,808",,"Changsha,China",Medical Care Facilities,$26.95 B,Aier Eye Hospital Group Co. Ltd,Healthcare,300015
,China," 36,344",,"Xi'an,China",Thermal Coal,$26.95 B,Shaanxi Coal Industry Company Ltd,Energy,601225
 Dr. Ajei S. Gopal Ph.D.,United States," 5,100"," Canonsburg, Pennsylvania, United States 1970","Canonsburg,PA,UnitedStates",Software—Application,$26.98 B,"ANSYS, Inc.",Technology,ANSS
 Dr. Dieter  Weisskopf Ph.D.,Switzerland," 14,000",,"Kilchberg,Switzerland",Confectioners,$27.08 B,Chocoladefabriken Lindt & Sprüngli AG,Consumer Staples,LISN
 Mr. Harry A. Lawton III,United States," 22,000", 1938,"Brentwood,TN,UnitedStates",Specialty Retail,$27.09 B,Tractor Supply Company,Consumer Discretionary,TSCO
,Taiwan," 44,461",,"Taipei,Taiwan",Insurance—Life,$27.13 B,Fubon Financial Holding Co. Ltd,Financials,2881
 Mr. Alexander Valerievich Dyukov,Russia,,,"SaintPetersburg,Russia",Oil & Gas Integrated,$27.14 B,Gazprom Neft PJSC,Energy,SIBN
 Mr. Milan  Galik,United States," 2,571"," New York City, United States 1978","Greenwich,CT,UnitedStates",Capital Markets,$27.22 B,"Interactive Brokers Group, Inc.",Financials,IBKR
,China," 3,291",,"Shanghai,China",Semiconductors,$27.24 B,Will Semiconductor Co. Ltd,Technology,603501
 Mr. Liangbin  Li,China," 5,533",,"Xinyu,China",Chemicals,$27.25 B,Ganfeng Lithium Co. Ltd,Basic Materials,002460
 Mr. Hiroshi  Honma,Japan," 139,677",,"Tokyo,Japan",Information Technology Services,$27.26 B,NTT Data Corp,Technology,9613
 Mr. Lawrence E. Kurzius,United States," 14,000", 1889,"HuntValley,MD,UnitedStates",Packaged Foods,$27.29 B,"McCormick & Company, Incorporated",Consumer Staples,MKC
 Mr. Henrik  Ehrnrooth M.Sc. (Econ),Finland," 62,720",,"Espoo,Finland",Specialty Industrial Machinery,$27.29 B,KONE Oyj,Industrials,KNEBV
,China," 8,806",,"Nanjing,China",Specialty Industrial Machinery,$27.33 B,NARI Technology Co. Ltd,Industrials,600406
 Mr. Donald G. Macpherson,United States," 22,700", 1927,"LakeForest,IL,UnitedStates",Industrial Distribution,$27.33 B,"W.W. Grainger, Inc.",Industrials,GWW
 Mr. David V. Auld,United States," 11,788", 1978,"Arlington,TX,UnitedStates",Residential Construction,$27.34 B,"D.R. Horton, Inc.",Consumer Discretionary,DHI
 Dr. Joachim  Kreuzburg,Germany," 13,832",,"Gottingen,Germany",Medical Instruments & Supplies,$27.35 B,Sartorius AG,Healthcare,SRT
 Mr. Joseph Daniel Margolis J.D.,United States," 4,309", 1977,"SaltLakeCity,UT,UnitedStates",REIT—Industrial,$27.37 B,Extra Space Storage Inc.,Real Estate,EXR
 Mr. Torbjorn  Magnusson,Finland," 13,340",,"Helsinki,Finland",Insurance—Diversified,$27.46 B,Sampo Oyj,Financials,SAMPO
