categories,change(1day),change(1year),code,country,marketcap,name,rank,sharePrice
['Pharmaceuticals'],1.12%,-17.14%,1177.HK,China,$10.87 B,Sino Biopharmaceutical,1346,$0.58
[],-0.87%,-50.03%,NEXI.MI,Italy,$10.99 B,Nexi,1345,$8.13
['Chemicals'],-0.42%,-14.96%,YAR.OL,Norway,$10.87 B,Yara International,1347,$42.68
"['Tech', 'Electronics', 'TechHardware']",0.71%,-51.56%,STX,Ireland,$10.85 B,Seagate Technology,1349,$52.57
"['Software', 'Tech']",-1.50%,-35.80%,600588.SS,China,$11.00 B,Yonyou,1344,$3.21
[],1.92%,22.96%,EICHERMOT.NS,India,$11.02 B,Eicher Motors,1342,$40.32
"['Software', 'Tech']",-1.44%,-21.43%,PCTY,USA,$11.02 B,Paylocity,1343,$197.97
[],1.03%,-28.69%,MAS,USA,$11.03 B,Masco,1340,$48.92
['Healthcare'],0.94%,9.14%,HSIC,USA,$11.03 B,Henry Schein,1339,$81.40
['Chemicals'],-2.77%,-36.25%,CE,USA,$11.04 B,Celanese,1337,$101.91
['Automakers'],-2.37%,-9.13%,2207.TW,Taiwan,$11.03 B,Hotai Motor,1341,$20.20
[],-0.87%,-9.38%,8309.T,Japan,$11.04 B,Sumitomo Mitsui Trust Holdings,1338,$30.63
"['Software', 'Tech']",0.65%,-22.57%,BSY,USA,$11.10 B,Bentley Systems,1334,$38.49
['Transportation'],-1.17%,6.99%,BXB.AX,Australia,$11.05 B,Brambles,1336,$7.96
"['Chemicals', 'Fertilizercompanies']",0.24%,-10.37%,ICL,Israel,$11.08 B,Israel Chemicals,1335,$8.38
"['DAX', 'Biotech']",0.39%,-8.72%,QGEN,Netherlands,$11.13 B,Qiagen,1333,$48.89
"['Financialservices', 'Insurance']",-1.22%,-6.05%,CNA,USA,$11.14 B,CNA Financial,1331,$41.14
"['Aerospace', 'Defensecontractors', 'Aircraftmanufacturers']",0.97%,95.84%,HAL.NS,India,$11.17 B,Hindustan Aeronautics,1330,$33.41
"['Banks', 'Financialservices']",-0.88%,2.40%,1023.KL,Malaysia,$11.14 B,CIMB Group,1332,$1.28
['Conglomerate'],0.37%,-8.30%,GODREJCP.NS,India,$11.18 B,Godrej,1329,$10.94
"['Electricity', 'Utilitycompanies']",-0.73%,-13.75%,0006.HK,Hong Kong,$11.23 B,Power Assets,1326,$5.27
"['Banks', 'Financialservices']",-0.93%,21.19%,8308.T,Japan,$11.20 B,Resona Holdings,1328,$4.69
"['Banks', 'Financialservices']",2.25%,17.58%,INDUSINDBK.NS,India,$11.20 B,IndusInd Bank,1327,$14.45
"['Utilitycompanies', 'Electricity', 'Energy']",-0.61%,7.12%,NI,USA,$11.23 B,NiSource,1325,$27.67
"['Clothing', 'Footwear']",-1.43%,-62.31%,VFC,USA,$11.25 B,VF Corporation,1323,$28.97
"['Transportation', 'Containershipping', 'Maritimetransportation']",1.45%,-69.77%,9101.T,Japan,$11.23 B,Nippon Yūsen,1324,$22.17
['Advertising'],-0.87%,-29.14%,WPP,UK,$11.26 B,WPP,1322,$51.34
