categories,change(1day),change(1year),code,country,marketcap,name,rank,sharePrice
"['3DPrinting', 'Tech']",-1.74%,-52.32%,PRLB,USA,$0.67 B,Protolabs,5049,$24.79
['Professionalservices'],-1.14%,3.90%,FC,USA,$0.67 B,Franklin Covey,5047,$48.50
['Furniture'],0.91%,8.90%,ETD,USA,$0.67 B,Ethan Allen,5046,$26.68
"['Restaurantchains', 'Food']",-2.66%,-16.68%,BJRI,USA,$0.67 B,BJ's Restaurants,5045,$28.92
[],-0.80%,0.00%,AP4.SI,Singapore,$0.67 B,Riverstone Holdings,5044,$0.46
"['REITs', 'Realestate', 'Investment']",-0.97%,-34.43%,LAND,USA,$0.68 B,Gladstone Land,5042,$19.48
['Pharmaceuticals'],8.83%,153.68%,ADMA,USA,$0.67 B,ADMA Biologics,5043,$3.45
"['Internet', 'Usedcarretailer', 'Carretail']",-42.92%,-98.55%,CVNA,USA,$0.68 B,Carvana,5041,$3.83
"['CRISPR', 'Pharmaceuticals', 'Genomics', 'Biotech', 'Genetherapy']",3.02%,-68.03%,EDIT,USA,$0.68 B,Editas Medicine,5039,$9.90
['Financialservices'],1.27%,-36.60%,WPS.L,UK,$0.68 B,Eurowag,5038,$0.97
"['Realestate', 'Construction']",-1.35%,-20.07%,SUNTECK.NS,India,$0.68 B,Sunteck Realty,5035,$4.66
"['Airlines', 'Travel', 'Transportation']",-0.22%,-32.39%,FIA1S.HE,Finland,$0.68 B,Finnair,5040,$0.48
['Retail'],0.22%,-40.35%,VAIBHAVGBL.NS,India,$0.68 B,Vaibhav Global,5036,$4.14
['Aerospace'],-4.93%,-24.75%,VTOL,USA,$0.68 B,Bristow Group,5037,$24.32
"['Biotech', 'Pharmaceuticals']",2.20%,31.63%,MIRM,USA,$0.68 B,Mirum Pharmaceuticals,5033,$18.56
"['Clothing', 'ECommerce', 'Retail', 'Internet']",-0.96%,-75.68%,BOO.L,UK,$0.68 B,Boohoo Group,5032,$0.54
[],1.30%,-19.01%,BDGI.TO,Canada,$0.68 B,Badger Infrastructure Solutions,5030,$19.90
"['Banks', 'Financialservices']",-0.62%,-21.86%,FMBH,USA,$0.68 B,First Mid-Illinois Bancshares,5031,$33.49
['Renewableenergy'],1.10%,-29.43%,SWSOLAR.NS,India,$0.68 B,sterling & wilson solar,5029,$3.62
[],-1.45%,-13.71%,TA,USA,$0.68 B,TravelCenters of America,5027,$46.26
[],-3.12%,-43.58%,HZO,USA,$0.68 B,MarineMax,5028,$31.63
[],-5.51%,-33.45%,IESC,USA,$0.68 B,IES Holdings,5025,$33.98
"['Beverages', 'Alcoholicbeverages']",-0.47%,-43.74%,OLVAS.HE,Finland,$0.68 B,Olvi plc,5026,$33.21
"['Insurance', 'Financialservices']",1.48%,5.45%,RELIGARE.NS,India,$0.68 B,Religare,5024,$2.13
"['Realestate', 'Investment', 'REITs', 'MedicalCareFacilities']",0.81%,-40.66%,GMRE,USA,$0.69 B,Global Medical REIT,5023,$9.91
"['REITs', 'Realestate', 'Investment']",0.64%,-41.61%,OPI,USA,$0.69 B,Office Properties Income Trust,5022,$14.23
['Financialservices'],-0.96%,-24.28%,GHLD,USA,$0.69 B,Guild Mortgage,5021,$11.32
[],-7.85%,-72.84%,MCG,UK,$0.69 B,Membership Collective,5019,$3.52
"['Pharmaceuticals', 'Biotech']",1.60%,-27.44%,RPTX,Canada,$0.69 B,Repare Therapeutics,5020,$16.53
"['Banks', 'Financialservices']",-2.80%,13.77%,PGC,USA,$0.69 B,Peapack-Gladstone Financial,5017,$38.83
"['Medicaldevices', 'Biotech']",-0.25%,-44.48%,CERS,USA,$0.69 B,Cerus,5018,$3.92
['Healthcare'],3.83%,-23.59%,DCGO,USA,$0.69 B,DocGo,5016,$6.77
"['Pharmaceuticals', 'Biotech']",-1.33%,-9.01%,FDMT,USA,$0.69 B,4D Molecular Therapeutics,5014,$21.52
[],-1.04%,-81.22%,HYQ.F,Germany,$0.69 B,Hypoport,5015,$110.45
"['Banks', 'Financialservices']",-4.42%,-86.63%,SI,USA,$0.69 B,Silvergate Capital,5013,$22.08
['Transportation'],-2.48%,27.09%,SP,USA,$0.69 B,SP Plus Corporation,5012,$34.67
[],-0.99%,-70.45%,CDNA,USA,$0.69 B,CareDx,5011,$13.06
"['Banks', 'Financialservices']",-0.42%,-1.25%,HONE,USA,$0.70 B,HarborOne Bancorp,5010,$14.25
"['Internet', 'ECommerce']",-1.59%,-30.80%,CWC.F,Germany,$0.70 B,CEWE,5009,$97.63
"['Videogames', 'Entertainment']",0.34%,-43.94%,AZRN.AS,Netherlands,$0.70 B,Azerion Group,5008,$6.20
['Realestate'],-2.10%,35.93%,MAHLIFE.NS,India,$0.70 B,Mahindra Lifespaces,5006,$4.54
"['Aerospace', 'Aircraftmanufacturers', 'Manufacturing']",-0.60%,-66.53%,EVTL,UK,$0.70 B,Vertical Aerospace,5007,$3.34
"['Software', 'Tech', 'ECommerce']",0.00%,-76.59%,VTEX,UK,$0.70 B,VTEX,5005,$3.67
['Chemicals'],-0.42%,14.34%,GUJALKALI.NS,India,$0.70 B,Gujarat Alkalies and Chemicals,5004,$9.57
"['Pharmaceuticals', 'Biotech']",-3.73%,-45.28%,AMRX,USA,$0.70 B,Amneal Pharmaceuticals,5003,$2.32
"['Pharmaceuticals', 'Biotech']",0.91%,202.17%,CTIC,USA,$0.70 B,CTI BioPharma,5001,$5.56
['Insurance'],-2.20%,21.99%,UFCS,USA,$0.71 B,United Fire Group,4983,$28.40
"['Pharmaceuticals', 'Biotech']",3.72%,-39.99%,ITOS,USA,$0.70 B,iTeos Therapeutics,5002,$19.82
"['Software', 'Tech']",0.43%,-31.86%,KARO,Singapore,$0.71 B,Karooooo,4981,$23.20
[],-8.59%,-81.78%,KC,China,$0.71 B,Kingsoft Cloud,4982,$2.98
[],-0.22%,-26.79%,MOV,USA,$0.72 B,Movado,4978,$31.46
"['Advertising', 'Internet', 'Tech']",-3.04%,-25.60%,QNST,USA,$0.71 B,QuinStreet,4980,$13.40
"['Tech', 'Software', 'Semiconductors', 'TechHardware']",-3.15%,-6.82%,BRN.AX,Australia,$0.71 B,BrainChip,4979,$0.41
"['Pharmaceuticals', 'Biotech']",1.61%,25.29%,TBPH,Cayman Islands,$0.72 B,Theravance Biopharma,4977,$10.70
"['ITservices', 'Professionalservices']",-2.09%,-63.00%,CTS.TO,Canada,$0.72 B,Converge Technology Solutions,4976,$3.43
['Healthcare'],0.49%,-61.36%,SHCR,USA,$0.72 B,Sharecare,4975,$2.04
"['Software', 'Tech']",0.30%,-0.90%,GRRR,Taiwan,$0.72 B,Gorilla Technology,4972,$9.91
"['Tech', 'Software']",-1.60%,,AMTD,Hong Kong,$0.72 B,AMTD Digital,4974,$1.84
['Cannabis'],-7.48%,-43.51%,CCHWF,USA,$0.72 B,Columbia Care,4973,$1.61
['Financialservices'],0.43%,0.14%,CGBD,USA,$0.72 B,TCG BDC,4971,$14.08
[],0.20%,2.97%,SLAM,USA,$0.72 B,Slam Corp,4970,$10.07
"['MedicalCareFacilities', 'Healthcare']",-0.07%,,EHAB,USA,$0.72 B,Enhabit,4969,$14.59
"['OilGas', 'Energy']",-2.49%,25.01%,ROCC,USA,$0.72 B,Ranger Oil,4968,$37.99
"['Banks', 'Financialservices']",-0.29%,15.57%,TRST,USA,$0.72 B,TrustCo Bank,4967,$38.07
"['Financialservices', 'Insurance']",-0.80%,4.40%,AMBC,USA,$0.72 B,Ambac,4966,$16.14
[],-2.31%,-14.63%,NMM,Monaco,$0.72 B,Navios Maritime Partners,4965,$24.10
"['OilGas', 'Energy', 'Retail']",-0.05%,-1.89%,CAPL,USA,$0.72 B,CrossAmerica Partners,4964,$19.18
"['Realestate', 'Investment', 'REITs']",0.44%,-11.34%,UHT,USA,$0.72 B,Universal Health Realty Income Trust,4963,$52.71
"['Internet', 'Tech']",-2.48%,-81.26%,KIND,USA,$0.72 B,Nextdoor,4962,$1.97
['Buildingmaterials'],-1.61%,-79.81%,ASPN,USA,$0.72 B,Aspen Aerogels,4961,$11.03
"['Banks', 'Financialservices']",0.68%,-23.67%,0440.HK,Hong Kong,$0.73 B,Dah Sing Financial,4959,$2.29
[],-1.11%,-18.33%,MMTC.NS,India,$0.73 B,MMTC,4960,$0.49
"['Banks', 'Financialservices']",-1.27%,-2.04%,BLX,Panama,$0.73 B,Banco Latinoamericano de Comercio Exterior,4958,$16.35
['MedicalCareFacilities'],0.00%,8.52%,HNGR,USA,$0.73 B,Hanger,4956,$18.72
"['Pharmaceuticals', 'Biotech']",-2.37%,21.16%,COLL,USA,$0.73 B,Collegium Pharmaceutical,4955,$21.87
"['Mining', 'Goldmining']",1.10%,-29.64%,NEXA,Luxembourg,$0.73 B,Nexa Resources,4957,$5.53
"['ITservices', 'Professionalservices']",-0.09%,10.87%,HCKT,USA,$0.73 B,The Hackett Group,4954,$23.16
['Beverages'],1.08%,14.87%,COCO,USA,$0.73 B,The Vita Coco Company,4953,$13.13
"['Realestate', 'Investment', 'REITs']",0.23%,12.65%,FPI,USA,$0.73 B,Farmland Partners,4952,$13.18
"['Banks', 'Financialservices']",0.00%,-24.33%,AKTIA.HE,Finland,$0.73 B,Aktia Bank,4950,$10.20
"['Videogames', 'Entertainment', 'Internet']",-0.48%,-29.58%,603258.SS,China,$0.73 B,Hangzhou Electronic Soul Network Technology,4951,$3.00
"['Clothing', 'Retail']",2.08%,4.99%,CHS,USA,$0.73 B,Chico's,4949,$5.89
['Aluminum'],-3.58%,-39.32%,CENX,USA,$0.73 B,Century Aluminum,4948,$8.07
['Financialservices'],-3.71%,-52.91%,GB,Switzerland,$0.73 B,Global Blue Group,4947,$3.89
"['Entertainment', 'Gambling']",1.81%,-35.08%,ACEL,USA,$0.73 B,Accel Entertainment,4946,$8.44
['Machinerymanufacturing'],-0.59%,-44.61%,PON1V.HE,Finland,$0.73 B,Ponsse,4945,$26.38
"['Realestate', 'Investment', 'REITs']",-0.27%,-6.53%,UBA,USA,$0.73 B,UB Properties,4944,$18.46
"['Financialservices', 'Tech']",2.00%,-54.41%,RPAY,USA,$0.74 B,Repay Holdings,4941,$8.17
"['OilGas', 'OilGasEquipmentServices']",-2.72%,9.70%,DRQ,USA,$0.74 B,Dril-Quip,4942,$21.83
"['Internet', 'ECommerce', 'Tech']",-3.08%,-64.01%,CMPR,Ireland,$0.74 B,Cimpress,4940,$28.28
[],5.13%,-38.62%,MMAT,Canada,$0.74 B,Meta Materials,4939,$2.05
['Financialservices'],2.83%,-71.23%,FTK.DE,Germany,$0.73 B,flatexDEGIRO AG,4943,$6.73
['Telecommunication'],-1.57%,17.97%,ATNI,USA,$0.74 B,ATN International,4938,$47.14
['Education'],0.62%,-37.27%,ARCE,Brazil,$0.74 B,Arco Platform,4937,$13.08
[],1.87%,-26.85%,NGD,Canada,$0.74 B,New Gold,4936,$1.09
"['Banks', 'Financialservices']",-1.33%,-8.84%,NFBK,USA,$0.74 B,Northfield Bancorp,4935,$15.58
"['Software', 'Tech', 'CosmeticsandBeauty']",-1.25%,,PERF,Taiwan,$0.74 B,Perfect Corp.,4934,$6.30
['WasteRecycling'],-0.55%,-8.34%,HCCI,USA,$0.74 B,Heritage-Crystal Clean,4933,$30.87
['ITservices'],-0.43%,-23.56%,7200.SR,Saudi Arabia,$0.74 B,Al Moammar Information Systems,4931,$24.89
"['Tech', 'Software']",-1.82%,,MAPMYINDIA.NS,India,$0.74 B,MapmyIndia,4932,$14.02
"['Banks', 'Financialservices']",-2.04%,34.24%,OSBC,USA,$0.74 B,Old Second Bancorp,4929,$16.78
"['Airlines', 'Travel', 'Transportation']",4.85%,-49.40%,AZUL,Brazil,$0.74 B,Azul,4927,$6.70
['MediaPress'],-2.85%,-57.32%,AMCX,USA,$0.74 B,AMC Networks,4928,$17.41
['Chemicals'],-0.05%,-23.10%,RAIN.NS,India,$0.74 B,Rain Industries,4925,$2.23
"['Realestate', 'Investment', 'REITs']",-2.09%,-23.71%,PFI.NZ,New Zealand,$0.74 B,Property For Industry,4926,$1.48
"['OilGas', 'Maritimetransportation', 'Transportation']",-1.43%,50.61%,LPG,USA,$0.75 B,Dorian LPG,4924,$18.60
"['Videogames', 'Entertainment']",-2.30%,-42.80%,300052.SZ,China,$0.75 B,Shenzhen Zqgame,4923,$2.86
"['Pharmaceuticals', 'Biotech']",2.20%,-39.92%,JUBLPHARMA.NS,India,$0.75 B,Jubilant Pharmova,4922,$4.71
[],-1.94%,-58.57%,ALEC,USA,$0.75 B,Alector,4921,$9.09
"['OilGas', 'OilGasEquipmentServices', 'Energy']",-0.16%,3.23%,EFXT,Canada,$0.75 B,Enerflex,4920,$6.08
"['ECommerce', 'Retail', 'Clothing']",-4.51%,-78.92%,ASC.L,UK,$0.74 B,ASOS,4930,$7.06
['Education'],0.22%,79.86%,VTRU,Brazil,$0.75 B,Vitru,4917,$22.50
"['Telecommunication', 'Financialservices']",-1.63%,-41.07%,IDT,USA,$0.75 B,IDT Corporation,4919,$29.51
"['Biotech', 'Pharmaceuticals']",-3.52%,-23.53%,AGEN,USA,$0.75 B,Agenus,4918,$2.47
"['Pharmaceuticals', 'Biotech']",0.00%,56.25%,AERI,USA,$0.75 B,Aerie Pharmaceuticals,4916,$15.25
"['Airlines', 'Travel', 'Transportation']",0.37%,-39.56%,020560.KS,South Korea,$0.75 B,Asiana Airlines,4914,$10.16
['Realestate'],3.26%,1.50%,IRS,Argentina,$0.75 B,IRSA Inversiones y Representaciones,4915,$4.75
[],-2.54%,-13.59%,SCSC,USA,$0.75 B,ScanSource,4913,$29.96
"['Banks', 'Financialservices']",-0.48%,9.59%,HAFC,USA,$0.75 B,Hanmi Financial,4912,$24.92
"['Software', 'Tech']",-20.11%,-71.16%,ZUO,USA,$0.75 B,Zuora,4911,$5.76
[],-3.33%,-38.48%,GSM,UK,$0.76 B,Ferroglobe,4910,$4.06
"['Pharmaceuticals', 'Biotech']",-1.93%,-42.03%,MCRB,USA,$0.76 B,Seres Therapeutics,4908,$6.11
"['Gambling', 'Hotels', 'Entertainment', 'Travel']",-0.24%,-19.53%,DELTACORP.NS,India,$0.76 B,Delta Corp,4907,$2.76
"['Investment', 'AssetManagement']",0.00%,3.57%,P15.SI,Singapore,$0.76 B,Pacific Century Regional Developments,4909,$0.29
[],0.00%,-21.75%,ADL.DE,Germany,$0.76 B,Adler Real Estate,4906,$6.98
['Healthcare'],0.00%,1.25%,HSTM,USA,$0.76 B,HealthStream,4904,$25.02
"['Energy', 'Electricity', 'Utilitycompanies']",0.08%,-3.55%,ALP-PQ,USA,$0.76 B,Alabama Power,4905,$25.03
"['Pharmaceuticals', 'Biotech']",-5.86%,,BLTE,USA,$0.76 B,Belite Bio,4903,$30.85
['Realestate'],2.19%,-27.78%,FOR,USA,$0.76 B,Forestar Group,4901,$15.42
['Financialservices'],-5.82%,-47.68%,DLX,USA,$0.76 B,Deluxe,4902,$17.79
"['Pharmaceuticals', 'Biotech']",-8.15%,32.07%,COGT,USA,$0.78 B,Cogent Biosciences,4880,$11.16
"['Investment', 'Financialservices', 'Insurance']",-0.93%,-7.35%,UVSP,USA,$0.78 B,Univest,4879,$26.72
"['Software', 'Tech']",0.16%,-16.91%,SLP,USA,$0.78 B,Simulations Plus,4878,$38.51
['Mining'],-0.38%,-30.54%,BEML.NS,India,$0.78 B,BEML,4876,$18.83
[],2.05%,-17.59%,ORGN,USA,$0.78 B,Origin Materials,4877,$5.48
[],0.14%,33.96%,ESABINDIA.NS,India,$0.78 B,ESAB India,4875,$50.93
['Realestate'],-2.45%,-55.90%,HOUS,USA,$0.78 B,Anywhere Real Estate,4874,$7.17
"['SpecialtyVehicles', 'Manufacturing']",-3.28%,-19.11%,REVG,USA,$0.78 B,REV Group,4872,$13.25
['Financialservices'],0.62%,32.71%,IMXI,USA,$0.78 B,International Money Express,4873,$21.18
['Mining'],2.75%,,IONR,Australia,$0.78 B,ioneer,4870,$14.90
[],-0.26%,-32.39%,DRW8.F,Germany,$0.78 B,Drägerwerk,4871,$40.14
"['Software', 'Tech']",-0.72%,-89.57%,MTTR,USA,$0.79 B,Matterport,4869,$2.75
"['Airlines', 'Travel', 'Transportation']",0.77%,26.67%,BA.BK,Thailand,$0.79 B,Bangkok Airways,4866,$0.38
"['Insurance', 'Healthcare']",-3.37%,39.58%,WDH,China,$0.79 B,Waterdrop Inc.,4868,$2.01
"['Pharmaceuticals', 'Biotech']",0.65%,-10.40%,ANAB,USA,$0.79 B,AnaptysBio,4865,$27.84
[],1.68%,-10.17%,SYMPHONY.NS,India,$0.79 B,Symphony Limited,4867,$11.31
"['Semiconductors', 'Tech', 'TechHardware']",-0.68%,-35.99%,IMOS,Taiwan,$0.79 B,ChipMOS Technologies,4864,$21.82
"['OilGas', 'Energy']",-2.59%,12.16%,GPRK,Chile,$0.79 B,Geopark,4863,$13.56
"['Pharmaceuticals', 'Biotech']",-9.18%,,THRD,USA,$0.79 B,Third Harmonic Bio,4862,$19.58
['Insurance'],-0.97%,2.27%,NWLI,USA,$0.79 B,National Western Life,4861,$218.48
"['AutomotiveSuppliers', 'Manufacturing']",-2.23%,-28.61%,SMP,USA,$0.79 B,Standard Motor Products (SMP),4860,$36.83
"['Pharmaceuticals', 'Biotech']",2.24%,41.55%,PRVB,USA,$0.79 B,Provention Bio,4859,$9.13
"['Furniture', 'Manufacturing']",-1.80%,-41.34%,SCS,USA,$0.79 B,Steelcase,4858,$7.08
[],0.19%,-57.92%,DWAC,USA,$0.79 B,Digital World Acquisition,4856,$21.49
"['Energy', 'Electricity']",5.80%,53.78%,CEPU,Argentina,$0.79 B,Central Puerto,4857,$5.29
"['Footwear', 'Manufacturing']",-1.55%,-69.10%,WWW,USA,$0.80 B,Wolverine World Wide,4855,$10.17
['ElectricVehicles'],-3.74%,-66.16%,GGR,Taiwan,$0.80 B,Gogoro,4854,$3.35
"['Airlines', 'Travel', 'Transportation']",3.77%,-28.68%,089590.KS,South Korea,$0.80 B,Jeju Air,4853,$10.42
"['Tech', 'Software']",-3.80%,-72.26%,RXT,USA,$0.80 B,Rackspace Technology,4852,$3.80
"['Investment', 'Financialservices', 'AssetManagement']",-0.95%,-24.94%,SLRC,USA,$0.80 B,SLR Investment,4851,$14.66
"['Medicaldevices', 'Medicalequipment']",-1.28%,-31.04%,VREX,USA,$0.80 B,Varex Imaging,4849,$20.04
['Financialservices'],-3.87%,-48.01%,IBULHSGFIN.NS,India,$0.80 B,Indiabulls Housing Finance,4848,$1.70
"['Pharmaceuticals', 'Biotech']",-3.02%,-11.78%,SPARC.NS,India,$0.80 B,SPARC,4847,$2.92
['GlovesPPE'],0.00%,-66.67%,STGT.BK,Thailand,$0.80 B,Sri Trang Gloves,4850,$0.28
"['Steelproducers', 'Steelindustry']",-2.11%,22.13%,TMST,USA,$0.80 B,TimkenSteel,4846,$18.10
"['Banks', 'Financialservices']",-1.09%,-13.99%,FBMS,USA,$0.80 B,The First Bancshares,4845,$33.50
"['Financialservices', 'Tech']",-2.60%,-13.10%,TIGR,China,$0.80 B,UP Fintech (Tiger Brokers),4843,$5.24
['Retail'],-1.66%,-35.27%,TOKMAN.HE,Finland,$0.80 B,Tokmanni,4844,$13.69
['Financialservices'],1.62%,-9.68%,EDELWEISS.NS,India,$0.80 B,Edelweiss Financial Services,4842,$0.84
['Realestate'],0.00%,,PGRU,Singapore,$0.80 B,PropertyGuru,4841,$5.00
"['Financialservices', 'Investment']",1.59%,-23.44%,EFC,USA,$0.80 B,Ellington Financial,4840,$13.39
[],0.97%,-45.83%,AMRK,USA,$0.80 B,A-Mark Precious Metals,4839,$34.52
[],-0.70%,-14.50%,ASLE,USA,$0.81 B,AerSale,4837,$15.69
"['Software', 'Tech']",-5.06%,-51.92%,CLBT,Israel,$0.81 B,Cellebrite,4838,$4.13
"['Pharmaceuticals', 'Biotech']",-12.37%,-54.25%,CDMO,USA,$0.81 B,Avid Bioservices,4836,$13.04
[],0.26%,-55.10%,TSE,USA,$0.81 B,Trinseo,4835,$23.25
['Investment'],0.00%,15.15%,CVG.TO,Canada,$0.81 B,Clairvest Group,4834,$54.13
"['ITservices', 'Professionalservices', 'Software', 'Tech']",2.12%,10.88%,IIIV,USA,$0.81 B,i3 Verticals,4832,$24.57
['Food'],0.53%,-14.31%,SAVE.PA,France,$0.81 B,Savencia Fromage & Dairy,4833,$59.58
"['Internet', 'Tech']",0.59%,23.95%,RENN,China,$0.81 B,Renren,4831,$32.66
"['Pharmaceuticals', 'Biotech']",0.00%,-17.30%,ZEAL,Denmark,$0.81 B,Zealand Pharma,4830,$17.59
"['Investment', 'AssetManagement', 'Financialservices']",-3.68%,-31.53%,BSIG,USA,$0.81 B,BrightSphere Investment Group,4829,$19.65
['Electronics'],-1.88%,-50.24%,GPRO,USA,$0.81 B,GoPro,4828,$5.23
['Pharmaceuticals'],1.39%,-41.11%,019170.KS,South Korea,$0.81 B,Shinpoong Pharm,4827,$16.56
"['Tech', 'TechHardware']",4.92%,-55.93%,LWLG,USA,$0.81 B,Lightwave Logic,4826,$7.25
['Professionalservices'],-0.11%,-50.00%,QUESS.NS,India,$0.81 B,Quess,4824,$5.51
[],-1.14%,-45.62%,STLTECH.NS,India,$0.81 B,Sterlite Technologies,4825,$2.05
[],0.99%,56.02%,INGERRAND.NS,India,$0.81 B,Ingersoll Rand India,4822,$25.90
[],-2.43%,-23.11%,MGIC,Israel,$0.81 B,Magic Software,4823,$16.44
"['Airlines', 'Travel', 'Transportation']",0.05%,-21.43%,NAS.OL,Norway,$0.81 B,Norwegian Air Shuttle,4820,$0.88
"['Realestate', 'Internet']",-8.51%,-91.61%,OPEN,USA,$0.81 B,Opendoor,4821,$1.29
[],-0.33%,-42.13%,AMBER.NS,India,$0.82 B,Amber Enterprises India,4819,$24.34
"['Banks', 'Financialservices']",-1.22%,-7.66%,PEBO,USA,$0.82 B,Peoples Bancorp,4818,$29.04
"['Banks', 'Financialservices']",-0.88%,21.22%,HTBK,USA,$0.82 B,Heritage Commerce,4817,$13.54
[],1.38%,-33.33%,1T5.F,Poland,$0.82 B,Tauron Polska,4816,$0.46
"['SupermarketChains', 'Food', 'Retail']",-1.46%,-50.00%,DIA.MC,Spain,$0.82 B,(DIA) Distribuidora Internacional de Alimentación,4814,$0.01000
"['Pharmaceuticals', 'Biotech']",-5.88%,44.58%,PHAR,Netherlands,$0.82 B,Pharming Group,4815,$12.00
['Footwear'],0.22%,-4.18%,CAL,USA,$0.82 B,Caleres,4813,$23.15
[],0.31%,44.16%,KSB.NS,India,$0.82 B,KSB ltd,4811,$23.70
"['Banks', 'Financialservices']",-1.32%,-12.04%,WASH,USA,$0.82 B,Washington Trust Bancorp,4812,$47.99
['Retail'],0.70%,-9.43%,WINA,USA,$0.82 B,Winmark,4810,$240.00
[],-1.11%,-63.47%,JELD,USA,$0.82 B,Jeld-Wen,4809,$9.80
['Biotech'],2.16%,-46.83%,BLFS,USA,$0.82 B,Biolife Solutions,4808,$19.38
[],-1.86%,13.88%,MYE,USA,$0.82 B,Myers Industries,4806,$22.72
"['OilGas', 'Energy']",-3.50%,57.34%,WTI,USA,$0.82 B,W&T Offshore,4807,$5.79
"['Banks', 'Financialservices']",-0.86%,2.64%,ABTX,USA,$0.83 B,Allegiance Bancshares,4804,$41.63
"['Tech', 'ITservices', 'Professionalservices']",-3.75%,-29.62%,CNDT,USA,$0.83 B,Conduent,4803,$3.85
"['Utilitycompanies', 'Electricity', 'OilGas', 'Energy']",-1.13%,16.87%,UTL,USA,$0.82 B,Unitil Corporation,4805,$51.74
"['SpecialtyVehicles', 'Manufacturing']",-2.39%,-52.02%,SHYF,USA,$0.83 B,The Shyft Group,4802,$23.71
['Financialservices'],0.95%,-24.20%,PWP,USA,$0.83 B,Perella Weinberg Partners,4801,$9.52
"['Pharmaceuticals', 'Biotech']",-0.15%,35.47%,ACET,USA,$0.84 B,Adicet Bio,4783,$19.63
"['Videogames', 'Entertainment']",-1.71%,-71.02%,SF.ST,Sweden,$0.84 B,Stillfront Group,4778,$1.64
['Professionalservices'],-1.86%,24.24%,CRAI,USA,$0.84 B,CRA International,4782,$117.95
[],-3.10%,-75.00%,CYRX,USA,$0.84 B,CryoPort,4780,$17.19
"['Banks', 'Financialservices']",-2.63%,-21.08%,RBCAA,USA,$0.84 B,Republic Bank,4781,$42.65
['Insurance'],-3.97%,-14.35%,JRVR,Bermuda,$0.84 B,James River Group,4779,$22.50
[],-3.07%,-25.00%,AMWD,USA,$0.84 B,American Woodmark,4776,$50.85
"['Pharmaceuticals', 'Biotech']",1.93%,-3.15%,IMTX,Germany,$0.84 B,Immatics,4777,$11.07
"['Tech', 'ITservices', 'Professionalservices']",-2.64%,-70.94%,GDYN,USA,$0.84 B,Grid Dynamics,4775,$11.43
[],-0.06%,-22.74%,PRINCEPIPE.NS,India,$0.84 B,Prince Pipes And Fittings,4773,$7.51
"['3DPrinting', 'Tech']",-1.32%,-50.76%,SSYS,Israel,$0.84 B,Stratasys,4774,$12.67
"['Biotech', 'Pharmaceuticals']",0.97%,-61.87%,IGMS,USA,$0.84 B,IGM Biosciences,4772,$19.78
"['Biotech', 'Pharmaceuticals']",-2.28%,-21.87%,IDYA,USA,$0.84 B,IDEAYA Biosciences,4771,$17.61
['Financialservices'],-0.21%,-26.90%,SII,Canada,$0.84 B,Sprott Inc,4770,$33.91
[],-0.42%,-34.26%,MUM.F,Germany,$0.84 B,Mensch und Maschine,4769,$49.86
['Financialservices'],1.31%,-8.13%,BBTC.NS,India,$0.85 B,Bombay Burmah,4767,$12.21
"['AssetManagement', 'Investment']",-1.39%,-51.41%,JUP.L,UK,$0.84 B,Jupiter Fund Management,4768,$1.55
['Retail'],-1.39%,-74.58%,QRTEA,USA,$0.85 B,Qurate Retail Group,4766,$2.13
['Healthcare'],-2.84%,-81.35%,CANO,USA,$0.85 B,Cano Health,4765,$1.71
"['ECommerce', 'Tech', 'Internet', 'Retail', 'Clothing', 'Luxurygoods']",0.40%,-61.22%,MYTE,Germany,$0.85 B,MYT Netherlands Parent (Mytheresa),4764,$10.07
['Engineering'],-0.78%,8.14%,PRAJIND.NS,India,$0.85 B,Praj Industries,4763,$4.65
"['Food', 'Restaurantchains']",-0.84%,-52.98%,PTLO,USA,$0.85 B,Portillo's,4759,$17.72
"['Pharmaceuticals', 'Biotech']",3.94%,-74.60%,SANA,USA,$0.85 B,Sana Biotechnology,4761,$4.48
[],-2.39%,-71.96%,SAE.F,Netherlands,$0.85 B,Shop Apotheke Europe,4762,$47.18
[],-0.36%,-59.33%,HGS.NS,India,$0.85 B,Hinduja Global Solutions,4757,$16.32
"['Pharmaceuticals', 'Biotech']",-1.96%,-49.68%,ERAS,USA,$0.85 B,Erasca,4758,$7.00
['Telecommunication'],-2.19%,,CEL.TA,Israel,$0.85 B,Cellcom Israel,4760,$5.19
['Agriculture'],3.85%,-4.40%,AGRO,Luxembourg,$0.85 B,Adecoagro,4756,$7.83
['Professionalservices'],-0.17%,-31.38%,APPS.MC,Spain,$0.85 B,Applus Services,4753,$6.32
['Buildingmaterials'],-0.69%,-64.91%,MSLH.L,UK,$0.85 B,Marshalls plc,4752,$3.33
[],-1.99%,-8.34%,PLOW,USA,$0.85 B,Douglas Dynamics,4755,$37.48
['Chemicals'],-1.23%,13.20%,HWKN,USA,$0.85 B,Hawkins,4754,$40.82
"['Realestate', 'Investment', 'REITs']",1.33%,-43.95%,RWT,USA,$0.86 B,Redwood Trust,4751,$7.60
"['Courier', 'Transportation']",0.00%,-19.15%,S08.SI,Singapore,$0.86 B,Singapore Post,4750,$0.38
['Utilitycompanies'],0.27%,,PWSA.KH,Cambodia,$0.86 B,Phnom Penh Water Supply Authority,4748,$1.80
