"Rank","Name","in 2021 ranking","in 2020 ranking","Country","Sector","Absolute Growth Rate %","Compound Annual Growth Rate (CAGR) %","Revenue 2020 (€)","Revenue 2017 (€)","Number of employees 2020","Number of employees 2017","Founding Year"
"508","Timberagents","No","No","Germany","Retail","313.98","60.57","5,302,985","1,280,989","4","3","2010"
"509","fermeture econ’home","No","No","France","Construction","312.82","60.42","1,862,632","451,196","30","2","2012"
"510","NRSE","No","No","Sweden","Management Consulting","309.97","60.05","3,268,813","815,449","70","20","2014"
"511","SIMWERT","Yes","Yes","Germany","Telecoms","309.05","59.93","26,386,701","6,450,759","21","16","2011"
"512","Flex Legal","No","No","UK","Law","308.66","59.88","4,319,146","1,064,498","24","2","2015"
"513","Documaster","Yes","No","Norway","Technology","308.41","59.85","3,328,791","868,552","41","15","2010"
"514","Immo-Team Allgäu","No","No","Germany","Construction","308.37","59.84","21,974,565","5,381,108","4","1","2014"
"515","creditshelf","Yes","No","Germany","Financial Services","307.62","59.74","4,899,200","1,201,900","57","17","2014"
"516","Blife","Yes","No","Italy","Food & Beverage","306.70","59.62","4,133,980","1,016,480","10","7","2016"
"517","Nohup","Yes","No","Italy","Technology","306.29","59.57","4,785,480","1,177,860","18","9","2004"
"518","Noctuai","Yes","No","Poland","Technology","306.22","59.56","2,443,117","657,377","56","17","2012"
"519","Ares","Yes","Yes","Germany","Industrial Goods","305.80","59.50","14,000,000","3,450,000","96","47","2013"
"520","Moonpig Group","No","No","UK","Ecommerce","305.66","59.49","411,390,748","102,139,979","399","242","2000"
"521","Wealth Club","No","No","UK","Financial Services","304.87","59.38","6,774,867","1,685,348","22","15","2016"
"522","FACTORY","No","No","France","Property","304.26","59.30","12,609,000","3,119,000","25","4","2016"
"523","Beck Ingredients","No","No","Spain","Health","303.81","59.24","7,532,293","1,865,319","6","2","2016"
"524","Mentors & Partners Group","No","No","Hungary","Management Consulting","303.44","59.19","1,822,227","524,552","3","3","2010"
"525","SB Supply","Yes","No","The Netherlands","Ecommerce","303.38","59.19","4,363,977","1,081,844","9","4","2011"
"526","Mediaboard","No","No","Czech Republic","Media","302.65","59.09","2,243,594","572,798","24","8","2015"
"527","DW TRANS","Yes","Yes","France","Transport","302.41","59.06","9,485,173","2,357,096","80","20","2012"
"528","NACELEXPERT","No","No","France","Industrial Goods","301.53","58.94","2,727,392","679,247","4","2","2006"
"529","keylight","No","No","Germany","Technology","301.43","58.93","3,499,555","871,779","31","14","2015"
"530","Technacy","No","No","Italy","Technology","301.40","58.92","3,059,440","762,200","13","3","2011"
"531","Genoskin","No","No","France","Chemicals & Pharmaceuticals","300.97","58.87","2,810,120","700,823","25","12","2011"
"532","Payment Assist","Yes","Yes","UK","Fintech","297.51","58.41","5,993,895","1,518,678","21","12","2013"
"533","my Boo","No","No","Germany","Retail","297.47","58.40","4,706,000","1,184,000","65","14","2013"
"534","84codes.com","Yes","Yes","Sweden","Technology","297.46","58.40","12,120,207","3,118,698","25","11","2012"
"535","KLG LIQUIDA","No","No","Germany","Chemicals & Pharmaceuticals","297.29","58.38","5,034,595","1,267,224","20","6","2013"
"536","Ignimission","No","No","France","Technology","297.08","58.35","2,280,542","574,323","35","8","2011"
"537","Adamant BioNRG","No","No","Italy","Energy","297.06","58.35","117,997,000","29,718,000","7","4","2013"
"538","Xplort","No","No","UK","Interiors","296.93","58.33","2,252,358","571,513","5","2","2015"
"539","Bambridge Accountants","Yes","No","UK","Financial Services","296.71","58.30","3,368,822","855,283","12","7","2010"
"540","G2Park","No","No","Slovakia","Property","295.97","58.20","2,902,148","732,924","13","7","2016"
"541","Pelizzari Studio","No","No","Italy","Architecture","295.97","58.20","2,625,660","663,100","5","2","2014"
"542","Postex","Yes","No","The Netherlands","Technology","293.41","57.86","5,248,908","1,334,213","9","4","2014"
"543","Consorzio Stabile Ambientemilia","Yes","Yes","Italy","Waste management & recycling","291.25","57.57","9,752,760","2,492,730","5","5","2013"
"544","Yocabe’","Yes","No","Italy","Ecommerce","290.92","57.53","3,293,860","842,600","12","6","2016"
"545","Chez Nestor","Yes","Yes","France","Property","290.88","57.52","8,559,263","2,189,720","33","19","2012"
"546","Mint Italia","No","No","Italy","Transport","288.59","57.22","2,415,110","621,500","9","2","2016"
"547","Sendcloud","Yes","Yes","The Netherlands","Ecommerce","288.44","57.20","81,775,452","21,052,232","233","27","2012"
"548","Datakey Software Engineering","No","No","Italy","Technology","288.19","57.16","1,898,000","488,940","10","6","2008"
"549","Metaminds","Yes","Yes","Romania","Cyber Security","287.56","57.08","32,103,084","8,605,113","41","21","2015"
"550","Time Vision","No","No","Italy","Education","287.38","57.05","2,793,340","721,090","29","11","2012"
"551","Werksräder24","Yes","Yes","Germany","Automobiles","287.21","57.03","14,896,000","3,847,000","36","16","2013"
"552","FOD Mobility Group","Yes","No","UK","Technology","286.81","56.98","13,309,945","3,465,675","70","35","2008"
"553","Selferg","No","No","Italy","Energy","285.39","56.78","2,050,130","531,960","60","10","2007"
"554","Poppri Fashion Auctions","Yes","No","Lithuania","Ecommerce","284.74","56.70","13,028,856","3,386,414","94","45","2012"
"555","Vizion Network","Yes","No","UK","Automobiles","284.49","56.66","117,817,156","30,862,156","194","156","2008"
"556","Beyond Law Group*","No","No","UK","Law","284.10","56.61","8,233,616","2,159,010","66","27","2017"
"557","EDA Warehousing","No","No","Germany","Transport","284.03","56.60","4,570,000","1,190,000","14","13","2014"
"558","BPV","No","No","Germany","Telecoms","283.29","56.50","22,704,275","5,923,571","90","45","2013"
"559","Ultra Premium Direct","Yes","No","France","Agricultural Commodities","283.21","56.49","20,779,890","5,422,583","81","29","2013"
"560","AFR-IX telecom","Yes","Yes","Spain","Telecoms","283.01","56.46","9,933,867","2,593,649","24","12","2013"
"561","Blue energy","No","No","Poland","Cyber Security","282.71","56.42","4,527,970","1,293,181","44","28","2010"
"562","C’JUSTE PARIS","No","No","France","Retail","282.63","56.41","2,404,398","628,388","15","5","2013"
"563","SOS-accessoire","No","No","France","Ecommerce","281.74","56.29","14,690,408","3,848,262","44","13","2007"
"564","Hannes König","No","No","Germany","Construction","281.19","56.21","8,750,671","2,295,632","27","18","2017"
"565","ZANATTA media group","No","No","Germany","Advertising","280.58","56.13","8,383,859","2,202,906","9","6","2007"
"566","Wastepack","No","No","UK","Waste management & recycling","280.36","56.10","22,373,295","5,924,389","20","18","1997"
"567","Radar Consulting Italia","No","No","Italy","Support Services","279.04","55.92","1,580,450","416,960","17","7","2010"
"568","Agriconomie","Yes","Yes","France","Agricultural Commodities","278.58","55.86","37,248,117","9,838,779","53","32","2014"
"569","AnyTech365","Yes","Yes","Spain","Technology","275.94","55.49","18,743,704","4,985,758","364","187","2014"
