,company_rank,company_name,company_industry,company_location
312,313,Midea,White Goods,China
313,314,Magnolia,Milk,"Malaysia, Singapore"
314,315,Swatch,Watch,Regional
315,316,Maeil,Milk,Korea
316,317,Revlon,Cosmetics,Regional
317,318,Nongfu Shan Quan,Mineral Water,China
318,319,Great Eastern,Insurance,"Malaysia, Singapore"
319,320,Hang Seng Bank,Bank,Hong Kong
320,321,Wai Wai,Instant Noodles,"Hong Kong, Thailand"
321,322,Maybelline,Cosmetics,Regional
322,323,StarHub,Mobile Service Provider,Singapore
323,324,Kodak,Camera,Regional
324,325,Outback,Restaurant Chain,"Korea, China"
325,326,Madras Rubber Factory,Tyre,"India, Malaysia"
326,327,Glico,Snack Food,"Japan, China"
327,328,Mr. Brown,Coffee,"Hong Kong, Taiwan"
328,329,Dairy Farm,Milk,"Australia, Hong Kong"
329,330,Fuji,Camera,Regional
330,331,Vidal Sassoon,Shampoo,Regional
331,332,Hugo Boss,Fragrance,Regional
332,333,Chivas,Spirits,Regional
333,334,Bisleri,Mineral Water,"Australia, India"
334,335,AXA,Insurance,"Hong Kong, Southeast Asia"
335,336,Taj,Hotel,India
336,337,United Overseas Bank,Bank,"Malaysia, Singapore"
337,338,Hite,Beer,Korea
338,339,Ariel,Detergent,"China, India"
339,340,Dynamo,Detergent,"Malaysia, Singapore"
340,341,Biotherm,Skincare Product,Regional
341,342,Malee,Fruit Juice,"Japan, Thailand"
342,343,China Unicom,Mobile Service Provider,China
343,344,Burberry,Luxury Fashion Retailer,Regional
344,345,Cosmed,Pharmacy/Drugstore,Taiwan
345,346,M&Mâs,Chocolate,Regional
346,347,Manningâs,Pharmacy/Drugstore,Hong Kong
347,348,Prada,Luxury Fashion Retailer,Regional
348,349,Sheraton,Hotel,Regional
349,350,CIMB Bank,Bank,Malaysia
350,351,China Southern Airlines,Full-service Airlines,"China, Hong Kong"
351,352,UCC,Coffee,"Japan, China"
352,353,Airwaves,Chewing/Bubble Gum,"Australia, China"
353,354,Kumho,Tyre,Korea
354,355,Sponsor,Sports Drink,Thailand
355,356,GS Caltex,Petrol/Gas Station,Korea
356,357,Eva Air,Full-service Airlines,Taiwan
357,358,Kissan,Sauce/Condiment,India
