,company_name,company_location
214,AEP TICKETING SOLUTIONS SRL,ITALY
215,MAXIMA EESTI OU,ESTONIA
216,PALANTIR TECHNOLOGIES QFC LLC,UNITED STATES
217,VOLVO CONSTRUCTION EQUIPMENT HAULERS LIMITED,UNITED KINGDOM
218,ALLIANZ SPA,ITALY
219,FINVAULT EXCHANGE OU,ESTONIA
220,"AIRBUS DS MILITARY AIRCRAFT, INC.",UNITED STATES
221,FCE BANK PLC,UNITED KINGDOM
222,ALLIANZ DIRECT SPA,ITALY
223,LHV PANK AS,ESTONIA
224,NASA LANGLEY RESEARCH CENTER,UNITED STATES
225,ALPRO (UK) LIMITED,UNITED KINGDOM
226,ENI PLENITUDE SPA SOCIETA' BENEFIT,ITALY
227,GREEN IT OU,ESTONIA
228,MACANDREWS & FORBES INCORPORATED,UNITED STATES
229,CRODA EUROPE LIMITED,UNITED KINGDOM
230,DUAL ITALIA SPA,ITALY
231,GREEN WINDOW OU,ESTONIA
232,"STERLING INFOSYSTEMS, INC.",UNITED STATES
233,CRODA INTERNATIONAL PUBLIC LIMITED COMPANY,UNITED KINGDOM
234,MERCITALIA RAIL SRL,ITALY
235,SCAN SHIPPING OU,ESTONIA
236,SURFACE MINING COMMISSION ALABAMA,UNITED STATES
237,CRODA INVESTMENTS NO 3 LIMITED,UNITED KINGDOM
238,MARINI SPA,ITALY
239,TS SHIPPING OU,ESTONIA
240,COMPASS GROUP L.L.C.,UNITED STATES
241,JOHNSON ELECTRIC INTERNATIONAL (UK) LIMITED,UNITED KINGDOM
242,RAI WAY SPA,ITALY
243,DSVH OU,ESTONIA
244,"COMPASS GROUP USA, INC.",UNITED STATES
245,GENERAL NUCLEAR INTERNATIONAL LIMITED,UNITED KINGDOM
246,BREMBO SPA,ITALY
247,SMARTMATIC-CYBERNETICA CENTRE OF EXCELLENCE FOR INTERNET VOTING OU,ESTONIA
248,GE POWER & WATER,UNITED STATES
249,TOR CURRENCY EXCHANGE LIMITED,UNITED KINGDOM
250,NUOVA FOURB SRL,ITALY
251,3P LOGISTICS OU,ESTONIA
252,"NPD GROUP, L.P., THE",UNITED STATES
253,QBE UK LIMITED,UNITED KINGDOM
254,POLYWORKS EUROPA (ITALIA) SRL,ITALY
255,NG INVESTEERINGUD OU,ESTONIA
256,PRO MACH INC,UNITED STATES
257,MARKEL INTERNATIONAL INSURANCE COMPANY LIMITED,UNITED KINGDOM
258,ARISTON SPA,ITALY
259,BLRT GRUPP AS,ESTONIA
260,"ATLAS AIR, INC.",UNITED STATES
261,HCC INTERNATIONAL INSURANCE COMPANY PLC,UNITED KINGDOM
262,UNIVERSITA' DEGLI STUDI DI PARMA,ITALY
263,EKSPRESS GRUPP AS,ESTONIA
264,"VERIFONE, INC.",UNITED STATES
265,BERKSHIRE HATHAWAY INTERNATIONAL INSURANCE LIMITED,UNITED KINGDOM
266,ITT ITALIA SRL,ITALY
267,24 HOLDING OU,ESTONIA
268,"WASTE MANAGEMENT OF ILLINOIS, INC.",UNITED STATES
269,NAVIGATORS INTERNATIONAL INSURANCE COMPANY LTD,UNITED KINGDOM
270,KICKOFF SPA,ITALY
271,HEPSOR AS,ESTONIA
272,BLOOMBERG FINANCE L.P.,UNITED STATES
273,TRAVELERS INSURANCE COMPANY LIMITED,UNITED KINGDOM
274,BAIN & C. ITALY INC.,ITALY
275,TS LAEVAD OU,ESTONIA
276,CYCLE LINK (U.S.A.) INC.,UNITED STATES
277,SAVENCIA FROMAGE & DAIRY UK LTD,UNITED KINGDOM
278,HORIBA ITALIA SRL,ITALY
279,NORD CONNECT OU,ESTONIA
280,WARNER BROS. DISTRIBUTING INC.,UNITED STATES
281,WMG GLOBAL VENTURES LIMITED,UNITED KINGDOM
282,CANALI SPA,ITALY
283,ME GROUP BALTIC OU,ESTONIA
284,WARNER BROS. ENTERPRISES LLC,UNITED STATES
285,LEYLAND TRUCKS LIMITED,UNITED KINGDOM
286,INDUSTRIA GRAFICA EUROSTAMPA SPA,ITALY
287,RAGLOR OU,ESTONIA
288,WARNER BROS. RECORDS INC.,UNITED STATES
289,MANN + HUMMEL VOKES-AIR LIMITED,UNITED KINGDOM
290,CAMOZZI GROUP SPA,ITALY
291,SEGMENT INVEST OU,ESTONIA
292,"WARNER BROS. (TRANSATLANTIC), INC.",UNITED STATES
293,MANN + HUMMEL VOKES AIR TREATMENT HOLDINGS LIMITED,UNITED KINGDOM
294,UNIVERSITA' DEGLI STUDI ROMA TRE,ITALY
295,ARCO VARA AS,ESTONIA
296,WARNER BROS. CONSUMER PRODUCTS INC.,UNITED STATES
297,K.J.N. AUTOMATION LIMITED,UNITED KINGDOM
298,UNIVERSITA' DEGLI STUDI DI ROMA LA SAPIENZA,ITALY
299,YERBLUES OU,ESTONIA
300,WARNER BROS. TECHNICAL OPERATIONS INC.,UNITED STATES
301,HUNT AND PALMER PLC,UNITED KINGDOM
302,UFI FILTERS SPA,ITALY
303,GHUNI JATIGRAM OU,ESTONIA
304,"DREAMWORKS, INC.",UNITED STATES
305,RADIODETECTION LIMITED,UNITED KINGDOM
306,BRT SPA,ITALY
307,PERFORCE SOFTWARE AS,ESTONIA
308,TWDC ENTERPRISES 18 CORP.,UNITED STATES
309,HUTCHISON 3G UK LIMITED,UNITED KINGDOM
310,SDA EXPRESS COURIER SPA,ITALY
311,HEIMON KALA OU,ESTONIA
312,"WALT DISNEY COMPANY, THE",UNITED STATES
313,COMPANY 3 / METHOD LONDON LIMITED,UNITED KINGDOM
314,LOTTOMATICA SPA,ITALY
315,KUEHNE + NAGEL AS,ESTONIA
316,CORPORATION SERVICE COMPANY,UNITED STATES
317,TRAVELODGE HOTELS LIMITED,UNITED KINGDOM
318,BYMYCAR ITALIA SRL,ITALY
319,ESTATEGURU CAPITAL OU,ESTONIA
320,"CSC CORPORATE DOMAINS, INC.",UNITED STATES
321,J.H. FENNER & CO. LIMITED,UNITED KINGDOM
322,BM BYMYCAR MILANO SRL,ITALY
323,QARSON HOLDING OU,ESTONIA
324,"CSC DOMAINS, LLC",UNITED STATES
325,FENNER GROUP HOLDINGS LIMITED,UNITED KINGDOM
326,SICILY BY CAR SPA,ITALY
327,ENEFIT SOLUTIONS AS,ESTONIA
328,"MADISON SQUARE ASSOCIATES, LTD.",UNITED STATES
329,MODERN BIOSCIENCES LIMITED,UNITED KINGDOM
330,SWISSLOG HEALTHCARE ITALY SRL,ITALY
331,DEALUM OU,ESTONIA
332,"REXEL USA, INC.",UNITED STATES
333,IP2IPO LIMITED,UNITED KINGDOM
334,SWISSLOG HEALTHCARE AG,ITALY
335,ELISA EESTI AS,ESTONIA
336,"JORDAN COMPANY, L.P., THE",UNITED STATES
337,IP GROUP PLC,UNITED KINGDOM
338,DECATHLON ITALIA SRL,ITALY
339,MARKIT EESTI AS,ESTONIA
340,"ENDEAVOR GROUP HOLDINGS, INC.",UNITED STATES
341,IP2IPO INNOVATIONS LIMITED,UNITED KINGDOM
342,PRIMA INDUSTRIE SPA,ITALY
343,ALL MEDIA EESTI AS,ESTONIA
344,"AGC BIOLOGICS, INC.",UNITED STATES
345,NICKELODEON INTERNATIONAL LIMITED,UNITED KINGDOM
346,BREDAMENARINIBUS SPA,ITALY
347,TARCO VEIN AS,ESTONIA
348,"HOMEBOT, INC.",UNITED STATES
349,AFTON CHEMICAL LIMITED,UNITED KINGDOM
350,A. MENARINI INDUSTRIE FARMACEUTICHE RIUNITE SRL,ITALY
351,APOLLO GROUP OU,ESTONIA
352,PANDORA JEWELRY LLC,UNITED STATES
353,BARCLAYS PLC,UNITED KINGDOM
354,SHARINGBOX ITALIA SRL,ITALY
355,KRM HOLDING PLUS OU,ESTONIA
356,KKR REAL ESTATE FINANCE TRUST INC.,UNITED STATES
357,BARCLAYS CAPITAL SECURITIES LIMITED,UNITED KINGDOM
358,ROLAND BERGER SRL,ITALY
359,IXELLION AS,ESTONIA
360,"MOTION INDUSTRIES, INC.",UNITED STATES
361,BARCLAYS BANK PLC,UNITED KINGDOM
362,BRUNO MARIA ZIMMITTI 1858 SRL,ITALY
363,PALMAKO AS,ESTONIA
364,"UNIVERSAL SERVICES OF AMERICA, LP",UNITED STATES
365,BARCLAYS EXECUTION SERVICES LIMITED,UNITED KINGDOM
366,AUTEL EUROPE GMBH,ITALY
367,OMD ESTONIA OU,ESTONIA
368,"UNIVERSAL PROTECTION SERVICE, LP",UNITED STATES
369,LONDON & PARTNERS LIMITED,UNITED KINGDOM
370,AVM 1959 SPA,ITALY
371,DRINKIFY OU,ESTONIA
372,ALLIED UNIVERSAL HOLDCO LLC,UNITED STATES
373,HSBC HOLDINGS PLC,UNITED KINGDOM
374,WEGLOBAL SRL,ITALY
375,KOKKUHOIDEUR OU,ESTONIA
376,"S P INDUSTRIES, INC.",UNITED STATES
377,GCP (UK) HOLDINGS LIMITED,UNITED KINGDOM
