,company_name,company_industry
2713,Corona Remedies,Healthcare
2714,Aparna Enterprises,Building Material
2715,Azmeel Contracting,Engineering & Construction
2716,Roki Minda Co,Auto Components
2717,CPM India Sales & Marketing,Marketing & Advertising
2718,TELUS International Philippines,IT Services & Consulting
2719,K L University,Education & Training
2720,Shangri-la Hotels & Resorts,Hospitality
2721,National Payments Corporation of India,FinTech
2722,NortonLifeLock's,IT Services & Consulting
2723,Subway,Hospitality
2724,Bhilai Engineering Corporation,Industrial Machinery
2725,GKC Projects,Engineering & Construction
2726,Kiswok Industries,Auto Components
2727,Rashmi Group,Metals & Mining
2728,Wildcraft,Fashion & Textile
2729,Metro Hospital & Heart Institute,Healthcare
2730,Akamai Technologies,IT Services & Consulting
2731,ZF India Technology Center,Auto Components
2732,Titan Engineering & Automation,Industrial Automation
2733,Religare Finvest,Financial Services
2734,Sureti Insurance Marketing,
2735,Aptiv,Auto Components
2736,Roche Diagnostics,Pharma
2737,Mahendra NextWealth,IT Services & Consulting
2738,Bahwan CyberTek,IT Services & Consulting
2739,Aliens Group,Real Estate
2740,NVH India Auto Parts,Auto Components
2741,Kirloskar Electric Company,Electrical Equipment
2742,Powerica,Industrial Machinery
2743,Rheinmetall Automotive,Auto Components
2744,Mobileum,Software Product
2745,Mettler-Toledo,Electronics Manufacturing
2746,Patil Group,Engineering & Construction
2747,Metric Stream Infotech,Internet
2748,RCL-PRIYA CEMENT,Building Material
2749,Tata ClassEdge,EdTech
2750,Vistara,Aviation
2751,RDC Concrete (India),Real Estate
2752,L&T Water & Effluent Treatment,Engineering & Construction
2753,Marpu Foundation,Non-Profit
2754,Sharda University,Education & Training
2755,Allanasons,Food Processing
2756,Banco Products,Auto Components
2757,Bharat Dynamics,Industrial Machinery
2758,Ascent Business Solutions,IT Services & Consulting
2759,DataMetica,IT Services & Consulting
2760,Nuance Transcription Services,IT Services & Consulting
2761,Munjal Auto Industries,Auto Components
2762,Shivam Infocom,Telecom
2763,Aegon Life Insurance,Insurance
2764,Secure Value,IT Services & Consulting
2765,LendingKart,FinTech
2766,Ascent Business Solutions,IT Services & Consulting
2767,Somic ZF Components,Auto Components
2768,Banco Products,Auto Components
2769,Rama Medical College Hospital & Research Centre,Healthcare
2770,Elentec India,IT Services & Consulting
2771,Zovian Technologies,IT Services & Consulting
2772,IOCL Refinery,Oil & Gas
2773,Mahindra Susten,Engineering & Construction
2774,Innominds Software,IT Services & Consulting
2775,All India Institute of Medical Sciences,Healthcare
2776,GE Aviation,Aviation
2777,Iol Chemicals & Pharmaceuticals,Pharma
2778,Zydex Industries,Chemicals
2779,Rail Vikas Nigam,FMCG
2780,IDS Infotech,IT Services & Consulting
2781,EMCO,Power
2782,Hyundai Heavy Industries,Urban Transport
2783,Indiabulls Real Estate,Real Estate
2784,HUDL,Software Product
2785,Cheil India,Marketing & Advertising
2786,Gallagher Service Center,BPO
2787,Arvind Fashions,Fashion & Textile
2788,L&TMHI Power Boilers,Industrial Machinery
2789,E2OPEN,IT Services & Consulting
2790,AYN InfoTech,IT Services & Consulting
2791,Sub-K IMPACT Solutions,Financial Services
2792,Health Care Global Enterprises,Healthcare
2793,Orchid Chemicals & Pharmaceuticals,Pharma
2794,Arena Animation,Education & Training
2795,ISS SDB Security Services,Facility Management Services
2796,Bhandari Automobiles,Automobile
2797,Sistema Shyam Teleservices,Telecom
2798,ESAB,Industrial Machinery
2799,Gold Plus Glass,Building Material
2800,My Home Constructions,Real Estate
2801,Synergy Property Development Services,Real Estate
2802,T&M Services consulting,Recruitment
2803,ScoreMe Solutions,FinTech
2804,koda Auto Volkswagen,Automobile
2805,Expleo Solutions,IT Services & Consulting
2806,Technip Energies,Engineering & Construction
2807,Spectrum Talent Management,Recruitment
2808,Suburban Diagnostics,Healthcare
2809,CommScope,Telecom
2810,Can-Pack,Packaging
2811,Aptus Value Housing Finance India,NBFC
2812,LiquidHub,IT Services & Consulting
2813,Personiv,BPO
2814,Offshoot Agency,IT Services & Consulting
2815,Apollo Clinic,Healthcare
2816,Country Club India,Hospitality
2817,Indian Institute of Technology Gandhinagar,Education & Training
2818,Tradebulls,Financial Services
2819,Tradebulls,Financial Services
2820,Treebo Hotels,Internet
2821,Uae Exchange & Financial Services,FinTech
2822,Pegasystems,Software Product
2823,AirAsia,Logistics
2824,Arabian Construction Company,Engineering & Construction
2825,Gopaljee Dairy Foods,Food Processing
2826,Godrej Interio,Furniture & Furnishing
2827,Talwalkars Better value Fitness,Fitness & Wellness
2828,Petrofac Engineering India,Petrochemicals
2829,Focus Energy,Oil & Gas
2830,Mitsui O.S.K. Lines,Ports & Shipping
2831,Mukand,Iron & Steel
2832,Global Edge Software,IT Services & Consulting
2833,Military Engineer Services,Engineering & Construction
2834,Encora,IT Services & Consulting
2835,TNT Express,Logistics
2836,Arabian Industries,Oil & Gas
2837,Inspira Enterprise India,IT Services & Consulting
2838,McNROE,FMCG
2839,Huntsman International,Chemicals
2840,Su-Kam Power Systems,Power
2841,TRL Krosaki Refractories,Metals & Mining
2842,Groupm Media,Marketing & Advertising
2843,Hummingwave Technologies,IT Services & Consulting
2844,Refinitiv,Financial Services
2845,Halliburton,Power
2846,Ample Technologies,IT Services & Consulting
2847,Paragon Digital Services,Marketing & Advertising
2848,Hinduja Tech,
2849,Ample Technologies,IT Services & Consulting
2850,Paragon Digital Services,Marketing & Advertising
2851,Hyundai Glovis,Logistics
2852,Paper boat,Beverage
2853,Highway Industries,Engineering & Construction
2854,Shyam Sel & Power,Industrial Machinery
2855,Bharat Institutions,Education & Training
2856,Kellton Tech Solutions,IT Services & Consulting
2857,Kia,Automobile
2858,Alembic,Pharma
2859,TATA Advanced Materials,Defence & Aerospace
2860,Servion Global Solutions,IT Services & Consulting
2861,Onkar Infotech,BPO
2862,Magic Software,IT Services & Consulting
2863,Shakti Pumps,Industrial Machinery
2864,JoulestoWatts Business Solutions,IT Services & Consulting
2865,Khimji Ramdas,Other
2866,NAFFCO,Other
2867,Shah Technical Consultants,Telecom
2868,Efftronics Systems,Electronics Manufacturing
2869,Rosenberger Electronic,Electronics Manufacturing
2870,APL Apollo Tubes,Building Material
2871,Bengal Beverages,Beverage
2872,Net Solutions,IT Services & Consulting
2873,Aster Dm Healthcare,Healthcare
2874,Sri Sri Tattva,FMCG
2875,Allianz,Insurance
2876,Nous Infosystems,IT Services & Consulting
2877,Bombay Rayon Fashions,Fashion & Textile
2878,Stovekraft,Consumer Electronics & Appliances
2879,Mediterranean Shipping Company,IT Services & Consulting
2880,Danone Nutricia,Food Processing
2881,Richa Global Export,Fashion & Textile
2882,Nava Bharat Ventures,Metals & Mining
2883,Titan Laboratories,Pharma
2884,InfoStretch,IT Services & Consulting
2885,Dnata,Aviation
2886,Responsive Industries,Building Material
2887,Bharat Rasayan,Agro Chemicals
2888,New Opportunity Consultancy,Financial Services
2889,EVRY India,IT Services & Consulting
2890,Netmeds.com,Internet
2891,Writer Information Management Services,Facility Management Services
2892,Amara Raja Power Systems,Auto Components
2893,OptimHire,IT Services & Consulting
2894,Techwave Consulting,IT Services & Consulting
2895,Rainbow Childrens Hospital,Healthcare
2896,Globus Stores,Retail
2897,MagicPin,Internet
2898,Equiniti,Financial Services
2899,Pearl Global Industries,Fashion & Textile
2900,ABI SHOWA TECH,Auto Components
2901,ANZ Operations & Technology,Financial Services
2902,Columbia Petro Chem,Oil & Gas
2903,Honour Lab,Pharma
2904,Vem Technologies,Defence & Aerospace
2905,Infinx Healthcare,IT Services & Consulting
2906,Examity,EdTech
2907,Birla Cement,Chemicals
2908,Aptiv Components India Private,Auto Components
2909,Eurofins It Solutions,IT Services & Consulting
2910,MIOT INTERNATIONAL,Healthcare
2911,BP,Oil & Gas
2912,Thales,IT Services & Consulting
2913,Watertec India,Building Material
2914,Apparel Group,Retail
2915,Manhattan Associates,IT Services & Consulting
2916,CESC,Power
2917,Solartis Technology Services,IT Services & Consulting
2918,MobileComm Technologies India,Telecom
2919,Central Institute of Plastics Engineering & Technology,Education & Training
2920,Wow Momo Foods,FMCG
2921,Checkmate Services,Facility Management Services
2922,Azure Power,Power
2923,Anand Rathi Global Finance,NBFC
2924,Tube Products of India,Industrial Machinery
2925,ShopKirana,Software Product
2926,L&T Defence,Defence & Aerospace
2927,Radiant Cash Management Services,Financial Services
2928,Weblink In,IT Services & Consulting
2929,VVF,FMCG
2930,Sgs Tekniks Manufacturing,Electronics Manufacturing
2931,Theme Engineering Services,Engineering & Construction
2932,Sarvodaya Hospital,Healthcare
2933,Sundaram Auto Components,Auto Components
2934,Arabtec Construction,Engineering & Construction
2935,CBSL,Other
2936,Global Aluminium,Metals & Mining
2937,NOON.COM,Internet
2938,RSM India,Accounting & Auditing
2939,KRBL,FMCG
2940,koda Auto India,Automobile
2941,Pfizer Healthcare india pvt lit,Pharma
2942,Dalmia-OCL,Building Material
2943,Amentum,Defence & Aerospace
2944,The Indian Hotels Company,Hospitality
2945,London Stock Exchange Group,Healthcare / Pharma
2946,Air Liquide,Chemicals
2947,Delhi Duty Free Services,Retail
2948,Tejas Networks,Hardware & Networking
2949,VIT University,Education & Training
2950,Indo German Tool Room,Government
2951,Hindustan Syringes & Medical Devices,Medical Equipment
2952,Yashi Consulting Services,Engineering & Construction
2953,Case New-Holland Construction Equipment India,Industrial Machinery
2954,Deluxe Entertainment,Media & Entertainment
2955,ArcGate,BPO
2956,VST Industries,FMCG
2957,eNoah iSolution,BPO
2958,Casagrand,Real Estate
2959,SKH Y-TEC,Auto Components
2960,GMR Energy,Power
2961,BridgeLabz Solutions,EdTech
2962,Wallace Pharmaceuticals,Pharma
2963,PhyCARE Solutions,Healthcare
2964,INDIAN PUBLIC SCHOOL,Education & Training
2965,eBIZ.com,EdTech
2966,Hashedin By Deloitte,IT Services & Consulting
2967,Oriflame,Beauty & Personal Care
2968,MBD GROUP,Printing & Publishing
2969,Cochin Shipyard,Ports & Shipping
2970,CTDI,Telecom
2971,Oriflame,Beauty & Personal Care
2972,Hashedin By Deloitte,IT Services & Consulting
2973,eBIZ.com,EdTech
2974,Par Formulations,Healthcare
2975,Berkadia,Financial Services
2976,Flipkart Health+,Internet
2977,ThoughtWorks,IT Services & Consulting
2978,Gujarat Gas,Oil & Gas
2979,Inventia Healthcare,Pharma
2980,Centre For Sight,Healthcare
2981,Gartner India Research and Advisory Services,Analytics & KPO
2982,Valvoline Cummins,Auto Components
2983,Imarque Solutions,IT Services & Consulting
2984,Sequential Technology International,BPO
2985,Taraashna Financial Services,Financial Services
2986,S Chand Group,Education & Training
2987,S.c Johnson Products,Beauty & Personal Care
2988,Tuaman Engineering,Engineering & Construction
2989,Publicis,Marketing & Advertising
2990,A2Z Group,Engineering & Construction
2991,Rajasthan Patrika,Broadcasting
2992,Trivium Education Services,Management Consulting
2993,NGA HR,BPO
2994,HealthKart,Internet
2995,Manipal Technologies,Printing & Publishing
2996,Tata Metaliks,Iron & Steel
2997,Ozone Overseas,Architecture & Interior Design
2998,Adama,Agro Chemicals
2999,Tata Metaliks,Iron & Steel
3000,Rajasthan Patrika,Broadcasting
3001,RA Chem Pharma,Pharma
3002,Ozone Overseas,Architecture & Interior Design
3003,Trivium Education Services,Management Consulting
3004,Zebronics,Consumer Electronics & Appliances
3005,WayCool Foods and Products,FMCG
3006,Bajaj Consumer Care,FMCG
3007,Infodrive,Other
3008,Omega Healthcare Solutions,IT Services & Consulting
3009,Nippon India Mutual Fund,Financial Services
3010,Bada Business,Internet
3011,Neilsoft,Engineering & Construction
3012,Siemens Healthineers,Healthcare
3013,Rakuten,IT Services & Consulting
3014,Polestar Solutions & Services India,IT Services & Consulting
3015,Sundaram Business Services,BPO
3016,Oberoi Realty,Real Estate
3017,Calsoft,IT Services & Consulting
3018,Shyam Indus Power Solutions,Power
3019,CARE Ratings,Financial Services
3020,Signode,Consumer goods
3021,Schneider Electric Infrastructure,Electrical Equipment
3022,Vedant Fashions,Fashion & Textile
3023,Asti Electronics India,Auto Components
3024,Andromeda Sales And Distribution,Financial Services
3025,AXIS MY INDIA,Analytics & KPO
3026,Creative Synergies Group,IT Services & Consulting
3027,Hygienic Research Institute,Beauty & Personal Care
3028,Sedemac Mechatronics,Consumer Electronics & Appliances
3029,Andromeda Sales And Distribution,Financial Services
3030,Delphi Automotive Systems,Auto Components
3031,Hygienic Research Institute,Beauty & Personal Care
3032,Polestar Solutions & Services India,IT Services & Consulting
3033,Sedemac Mechatronics,Consumer Electronics & Appliances
3034,Calsoft,IT Services & Consulting
3035,Vedant Fashions,Fashion & Textile
3036,Schneider Electric Infrastructure,Electrical Equipment
3037,Asti Electronics India,Auto Components
3038,Rochem Separation Systems,Industrial Machinery
3039,B.L Agro Oils,Food Processing
3040,FIGMD,IT Services & Consulting
3041,Sterling Hospitals,Healthcare
3042,Loadshare Networks,Logistics
3043,Celebi Delhi Cargo Terminal Management,Aviation
3044,Total,Oil & Gas
3045,Allahabad Bank,Banking
3046,Bajaj Hindusthan,Food Processing
3047,Technico Industries,Auto Components
3048,Wood Group,Oil & Gas
3049,Costa Cruise Lines,Travel & Tourism
3050,TCI Supply Chain Solutions,Logistics
3051,POSCO MAHARASHTRA STEEL,Iron & Steel
3052,Emirates Airlines,Aviation
3053,Cotmac Electronics,Industrial Automation
3054,Koyo Bearings India,Auto Components
3055,Cargo Motors,Automobile
3056,VGN Projects Estates,Real Estate
3057,NetAmbit Infosource & e-Services,FinTech
3058,SVC Co-Operative Bank,Banking
3059,Self Practice,Analytics & KPO
3060,Tata Electronics,Semiconductors
3061,Lincoln Pharmaceuticals,Pharma
3062,World Vision,Non-Profit
3063,Tega Industries,Industrial Machinery
3064,Shalimar Paints,Chemicals
3065,ProConnect Integrated Logistics,Logistics
3066,HDFC Mutual Fund,Financial Services
3067,Nimbus Harbor Facilities Management,Facility Management Services
3068,Halonix Technologies,Electronics Manufacturing
3069,Yara Fertilisers,Agro Chemicals
3070,Laser Power & Infra,Electrical Equipment
3071,Prione Business Services,Retail
3072,Smollan Group,BPO
3073,Associated Road Carriers,Urban Transport
3074,CallHealth,Healthcare
3075,Dorf Ketal Chemicals,Oil & Gas
3076,KOREA PLANT SERVICE AND ENGINEERING,Power
3077,Welspun Flooring,Building Material
3078,BRLPS,Non-Profit
3079,Weddingz.in,Internet
3080,Hamleys,Retail
3081,RV Solutions,IT Services & Consulting
3082,DSV - Global Transport and Logistics,Logistics
3083,JSW Paints,Chemicals
3084,Torrent Gas,Oil & Gas
3085,Parul University,Education & Training
3086,The Saraswat Co-operative Bank,Banking
3087,Sears Holdings,Retail
3088,Technicolor,Animation & VFX
3089,Pole To Win,Gaming
3090,Navata Road Transport,Logistics
3091,VSoft Technologies,IT Services & Consulting
3092,Caresoft Global,IT Services & Consulting
3093,Flyjac Logistics,Logistics
3094,V-bazaar Retail,Retail
3095,ESIC HOSPITAL,Healthcare
3096,Spm Autocomp,Auto Components
3097,Sekisui Dljm Molding,Auto Components
3098,Padget Electronics,Industrial Machinery
3099,Bal Pharma,Pharma
3100,MMC Infotech Services,IT Services & Consulting
3101,Saama Technologies,IT Services & Consulting
3102,Harsha Engineers,Industrial Machinery
3103,Belstar Investment and Finance,Investment Banking / Venture Capital / Private Equity
3104,Keihin India Manufacturing,Auto Components
3105,Popular Vehicles and Services,Automobile
3106,Infra.Market,Building Material
3107,Madhucon Projects,Engineering & Construction
3108,Ubisoft Entertainment,Gaming
3109,Lipi Data Systems,Printing & Publishing
3110,Lanxess,Chemicals
3111,Bombay Intelligence Security,Law Enforcement & Security
3112,Amrita Institute of Medical Sciences and Research,Healthcare
3113,Studds Accessories,Auto Components
3114,Munjal Kiriu Industries,Auto Components
3115,Zydus Hospital,Healthcare
3116,Fosroc Chemicals India,Chemicals
3117,THE KCP,Building Material
3118,Ang India,Consumer Electronics & Appliances
3119,Modi Mundi Pharma,Pharma
3120,Ang India,Consumer Electronics & Appliances
3121,Brg Iron And Steel Co.,Metals & Mining
3122,Hollister Medical,Medical Equipment
3123,THE KCP,Building Material
3124,Munjal Kiriu Industries,Auto Components
3125,The Institute Of Chartered Accountants,Education & Training
3126,Fosroc Chemicals India,Chemicals
3127,D.p. Jain & Co. Infrastructure Pvt .,Engineering & Construction
3128,Nalco water,Waste Management
3129,Biz 2 Credit Info Services,IT Services & Consulting
3130,LTIMindtree,IT Services & Consulting
3131,UBS Business Solutions,
3132,Concord Biotech,Pharma
3133,Mahindra Lifespace Developers,Real Estate
3134,Puranik Builders,Real Estate
3135,Autometers Alliance,Semiconductors
3136,Agarwal Packers & Movers,Logistics
3137,Box8,Internet
3138,The Indian Hume Pipe Co.,Building Material
3139,Drydocks World Dubai,Ports & Shipping
3140,Accord Synergy,Hardware & Networking
3141,Barista Coffee Company,Beverage
3142,DBOI Global Services,Investment Banking / Venture Capital / Private Equity
3143,Al Ahleia Switchgear,Industrial Machinery
3144,Recipharm Pharmaservices,Pharma
3145,Pepe Jeans,Fashion & Textile
3146,Monnet Group,Metals & Mining
3147,Thyssenkrupp Industrial Solutions,Industrial Machinery
3148,Vision Express,Retail
3149,SRMB SRIJAN,Building Material
3150,PULSUS HealthTech Group,Printing & Publishing
3151,Omninos Solutions,Software Product
3152,ClearTax,IT Services & Consulting
3153,STAR,Broadcasting
3154,ACG Worldwide,Pharma
3155,Premium Transmission,Industrial Machinery
3156,Luxor Writing Instruments,Other
3157,Walplast Products,Engineering & Construction
3158,CEC International,Engineering & Construction
3159,Rapido,Internet
3160,PCS Technology,IT Services & Consulting
3161,YKK,Fashion & Textile
3162,Meghalaya Cements,Building Material
3163,Core Integra Consulting Services,Recruitment
3164,TJSB Sahakari Bank,Banking
3165,NACL Industries,Agro Chemicals
3166,Aachi Foods,FMCG
3167,Cordlife Sciences India,Pharma
3168,Coolberg Beverages,Beverage
3169,Sagility,BPO
3170,Wsp Consultants India,Engineering & Construction
3171,Dixit Infotech Services,IT Services & Consulting
3172,Gaursons,Real Estate
3173,Qatar Petroleum,Oil & Gas
3174,Nidec Corporation,Industrial Machinery
3175,Piramal Glass,Packaging
3176,SiliconIndia,Printing & Publishing
3177,Bharat IT Services,IT Services & Consulting
3178,Sir Ganga Ram Hospital,Healthcare
3179,Praxair,Chemicals
3180,e-Centric Solutions,IT Services & Consulting
3181,Sonata Finance,Financial Services
3182,Faasos Food Services,Internet
3183,Anudip Foundation,Non-Profit
3184,The Dow Chemical Company,Chemicals
3185,Tata Steel Processing & Distribution,Iron & Steel
3186,Big C,Retail
3187,Mitra SK,Other
3188,Javi Systems,IT Services & Consulting
3189,Kauvery Hospital,Healthcare
3190,Hinduja Group,Automobile
3191,Sonalika Group of Companies,Automobile
3192,Saksoft,IT Services & Consulting
3193,Nexteer Automotive,Auto Components
3194,ITCONS e-Solutions,IT Services & Consulting
3195,Puravankara Projects,Real Estate
3196,Woodland,Fashion & Textile
3197,National Insurance Company,Insurance
3198,Urban Ladder,Retail
3199,Peter England,Fashion & Textile
3200,Planetcast,Media & Entertainment
3201,Seth M R Jaipuria School,Education & Training
3202,QBurst Technologies,IT Services & Consulting
3203,Datamatics Business Solutions,BPO
3204,Al Tasnim Enterprises,Engineering & Construction
3205,Bajaj Energy,Power
3206,Health India Tpa Services,Insurance
3207,Dishman Carbogen Amcis,Healthcare
3208,Scaler Academy,EdTech
3209,Stanley Black & Decker,Industrial Machinery
3210,Shree Renuka Sugars,Food Processing
3211,Globtier Infotech,IT Services & Consulting
3212,Fingent,IT Services & Consulting
3213,Atul Auto,Automobile
3214,Gold's Gym,Fitness & Wellness
3215,Bhavani Industries,Industrial Machinery
3216,International Automotive Components,Auto Components
3217,Nippon Audiotronix,Automobile
3218,AVL,Automobile
3219,Sun TV Network,Media & Entertainment
3220,Claris Lifesciences Ahmedabad,Healthcare
3221,Invensis Technologies,BPO
3222,Hardcastle Restaurants,Hospitality
3223,SISL Infotech,IT Services & Consulting
3224,Cyber Infrastructure,IT Services & Consulting
3225,Cipla Industries,Pharma
3226,MDC Group of Companies,Pharma
3227,Chaitanya India Fin Credit,Financial Services
3228,Karamtara Engineering,Engineering & Construction
3229,Mahindra Electric,Automobile
3230,FabAlley,Retail
3231,Tredence,IT Services & Consulting
3232,Elico Healthcare Services,Analytics & KPO
3233,AISECT,Education & Training
3234,Rooman Technologies,Education & Training
3235,Krishnapatnam Port,Ports & Shipping
3236,RadiSys,Telecom
3237,Cryoviva Biotech,Biotechnology
3238,Alchem International,Pharma
3239,Mantri Developers,Real Estate
3240,Uniinfo Telecom Services,Telecom
3241,Rinder India,Automobile
3242,Drake & Scull International PJSC,Engineering & Construction
3243,HPM Chemicals & Fertilizers,Agro Chemicals
3244,Gtpl Hathway,Media & Entertainment
3245,Alchem International,Pharma
3246,Cryoviva Biotech,Biotechnology
3247,Peregrine Guarding,Law Enforcement & Security
3248,Fourrts India Laboratories,Pharma
3249,RadiSys,Telecom
3250,MARK EXHAUST SYSTEMS,Auto Components
3251,American Tower Corporation,Telecom
3252,R.V.R. PROJECTS,Engineering & Construction
3253,Shriram Finance,NBFC
3254,Vascon Engineers,Real Estate
3255,AISECT,Education & Training
3256,The Hershey Company,Food Processing
3257,QX Global Group,
3258,PC Financial Services,Financial Services
3259,Apisero,IT Services & Consulting
3260,Murugappa Group,Agriculture
3261,Liberty Shoes,Fashion & Textile
3262,CPA Global,IT Services & Consulting
3263,Hindustan Field Services,Other
3264,VAYA Finserv,Financial Services
3265,Muthoot Homefin India,Investment Banking / Venture Capital / Private Equity
3266,Tops Security,Law Enforcement & Security
3267,T R Chadha & Co Llp,Accounting & Auditing
3268,University of Petroleum & Energy Studies,Education & Training
3269,Ador Welding,Industrial Machinery
3270,TIDC India,Industrial Machinery
3271,Toshiba Transmission & Distribution Systems,Electrical Equipment
3272,SALARPURIA SATTVA,Real Estate
3273,University of Petroleum & Energy Studies,Education & Training
3274,T R Chadha & Co Llp,Accounting & Auditing
3275,Baxter Pharmaceutical Solutions LLC.,Pharma
3276,Muthoot Homefin India,Investment Banking / Venture Capital / Private Equity
3277,Elin Appliances,Consumer Electronics & Appliances
3278,Vertex,Pharma
3279,Toshiba,Industrial Machinery
3280,Fiat Chrysler Automobiles,Automobile
3281,Mr Cooper,Financial Services
3282,Emerson Climate Technologies,Industrial Machinery
3283,Bravura Solutions,IT Services & Consulting
3284,Empower Pragati,Education & Training
3285,United India Insurance Company,Insurance
3286,Consero Global Solutions,Financial Services
3287,Reliance Cement Company,Building Material
3288,Securens System,Law Enforcement & Security
3289,Baramati Agro,FMCG
3290,Abbott Nutrition International,Pharma
3291,Samarth LifeSciences,Pharma
3292,Sterling Tools,Industrial Machinery
3293,Wagh Bakri Tea Group,Beverage
3294,Hexagon Capability Center,IT Services & Consulting
3295,Sterling Talent Solutions,Internet
3296,H&R Block,IT Services & Consulting
3297,Global Hospital Pune India,
3298,Mashreq Global Services,IT Services & Consulting
3299,Global Hospital Pune India,
3300,Mashreq Global Services,IT Services & Consulting
3301,NTT Global Networks,Telecom
3302,NTT DATA Business Solutions,IT Services & Consulting
3303,Markelytics Solutions,Analytics & KPO
3304,DSM Infocom,IT Services & Consulting
3305,Tablets (India),Pharma
3306,AIG,Insurance
3307,GS Lab,IT Services & Consulting
3308,Gujarat State Fertilizers & Chemicals,Agro Chemicals
3309,MidasCare Pharmaceuticals,Pharma
3310,Merck Life Science,Pharma
3311,Machino Plastics,Auto Components
3312,Verifacts Services,Recruitment
3313,Corporate Infotech,IT Services & Consulting
3314,Prolifics Corporation,IT Services & Consulting
3315,Emirates Flight Catering,Hospitality
3316,MSPL,Metals & Mining
3317,LM Wind Power,Power
3318,AISATS,Aviation
3319,Uneecops Technologies,IT Services & Consulting
3320,ZIM Laboratories,Pharma
3321,Billabong High International School,Education & Training
3322,Western Union,Financial Services
3323,Zee Laboratories,Pharma
3324,Puzzolana Machinery Fabricators,Industrial Machinery
3325,MEDOPHARM,Pharma
3326,Citykart Retail,Retail
3327,Pierian Services,Financial Services
3328,VERITY GLOBAL SOLUTIONS,Investment Banking / Venture Capital / Private Equity
3329,Tata Steel Long Products,Iron & Steel
3330,Opporture,Marketing & Advertising
3331,Grupo Antolin,Auto Components
3332,Al-Futtaim Group,Retail
3333,Veer-O-- Metals,Industrial Machinery
3334,Mobius Knowledge Services,Printing & Publishing
3335,Vindhya e-Info Media,IT Services & Consulting
3336,Sakra World Hospital,Healthcare
3337,Bnp Paribas Securities,Financial Services
3338,Banswara Syntex,Fashion & Textile
3339,High Street Essentials,Retail
3340,Knowledge Splice Services pvt ltd.,BPO
3341,SpeedLabs,Education & Training
3342,Garware Technical Fibres,Fashion & Textile
3343,Greenpanel Industries,Furniture & Furnishing
3344,Ivy Hospital,Healthcare
3345,Government of Maharashtra,Government
3346,Espire Infolabs,IT Services & Consulting
3347,CSIR,Government
3348,MTR Foods,Food Processing
3349,Kangaro Industries,FMCG
3350,TÜV Rheinland,Law Enforcement & Security
3351,IndustryBuying.com,Import & Export
3352,Themis Medicare,Pharma
3353,In Time Tec Visionsoft,IT Services & Consulting
3354,Indian Metals & Ferro Alloys,Iron & Steel
3355,Shaily Engineering Plastics,Industrial Machinery
3356,Cactus Communications,Analytics & KPO
3357,Vulcan Express,Logistics
3358,Kalkine,Analytics & KPO
3359,Sel Manufacturing Co.,Fashion & Textile
3360,Policyboss.com,Insurance
3361,Sanoh,Auto Components
3362,NatWest Markets,Banking
3363,Ford India,
3364,Appcino Technologies,IT Services & Consulting
3365,Polyplex,Chemicals / Agri Inputs
3366,Molecular Connections,IT Services & Consulting
3367,Cameo Corporate Services,BPO
3368,Zuari Agro Chemicals,Agro Chemicals
3369,Mas Callnet,BPO
3370,Nippon Koei India,Engineering & Construction
3371,Dee Piping System,Oil & Gas
3372,Brinton Pharmaceuticals,Pharma
3373,Van Heusen,Fashion & Textile
3374,Sungard Availability Services,IT Services & Consulting
3375,OodlesTechnologies,IT Services & Consulting
3376,Trelleborg,Industrial Machinery
3377,Plada Infotech Services,IT Services & Consulting
3378,Pmkvy,Education & Training
3379,Millennium Engineers & Contractors,Engineering & Construction
3380,Sanjeev Auto Parts Manufacturers,Auto Components
3381,Ordnance Factory,Government
3382,ISMT,Iron & Steel
3383,Nexval Infotech,IT Services & Consulting
3384,Sentiss Pharma,Healthcare
3385,Calsonic Kansei Motherson Auto Products,Auto Components
3386,Essar Power,Power
3387,Rajiv Gandhi Cancer Institute & Research Centre,Healthcare
3388,Aquity Solutions,IT Services & Consulting
3389,SkillVertex,EdTech
3390,Incred Finance,FinTech
3391,Synopsys,Software Product
3392,Atibir Industries,Iron & Steel
3393,Systems Plus Transformations,IT Services & Consulting
3394,Padmini VNA Mechatronics,Auto Components
3395,Synergies Castings,Industrial Machinery
3396,Shopclues,Internet
3397,HomeShop18,Internet
3398,Fluentgrid,IT Services & Consulting
3399,Micromatic Machine Tools,Industrial Machinery
3400,FUJIFILM,Animation & VFX
3401,Namaste India Foods,Food Processing
3402,TAJSATS AIR CATERING,Hospitality
3403,Trackon Courier,Logistics
3404,Solitaire World,Real Estate
3405,Radheya Machining,Industrial Machinery
3406,Creative Hands HR Consultancy,Recruitment
3407,Helloverify,Law Enforcement & Security
3408,BharatPe,FinTech
3409,Google Operations Center,Internet
3410,Gufic Biosciences,Pharma
3411,Spacewood,Furniture & Furnishing
3412,Sundaram Motors,Automobile
3413,Indus Net Technologies,IT Services & Consulting
3414,Data-Core Systems,IT Services & Consulting
3415,Onicra Credit Rating Agency,FinTech
3416,IKF Finance,NBFC
3417,Sales India,Retail
3418,Microsense,IT Services & Consulting
3419,Flash Viven Machining Technologies,Electronics Manufacturing
3420,Acme Generics LLP,Pharma
3421,Sales India,Retail
3422,IKF Finance,NBFC
3423,Microsense,IT Services & Consulting
3424,Onicra Credit Rating Agency,FinTech
3425,Metrochem Api,Pharma
