"Industry","Founded","Revenue","Name","Location"
"Health Care Equipment & Services","1897","$19.9B","Becton Dickinson","Franklin Lakes, New Jersey"
"Consumer Durables","1918","$66B","Panasonic","Osaka, Japan"
"Insurance","2008","$41.9B","MS&AD Insurance","Tokyo, Japan"
"Business Services & Supplies","1964","$22.7B","Orix","Tokyo, Japan"
"Diversified Financials","1995","$11.7B","Citic Securities","Shenzhen, China"
"Banking","1968","$8.3B","First Abu Dhabi Bank","Abu Dhabi, United Arab Emirates"
"Telecommunications Services","1970","$18.7B","BCE","Verdun, Canada"
"Oil & Gas Operations","1926","$23.7B","Schlumberger","Sugar Land, Texas"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1930","$18.3B","Texas Instruments","Dallas, Texas"
"Banking","1895","$12.8B","Bank Rakyat Indonesia (BRI)","Jakarta, Indonesia"
"Banking","1969","$18.9B","Standard Chartered","London, United Kingdom"
"Construction, Oil & Gas Operations, Mining and Chemicals","1970","$31B","CRH","Dublin, Ireland"
"Banking","1995","$19.4B","Bank of Beijing","Beijing, China"
"Media","2019","$28.6B","Paramount","Norwood, New York"
"Banking","2007","$17.9B","Bank Of Jiangsu","Nanjing, China"
"Construction, Oil & Gas Operations, Mining and Chemicals","2017","$16.7B","DuPont de Nemours","Wilmington, Delaware"
"Consumer Durables","1991","$27.9B","Gree Electric Appliances","Zhuhai, China"
"Oil & Gas Operations","1959","$72.2B","Indian Oil","New Delhi, India"
"Retailing","1939","$34.2B","Dollar General","Goodlettsville, Tennessee"
"Food, Soft Beverages, Alcohol & Tobacco","2015","$26B","Kraft Heinz Company","Chicago, Illinois"
"Food, Drink & Tobacco","1991","$65.8B","Wilmar International","Singapore, Singapore"
"Business Services & Supplies","1970","$62.2B","Freddie Mac","McLean, Virginia"
"IT, Internet, Software & Services","2015","$27.9B","Hewlett Packard Enterprise","Spring, Texas"
"Food, Drink & Tobacco","1985","$21.2B","Japan Tobacco","Tokyo, Japan"
"Insurance","1925","$37.5B","Poste Italiane","Rome, Italy"
"Banking","1935","$8.9B","United Overseas Bank","Singapore, Singapore"
"Telecommunications Services","2000","$50.8B","China Unicom","Victoria, Hong Kong"
"Oil & Gas Operations","1980","$114B","Valero Energy","San Antonio, Texas"
"Transportation","1827","$13.1B","CSX","Jacksonville, Florida"
"Banking","1871","$24.8B","Danske Bank","Copenhagen, Denmark"
"Materials","2003","$20.9B","Fortescue Metals Group","East Perth, Australia"
"Construction","1948","$157.7B","China Railway Construction","Beijing, China"
"Drugs & Biotechnology","2010","$18.4B","Moderna","Camebridge, Massachusetts"
"Food Markets","1924","$38.8B","Woolworths","Sydney, Australia"
"Construction","1997","$26B","Anhui Conch Cement","Wuhu City, China"
