"Industry","Founded","Revenue","Name","Location"
"Banking","1998","$1.9B","East West Bancorp","Pasadena, California"
"Retail and Wholesale","1869","$40.8B","J Sainsbury","London, United Kingdom"
"Construction","1999","$9.5B","Kaisa Group Holdings","Shenzhen, China"
"Diversified Financials","1999","$11.2B","China Huarong Asset Management","Beijing, China"
"Technology Hardware & Equipment","1996","$13.3B","AU Optronics","Hsinchu, Taiwan"
"Retailing","1990","$8.6B","Ulta Beauty","Bolingbrook, Illinois"
"Diversified Financials","1968","$3.1B","Korea Investment Holdings","Seoul, South Korea"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1966","$1.5B","Itaúsa","São Paulo, Brazil"
"Consumer Durables","1958","$27.3B","BAIC Motor","Beijing, China"
"Telecommunications Services","2008","$3B","Cellnex Telecom","Barcelona, Spain"
"Utilities","1981","$11.1B","AES","Arlington, Virginia"
"Materials","1992","$13.5B","Evraz Group","London, United Kingdom"
"Aerospace & Defense","1948","$16.7B","Leonardo","Rome, Italy"
"Materials","1967","$8.6B","Impala Platinum Holdings","Northlands, South Africa"
"Chemicals","1976","$15.8B","Lotte Chemical","Seoul, South Korea"
"Food, Drink & Tobacco","1995","$3.8B","Foshan Haitian Flavouring and Food","Foshan, China"
"Engineering, Manufacturing","1906","$15.4B","Rolls-Royce Holdings","London, United Kingdom"
"Business Services & Supplies","1966","$22.3B","Sodexo","Issy-les-Moulineaux, France"
"Media","2001","$10.1B","Altice USA","Long Island City, New York"
"Banking","1946","$4.8B","Bank Negara Indonesia","Jakarta, Indonesia"
"Health Care Equipment & Services","2000","$11.6B","DaVita","Denver, Colorado"
"Diversified Financials","2017","$16.8B","Old Mutual","Cape Town, South Africa"
"Hotels, Restaurants & Leisure","1987","$9.9B","Yum China Holdings","Shanghai, China"
"Retail and Wholesale","1992","$25.6B","Penske Automotive","Bloomfield Hills, Michigan"
"Consumer Durables","1918","$16.5B","Yamaha Motor","Iwata, Japan"
"Retailing","1982","$18.1B","Kingfisher","London, United Kingdom"
"Insurance","1982","$13.8B","Storebrand","Lysaker, Norway"
"Hotels, Restaurants & Leisure","1968","$9.3B","Darden Restaurants","Orlando, Florida"
"Oil & Gas Operations","1920","$7.7B","Hess","New York, New York"
"Food, Drink & Tobacco","1953","$30.1B","CJ Corporation","Seoul, South Korea"
"Retailing","1937","$15.1B","Falabella","Santiago, Chile"
"Retailing","2010","$18.4B","Coupang","Seoul, South Korea"
"Construction","2000","$1.8B","CapitaLand Investment","Singapore, Singapore"
"Construction","2005","$1B","Fastighets Balder","Gothenburg, Sweden"
"Diversified Financials","1970","$4.7B","Welltower","Toledo, Ohio"
"Construction","1840","$18.2B","Kajima","Tokyo, Japan"
"Materials","1954","$13B","Steel Authority of India","New Delhi, India"
"Travel & Leisure","1937","$9.5B","Caesars Entertainment","Las Vegas, Nevada"
"Construction","1970","$8.9B","New World Development","Hong Kong, Hong Kong"
"Aerospace & Defense","1923","$12.4B","Textron","Providence, Rhode Island"
"Construction","1906","$14.6B","Cemex","San Pedro Garza García, Mexico"
"Conglomerates","1969","$5.1B","Hexagon","Stockholm, Sweden"
"Transportation","1945","$10.7B","ZIM Integrated Shipping Services","Haifa, Israel"
"Construction","1953","$20.5B","China National Chemical","Beijing, China"
"Trading Companies","1967","$6.3B","Fastenal","Winona, Minnesota"
"Drugs & Biotechnology","1995","$4.7B","Chongqing Zhifei Biological Products","Chongqing, China"
"Business Services & Supplies","1962","$9.5B","Secom","Tokyo, Japan"
"Materials","1997","$21B","Angang Steel","Anshan, China"
"Construction","2001","$39.2B","STO Express","Shanghai, China"
"IT Software & Services","2011","$4.1B","Zoom Video Communications","San Jose, California"
"Materials","1932","$11.9B","Magnitogorsk Iron & Steel","Magnitogorsk, Russia"
"Construction","","$8.7B","NVR","Reston, Virginia"
"Utilities","1909","$5.6B","Evergy","Kansas City, Missouri"
"Construction","2013","$5.1B","Alpha Dhabi Holding","Abu Dhabi, United Arab Emirates"
"Food, Drink & Tobacco","1907","$16.6B","Kirin Holdings","Tokyo, Japan"
"Banking","1997","$5.7B","Bank of Changsha","Changsha, China"
"Materials","1938","$16.8B","Voestalpine","Linz, Austria"
"Drugs & Biotechnology","1938","$30.5B","China Resources Pharmaceutical Group","Hong Kong, Hong Kong"
"IT Software & Services","2014","$12.6B","Kuaishou Technology","Beijing, China"
"Construction","2005","$18.9B","BBMG","Beijing, China"
"Retailing","1996","$28.6B","Suning.com","Nanjing, China"
"Banking","1841","$2.7B","National Bank of Greece","Athens, Greece"
"Oil & Gas Operations","2005","$17.4B","Targa Resources","Houston, Texas"
"Technology Hardware & Equipment","1968","$7.7B","Olympus","Tokyo, Japan"
"Materials","1904","$28.4B","Umicore","Brussels, Belgium"
"Business Services & Supplies","1996","$8.6B","Expedia Group","Seattle, Washington"
"Diversified Financials","1919","$2.5B","Hua Nan Financial","Taipei, Taiwan"
"Food, Drink & Tobacco","2002","$3.1B","Jiangsu Yanghe Brewery","Suqian, China"
"Food, Drink & Tobacco","1972","$8.7B","Kerry Group","Tralee, Ireland"
"Household & Personal Products","1882","$9B","Beiersdorf","Hamburg, Germany"
"IT, Internet, Software & Services","1969","$13.7B","Leidos","Reston, Virginia"
"Chemicals","1920","$10.5B","Eastman","Kingsport, Tennessee"
"Utilities","","$13.3B","Vistra Energy","Irving, Texas"
"Utilities","1951","$19.5B","Tohoku Electric Power","Sendai, Japan"
"Insurance","1997","$6.4B","Banca Mediolanum","Basiglio, Italy"
"Utilities","1990","$12B","PGE Polska Grupa Energetyczna","Warsaw, Poland"
"Aerospace & Defense","2003","$4.9B","TransDigm Group","Cleveland, Ohio"
"Business Services & Supplies","1996","$5.9B","Experian","Dublin, Ireland"
"Diversified Financials","1999","$3.5B","Mirae Asset Financial Group","Seoul, South Korea"
"Diversified Financials","2011","$1.8B","EQT AB","Stockholm, Sweden"
"Oil & Gas Operations","1984","$11B","GAIL India","New Delhi, India"
"Materials","1999","$13.2B","Inner Mongolia Baotou Steel","Baotou, China"
"Oil & Gas Operations","1982","$6.9B","Towngas","Hong Kong, Hong Kong"
"Semiconductors","1999","$6.7B","ON Semiconductor Corp.","Phoenix, Arizona"
"Utilities","1999","$3.1B","Terna","Rome, Italy"
"Travel & Leisure      ","1972","$3.5B","Carnival Corporation","Miami, Florida"
"Diversified Financials","2016","$1.5B","VICI Properties","New York, New York"
"Hotels, Restaurants & Leisure","1993","$7.5B","Chipotle Mexican Grill","Newport Beach, California"
"Business Services & Supplies","1900","$13.8B","Toppan Printing","Tokyo, Japan"
"Capital Goods","2004","$19.9B","Shanghai Electric Group","Shanghai, China"
"Transportation","1933","$10.9B","Turkish Airlines","Istanbul, Turkey"
"Consumer Durables","1947","$5B","Ferrari","Maranello, Italy"
"Insurance","1887","$9.3B","Old Republic International","Chicago, Illinois"
"Food Markets","1792","$24.7B","Jeronimo Martins","Lisbon, Portugal"
"Health Care Equipment & Services","1927","$7.8B","Zimmer Biomet","Warsaw, Indiana"
"Materials","1888","$12.8B","Alcoa","Pittsburgh, Pennsylvania"
"Oil & Gas Operations","1954","$4.8B","Santos","Adelaide, Australia"
"Capital Goods","1928","$15.2B","Alstom","Saint-Ouen-sur-seine, France"
"Utilities","1951","$16.2B","Kyushu Electric Power","Fukuoka, Japan"
"Automotive (Automotive and Suppliers)","1898","$17.5B","Goodyear","Akron, Ohio"
"Materials","2001","$6.5B","Tenaris","Luxembourg, Luxembourg"
"Materials","2002","$12.4B","Bluescope Steel","Melbourne, Australia"
"Chemicals","1998","$5.6B","Petronas Chemicals","Kuala Lumpur, Malaysia"
"Drugs & Biotechnology","1998","$4.5B","Illumina","San Diego, California"
"IT Software & Services","1986","$4.5B","Synopsys","Mountain View, California"
"Utilities","1994","$15.8B","Datang International Power","Beijing, China"
"Oil & Gas Operations","2008","$17.3B","Top Frontier Investment Holdings","Makati, Philippines"
"Chemicals","2004","$11.3B","Arkema","Colombes, France"
"Chemicals","1881","$9.2B","Nippon Paint","Osaka, Japan"
"Materials","1905","$18B","Kobe Steel","Kobe, Japan"
"Banking","1927","$1.1B","Bank of Greece","Athens, Greece"
"Banking","1997","$4.7B","Bank Of Guiyang","Guiyang, China"
"Capital Goods","1972","$24.9B","HD HYUNDAI","Daegu, South Korea"
"Transportation and Logistics","1516","$17.8B","Royal Mail","London, United Kingdom"
"Diversified Financials","1944","$3.4B","Lundbergs","Stockholm, Sweden"
"Construction","1994","$12.4B","Guangzhou R&F","Guangzhou, China"
"Utilities","1995","$10.5B","China Gas Holdings","Hong Kong, Hong Kong"
"Food, Drink & Tobacco","","$2.6B","Shanxi Xinghuacun Fen Wine Factory","Luliang, China"
"Health Care Equipment & Services","1985","$5.5B","Hologic","Marlborough, Massachusetts"
"Banking","1995","$2.3B","Western Alliance Bancorp.","Phoenix, Arizona"
"Trading Companies","1992","$87.3B","Wuchan Zhongda Group","Hangzhou, China"
"Food Markets","1947","$14.6B","Metro","Montréal, Canada"
"Retailing","","$30.1B","Raizen","Rio de Janeiro, Brazil"
"Transportation","1934","$5.3B","Old Dominion Freight Line","Thomasville, North Carolina"
"Banking","1935","$3.9B","Israel Discount Bank","Tel Aviv, Israel"
"Banking","1993","$5.4B","Bangkok Bank","Bangkok, Thailand"
"Banking","1948","$6B","Akbank","Istanbul, Turkey"
"Chemicals","1997","$13.8B","Mitsui Chemicals","Tokyo, Japan"
"Construction","2017","$11.5B","Midea Real Estate Holding","Foshan City, China"
"Consumer Durables","1912","$22.8B","Sharp","Sakai, Japan"
"Telecommunications Services","1989","$6.2B","KPN","Rotterdam, Netherlands"
"Retailing","1962","$19.4B","Kohl's","Menomonee Falls, Wisconsin"
"Consumer Durables","1996","$16B","Chongqing Changan Auto","Chongqing, China"
"Conglomerate","1922","$13B","Canadian Tire","Toronto, Canada"
"Insurance","1824","$12.6B","Vienna Insurance Group","Vienna, Austria"
"Food, Drink & Tobacco","1998","$19.9B","New Hope Liuhe","Chengdu, China"
"Construction","","$13.1B","Sichuan Road & Bridge","Chengdu, China"
"Business Services & Supplies","1982","$3.2B","Copart","Dallas, Texas"
"Retail and Wholesale","1948","$12.3B","Dick's Sporting Goods","Coraopolis, Pennsylvania"
"Drugs & Biotechnology","1970","$4.3B","Jiangsu Hengrui Medicine","Lianyungang, China"
"Health Care Equipment & Services","1979","$12.6B","Universal Health Services","King of Prussia, Pennsylvania"
"Banking","1985","$3.5B","Grupo Inbursa","Mexico City, Mexico"
"Banking","1952","$3.8B","Dongguan Rural Commercial Bank","Dongguan, China"
"Aerospace & Defense","1911","$8.6B","Dassault Aviation","Paris, France"
"Chemicals","2003","$16.6B","Yara International","Oslo, Norway"
"Banking","1881","$7B","Banco de Sabadell","Alicante, Spain"
"Food, Drink & Tobacco","1989","$35B","Olam Group","Singapore, Singapore"
"Drugs & Biotechnology","2000","$3.6B","Wuxi Apptec","Shanghai, China"
"Banking","1893","$2.8B","Popular","San Juan, United States"
"Utilities","2015","$5.8B","Hydro One","Toronto, Canada"
"Transportation","2006","$13.6B","SG Holdings","Kyoto, Japan"
"Trading Companies","2003","$18.1B","Sojitz","Tokyo, Japan"
"Technology Hardware & Equipment","2001","$12.1B","Goertek","Weifang, China"
"Telecommunications Services","","$6.4B","Frontier Communications Parent","Norwalk, Connecticut"
"Construction","","$692M","Samhallsbyggnadsbolaget I Norden","Stockholm, Sweden"
"Consumer Durables","1905","$16.4B","Schaeffler","Herzogenaurach, Germany"
"Insurance","1974","$11.3B","Migdal Insurance","Petach Tikva, Israel"
"Utilities","1997","$15.1B","Inter Rao","Moscow, Russia"
"Banking","1888","$6.1B","Nedbank","Sandton, South Africa"
"Construction","1992","$4B","Hopson Development Holdings","Hong Kong, Hong Kong"
"Conglomerates","1930","$5.5B","Ametek","Berwyn, Pennsylvania"
"Chemicals","1958","$4.3B","LG","Seoul, South Korea"
"Construction, Oil & Gas Operations, Mining and Chemicals","1887","$16.8B","Skanska","Stockholm, Sweden"
"Materials","2008","$15.5B","HBIS","Shijiazhuang, China"
"Banking","2017","$5.4B","Banco BPM","Milan, Italy"
"Construction","","$10.4B","China Fortune Land Development","Beijing, China"
"IT Software & Services","2006","$7.1B","Adyen","Amsterdam, Netherlands"
"Transportation and Logistics","2004","$16.9B","Air France-KLM","Paris, France"
"Construction, Oil & Gas Operations, Mining and Chemicals","1947","$14.1B","Jacobs Engineering","Dallas, Texas"
"Utilities","2001","$11.6B","China Resources Power","Hong Kong, Hong Kong"
"Utilities","1994","$5.8B","PPL","Allentown, Pennsylvania"
"Banking","1825","$3.3B","AIB Group","Dublin, Ireland"
"Transportation","1996","$2.1B","Transurban Group","Docklands, Australia"
"Oil & Gas Operations","2008","$3.8B","Tourmaline Oil","Calgary, Canada"
"Banking","1949","$1.7B","Arab National Bank","Riyadh, Saudi Arabia"
"Semiconductors","1995","$4.5B","Marvell Technology","Wilmington, Delaware"
"Semiconductors","2002","$5.1B","Skyworks Solutions","Irvine, California"
"Technology Hardware & Equipment","2004","$2.9B","Arista Networks","Santa Clara, California"
"Utilities","1985","$1.6B","China Three Gorges Renewables (Group)","Beijing, China"
"Consumer Durables","1982","$6.6B","Electronic Arts","Redwood City, California"
"Hotels, Restaurants & Leisure","1988","$8.3B","Flutter Entertainment","Dublin, Ireland"
"Insurance","1863","$7.1B","Brighthouse Financial","Charlotte, North Carolina"
"Transportation","1974","$9.9B","International Airlines","London, United Kingdom"
"Materials","1925","$8B","Boliden","Stockholm, Sweden"
"Chemicals","1946","$6.5B","CF Industries Holdings","Deerfield, Illinois"
"Banking","1966","$4.4B","Krung Thai Bank","Bangkok, Thailand"
"IT Software & Services","2013","$26.9B","DiDi Global","Beijing, China"
"Insurance","1955","$13.1B","Hyundai Marine & Fire","Seoul, South Korea"
"Materials","1941","$8.9B","CSN","São Paulo, Brazil"
"Oil & Gas Operations","1954","$8B","APA","Houston, Texas"
"Materials","","$11.2B","SSAB AB","Stockholm, Sweden"
"Business Services & Supplies","1978","$8.4B","Teleperformance","Paris, France"
"Food, Drink & Tobacco","1869","$8.3B","Campbell Soup","Camden, New Jersey"
"Diversified Financials","1956","$118M","Sofina","Brussels, Belgium"
"Trading Companies","1854","$14.1B","Bunzl","London, United Kingdom"
"Food, Drink & Tobacco","2007","$23B","CJ Cheiljedang","Seoul, South Korea"
"Food Markets","1994","$25.2B","Magnit","Krasnodar, Russia"
"Construction","1994","$15.5B","Huadian Power International","Beijing, China"
"Capital Goods","","$6.4B","NARI Technology Development","Nanjing, China"
"Oil & Gas Operations","1887","$5.6B","Marathon Oil","Houston, Texas"
"Diversified Financials","1969","$7.4B","Eurazeo","Paris, France"
"Oil & Gas Operations","1885","$17.5B","Tokyo Gas","Tokyo, Japan"
"Banking","1998","$7.2B","Guangzhou Rural Commercial Bank","Guangzhou, China"
"Construction","","$1.1B","Heimstaden AB Pref. Shs","Malmö, Sweden"
"Technology Hardware & Equipment","2014","$5B","Keysight Technologies","Santa Rosa, California"
"Diversified Financials","1804","$4.2B","Schroders","London, United Kingdom"
"Diversified Financials","","$47.6B","StoneX Group","New York, New York"
"Materials","1866","$20.4B","Aurubis","Hamburg, Germany"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1989","$5B","Garmin","Schaffhausen, Switzerland"
"Technology Hardware & Equipment","1984","$44.2B","Compal Electronics","Taipei, Taiwan"
"Chemicals","","$17.9B","ENN Natural Gas","Shijiazhuang, China"
"Insurance","","$8.7B","Phoenix Holdings","Givatayim, Israel"
"Food, Drink & Tobacco","1889","$6.4B","McCormick","Baltimore, Maryland"
"Banking","1907","$6.2B","Indian Bank","Chennai, India"
"Health Care Equipment & Services","1983","$3.2B","IDEXX Laboratories","Westbrook, Maine"
"Materials","1934","$11.9B","Smurfit Kappa Group","Dublin, Ireland"
"Materials","2011","$2.7B","Xinjiang Daqo New Energy","Shihezi, China"
"Banking","1933","$7.7B","Halkbank","Istanbul, Turkey"
"Business Services & Supplies","2002","$6.2B","Waste Connections","Woodbridge, Canada"
"Consumer Durables","1983","$8B","Swatch Group","Biel, Switzerland"
"Materials","2015","$6.6B","South32","Perth, Australia"
"Construction","1955","$8.4B","China Overseas Grand Oceans Group","Hong Kong, Hong Kong"
"Business Services & Supplies","1969","$11.3B","Tokyo Century","Tokyo, Japan"
"Diversified Financials","1878","$1.2B","Japan Exchange Group","Tokyo, Japan"
"Health Care Equipment & Services","1921","$6.3B","Terumo","Tokyo, Japan"
"Construction","2008","$1.2B","LEG Immobilien AG","Dusseldorf, Germany"
"Drugs & Biotechnology","1993","$5.1B","Sun Pharma Industries","Mumbai, India"
"Food, Drink & Tobacco","1870","$3.7B","Brown-Forman","Louisville, Kentucky"
"Insurance","1892","$10.2B","Assurant","New York, New York"
"Food, Drink & Tobacco","1917","$10.3B","Ajinomoto","Tokyo, Japan"
"Chemicals","2003","$14.6B","Indorama Ventures","Bangkok, Thailand"
"Diversified Financials","2002","$2.6B","Taishin Financial Holdings","Taipei, Taiwan"
"Capital Goods","1992","$10.4B","Zoomlion Heavy Industry","Changsha, China"
"Capital Goods","","$13B","XCMG Construction Machinery","Xuzhou, China"
"Construction","2007","$6.2B","Powerlong Real Estate","Shanghai, China"
"Construction","","$8.9B","Yuexiu Property","Hong Kong, Hong Kong"
"Health Care Equipment & Services","","$7.1B","Sonic Healthcare","Sydney, Australia"
"Technology Hardware & Equipment","1992","$6.2B","NetApp","San Jose, California"
"Media","1987","$5.6B","Wolters Kluwer","Alphen aan Den Rijn, Netherlands"
"Oil & Gas Operations","1999","$19B","Galp Energia","Lisbon, Portugal"
"IT Software & Services","2002","$2.5B","NEXON","Tokyo, Japan"
"Hotels, Restaurants & Leisure","1997","$1.5B","Royal Caribbean Group","Miami, Florida"
"Diversified Financials","2004","$1.6B","Extra Space Storage","Salt Lake City, Utah"
"Banking","1997","$6.9B","Shengjing Bank","Shenyang, China"
"Food Markets","1975","$29.9B","X5 Retail Group","Moscow, Russia"
"IT Software & Services","","$3B","Cadence Design","San Jose, California"
"Banking","1954","$7.7B","VakifBank","Istanbul, Turkey"
"Capital Goods","1990","$11.1B","AGCO","Duluth, Georgia"
"Materials","1934","$15.7B","Shanxi Taigang Stainless","Taiyuan, China"
"Retailing","1950","$7.2B","Grupo Elektra","Mexico City, Mexico"
"Utilities","1989","$6.3B","SDIC Power Holdings","Beijing, China"
"Diversified Financials","1999","$8.1B","Wuestenrot & Wuerttembergische","Stuttgart, Germany"
"Business Services & Supplies","1998","$2B","MSCI","New York, New York"
"Banking","1867","$4.5B","BPER Banca","Modena, Italy"
"Construction","1936","$17B","Obayashi","Tokyo, Japan"
"Banking","2011","$4.2B","BNK Financial Group","Busan, South Korea"
"Materials","1949","$13.1B","Oji Holdings","Tokyo, Japan"
"IT Software & Services","2007","$11.4B","Spotify Technology","Luxembourg, Luxembourg"
"Health Care Equipment & Services","1957","$3.2B","Coloplast","Humlebaek, Denmark"
"Trading Companies","2006","$17B","Brenntag","Essen, Germany"
"Food, Drink & Tobacco","1993","$10.1B","Wens Foodstuff Group","Yunfu, China"
"Insurance","","$9.2B","First American Financial","Santa Ana, California"
"Diversified Financials","2014","$1.6B","Euronext","Amsterdam, Netherlands"
"Banking","2006","$1.1B","Masraf Al Rayan","Doha, Qatar"
"IT Software & Services","1999","$7.1B","MercadoLibre","Montevideo, Uruguay"
"Materials","1959","$7.7B","Packaging Corp of America","Lake Forest, Illinois"
"Materials","1871","$15.6B","Mitsubishi Materials","Tokyo, Japan"
"Diversified Financials","","$2.1B","Wharf Real Estate Investment","Hong Kong"
"Materials","1967","$14.3B","Berry Global Group","Evansville, Indiana"
"Materials","1993","$17.6B","Maanshan Iron & Steel","Wanchai, China"
"Health Care Equipment & Services","1947","$5.1B","PerkinElmer","Waltham, Massachusetts"
"Diversified Financials","2013","$3.5B","Navient","Wilmington, Delaware"
"Media","1973","$7.8B","RTL Group","Luxembourg, Luxembourg"
"Food Markets","1940","$13.4B","Kesko","Helsinki, Finland"
"Diversified Financials","1982","$2.1B","Samsung Securities","Seoul, South Korea"
"Construction","1997","$13B","Quanta Services","Houston, Texas"
"Construction","1993","$10B","Beijing Capital Development","Beijing, China"
"Business Services & Supplies","2008","$5.5B","Far East Horizon","Hong Kong, Hong Kong"
"Automotive (Automotive and Suppliers)","1997","$18.5B","Faurecia","Paris, France"
"Business Services & Supplies","1986","$2.5B","Indian Railway Finance","New Delhi, India"
"Telecommunications Services","1991","$988M","Liberty Broadband","Englewood, Colorado"
"Trading Companies","","$72B","Xiamen International Trade Group","Xiamen, China"
"Travel & Leisure      ","2008","$6B","AirBnB","San Francisco, California"
"Retailing","","$26.3B","China Grand Automotive Services","Shanghai, China"
"Transportation","1995","$10.4B","China Eastern Airlines","Shanghai, China"
"Business Services & Supplies","1996","$24.8B","Adecco","Zurich, Switzerland"
"Diversified Financials","2008","$2B","AGNC Investment","Bethesda, Maryland"
"Capital Goods","1869","$7.8B","Westinghouse Air Brake Technologies","Pittsburgh, Pennsylvania"
"Transportation","1919","$6.5B","Kawasaki Kisen Kaisha","Tokyo, Japan"
"Food Markets","1963","$23.3B","Empire","Stellarton, Canada"
"Food, Drink & Tobacco","1998","$14B","Guangdong Haid Group","Guangzhou, China"
"Consumer Durables","1921","$5B","Shimano","Sakai, Japan"
"Banking","1911","$4.7B","Attijariwafa Bank","Casablanca, Morocco"
"Business Services & Supplies","2009","$2.6B","Chailease Holding","Taipei, Taiwan"
"Health Care Equipment & Services","1932","$12.4B","Henry Schein","Melville, New York"
"Food, Drink & Tobacco","1899","$11.5B","Suntory Beverage & Food","Tokyo, Japan"
"Conglomerates","1991","$3.7B","Mettler-Toledo International","Columbus, Ohio"
"Diversified Financials","1704","$8.9B","Wendel","Paris, France"
"Oil & Gas Operations","1897","$13.2B","Osaka Gas","Osaka, Japan"
"Consumer Durables","1980","$14.9B","Thor Industries","Elkhart, Indiana"
"Retail and Wholesale","1956","$8.2B","Williams-Sonoma","San Francisco, California"
"Transportation","","$71.6B","Xiamen Xiangyu","Xiamen, China"
"Automotive","2009","$55M","Rivian","Irvine, California"
"Transportation and Logistics","2006","$12.2B","KION Group","Frankfurt am Main, Germany"
"Construction","1993","$10.3B","Sino-Ocean Group Holding","Beijing, China"
"Chemicals","1892","$8.9B","Olin","Clayton, Missouri"
"Diversified Financials","1973","$1.4B","Kimco Realty","Jericho, New York"
"Banking","1996","$3.9B","Bank of Chongqing","Chongqing, China"
"Technology Hardware & Equipment","2000","$3.3B","Fortinet","Sunnyvale, California"
"Household & Personal Products","1846","$5.2B","Church & Dwight","Ewing, New Jersey"
