categories,change_1_day,change_1_year,country,id,market_cap,name,rank,share_price
,0.07%,42.56%,,8bee6c53e7c54f52b3b59d5be02ea9c3,$0.22 B,Consolidated Water,6141,$14.17
"['Oil&Gas', 'Energy']",8.32%,-78.04%,Canada,33364dcdf53e45dfa9b10b634fe4898f,$0.22 B,Reconafrica,6140,$1.10
,2.13%,-23.20%,Israel,1c194eb0fddc4b769f44c728b5e80c31,$0.22 B,Kamada,6139,$4.80
['Medical devices'],1.71%,-41.23%,USA,093b3eb26c734148b3b73c165f8cff38,$0.22 B,Accuray,6138,$2.38
['Furniture'],0.20%,-10.25%,USA,f6b1a617a3114bbb9f387e216b9a0b3c,$0.22 B,Hooker Furniture,6137,$19.70
"['Retail', 'E-Commerce', 'Internet']",3.05%,-38.70%,USA,70334cdfad424f6694aa4c7dbe6f6976,$0.22 B,1stdibs.com,6136,$5.75
"['Pharmaceuticals', 'Biotech']",8.85%,7.12%,USA,667d3cc40f494d67bb80c2fb10e6446e,$0.22 B,Greenwich Lifesciences,6135,$17.46
"['Banks', 'Financial services']",1.27%,0.90%,USA,d00fe03f5d9f4556bc4d78c1a8cff872,$0.22 B,Territorial Bancorp,6134,$24.64
,-0.22%,-16.28%,USA,dc89cf8231aa456f9930460e56d175d4,$0.22 B,Compx International,6133,$18.25
,-1.45%,-36.23%,India,4eb71b5d5ff74c29bde45bcd8b338def,$0.22 B,Alembic Limited,6132,$0.88
['Food'],3.46%,-42.68%,USA,4bc40fa774a344fcab43bac690fd3821,$0.22 B,Hf Foods Group,6131,$4.19
"['Tech', 'Tech Hardware', 'Lidar', 'Autonomous driving']",3.83%,-73.20%,USA,ee0038ce8ae84b6ca33cec7fc38faf25,$0.22 B,Velodyne Lidar,6130,$0.95
['Chemicals'],5.71%,-51.10%,USA,b27e9d098535491a91e36fa063735a09,$0.22 B,Danimer Scientific,6129,$2.22
"['Banks', 'Financial services']",-0.35%,3.80%,South Africa,d2455b307d6e450a96f39be024a70377,$0.22 B,Absa Bank,6128,$50.26
['Retail'],-1.04%,-24.65%,Japan,1a8c4f4f40b44a1faacd9dd6e673ec47,$0.22 B,Maruzen,6127,$13.97
"['Tech', 'Software']",-0.83%,-35.48%,USA,7b580b951247472aabdff7aa63494fb8,$0.22 B,Applied Blockchain,6126,$2.40
"['Pharmaceuticals', 'Biotech']",0.55%,-54.16%,USA,24e63e74ed9647719ece9cb232cf2b24,$0.22 B,Nautilus Biotechnology,6125,$1.82
['Mining'],5.28%,-37.59%,Canada,bee3d72b4dab4b11be53502c6739637b,$0.22 B,Tmc The Metals Company,6124,$0.86
"['Oil&Gas', 'Utility companies', 'Energy']",2.89%,2.71%,USA,1d8c5813300a494d8953157b2eb52ad4,$0.22 B,Rgc Resources,6123,$23.16
"['Biotech', 'Diagnostics and Testing']",1.01%,-20.96%,France,075a30f5d30348109950dbf94c97e1ac,$0.22 B,Eurobio Scientific,6122,$19.46
"['Banks', 'Financial services']",0.59%,9.10%,USA,aaaa3f3b74624370a0a1d2cf624a00f0,$0.22 B,Codorus Valley Bancorp,6121,$23.87
"['Video games', 'Entertainment']",-1.92%,-58.74%,USA,ac9a901c80234ad6a96d208e7e6db95d,$0.22 B,Tinybuild,6120,$1.11
"['Restaurant chains', 'Food']",4.10%,-39.95%,USA,bbec469c4d1b4abdbe0109ebdf17d8a0,$0.22 B,The One Group Hospitality,6119,$7.11
