ceo,country,employees,founded,industry,link,name,revenue
Victor Massiah,China,"98,466",2005,Construction,https://www.forbes.com/companies/agile-group-holdings,Agile Group Holdings,$11.5B
Michael J. Long,United States,"20,700",1946,Trading Companies,https://www.forbes.com/companies/arrow-electronics,Arrow Electronics,$34.5B
Li Hsing Tsai,China,"24,526",1997,Business Services & Supplies,https://www.forbes.com/companies/shenzhen-overseas,Shenzhen Overseas,$14.9B
Saumya Sutaria,United States,"101,100",1967,Health Care Equipment & Services,https://www.forbes.com/companies/tenet-healthcare,Tenet Healthcare,$19.4B
Luis Carlos Sarmiento Gutiérrez,Colombia,"80,565",1994,Diversified Financials,https://www.forbes.com/companies/grupo-aval,Grupo Aval,$10.3B
Tanin Buranamanit,Thailand,Not found,1988,Food Markets,https://www.forbes.com/companies/cp-all,CP All,$17.7B
Sheng Yue Gui,Hong Kong,"44,000",1973,Consumer Durables,https://www.forbes.com/companies/geely-automobile-holdings,Geely Automobile Holdings,$15.8B
Christopher O’Shea,United Kingdom,"7,000",1997,Utilities,https://www.forbes.com/companies/centrica,Centrica,$20.3B
Adnan Abdul Shakoor Chilwan,United Arab Emirates,"9,000",1975,Banking,https://www.forbes.com/companies/dubai-islamic-bank,Dubai Islamic Bank,$3.2B
Walter Schalka,Brazil,"37,000",1924,Materials,https://www.forbes.com/companies/suzano-papel-celulose,Suzano Papel e Celulose,$7.6B
Kwok Lung Hongchoy,Hong Kong,"1,200",2005,Diversified Financials,https://www.forbes.com/companies/link-reit,Link REIT,$1.5B
David W. Gibbs,Canada,"36,000",1997,"Hotels, Restaurants & Leisure",https://www.forbes.com/companies/yum-brands,Yum! Brands,$6.6B
A. Tristan Pascall,Canada,"26,349",1983,Materials,https://www.forbes.com/companies/first-quantum-minerals,First Quantum Minerals,$8.3B
Aengus Kelly,Ireland,736,1995,Business Services & Supplies,https://www.forbes.com/companies/aercap-holdings,AerCap Holdings,$4.5B
Bryan Jordan,United States,"7,867",1864,Banking,https://www.forbes.com/companies/first-horizon,First Horizon,$3.1B
Hiroshi Igarashi,Japan,"64,832",2001,Media,https://www.forbes.com/companies/dentsu,Dentsu,$9.9B
Joseph M. Zubretsky,United States,"14,000",1980,Drugs & Biotechnology,https://www.forbes.com/companies/molina-healthcare,Molina Healthcare,$27.8B
Rajkiran Gundyadka Rai,India,"78,202",1919,Banking,https://www.forbes.com/companies/union-bank-of-india,Union Bank of India,$11.3B
Akihiro Nikkaku,Japan,"46,267",1926,Household & Personal Products,https://www.forbes.com/companies/toray-industries,Toray Industries,$19.7B
Jack Patrick Dorsey,United States,"8,521",2009,IT Software & Services,https://www.forbes.com/companies/block,Block,$17.7B
Rodrigo Limp Nascimento,Brazil,"12,126",1962,Utilities,https://www.forbes.com/companies/eletrobras,Eletrobrás,$7B
Min Fang Lu,Hong Kong,"41,141",2004,"Food, Drink & Tobacco",https://www.forbes.com/companies/china-mengniu-dairy,China Mengniu Dairy,$13.7B
Jeong-Nam Kim,South Korea,"4,660",1968,Insurance,https://www.forbes.com/companies/db-insurance,Db Insurance,$15B
Nan Chou Huang,Taiwan,"8,783",1992,Banking,https://www.forbes.com/companies/esun-financial,E.Sun Financial,$3.1B
Sándor Csányi,Hungary,"37,866",1949,Banking,https://www.forbes.com/companies/otp-bank,OTP Bank,$5.8B
Frederic Cuyegkeng DyBuncio,Philippines,"9,000",1958,Retailing,https://www.forbes.com/companies/sm-investments,SM Investments,$8.1B
Jamie Iannone,United States,"10,800",1995,Business Services & Supplies,https://www.forbes.com/companies/ebay,eBay,$10.9B
Michael A. Mussallem,United States,"16,000",1958,Drugs & Biotechnology,https://www.forbes.com/companies/edwards-lifesciences,Edwards Lifesciences,$5.2B
Mei Tsu Chen,Taiwan,"9,600",1946,Banking,https://www.forbes.com/companies/taiwan-cooperative-financial,Taiwan Cooperative Financial,$2.7B
William A. Newlands Jr.,United States,"10,000",1945,"Food, Drink & Tobacco",https://www.forbes.com/companies/constellation-brands,Constellation Brands,$8.8B
Cong Rui Li,Hong Kong,"12,825",2004,Construction,https://www.forbes.com/companies/china-jinmao,China Jinmao,$14B
Kenji Yamaguchi,Japan,"8,256",1972,Capital Goods,https://www.forbes.com/companies/fanuc,Fanuc,$6.5B
Rong Bin Zhu,China,"21,319",Not found,Construction,https://www.forbes.com/companies/yango-group,Yango Group,$12.6B
Benoît Coquart,France,"34,244",1860,Capital Goods,https://www.forbes.com/companies/legrand,Legrand,$8.3B
Da Wei Liu,China,"47,056",1994,Drugs & Biotechnology,https://www.forbes.com/companies/shanghai-pharmaceuticals,Shanghai Pharmaceuticals,$33.4B
Takuya Shimamura,Japan,"55,999",1907,Chemicals,https://www.forbes.com/companies/agc,AGC,$15.4B
Yong Mo,China,"31,708",Not found,Construction,https://www.forbes.com/companies/shaanxi-construction-engineering-group,Shaanxi Construction Engineering Group,$23.8B
Zhi Qiang Cao,China,"23,628",1997,Materials,https://www.forbes.com/companies/hunan-valin-steel,Hunan Valin Steel,$25.8B
Gregory Leith Goodman,Australia,941,1989,Construction,https://www.forbes.com/companies/goodman-group,Goodman Group,$1.3B
Denis Ricard,Canada,"8,300",1892,Insurance,https://www.forbes.com/companies/ia-financial,iA Financial Corporation,$13.3B
Richard Paul McKenney,United States,"10,300",1848,Insurance,https://www.forbes.com/companies/unum,Unum,$12B
Shi Zhong Ding,China,"52,000",1991,Household & Personal Products,https://www.forbes.com/companies/anta-sports-products,Anta Sports Products,$7.7B
William B. Berry,United States,"1,254",Not found,Oil & Gas Operations,https://www.forbes.com/companies/continental-resources,Continental Resources,$5.8B
Gert devWinter,Switzerland,"7,712",1864,Insurance,https://www.forbes.com/companies/baloise-group,Bâloise Group,$11.1B
Syh-Jang Liao,Taiwan,Not found,2007,Technology Hardware & Equipment,https://www.forbes.com/companies/pegatron,Pegatron,$45.2B
Christian Ulbrich,United States,"98,200",1783,Construction,https://www.forbes.com/companies/jones-lang-lasalle,Jones Lang LaSalle,$19.5B
"Carl Henry Lindner, III, S. Craig Lindner, Jr.",United States,"6,600",1959,Insurance,https://www.forbes.com/companies/american-financial-group,American Financial Group,$6.2B
Seiji Nakata,Japan,"15,096",1902,Diversified Financials,https://www.forbes.com/companies/daiwa-securities,Daiwa Securities,$5.8B
Carsten Spohr,Germany,"105,290",1953,Transportation,https://www.forbes.com/companies/deutsche-lufthansa,Deutsche Lufthansa,$19.9B
Martin Flanagan,United States,"8,513",1935,Diversified Financials,https://www.forbes.com/companies/invesco,Invesco,$7B
Adena T. Friedman,United States,"5,814",1971,Diversified Financials,https://www.forbes.com/companies/nasdaq,NASDAQ,$5.8B
Silvio Napoli,Switzerland,"69,015",1874,Capital Goods,https://www.forbes.com/companies/schindler-holding,Schindler Holding,$12.3B
Curtis C. Farmer,United States,"7,611",1849,Banking,https://www.forbes.com/companies/comerica,Comerica,$3B
Moshe Lari,Israel,"7,632",1923,Banking,https://www.forbes.com/companies/mizrahi-tefahot-bank,Mizrahi Tefahot Bank,$4.3B
Norman D. Schwartz,United States,"7,900",1952,Health Care Equipment & Services,https://www.forbes.com/companies/bio-rad-laboratories,Bio-Rad Laboratories,$2.9B
Saad Sharida Al-Kaabi,Qatar,Not found,2003,Chemicals,https://www.forbes.com/companies/industries-qatar,Industries Qatar,$4.2B
Whon Namkoong Euntaek Hong,South Korea,"3,472",1995,IT Software & Services,https://www.forbes.com/companies/kakao,Kakao,$5.4B
Brendan Horgan,United Kingdom,"18,826",1984,Business Services & Supplies,https://www.forbes.com/companies/ashtead-group,Ashtead Group,$7.6B
Atul Kumar Goel,India,"101,802",1895,Banking,https://www.forbes.com/companies/punjab-national-bank,Punjab National Bank,$12.1B
Ping Cheng,Taiwan,Not found,1975,Technology Hardware & Equipment,https://www.forbes.com/companies/delta-electronics,Delta Electronics,$11.3B
David J. Endicott,Switzerland,"24,389",1945,Health Care Equipment & Services,https://www.forbes.com/companies/alcon,Alcon,$8.3B
Richard T. Hume,United States,"22,000",1980,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/td-synnex,TD SYNNEX,$42.1B
Iván Arriagada Herrera,United Kingdom,"27,000",1888,Materials,https://www.forbes.com/companies/antofagasta,Antofagasta,$7.5B
Ryan R. Marshall,United States,"6,182",1950,Construction,https://www.forbes.com/companies/pultegroup,PulteGroup,$13.9B
Fu Lung Hsieh,Taiwan,Not found,Not found,Transportation,https://www.forbes.com/companies/wan-hai-lines,Wan Hai Lines,$8.2B
Charles J. Meyers,United States,"10,944",1998,Diversified Financials,https://www.forbes.com/companies/equinix,Equinix,$6.6B
James Donald Hoffman,United States,"13,700",1939,Materials,https://www.forbes.com/companies/reliance-steel,Reliance Steel,$14.1B
Kongkrapan Intarajang,Thailand,Not found,1978,Chemicals,https://www.forbes.com/companies/ptt-global-chemical,PTT Global Chemical,$14.6B
María Dolores Dancausa Treviño,Spain,"6,138",1965,Banking,https://www.forbes.com/companies/bankinter,Bankinter,$2.8B
Kåre Schultz,Israel,"37,537",1944,Drugs & Biotechnology,https://www.forbes.com/companies/teva-pharmaceutical,Teva Pharmaceutical,$15.8B
Robert Biesterfeld,United States,"16,877",1905,Transportation,https://www.forbes.com/companies/ch-robinson,C.H. Robinson,$23.1B
Michael Strugl,Austria,"3,497",1947,Utilities,https://www.forbes.com/companies/verbund,Verbund,$5.6B
Harris H. Simmons,United States,"9,685",1955,Banking,https://www.forbes.com/companies/zions-bancorp,Zions Bancorp,$3B
Hui Wang,China,"6,461",1996,Banking,https://www.forbes.com/companies/bank-of-chengdu,Bank Of Chengdu,$4.7B
Simon Alexander Borrows,United Kingdom,234,Not found,Diversified Financials,https://www.forbes.com/companies/3i-group,3i Group,$331M
Abdullah Ali Al Khalifa,Saudi Arabia,"2,592",2006,Banking,https://www.forbes.com/companies/alinma-bank,Alinma Bank,$1.9B
Fabien Jacques Simon,Netherlands,"19,621",2018,Food & Drink,https://www.forbes.com/companies/jde-peets,JDE Peet's,$8.3B
Hiroshi Kiriyama,Japan,"7,086",2015,Oil & Gas Operations,https://www.forbes.com/companies/cosmo-energy-holdings,Cosmo Energy Holdings,$21.9B
Shan Liu,China,"24,778",1996,Construction,https://www.forbes.com/companies/risesun-real-estate-development,RiseSun Real Estate Development,$10.9B
"Chao Kai Huang, Ching Tien Li",Taiwan,Not found,1967,"Food, Drink & Tobacco",https://www.forbes.com/companies/uni-president,Uni-President,$17B
Anish Dilip Shah,India,"61,297",1945,Consumer Durables,https://www.forbes.com/companies/mahindra-mahindra,Mahindra & Mahindra,$11.6B
Sigve Brekke,Norway,"18,000",1855,Telecommunications Services,https://www.forbes.com/companies/telenor,Telenor,$13B
Jean-Christophe Tellier,Belgium,"8,561",1928,Drugs & Biotechnology,https://www.forbes.com/companies/ucb,UCB,$6.8B
Philippe Krakowsky,United States,"55,600",1930,Business Services & Supplies,https://www.forbes.com/companies/interpublic-group,Interpublic Group,$10.2B
Thierry F. J. Vanlancker,Netherlands,"32,800",1969,Chemicals,https://www.forbes.com/companies/akzo-nobel,Akzo Nobel,$11.4B
Lori J. Ryerkerk,United States,"8,529",1918,Chemicals,https://www.forbes.com/companies/celanese,Celanese,$8.5B
Benjamin W. Schall,United States,"2,927",1978,Diversified Financials,https://www.forbes.com/companies/avalonbay-communities,AvalonBay Communities,$2.3B
Alexander M. van Noordende,Netherlands,"37,930",1960,Business Services & Supplies,https://www.forbes.com/companies/randstad-nv,Randstad N.V.,$29.1B
Neal John Froneman,South Africa,"84,521",2002,Materials,https://www.forbes.com/companies/sibanye-stillwater,Sibanye Stillwater,$11.6B
Ying Wu,Taiwan,"9,925",2003,Banking,https://www.forbes.com/companies/first-financial-holding,First Financial Holding,$2.9B
Ganesh Moorthy,United States,"21,000",1989,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/microchip-technology,Microchip Technology,$6.4B
Revathi Advaithi,Singapore,"167,201",1969,Technology Hardware & Equipment,https://www.forbes.com/companies/flex,Flex,$25.5B
Gregory Ben Maffei,United States,"6,800",1991,Media,https://www.forbes.com/companies/liberty-media-corporation-series-a-liberty-formula-one,Liberty Media Corporation Series A Liberty Formula One,$11.4B
Michael R. McMullen,United States,"16,000",1999,Health Care Equipment & Services,https://www.forbes.com/companies/agilent-technologies,Agilent Technologies,$6.4B
Xing Ya Feng,China,"94,856",1997,Consumer Durables,https://www.forbes.com/companies/guangzhou-automobile-group,Guangzhou Automobile Group,$11.7B
Andrey Valerievich Ryumin,Russia,652,Not found,Utilities,https://www.forbes.com/companies/rosseti,Rosseti,$14.5B
Jian Hui Liu,China,"15,970",Not found,Materials,https://www.forbes.com/companies/beijing-shougang,Beijing Shougang,$20.6B
George D. Schindler,Canada,"80,000",1976,IT Software & Services,https://www.forbes.com/companies/cgi,CGI,$9.7B
Ge Ping Li,China,"11,778",2005,Diversified Financials,https://www.forbes.com/companies/csc-financial,Csc Financial,$6.1B
Martina Merz,Germany,"101,275",1999,Conglomerates,https://www.forbes.com/companies/thyssenkrupp-group,ThyssenKrupp Group,$42.2B
Ming He Cheng,China,"14,684",1991,Health Care Equipment & Services,https://www.forbes.com/companies/shenzhen-mindray-bio-medical-electronics,Shenzhen Mindray Bio-Medical Electronics,$4.1B
Eiichiro Ikeda,Japan,"37,245",1944,Technology Hardware & Equipment,https://www.forbes.com/companies/hoya,Hoya,$5.9B
Yi Zhong Guo,China,"25,549",1995,"Food, Drink & Tobacco",https://www.forbes.com/companies/tongwei,Tongwei,$9.1B
Abdulwahab Essa Abdulwahab Al-Rushoud,Kuwait,"15,000",1977,Banking,https://www.forbes.com/companies/kuwait-finance-house,Kuwait Finance House,$3.5B
Daniel Javier Servitje Montull,Mexico,"137,542",1945,"Food, Drink & Tobacco",https://www.forbes.com/companies/grupo-bimbo,Grupo Bimbo,$17.2B
Dominick Paul Zarcone,United States,"46,000",1998,Consumer Durables,https://www.forbes.com/companies/lkq,LKQ,$13.1B
Akihisa Mizuno,Japan,"28,238",1951,Utilities,https://www.forbes.com/companies/chubu-electric-power,Chubu Electric Power,$24.1B
Bryan B. DeBoer,United States,"21,150",1946,Retailing,https://www.forbes.com/companies/lithia-motors,Lithia Motors,$25.2B
Merlin Bingham Swire,Hong Kong,"32,560",1816,Conglomerates,https://www.forbes.com/companies/swire-pacific,Swire Pacific,$11.7B
Manuel Menéndez Menéndez,Spain,"7,200",2011,Banking,https://www.forbes.com/companies/unicaja-banco,Unicaja Banco,$1.7B
Akira Marumoto,Japan,"49,786",1920,Automotive (Automotive and Suppliers),https://www.forbes.com/companies/mazda-motor,Mazda Motor,$28.1B
Pietro Labriola,Italy,"51,929",1994,Telecommunications Services,https://www.forbes.com/companies/telecom-italia,Telecom Italia,$18.2B
Liang Chen,China,"12,661",2007,Diversified Financials,https://www.forbes.com/companies/china-galaxy-securities,China Galaxy Securities,$5B
Shang Jun Jiang,China,"4,292",1920,Capital Goods,https://www.forbes.com/companies/cnpc-capital,CNPC Capital,$5.3B
Xu Lun Ma,China,"100,431",1988,Transportation,https://www.forbes.com/companies/china-southern-airlines,China Southern Airlines,$15.8B
Bernard Charlès,France,"20,496",1981,IT Software & Services,https://www.forbes.com/companies/dassault-systemes,Dassault Systemes,$5.7B
Yan Bing Jia,China,"32,913",1992,Utilities,https://www.forbes.com/companies/gd-power-development,GD Power Development,$23.2B
Martin Mucci,United States,"16,000",1971,Business Services & Supplies,https://www.forbes.com/companies/paychex,Paychex,$4.5B
Thomas J. McInerney,United States,"2,500",1871,Insurance,https://www.forbes.com/companies/genworth-financial,Genworth Financial,$7.8B
Rodney Cyril Sacks,United States,"4,092",1985,"Food, Drink & Tobacco",https://www.forbes.com/companies/monster-beverage,Monster Beverage,$5.5B
Jian Tang,China,"8,053",1993,Utilities,https://www.forbes.com/companies/china-longyuan-power,China Longyuan Power,$5.7B
Brendan M. McCracken,United States,"1,713",1881,Oil & Gas Operations,https://www.forbes.com/companies/ovintiv,Ovintiv,$10.5B
Nestor V. Tan,Philippines,"38,756",1967,Banking,https://www.forbes.com/companies/bdo-unibank,BDO Unibank,$4.3B
Michael Mark Manley,United States,"22,200",1991,Retailing,https://www.forbes.com/companies/autonation,AutoNation,$26.7B
Zi Ning Guo,China,"23,773",2007,Construction,https://www.forbes.com/companies/china-aoyuan-group,China Aoyuan Group,$10.9B
Domenic J. Dell’Osso Jr.,United States,"1,300",1989,Oil & Gas Operations,https://www.forbes.com/companies/chesapeake-energy,Chesapeake Energy,$7.3B
John N. Roberts,United States,"33,045",1961,Transportation,https://www.forbes.com/companies/jb-hunt-transport-services,J.B. Hunt Transport Services,$13B
Alberto Nicola Nagel,Italy,"4,576",1946,Banking,https://www.forbes.com/companies/mediobanca,Mediobanca,$3.7B
Gianfranco Piero Ferrari de las Casas,Peru,"33,636",1995,Banking,https://www.forbes.com/companies/credicorp,Credicorp,$4.9B
Sumit Roy,United States,371,1969,Diversified Financials,https://www.forbes.com/companies/realty-income,Realty Income,$2.1B
Bin Xiong,Hong Kong,"37,000",1997,Conglomerates,https://www.forbes.com/companies/beijing-enterprises,Beijing Enterprises,$10.3B
Thomas E. Jorden,United States,936,1989,Oil & Gas Operations,https://www.forbes.com/companies/coterra-energy,Coterra Energy ,$3.7B
Arthid Nanthawithaya,Thailand,Not found,1907,Banking,https://www.forbes.com/companies/siam-commercial-bank,Siam Commercial Bank,$5.4B
Shan Shan Zhong,China,"20,000",1996,Food & Drink,https://www.forbes.com/companies/nongfu-spring,Nongfu Spring,$4.6B
Didier Lévêque,France,"218,544",1971,Trading Companies,https://www.forbes.com/companies/finatis,Finatis,$36.1B
Jia Feng Guo,China,"10,120",1995,Construction,https://www.forbes.com/companies/greentown-china-holdings,Greentown China Holdings,$15.7B
Yong-Beom Kim,South Korea,20,2007,Insurance,https://www.forbes.com/companies/meritz-financial-group,Meritz Financial Group,$11B
Han Jie Huang,China,"18,619",Not found,Capital Goods,https://www.forbes.com/companies/tbea,TBEA,$9.4B
Blake Moret,United States,"24,500",1903,Capital Goods,https://www.forbes.com/companies/rockwell-automation,Rockwell Automation,$7.3B
Raymond W. Ferris,Canada,"11,000",Not found,Materials,https://www.forbes.com/companies/west-fraser-timber-co,West Fraser Timber Co.,$10.5B
Philipp Robert Gmür,Switzerland,"12,128",1996,Insurance,https://www.forbes.com/companies/helvetia-holding,Helvetia Holding,$13.8B
Siu Kee Wong,Hong Kong,"27,900",1929,Consumer Durables,https://www.forbes.com/companies/chow-tai-fook-jewellery,Chow Tai Fook Jewellery,$11.6B
Gilles Andrier,Switzerland,"16,800",1895,"Construction, Oil & Gas Operations, Mining and Chemicals",https://www.forbes.com/companies/givaudan,Givaudan,$7.3B
Alexey Vostokov,Russia,"20,000",2006,Materials,https://www.forbes.com/companies/polyus,Polyus,$5B
Calvin McDonald,United States,"29,000",1998,Retailing,https://www.forbes.com/companies/lululemon-athletica,Lululemon Athletica,$6.3B
Andrew Meslow,United States,"56,900",1990,Retailing,https://www.forbes.com/companies/bath-body-works,Bath & Body Works,$11.1B
Mark T. Mondello,United States,"238,000",1966,Technology Hardware & Equipment,https://www.forbes.com/companies/jabil-circuit,Jabil Circuit,$30.7B
Jim Hung,Taiwan,Not found,2003,Technology Hardware & Equipment,https://www.forbes.com/companies/innolux,Innolux,$12.5B
David Layton,Switzerland,"1,573",1996,Diversified Financials,https://www.forbes.com/companies/partners-group-holding,Partners Group Holding,$3.2B
Feng Lin,China,"3,330",1573,"Food, Drink & Tobacco",https://www.forbes.com/companies/luzhou-lao-jiao,Luzhou Lao Jiao,$2.9B
Laurent Rousseau,France,"3,590",1855,Insurance,https://www.forbes.com/companies/scor,Scor,$17.2B
Richard Joseph Tobin,United States,"25,000",1955,Conglomerates,https://www.forbes.com/companies/dover,Dover,$8.1B
Dominic Ng,United States,"3,100",1998,Banking,https://www.forbes.com/companies/east-west-bancorp,East West Bancorp,$1.9B
Simon John Roberts,United Kingdom,"171,000",1869,Retail and Wholesale,https://www.forbes.com/companies/j-sainsbury,J Sainsbury,$40.8B
Fan Mai,China,"17,100",1999,Construction,https://www.forbes.com/companies/kaisa-group-holdings,Kaisa Group Holdings,$9.5B
Keki M. Mistry,China,"10,904",1999,Diversified Financials,https://www.forbes.com/companies/china-huarong-asset-management,China Huarong Asset Management,$11.2B
Shuang Lang Peng,Taiwan,"52,241",1996,Technology Hardware & Equipment,https://www.forbes.com/companies/au-optronics,AU Optronics,$13.3B
Dave Kimbell,United States,"40,500",1990,Retailing,https://www.forbes.com/companies/ulta-beauty,Ulta Beauty,$8.6B
Nam-Goo Kim,South Korea,51,1968,Diversified Financials,https://www.forbes.com/companies/korea-investment-holdings,Korea Investment Holdings,$3.1B
Alfredo Egydio Setubal,Brazil,"97,000",1966,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/itausa,Itaúsa,$1.5B
Wen Bing Huang,China,"18,694",1958,Consumer Durables,https://www.forbes.com/companies/baic-motor,BAIC Motor,$27.3B
Tobías Martínez-Gimeno,Spain,"2,877",2008,Telecommunications Services,https://www.forbes.com/companies/cellnex-telecom,Cellnex Telecom,$3B
Andrés Ricardo Gluski Weilert,United States,"8,450",1981,Utilities,https://www.forbes.com/companies/aes,AES,$11.1B
Aleksey Ivanov,United Kingdom,"71,591",1992,Materials,https://www.forbes.com/companies/evraz-group,Evraz Group,$13.5B
Alessandro Profumo,Italy,"50,413",1948,Aerospace & Defense,https://www.forbes.com/companies/leonardo,Leonardo,$16.7B
Nicolaas Johannes Muller,South Africa,"59,908",1967,Materials,https://www.forbes.com/companies/impala-platinum-holdings,Impala Platinum Holdings,$8.6B
"Gyo-Hyeon Kim, Byung-Yeon Lim",South Korea,"4,644",1976,Chemicals,https://www.forbes.com/companies/lotte-chemical,Lotte Chemical,$15.8B
Pang Kang,China,"6,678",1995,"Food, Drink & Tobacco",https://www.forbes.com/companies/foshan-haitian-flavouring-and-food,Foshan Haitian Flavouring and Food,$3.8B
David Warren Arthur East,United Kingdom,"44,000",1906,"Engineering, Manufacturing",https://www.forbes.com/companies/rolls-royce-holdings,Rolls-Royce Holdings,$15.4B
Sophie Clamens Bellon,France,"412,000",1966,Business Services & Supplies,https://www.forbes.com/companies/sodexo,Sodexo,$22.3B
Dexter G. Goei,United States,"9,000",2001,Media,https://www.forbes.com/companies/altice-usa,Altice USA,$10.1B
Royke Tumilaar,Indonesia,"27,177",1946,Banking,https://www.forbes.com/companies/bank-negara-indonesia,Bank Negara Indonesia,$4.8B
Javier J. Rodriguez,United States,"69,000",2000,Health Care Equipment & Services,https://www.forbes.com/companies/davita,DaVita,$11.6B
Iain George Williamson,South Africa,"29,861",2017,Diversified Financials,https://www.forbes.com/companies/old-mutual,Old Mutual,$16.8B
Joey Wat,China,"450,000",1987,"Hotels, Restaurants & Leisure",https://www.forbes.com/companies/yum-china-holdings,Yum China Holdings,$9.9B
Roger S. Penske Sr.,United States,"26,891",1992,Retail and Wholesale,https://www.forbes.com/companies/penske-automotive,Penske Automotive,$25.6B
Yoshihiro Hidaka,Japan,"51,249",1918,Consumer Durables,https://www.forbes.com/companies/yamaha-motor,Yamaha Motor,$16.5B
Thierry Garnier,United Kingdom,"82,019",1982,Retailing,https://www.forbes.com/companies/kingfisher,Kingfisher,$18.1B
Odd Arild Grefstad,Norway,"1,901",1982,Insurance,https://www.forbes.com/companies/storebrand,Storebrand,$13.8B
Gene Lee,United States,"156,883",1968,"Hotels, Restaurants & Leisure",https://www.forbes.com/companies/darden-restaurants,Darden Restaurants,$9.3B
John B. Hess,United States,"1,545",1920,Oil & Gas Operations,https://www.forbes.com/companies/hess,Hess,$7.7B
"Hong-Gi Kim, Keun-Hee Park",South Korea,59,1953,"Food, Drink & Tobacco",https://www.forbes.com/companies/cj-corporation,CJ Corporation,$30.1B
Gastón Bottazzini,Chile,"103,926",1937,Retailing,https://www.forbes.com/companies/falabella,Falabella,$15.1B
Not found,South Korea,"68,000",2010,Retailing,https://www.forbes.com/companies/coupang,Coupang,$18.4B
Chee Koon Lee,Singapore,"10,000",2000,Construction,https://www.forbes.com/companies/capitaland-investment,CapitaLand Investment,$1.8B
Kjell Erik Torne Torne,Sweden,"1,040",2005,Construction,https://www.forbes.com/companies/fastighets-balder,Fastighets Balder,$1B
Shankh Mitra,United States,464,1970,Diversified Financials,https://www.forbes.com/companies/welltower,Welltower,$4.7B
Mitsuyoshi Nakamura,Japan,"18,905",1840,Construction,https://www.forbes.com/companies/kajima,Kajima,$18.2B
Anirban Dasgupta,India,"130,999",1954,Materials,https://www.forbes.com/companies/steel-authority-of-india,Steel Authority of India,$13B
Tom Reeg,United States,"10,000",1937,Travel & Leisure,https://www.forbes.com/companies/caesars-entertainment,Caesars Entertainment,$9.5B
"Chi Kong Cheng, Kar-Shun Cheng",Hong Kong,"30,000",1970,Construction,https://www.forbes.com/companies/new-world-development,New World Development,$8.9B
Scott C. Donnelly,United States,"33,000",1923,Aerospace & Defense,https://www.forbes.com/companies/textron,Textron,$12.4B
Fernando Angel González Olivieri,Mexico,"46,206",1906,Construction,https://www.forbes.com/companies/cemex,Cemex,$14.6B
Ola Rollén,Sweden,"22,097",1969,Conglomerates,https://www.forbes.com/companies/hexagon,Hexagon ,$5.1B
Eliyahu Glickman,Israel,"5,931",1945,Transportation,https://www.forbes.com/companies/zim-integrated-shipping-services,ZIM Integrated Shipping Services,$10.7B
Gang Wen,China,"44,173",1953,Construction,https://www.forbes.com/companies/china-national-chemical,China National Chemical,$20.5B
Daniel L. Florness,United States,"20,507",1967,Trading Companies,https://www.forbes.com/companies/fastenal,Fastenal,$6.3B
Ren Sheng Jiang,China,"2,972",1995,Drugs & Biotechnology,https://www.forbes.com/companies/chongqing-zhifei-biological-products,Chongqing Zhifei Biological Products,$4.7B
Not found,Japan,"59,436",1962,Business Services & Supplies,https://www.forbes.com/companies/secom,Secom,$9.5B
Shi Shuai Xu,China,"30,412",1997,Materials,https://www.forbes.com/companies/angang-steel,Angang Steel,$21B
Wen Bin Wang,China,Not found,2001,Construction,https://www.forbes.com/companies/sto-express,STO Express,$39.2B
Eric S. Yuan,United States,"6,787",2011,IT Software & Services,https://www.forbes.com/companies/zoom-video-communications,Zoom Video Communications,$4.1B
Pavel Vladimirovich Shilyaev,Russia,Not found,1932,Materials,https://www.forbes.com/companies/magnitogorsk-iron,Magnitogorsk Iron & Steel,$11.9B
Eugene James Bredow,United States,"6,600",Not found,Construction,https://www.forbes.com/companies/nvr,NVR,$8.7B
David A. Campbell,United States,"4,930",1909,Utilities,https://www.forbes.com/companies/evergy,Evergy,$5.6B
Hamad Salem Mohamed Al-Ameri,United Arab Emirates,Not found,2013,Construction,https://www.forbes.com/companies/alpha-dhabi-holding,Alpha Dhabi Holding,$5.1B
Yoshinori Isozaki,Japan,"29,515",1907,"Food, Drink & Tobacco",https://www.forbes.com/companies/kirin-holdings,Kirin Holdings,$16.6B
Xiao Zhong Zhao,China,"7,618",1997,Banking,https://www.forbes.com/companies/bank-of-changsha,Bank of Changsha,$5.7B
Herbert Eibensteiner,Austria,"47,357",1938,Materials,https://www.forbes.com/companies/voestalpine,Voestalpine,$16.8B
Xiao Song Bai,Hong Kong,"62,000",1938,Drugs & Biotechnology,https://www.forbes.com/companies/china-resources-pharmaceutical-group,China Resources Pharmaceutical Group,$30.5B
Yi Xiao Cheng,China,"28,098",2014,IT Software & Services,https://www.forbes.com/companies/kuaishou-technology,Kuaishou Technology,$12.6B
Ying Wu Jiang,China,"46,447",2005,Construction,https://www.forbes.com/companies/bbmg,BBMG,$18.9B
Xiao Ling Wang,China,"45,598",1996,Retailing,https://www.forbes.com/companies/suning,Suning.com,$28.6B
