ceo,country,employees,founded,industry,link,name,revenue
Dong-Wook Park,South Korea,"6,324",1950,Construction,https://www.forbes.com/companies/hyundai-engineering,Hyundai Engineering,$15.5B
Anant Bhalla,United States,900,1995,Insurance,https://www.forbes.com/companies/american-equity-investment,American Equity Investment,$4B
Yoshiaki Yoshida,Japan,"5,261",1946,Semiconductors,https://www.forbes.com/companies/advantest,Advantest,$3.6B
Philip R. Gallagher,United States,"14,500",1921,Trading Companies,https://www.forbes.com/companies/avnet,Avnet,$21.6B
Toshiyasu Ito,Japan,"2,922",1878,Banking,https://www.forbes.com/companies/hyakugo-bank,Hyakugo Bank,$863M
Peter Rawlinson,United States,"3,900",2018,Automotive,https://www.forbes.com/companies/lucid-motors,Lucid Motors,$27M
"Dong Chen Cai, Cuilong Zhang",Hong Kong,"24,746",Not found,Drugs & Biotechnology,https://www.forbes.com/companies/cspc-pharmaceutical-group,CSPC Pharmaceutical Group,$4.3B
Rodolphe Belmer,France,"109,135",1997,IT Software & Services,https://www.forbes.com/companies/atos,ATOS,$12.8B
Jonas Prising,United States,"30,000",1948,Business Services & Supplies,https://www.forbes.com/companies/manpower,Manpower,$20.9B
Chun Hsing Su,Taiwan,Not found,1955,Consumer Durables,https://www.forbes.com/companies/hotai-motor,Hotai Motor,$8.7B
Zhi Ping Chen,China,"16,241",2009,"Food, Drink & Tobacco",https://www.forbes.com/companies/smoore-international-holdings,Smoore International Holdings,$2.1B
Linda Rendle,United States,"6,390",1913,Packaged Goods,https://www.forbes.com/companies/clorox,Clorox,$7.1B
Donal Murphy,Ireland,"13,689",1976,Conglomerates,https://www.forbes.com/companies/dcc,DCC,$20.5B
Helge Leiro Baastad,Norway,"3,710",2010,Insurance,https://www.forbes.com/companies/gjensidige-forsikring,Gjensidige Forsikring,$3.7B
Haydar Yenigün,Turkey,"13,724",1959,Consumer Durables,https://www.forbes.com/companies/ford-otosan,Ford Otosan,$8B
George Frazis,Australia,"2,218",1874,Banking,https://www.forbes.com/companies/bank-of-queensland,Bank of Queensland,$1.6B
Nicholas I. Fink,United States,"28,000",2011,Construction,https://www.forbes.com/companies/fortune-brands-home-security,Fortune Brands Home & Security,$7.7B
Ray Scott,United States,"160,100",1917,Consumer Durables,https://www.forbes.com/companies/lear,Lear,$19.3B
Thomas L. Ryan,United States,"24,658",Not found,Business Services & Supplies,https://www.forbes.com/companies/service-corp-intl,Service Corp Intl,$4.1B
Je-Joong Lee,South Korea,"1,550",1974,Materials,https://www.forbes.com/companies/korea-zinc,Korea Zinc,$8.7B
Zong Bo Liu,China,"4,904",2012,Banking,https://www.forbes.com/companies/qingdao-rural-commercial-bank,Qingdao Rural Commercial Bank,$2.9B
Kenichi Udagawa,Japan,"13,631",1935,Chemicals,https://www.forbes.com/companies/tosoh,Tosoh,$8.1B
Tony Xu MBA,United States,"8,600",2013,IT Software & Services,https://www.forbes.com/companies/doordash,DoorDash,$4.9B
Matthew Browning Prince,United States,"2,440",2009,Business Services & Supplies,https://www.forbes.com/companies/cloudflare,Cloudflare,$656M
